time,x,y,z
0.017,-0.00,-0.00,1.00
0.017,-0.00,-0.00,1.00
0.018,-0.00,-0.00,1.00
0.018,-0.00,0.00,1.00
0.019,-0.00,0.00,1.00
0.019,-0.00,0.00,1.00
0.019,-0.00,0.00,1.00
0.019,-0.00,0.00,1.00
0.019,-0.00,0.00,1.00
0.025,0.00,0.00,0.99
0.025,0.00,0.00,0.99
0.026,0.00,0.00,0.99
0.027,0.00,0.00,0.98
0.039,0.00,0.00,0.98
0.039,0.00,0.00,0.99
0.040,-0.00,0.00,0.99
0.040,-0.00,0.00,1.00
0.040,-0.00,0.00,1.00
0.040,-0.00,0.00,1.01
0.040,-0.01,-0.00,1.02
0.041,-0.01,-0.00,1.02
0.044,-0.01,-0.00,1.02
0.052,-0.01,-0.00,1.01
0.053,-0.01,-0.00,1.01
0.053,-0.00,-0.00,1.00
0.053,-0.00,-0.00,1.00
0.054,-0.00,-0.00,1.00
0.056,-0.00,-0.00,1.00
0.057,-0.00,-0.00,1.00
0.059,-0.00,-0.00,1.00
0.062,-0.00,-0.00,1.00
0.069,-0.00,-0.00,1.00
0.070,-0.00,-0.00,1.00
0.070,-0.00,-0.00,1.00
0.070,-0.00,-0.00,1.00
0.071,-0.00,-0.00,1.00
0.075,-0.00,-0.00,1.00
0.075,-0.00,0.00,1.00
0.083,-0.00,0.00,1.00
0.083,-0.00,0.00,1.01
0.084,-0.00,0.00,1.01
0.084,-0.01,0.00,1.01
0.084,-0.00,0.00,1.01
0.086,-0.00,0.00,1.00
0.089,-0.00,0.00,1.00
0.092,-0.00,0.00,1.00
0.093,-0.00,0.00,1.00
0.100,-0.00,0.00,1.00
0.101,-0.00,0.00,1.00
0.101,0.00,0.00,1.00
0.101,0.00,0.00,1.01
0.102,0.00,0.00,1.01
0.105,0.01,0.00,1.01
0.106,0.01,0.01,1.01
0.108,0.03,0.01,1.01
0.116,0.07,0.01,1.01
0.117,0.14,0.02,1.01
0.117,0.21,0.03,1.01
0.117,0.27,0.04,1.01
0.119,0.33,0.06,1.01
0.121,0.37,0.07,1.01
0.122,0.40,0.08,1.00
0.124,0.42,0.09,1.00
0.127,0.43,0.10,1.00
0.143,0.43,0.11,0.99
0.144,0.44,0.11,0.99
0.144,0.44,0.11,0.99
0.145,0.43,0.11,1.00
0.145,0.42,0.11,1.00
0.145,0.40,0.11,1.00
0.146,0.38,0.11,1.00
0.146,0.36,0.11,1.00
0.147,0.34,0.11,1.00
0.147,0.31,0.11,1.00
0.157,0.29,0.11,1.00
0.157,0.26,0.12,1.00
0.157,0.24,0.12,1.00
0.158,0.22,0.13,1.00
0.158,0.20,0.14,1.01
0.159,0.19,0.15,1.01
0.164,0.17,0.16,1.00
0.164,0.16,0.17,1.00
0.165,0.15,0.18,1.00
0.168,0.13,0.18,1.01
0.169,0.12,0.19,1.01
0.171,0.12,0.20,1.01
0.173,0.11,0.20,1.01
0.175,0.11,0.21,1.01
0.177,0.11,0.21,1.01
0.180,0.11,0.21,1.01
0.181,0.12,0.21,1.01
0.183,0.12,0.21,1.01
0.185,0.13,0.21,1.01
0.187,0.13,0.21,1.01
0.189,0.14,0.21,1.01
0.191,0.15,0.20,1.01
0.193,0.16,0.20,1.01
0.196,0.18,0.19,1.00
0.197,0.19,0.19,1.00
0.199,0.20,0.19,1.00
0.211,0.21,0.18,1.00
0.211,0.22,0.18,1.00
0.212,0.23,0.17,1.00
0.212,0.24,0.17,1.00
0.212,0.25,0.17,1.00
0.212,0.24,0.16,1.00
0.213,0.24,0.17,1.00
0.224,0.24,0.17,1.00
0.225,0.24,0.17,1.00
0.225,0.23,0.17,1.00
0.225,0.22,0.18,1.00
0.226,0.21,0.19,1.00
0.227,0.20,0.19,1.00
0.228,0.19,0.20,1.01
0.230,0.18,0.21,1.00
0.232,0.17,0.22,1.00
0.236,0.16,0.23,1.01
0.236,0.15,0.23,1.01
0.237,0.15,0.24,1.01
0.239,0.14,0.24,1.01
0.240,0.13,0.24,1.01
0.243,0.12,0.25,1.01
0.246,0.12,0.25,1.01
0.246,0.11,0.25,1.01
0.250,0.11,0.25,1.01
0.255,0.10,0.25,1.00
0.255,0.09,0.25,1.00
0.256,0.08,0.25,1.01
0.257,0.07,0.25,1.01
0.258,0.06,0.25,1.00
0.260,0.05,0.25,1.00
0.263,0.04,0.25,1.00
0.265,0.03,0.25,1.00
0.267,0.01,0.25,1.00
0.269,0.00,0.26,1.00
0.270,-0.01,0.26,1.00
0.272,-0.01,0.26,1.00
0.274,-0.02,0.27,1.00
0.276,-0.02,0.27,1.00
0.280,-0.02,0.27,1.00
0.281,-0.02,0.28,1.00
0.282,-0.02,0.28,1.00
0.284,-0.01,0.28,1.00
0.286,-0.01,0.28,1.00
0.288,-0.00,0.28,1.00
0.290,0.00,0.27,1.00
0.292,0.01,0.26,1.00
0.297,0.02,0.26,1.01
0.297,0.03,0.25,1.00
0.298,0.04,0.25,1.00
0.303,0.04,0.24,1.00
0.303,0.05,0.24,1.00
0.305,0.06,0.24,1.00
0.306,0.06,0.23,1.00
0.308,0.06,0.23,1.00
0.310,0.06,0.23,1.00
0.325,0.05,0.22,1.00
0.326,0.04,0.22,1.00
0.326,0.03,0.21,1.00
0.326,0.01,0.21,1.00
0.326,-0.01,0.21,1.00
0.326,-0.03,0.21,1.00
0.327,-0.05,0.20,1.00
0.328,-0.07,0.20,1.00
0.332,-0.09,0.20,1.00
0.333,-0.11,0.19,1.00
0.333,-0.13,0.18,1.01
0.337,-0.16,0.18,1.01
0.338,-0.18,0.17,1.01
0.338,-0.20,0.16,1.01
0.341,-0.22,0.16,1.01
0.344,-0.24,0.15,1.01
0.348,-0.25,0.14,1.01
0.350,-0.27,0.14,1.01
0.350,-0.28,0.13,1.01
0.351,-0.29,0.13,1.01
0.352,-0.31,0.12,1.01
0.355,-0.32,0.11,1.01
0.356,-0.33,0.11,1.01
0.358,-0.34,0.10,1.00
0.360,-0.35,0.09,1.00
0.374,-0.37,0.08,1.00
0.375,-0.38,0.07,1.01
0.375,-0.39,0.07,1.01
0.375,-0.40,0.06,1.00
0.375,-0.41,0.06,1.00
0.375,-0.42,0.05,1.01
0.376,-0.44,0.04,1.01
0.376,-0.46,0.03,1.01
0.381,-0.48,0.02,1.01
0.382,-0.50,0.02,1.01
