time,x,y,z
0.010,-0.00,0.00,1.00
0.010,-0.01,-0.00,1.00
0.011,-0.01,-0.00,1.00
0.011,-0.02,-0.00,1.00
0.012,-0.02,-0.00,1.00
0.012,-0.03,-0.00,1.00
0.016,-0.03,-0.00,1.00
0.018,-0.03,-0.00,1.00
0.019,-0.03,-0.00,1.00
0.019,-0.03,-0.00,1.00
0.021,-0.03,-0.00,1.00
0.023,-0.03,-0.00,1.00
0.025,-0.03,-0.00,1.00
0.027,-0.03,-0.00,1.00
0.029,-0.03,-0.00,1.00
0.033,-0.03,-0.00,1.00
0.034,-0.02,-0.00,1.00
0.035,-0.02,-0.00,1.00
0.038,-0.02,-0.00,1.00
0.039,-0.02,-0.00,1.00
0.041,-0.01,-0.00,1.01
0.043,-0.02,-0.00,1.01
0.044,-0.02,-0.00,1.01
0.048,-0.02,0.00,1.00
0.049,-0.02,0.00,1.00
0.050,-0.02,0.00,1.00
0.052,-0.01,0.00,1.00
0.055,-0.01,0.00,1.00
0.056,-0.01,0.00,1.00
0.058,-0.01,0.00,1.00
0.060,-0.01,0.00,1.00
0.077,-0.01,0.00,1.00
0.078,-0.01,0.00,1.00
0.078,-0.01,0.00,1.00
0.079,-0.01,0.00,1.00
0.079,-0.01,0.00,1.00
0.079,-0.00,0.00,1.00
0.080,-0.00,0.00,1.00
0.082,-0.01,0.01,1.00
0.082,-0.01,0.01,1.00
0.082,-0.01,0.01,1.01
0.087,-0.02,0.02,1.01
0.087,-0.03,0.02,1.00
0.087,-0.03,0.02,1.00
0.111,-0.04,0.02,1.00
0.112,-0.04,0.02,1.00
0.112,-0.05,0.02,1.00
0.112,-0.05,0.01,1.00
0.112,-0.05,0.01,1.00
0.113,-0.05,0.01,1.00
0.113,-0.05,0.00,1.00
0.113,-0.05,-0.00,1.00
0.115,-0.05,-0.01,1.00
0.115,-0.06,-0.01,1.00
0.116,-0.06,-0.01,1.00
0.116,-0.07,-0.02,1.00
0.116,-0.08,-0.02,1.00
0.117,-0.09,-0.02,1.00
0.117,-0.11,-0.03,1.00
0.137,-0.12,-0.03,1.00
0.138,-0.13,-0.04,1.00
0.138,-0.14,-0.04,1.00
0.143,-0.15,-0.05,1.00
0.144,-0.16,-0.06,1.00
0.144,-0.17,-0.07,1.00
0.144,-0.19,-0.08,1.00
0.144,-0.23,-0.09,0.99
0.145,-0.29,-0.10,0.99
0.145,-0.34,-0.12,1.00
0.145,-0.37,-0.13,1.02
0.145,-0.41,-0.15,1.02
0.148,-0.44,-0.16,1.01
0.148,-0.47,-0.17,1.00
0.149,-0.50,-0.18,0.99
0.154,-0.51,-0.19,0.99
0.155,-0.52,-0.20,0.99
0.155,-0.53,-0.21,1.00
0.155,-0.52,-0.21,1.00
0.157,-0.51,-0.22,1.00
0.159,-0.50,-0.21,1.00
0.162,-0.49,-0.21,1.00
0.166,-0.47,-0.21,1.00
0.166,-0.45,-0.20,0.99
0.166,-0.43,-0.20,0.99
0.169,-0.41,-0.19,0.99
0.170,-0.38,-0.18,1.00
0.172,-0.36,-0.17,1.00
0.175,-0.33,-0.16,1.00
0.176,-0.31,-0.15,1.00
0.178,-0.30,-0.14,1.00
0.183,-0.28,-0.14,1.00
0.183,-0.27,-0.13,1.00
0.185,-0.26,-0.13,1.00
0.186,-0.26,-0.12,1.00
0.189,-0.27,-0.12,1.00
0.191,-0.28,-0.12,1.00
0.194,-0.29,-0.12,1.00
0.194,-0.31,-0.12,1.00
0.199,-0.33,-0.13,1.00
0.199,-0.36,-0.13,1.00
0.200,-0.38,-0.13,1.00
0.203,-0.41,-0.13,1.00
0.204,-0.44,-0.14,1.00
0.207,-0.47,-0.14,1.00
0.209,-0.49,-0.15,1.00
0.210,-0.51,-0.15,1.00
0.212,-0.53,-0.16,1.00
0.218,-0.55,-0.17,1.00
0.219,-0.56,-0.17,1.00
0.219,-0.56,-0.18,1.00
0.220,-0.56,-0.18,1.00
0.223,-0.55,-0.19,1.00
0.225,-0.54,-0.19,1.00
0.226,-0.52,-0.20,1.01
0.228,-0.50,-0.20,1.01
0.244,-0.48,-0.20,1.00
0.244,-0.46,-0.21,1.00
0.245,-0.42,-0.21,1.00
0.245,-0.38,-0.21,1.00
0.245,-0.34,-0.21,1.00
0.245,-0.30,-0.21,1.00
