time,x,y,z
0.011,-0.00,0.00,0.99
0.012,-0.00,0.00,0.99
0.012,-0.00,0.00,0.99
0.012,-0.00,0.00,0.99
0.012,-0.00,0.00,0.99
0.013,-0.00,0.00,1.00
0.013,-0.00,0.00,1.00
0.026,-0.00,0.00,1.00
0.027,-0.00,0.00,1.00
0.027,-0.00,0.00,1.00
0.027,-0.00,0.00,1.00
0.028,-0.00,0.00,1.00
0.028,-0.00,0.00,1.00
0.028,-0.00,0.00,1.00
0.028,-0.00,0.00,1.00
0.034,-0.00,0.00,1.00
0.036,-0.00,0.00,1.00
0.036,-0.00,0.00,1.00
0.037,-0.00,0.00,1.00
0.040,-0.00,0.00,1.00
0.040,-0.00,0.00,1.00
0.043,-0.00,0.00,1.00
0.046,-0.00,0.00,1.00
0.056,-0.00,0.00,1.00
0.056,-0.00,0.00,1.00
0.057,-0.00,0.00,1.00
0.057,-0.00,0.00,1.00
0.058,-0.00,0.00,1.00
0.058,-0.00,0.00,1.00
0.058,-0.00,0.00,1.00
0.060,-0.00,0.00,1.00
0.063,-0.00,0.00,1.00
0.068,-0.00,0.00,1.00
0.069,-0.00,0.00,1.00
0.069,-0.00,0.00,1.00
0.072,-0.00,0.00,1.00
0.072,-0.00,0.00,1.00
0.075,-0.00,0.00,1.00
0.077,-0.00,0.00,1.00
0.078,-0.00,0.00,1.00
0.083,-0.00,0.00,1.00
0.083,-0.00,0.00,1.01
0.085,-0.00,0.00,1.01
0.087,-0.00,0.00,1.00
0.088,-0.00,0.00,1.00
0.091,-0.00,0.00,1.01
0.092,-0.00,0.00,1.01
0.095,-0.00,0.00,1.01
0.101,-0.00,0.00,1.01
0.102,-0.00,0.00,1.00
0.102,-0.00,0.00,1.00
0.103,-0.00,0.00,1.00
0.104,-0.00,0.00,1.00
0.107,-0.00,0.00,1.00
0.109,-0.00,0.00,1.00
0.110,-0.00,0.00,1.00
0.112,-0.00,0.00,1.00
0.115,-0.00,0.00,1.00
0.117,-0.00,0.00,1.00
0.119,-0.00,0.00,1.00
0.120,-0.00,0.00,1.00
0.123,-0.00,0.00,1.00
0.126,-0.00,0.00,1.00
0.127,-0.00,0.00,1.00
0.128,-0.00,0.00,1.00
0.143,-0.00,0.00,1.01
0.144,0.00,0.01,1.01
0.144,0.01,0.02,1.01
0.144,0.02,0.04,1.01
0.145,0.04,0.06,1.01
0.145,0.06,0.09,1.01
0.145,0.07,0.12,1.01
0.145,0.07,0.14,1.00
0.150,0.08,0.15,1.00
0.150,0.08,0.17,1.00
0.150,0.07,0.18,1.00
0.153,0.07,0.18,1.00
0.157,0.06,0.19,1.00
0.158,0.05,0.19,1.00
0.159,0.04,0.19,1.00
0.160,0.03,0.19,1.00
0.162,0.02,0.19,1.00
0.171,0.01,0.19,1.00
0.171,0.00,0.19,1.00
0.172,-0.00,0.18,1.01
0.172,-0.01,0.18,1.01
0.173,-0.01,0.17,1.01
0.175,-0.02,0.17,1.00
0.177,-0.02,0.16,1.00
0.178,-0.03,0.16,1.00
0.185,-0.03,0.15,1.00
0.186,-0.04,0.15,1.01
0.186,-0.04,0.15,1.01
0.187,-0.04,0.14,1.01
0.189,-0.04,0.13,1.01
0.192,-0.04,0.13,1.00
0.194,-0.04,0.12,1.00
0.194,-0.04,0.12,1.01
0.197,-0.04,0.11,1.01
0.201,-0.04,0.11,1.01
0.201,-0.04,0.10,1.00
0.203,-0.04,0.09,1.00
0.205,-0.05,0.09,1.00
0.206,-0.04,0.08,1.00
0.208,-0.04,0.08,1.00
0.211,-0.04,0.08,1.01
0.212,-0.04,0.07,1.01
0.217,-0.04,0.07,1.01
0.219,-0.04,0.07,1.00
0.219,-0.04,0.07,1.00
0.221,-0.04,0.07,1.01
0.223,-0.04,0.07,1.01
0.225,-0.03,0.07,1.01
0.227,-0.03,0.08,1.01
0.228,-0.03,0.08,1.00
0.235,-0.03,0.08,1.00
0.246,-0.02,0.08,1.00
0.246,-0.02,0.08,1.01
0.247,-0.02,0.08,1.01
0.247,-0.01,0.07,1.01
0.247,-0.01,0.07,1.01
0.248,-0.00,0.07,1.01
0.248,0.00,0.07,1.01
0.248,0.01,0.07,1.01
0.248,0.01,0.08,1.01
0.252,0.02,0.08,1.01
0.253,0.02,0.08,1.01
0.255,0.03,0.09,1.00
0.257,0.04,0.09,1.00
0.259,0.04,0.10,1.00
0.262,0.05,0.10,1.01
0.263,0.06,0.11,1.00
0.266,0.06,0.11,1.00
0.271,0.07,0.11,1.01
0.272,0.07,0.11,1.01
0.272,0.08,0.12,1.01
0.273,0.09,0.12,1.01
0.275,0.10,0.13,1.00
0.276,0.10,0.13,1.00
0.278,0.11,0.14,1.00
0.295,0.11,0.14,1.01
0.295,0.12,0.14,1.01
0.295,0.12,0.14,1.01
0.296,0.12,0.14,1.00
0.296,0.12,0.14,1.00
0.296,0.12,0.14,1.00
0.296,0.12,0.14,1.00
0.298,0.12,0.15,1.00
0.298,0.12,0.15,1.01
0.299,0.12,0.15,1.01
0.324,0.13,0.15,1.00
0.324,0.13,0.15,1.00
0.325,0.13,0.14,1.00
0.325,0.13,0.14,1.00
0.325,0.13,0.14,1.00
0.325,0.13,0.13,1.01
0.325,0.14,0.13,1.01
0.325,0.14,0.12,1.01
0.326,0.14,0.12,1.00
0.326,0.14,0.12,1.00
0.326,0.15,0.12,1.00
0.326,0.15,0.11,1.00
0.326,0.15,0.11,1.00
0.336,0.15,0.11,1.00
0.337,0.16,0.11,1.00
0.337,0.16,0.11,1.01
0.337,0.16,0.11,1.01
0.337,0.16,0.10,1.01
0.337,0.17,0.10,1.01
0.343,0.17,0.10,1.01
0.344,0.18,0.09,1.01
0.344,0.18,0.09,1.00
0.344,0.18,0.09,1.01
0.346,0.19,0.09,1.01
0.352,0.19,0.08,1.00
0.352,0.19,0.08,1.00
0.352,0.20,0.08,1.00
0.355,0.20,0.08,1.00
0.357,0.20,0.08,1.00
0.358,0.20,0.08,1.01
0.361,0.20,0.08,1.01
0.362,0.20,0.07,1.00
0.379,0.20,0.07,1.00
0.379,0.20,0.07,1.00
0.380,0.20,0.07,1.01
0.380,0.19,0.06,1.00
0.380,0.19,0.06,1.00
0.381,0.18,0.06,1.00
0.381,0.18,0.06,1.00
0.382,0.17,0.06,1.00
0.382,0.17,0.06,1.00
0.386,0.16,0.06,1.01
0.387,0.16,0.05,1.00
0.387,0.15,0.05,1.00
0.388,0.14,0.05,1.00
0.391,0.14,0.05,1.01
0.393,0.13,0.05,1.01
0.395,0.13,0.05,1.01
0.396,0.12,0.05,1.00
0.401,0.12,0.05,1.00
0.403,0.12,0.05,1.00
0.403,0.11,0.05,1.01
0.404,0.11,0.05,1.01
0.407,0.11,0.04,1.01
0.409,0.11,0.04,1.00
0.411,0.11,0.04,1.00
0.412,0.11,0.03,1.01
0.424,0.11,0.03,1.01
0.425,0.12,0.03,1.00
0.425,0.12,0.02,1.00
0.425,0.12,0.02,1.00
0.425,0.13,0.02,1.00
0.426,0.13,0.01,1.00
0.427,0.14,0.01,1.00
0.429,0.14,0.00,1.00
0.431,0.15,0.00,1.00
0.442,0.16,0.00,1.00
0.443,0.16,0.00,1.00
0.443,0.17,0.00,1.00
0.443,0.18,-0.00,1.00
0.444,0.18,-0.00,1.00
0.444,0.19,-0.00,1.00
0.448,0.19,-0.00,1.00
0.449,0.19,-0.00,1.00
0.449,0.19,-0.00,1.00
0.451,0.19,-0.00,1.00
0.453,0.20,-0.00,1.01
0.455,0.20,-0.00,1.00
0.457,0.19,-0.00,1.00
0.458,0.19,-0.00,1.00
0.460,0.19,-0.01,1.00
0.462,0.19,-0.01,1.00
0.468,0.19,-0.01,1.00
0.468,0.19,-0.02,1.01
0.469,0.19,-0.03,1.00
0.470,0.18,-0.03,1.00
0.472,0.18,-0.04,1.00
0.475,0.17,-0.04,1.00
0.476,0.17,-0.04,1.00
0.478,0.18,-0.04,1.00
0.480,0.18,-0.04,1.00
0.484,0.18,-0.04,1.00
0.485,0.19,-0.04,1.00
0.486,0.19,-0.04,1.00
0.488,0.20,-0.04,1.00
0.491,0.21,-0.04,1.00
0.492,0.21,-0.04,1.00
0.495,0.22,-0.04,1.00
0.496,0.22,-0.05,1.01
0.501,0.23,-0.05,1.01
0.502,0.23,-0.06,1.01
0.503,0.22,-0.06,1.00
0.504,0.22,-0.07,1.00
0.507,0.22,-0.07,1.01
0.509,0.21,-0.07,1.01
0.510,0.21,-0.08,1.01
0.512,0.21,-0.08,1.00
0.515,0.20,-0.08,1.00
0.518,0.19,-0.08,1.00
0.519,0.18,-0.09,1.01
0.520,0.17,-0.09,1.01
0.523,0.16,-0.09,1.00
0.524,0.15,-0.09,1.00
0.526,0.14,-0.10,1.01
0.528,0.13,-0.10,1.01
0.531,0.12,-0.10,1.00
0.534,0.12,-0.09,1.01
0.536,0.12,-0.09,1.00
0.536,0.13,-0.09,1.00
0.538,0.12,-0.09,1.00
0.541,0.12,-0.08,1.00
0.546,0.12,-0.08,1.00
0.547,0.12,-0.08,1.00
0.547,0.12,-0.09,1.01
0.550,0.12,-0.09,1.00
0.551,0.12,-0.09,1.00
0.553,0.12,-0.09,1.00
0.554,0.12,-0.10,1.00
0.556,0.13,-0.10,1.00
0.558,0.14,-0.11,1.00
0.560,0.14,-0.11,1.00
0.562,0.14,-0.12,1.00
0.565,0.14,-0.13,1.00
0.570,0.15,-0.13,1.00
0.571,0.15,-0.14,1.00
0.571,0.15,-0.14,1.00
0.573,0.15,-0.14,1.00
0.575,0.15,-0.15,1.00
0.576,0.15,-0.15,1.00
0.578,0.14,-0.15,1.00
0.580,0.14,-0.15,1.00
0.585,0.12,-0.15,1.00
0.586,0.11,-0.15,1.01
0.586,0.11,-0.15,1.00
0.588,0.10,-0.15,1.00
0.590,0.09,-0.15,1.00
0.592,0.09,-0.15,1.01
0.594,0.09,-0.15,1.00
0.596,0.10,-0.15,1.00
0.598,0.10,-0.15,1.00
0.602,0.10,-0.16,1.00
0.603,0.10,-0.16,1.00
0.605,0.11,-0.16,1.00
0.607,0.12,-0.16,1.00
0.608,0.13,-0.16,1.00
0.610,0.15,-0.15,1.00
0.613,0.17,-0.15,1.00
0.614,0.18,-0.15,1.00
0.618,0.20,-0.15,1.00
0.619,0.21,-0.15,1.00
0.620,0.22,-0.15,1.00
0.623,0.22,-0.15,1.00
0.625,0.22,-0.15,1.00
0.626,0.22,-0.16,1.00
0.628,0.22,-0.16,1.00
0.630,0.22,-0.16,1.01
0.641,0.21,-0.16,1.01
0.642,0.21,-0.16,1.00
0.642,0.21,-0.16,1.00
0.642,0.20,-0.17,1.00
0.642,0.20,-0.17,1.00
0.643,0.19,-0.18,1.00
0.646,0.18,-0.18,1.01
0.647,0.18,-0.18,1.00
0.655,0.18,-0.19,1.00
0.656,0.18,-0.19,1.00
0.656,0.18,-0.19,1.00
0.656,0.17,-0.20,1.00
0.657,0.16,-0.20,1.00
0.659,0.16,-0.20,1.00
0.660,0.16,-0.21,1.00
0.662,0.15,-0.21,1.00
0.664,0.15,-0.21,1.01
0.669,0.14,-0.21,1.00
0.669,0.13,-0.21,1.00
0.671,0.12,-0.22,1.01
0.672,0.11,-0.22,1.01
0.675,0.10,-0.22,1.01
0.677,0.09,-0.22,1.00
0.678,0.08,-0.23,1.00
0.680,0.06,-0.23,1.00
0.686,0.05,-0.23,1.00
0.687,0.04,-0.24,1.00
0.687,0.03,-0.24,1.01
0.688,0.03,-0.25,1.01
0.690,0.02,-0.25,1.00
0.693,0.02,-0.25,1.00
0.694,0.01,-0.26,1.00
0.696,0.01,-0.26,1.00
0.698,0.01,-0.27,1.00
0.706,0.00,-0.27,1.00
0.707,-0.00,-0.27,1.00
0.707,-0.00,-0.27,1.00
0.707,-0.01,-0.27,1.00
0.709,-0.01,-0.27,1.01
0.711,-0.02,-0.27,1.01
0.712,-0.03,-0.27,1.00
0.715,-0.05,-0.27,1.01
0.727,-0.07,-0.27,1.01
0.727,-0.08,-0.27,1.01
0.727,-0.10,-0.27,1.01
0.728,-0.12,-0.27,1.02
0.728,-0.13,-0.27,1.01
0.728,-0.15,-0.26,1.01
0.728,-0.16,-0.26,1.00
0.731,-0.17,-0.26,1.01
0.738,-0.18,-0.25,1.01
0.739,-0.19,-0.25,1.01
0.739,-0.19,-0.25,1.01
0.739,-0.18,-0.24,1.00
0.740,-0.17,-0.24,1.00
0.743,-0.17,-0.24,1.00
0.745,-0.15,-0.24,1.00
0.747,-0.14,-0.24,1.00
0.748,-0.13,-0.24,1.00
0.753,-0.12,-0.24,1.01
0.753,-0.11,-0.24,1.00
0.755,-0.10,-0.24,1.00
0.756,-0.09,-0.24,1.00
0.758,-0.09,-0.24,1.00
0.760,-0.09,-0.24,1.00
0.762,-0.09,-0.24,1.00
0.764,-0.09,-0.24,1.00
0.771,-0.10,-0.24,1.00
0.771,-0.10,-0.24,1.00
0.772,-0.11,-0.24,1.00
0.772,-0.11,-0.24,1.00
0.774,-0.11,-0.24,1.00
0.776,-0.11,-0.24,1.01
0.779,-0.11,-0.25,1.00
0.781,-0.11,-0.25,1.00
0.785,-0.11,-0.25,1.00
0.785,-0.10,-0.25,1.00
0.787,-0.10,-0.25,1.00
0.789,-0.10,-0.25,1.00
0.790,-0.09,-0.25,1.00
0.792,-0.09,-0.25,1.00
0.794,-0.09,-0.25,1.00
0.796,-0.09,-0.25,1.00
0.798,-0.10,-0.25,1.00
0.802,-0.11,-0.25,1.00
0.802,-0.13,-0.25,1.00
0.804,-0.14,-0.25,1.01
0.807,-0.16,-0.24,1.01
0.808,-0.17,-0.24,1.00
0.810,-0.19,-0.24,1.00
0.812,-0.21,-0.24,1.00
0.814,-0.23,-0.24,1.01
0.820,-0.25,-0.24,1.01
0.820,-0.26,-0.23,1.00
0.821,-0.28,-0.23,1.00
0.822,-0.29,-0.23,1.01
0.824,-0.29,-0.23,1.00
0.827,-0.30,-0.23,1.01
0.828,-0.31,-0.22,1.01
0.832,-0.31,-0.22,1.01
0.844,-0.32,-0.22,1.01
0.845,-0.32,-0.22,1.01
0.845,-0.32,-0.22,1.00
0.845,-0.33,-0.22,1.00
