time,x,y,z
0.021,-0.01,0.00,1.01
0.022,-0.01,0.00,1.01
0.022,-0.01,0.00,1.01
0.023,-0.01,0.00,1.01
0.023,-0.01,0.00,1.01
0.023,-0.01,0.00,1.01
0.023,-0.01,0.00,1.01
0.024,-0.01,0.00,1.01
0.024,-0.01,0.00,1.01
0.024,-0.01,0.00,1.01
0.024,-0.01,0.00,1.01
0.024,-0.01,0.00,1.01
0.025,-0.01,0.00,1.01
0.028,-0.01,0.00,1.01
0.029,-0.01,0.00,1.01
0.039,-0.01,0.00,1.01
0.039,-0.01,0.00,1.01
0.039,-0.01,0.00,1.01
0.039,-0.01,0.00,1.01
0.040,-0.01,0.00,1.01
0.040,-0.01,0.00,1.01
0.042,-0.01,0.00,1.01
0.045,-0.01,0.00,1.01
0.046,-0.01,0.00,1.01
0.048,-0.01,0.00,1.01
0.049,-0.01,0.00,1.01
0.052,-0.01,0.00,1.01
0.053,-0.01,0.00,1.01
0.055,-0.01,0.00,1.01
0.057,-0.01,0.00,1.01
0.059,-0.01,0.00,1.01
0.064,-0.01,0.00,1.01
0.065,-0.01,0.00,1.01
0.067,-0.01,0.00,1.01
0.068,-0.01,0.00,1.01
0.070,-0.01,0.00,1.01
0.071,-0.01,0.00,1.01
0.073,-0.01,0.00,1.01
0.075,-0.01,0.00,1.01
0.080,-0.01,0.00,1.01
0.082,-0.01,0.00,1.01
0.082,-0.00,0.00,1.01
0.084,-0.00,0.00,1.01
0.086,-0.00,0.00,1.01
0.087,-0.00,0.00,1.01
0.089,-0.00,0.00,1.01
0.091,-0.00,0.00,1.01
0.105,-0.00,0.00,1.01
0.105,-0.00,0.00,1.01
0.105,-0.01,0.00,1.01
0.106,-0.01,0.00,1.01
0.106,-0.01,0.00,1.01
0.106,-0.01,0.00,1.01
0.107,-0.01,0.00,1.01
0.107,-0.01,0.00,1.01
0.110,-0.01,0.00,1.01
0.113,-0.01,0.00,1.01
0.114,-0.01,0.00,1.01
0.117,-0.00,0.00,1.01
0.118,-0.00,0.00,1.01
0.120,-0.00,0.00,1.01
0.122,-0.00,0.00,1.01
0.124,-0.00,0.00,1.01
0.125,-0.00,0.00,1.01
0.137,-0.00,0.00,1.01
0.138,-0.00,0.00,1.01
0.139,-0.00,0.00,1.01
0.139,-0.01,0.00,1.01
0.139,-0.01,0.00,1.01
0.139,-0.00,0.00,1.00
0.140,-0.00,0.00,1.00
0.141,-0.00,0.00,1.00
0.144,-0.00,0.00,1.00
0.146,-0.00,0.00,1.00
0.148,-0.00,0.00,1.00
0.150,-0.00,0.00,1.00
0.155,-0.00,0.00,1.00
0.155,-0.00,0.00,1.00
0.156,-0.00,0.00,1.00
0.158,-0.00,0.00,1.00
0.160,-0.00,0.00,1.01
0.163,-0.00,0.00,1.01
0.164,-0.00,0.00,1.01
0.166,-0.00,0.00,1.01
0.167,-0.00,0.00,1.01
0.170,-0.00,0.00,1.01
0.171,-0.00,0.00,1.01
0.173,-0.00,0.00,1.00
0.175,-0.00,0.00,1.01
0.179,-0.00,0.00,1.01
0.181,-0.00,0.00,1.01
0.181,-0.00,0.00,1.01
0.183,-0.00,0.00,1.01
0.186,-0.00,0.00,1.01
0.187,-0.00,0.00,1.01
0.189,-0.00,0.00,1.01
0.191,-0.00,0.00,1.01
0.196,-0.00,0.00,1.00
0.197,-0.00,0.00,1.00
0.198,-0.00,0.00,1.00
0.207,-0.00,0.00,1.00
0.207,-0.00,0.00,1.00
0.207,-0.00,0.00,1.00
0.207,-0.00,0.00,1.00
0.207,-0.00,0.00,1.00
0.209,-0.00,0.00,1.00
0.212,-0.00,0.00,1.01
0.215,-0.00,0.00,1.01
0.216,-0.00,0.00,1.01
0.218,-0.00,0.00,1.01
0.220,-0.00,0.00,1.01
0.222,-0.00,0.00,1.01
0.224,-0.00,0.00,1.01
0.225,-0.00,0.00,1.01
0.230,-0.00,0.00,1.01
0.231,-0.00,0.00,1.01
0.232,-0.00,0.00,1.01
0.234,-0.00,0.00,1.01
0.236,-0.00,0.00,1.01
0.238,-0.00,0.00,1.01
0.239,-0.00,0.00,1.01
0.241,-0.00,0.00,1.01
0.244,-0.00,0.00,1.00
0.246,-0.00,0.00,1.00
0.248,-0.00,0.00,1.01
0.250,-0.00,0.00,1.01
0.253,-0.00,0.00,1.01
0.254,-0.00,0.00,1.01
0.256,-0.00,0.00,1.01
0.257,-0.00,0.00,1.01
0.260,-0.00,0.00,1.01
0.275,-0.00,0.00,1.01
0.275,-0.00,0.00,1.01
0.276,-0.00,0.00,1.01
0.276,-0.00,0.00,1.01
0.276,-0.00,0.00,1.01
0.277,-0.00,0.00,1.01
0.278,-0.00,0.00,1.01
0.278,-0.00,0.00,1.01
0.279,-0.00,0.00,1.01
0.295,-0.00,0.00,1.01
0.295,-0.00,0.00,1.00
