time,x,y,z
0.020,-0.01,0.00,1.00
0.021,-0.01,0.00,1.00
0.021,-0.01,0.00,1.00
0.021,-0.01,0.00,1.00
0.021,-0.01,0.00,1.00
0.021,-0.01,0.00,1.00
0.022,-0.01,0.00,1.00
0.022,-0.01,0.00,1.00
0.022,-0.01,0.00,1.00
0.023,-0.01,0.00,1.00
0.023,-0.01,0.00,1.00
0.023,-0.01,0.00,1.00
0.037,-0.01,0.00,1.00
0.037,-0.01,0.00,1.00
0.038,-0.01,0.00,1.00
0.038,-0.01,0.00,1.00
0.038,-0.01,0.00,1.00
0.038,-0.01,0.00,1.00
0.038,-0.01,0.00,1.00
0.039,-0.01,0.00,1.00
0.040,-0.01,0.00,1.00
0.051,-0.01,0.00,1.00
0.051,-0.01,0.00,1.00
0.052,-0.01,0.00,1.00
0.052,-0.01,0.00,1.00
0.052,-0.01,0.00,1.00
0.052,-0.00,0.00,1.00
0.054,-0.01,0.00,1.00
0.056,-0.01,0.00,1.00
0.060,-0.01,0.00,1.00
0.060,-0.01,0.00,1.00
0.063,-0.01,0.00,1.00
0.064,-0.01,0.00,1.00
0.066,-0.01,0.00,1.00
0.068,-0.01,0.00,1.00
0.070,-0.01,0.00,1.00
0.072,-0.01,0.00,1.00
0.076,-0.01,0.00,1.00
0.078,-0.01,0.00,1.00
0.078,-0.01,0.00,1.00
0.080,-0.01,0.00,1.00
0.083,-0.01,0.00,1.00
0.084,-0.01,0.00,1.00
0.086,-0.01,0.00,1.00
0.088,-0.01,0.00,1.00
0.103,-0.01,0.00,1.00
0.104,-0.01,0.00,1.00
0.104,-0.01,0.00,1.00
0.104,-0.01,0.00,1.00
0.105,-0.01,0.00,1.00
0.105,-0.01,0.00,1.00
0.105,-0.01,0.00,1.00
0.105,-0.01,0.00,1.00
0.106,-0.01,0.00,1.00
0.126,-0.01,0.00,1.00
0.126,-0.01,0.00,1.00
0.127,-0.01,0.00,1.00
0.127,-0.01,0.00,1.00
0.127,-0.01,0.00,1.00
0.127,-0.01,0.00,1.00
0.128,-0.01,0.00,1.00
0.128,-0.01,0.00,1.00
0.128,-0.01,0.00,1.00
0.128,-0.01,0.00,1.00
0.132,-0.01,0.00,1.00
0.133,-0.01,0.00,1.00
0.133,-0.01,0.00,1.00
0.135,-0.01,0.00,1.00
0.136,-0.01,0.00,1.00
0.138,-0.01,0.00,1.00
0.144,-0.01,0.00,1.00
0.145,-0.01,0.00,1.00
0.145,-0.01,0.00,1.00
0.147,-0.01,0.00,1.00
0.148,-0.00,0.00,1.00
0.151,-0.00,0.00,1.00
0.152,-0.00,0.00,1.00
0.154,-0.00,0.00,1.00
0.156,-0.00,0.00,1.00
0.170,-0.00,0.00,1.00
0.171,-0.00,0.00,1.00
0.171,-0.00,0.00,1.00
0.171,-0.00,0.00,1.00
0.171,-0.00,0.00,1.00
0.172,-0.00,0.00,1.00
0.172,-0.00,0.00,1.00
0.172,-0.00,0.00,1.00
0.188,-0.00,0.00,1.00
0.188,-0.00,0.00,1.00
0.189,-0.00,0.00,1.00
0.189,-0.00,0.00,1.00
0.189,-0.00,0.00,1.00
0.189,-0.00,0.00,1.00
0.190,-0.00,0.00,1.00
0.190,-0.00,0.00,1.00
0.190,-0.00,0.00,1.00
0.205,-0.01,0.00,1.00
0.205,-0.00,0.00,1.00
0.205,-0.00,0.00,1.00
