Date,Time,Elapsed Seconds,Acceleration-X (m/s&#178;),Acceleration-Y (m/s&#178;),Acceleration-Z (m/s&#178;)
2/10/2020,3:08:12 PM,0.00,0.05,-0.24,10.26
2/10/2020,3:08:12 PM,0.04,0.04,-0.24,10.26
2/10/2020,3:08:12 PM,0.08,0.03,-0.26,10.27
2/10/2020,3:08:12 PM,0.12,0.05,-0.24,10.24
2/10/2020,3:08:12 PM,0.16,0.05,-0.23,10.25
2/10/2020,3:08:12 PM,0.20,0.05,-0.25,10.26
2/10/2020,3:08:12 PM,0.24,0.04,-0.26,10.27
2/10/2020,3:08:12 PM,0.28,0.04,-0.25,10.27
2/10/2020,3:08:12 PM,0.32,0.04,-0.25,10.24
2/10/2020,3:08:12 PM,0.36,0.05,-0.25,10.28
2/10/2020,3:08:12 PM,0.40,0.05,-0.26,10.28
2/10/2020,3:08:12 PM,0.44,0.04,-0.26,10.27
2/10/2020,3:08:13 PM,0.48,-2.12,-0.17,10.23
2/10/2020,3:08:13 PM,0.52,-2.73,-0.03,10.24
2/10/2020,3:08:13 PM,0.56,-4.74,0.42,10.24
2/10/2020,3:08:13 PM,0.60,-5.43,-0.32,10.22
2/10/2020,3:08:13 PM,0.64,-4.28,-0.48,10.2
2/10/2020,3:08:13 PM,0.68,-2.56,-0.34,10.25
2/10/2020,3:08:13 PM,0.72,-0.4,-0.97,10.24
2/10/2020,3:08:13 PM,0.76,0.89,-0.67,10.28
2/10/2020,3:08:13 PM,0.80,4.11,-1.03,10.33
2/10/2020,3:08:13 PM,0.84,4.19,-1.06,10.28
2/10/2020,3:08:13 PM,0.88,4.35,-1.14,10.3
2/10/2020,3:08:13 PM,0.92,4.05,-1.09,10.29
2/10/2020,3:08:13 PM,0.96,3.03,-0.91,10.28
2/10/2020,3:08:13 PM,1.00,1.34,-0.56,10.27
2/10/2020,3:08:13 PM,1.04,2.06,-0.92,10.29
2/10/2020,3:08:13 PM,1.08,2.92,-0.74,10.3
2/10/2020,3:08:13 PM,1.12,3.73,-0.81,10.33
2/10/2020,3:08:13 PM,1.16,4.64,-0.9,10.31
2/10/2020,3:08:13 PM,1.20,3.72,-0.84,10.3
2/10/2020,3:08:13 PM,1.24,4.41,-0.7,10.3
2/10/2020,3:08:13 PM,1.28,3.44,-0.64,10.29
2/10/2020,3:08:13 PM,1.32,1.51,-1.68,10.33
2/10/2020,3:08:13 PM,1.36,-5.61,-0.81,10.24
2/10/2020,3:08:13 PM,1.40,-6.59,-1.2,10.14
2/10/2020,3:08:13 PM,1.44,-5.2,-0.39,10.24
2/10/2020,3:08:14 PM,1.48,-5.45,0,10.23
2/10/2020,3:08:14 PM,1.52,-1.66,0.18,10.24
2/10/2020,3:08:14 PM,1.56,-0.1,-0.2,10.26
