Date,Time,Elapsed Seconds,Acceleration-X (m/s&#178;),Acceleration-Y (m/s&#178;),Acceleration-Z (m/s&#178;)
2/10/2020,2:35:32 PM,0.00,0.06,-0.26,10.27
2/10/2020,2:35:32 PM,0.05,0.08,-0.24,10.26
2/10/2020,2:35:32 PM,0.10,0.09,-0.26,10.27
2/10/2020,2:35:32 PM,0.15,0.14,-0.32,10.26
2/10/2020,2:35:32 PM,0.20,0.72,-0.9,10.3
2/10/2020,2:35:32 PM,0.25,1.27,-1.24,10.3
2/10/2020,2:35:32 PM,0.30,0.27,-2.03,10.31
2/10/2020,2:35:33 PM,0.35,0.72,-1.17,10.29
2/10/2020,2:35:33 PM,0.40,1.04,-1.24,10.25
2/10/2020,2:35:33 PM,0.45,1.3,-0.33,10.26
2/10/2020,2:35:33 PM,0.50,0.91,-0.91,10.28
2/10/2020,2:35:33 PM,0.55,1.11,-0.95,10.28
2/10/2020,2:35:33 PM,0.60,0.16,-1.05,10.24
2/10/2020,2:35:33 PM,0.65,1.12,-0.89,10.3
2/10/2020,2:35:33 PM,0.70,0.86,-0.81,10.32
2/10/2020,2:35:33 PM,0.75,0.9,-0.26,10.3
2/10/2020,2:35:33 PM,0.80,0.1,-0.03,10.25
2/10/2020,2:35:33 PM,0.85,-0.17,0.53,10.3
2/10/2020,2:35:33 PM,0.90,-1.09,0.98,10.23
2/10/2020,2:35:33 PM,0.95,-2.52,2.41,10.2
2/10/2020,2:35:33 PM,1.00,-2.88,1.75,10.21
2/10/2020,2:35:33 PM,1.05,-1.77,0.84,10.25
2/10/2020,2:35:33 PM,1.10,0,-0.21,10.26
2/10/2020,2:35:33 PM,1.15,0.09,-0.28,10.28
2/10/2020,2:35:33 PM,1.20,0.1,-0.29,10.28
2/10/2020,2:35:33 PM,1.25,0.09,-0.25,10.28
