time,x,y,z
0.012,-0.00,-0.00,1.00
0.013,-0.00,-0.00,1.00
0.013,-0.01,-0.00,1.00
0.014,-0.01,-0.00,1.01
0.014,-0.00,-0.00,1.01
0.014,-0.01,-0.00,1.01
0.014,-0.01,-0.00,1.01
0.015,-0.01,-0.00,1.01
0.023,-0.01,-0.00,1.00
0.024,-0.01,-0.00,1.00
0.024,-0.01,-0.00,1.00
0.024,-0.01,-0.00,1.00
0.025,-0.01,-0.00,1.00
0.025,-0.01,-0.00,1.00
0.045,-0.01,-0.00,1.00
0.046,-0.01,-0.00,1.00
0.046,-0.01,-0.00,1.00
0.047,-0.01,-0.00,1.00
0.047,-0.01,-0.00,1.00
0.047,-0.01,-0.00,1.00
0.048,-0.01,-0.00,1.00
0.048,-0.01,-0.00,1.00
0.048,-0.01,-0.00,1.00
0.048,-0.01,-0.00,1.00
0.050,-0.01,-0.00,1.00
0.050,-0.01,-0.00,1.01
0.054,-0.01,-0.00,1.01
0.055,-0.01,-0.00,1.00
0.056,-0.01,-0.00,1.00
0.058,-0.01,-0.00,1.00
0.060,-0.01,-0.00,1.00
0.069,-0.01,-0.00,1.00
0.070,-0.01,-0.00,1.00
0.070,-0.01,-0.00,1.00
0.070,-0.01,-0.00,1.00
0.071,-0.01,-0.00,1.00
0.073,-0.01,-0.00,1.00
0.074,-0.01,-0.00,1.00
0.076,-0.00,-0.00,1.00
0.077,-0.00,-0.00,1.00
0.093,-0.00,-0.00,1.00
0.094,-0.00,-0.00,1.00
0.094,-0.00,-0.00,1.00
0.095,-0.00,-0.00,1.00
0.095,-0.00,-0.00,1.00
0.096,-0.00,-0.00,1.00
0.096,-0.00,-0.00,1.00
0.096,-0.00,-0.00,1.00
0.096,-0.00,-0.00,1.00
0.121,-0.00,-0.00,1.00
0.122,-0.00,-0.00,1.01
0.122,-0.00,-0.00,1.01
0.123,-0.00,-0.00,1.00
0.123,-0.00,-0.00,1.00
0.123,-0.00,-0.00,1.00
0.124,-0.00,-0.00,1.00
0.124,-0.00,-0.00,1.00
0.125,-0.00,-0.00,1.00
0.125,-0.00,-0.00,1.00
0.125,-0.00,-0.00,1.00
0.125,-0.00,-0.00,1.00
0.126,-0.00,-0.00,1.00
0.126,-0.00,-0.00,1.00
0.126,-0.00,-0.00,1.00
0.132,-0.00,-0.00,1.00
0.133,-0.00,-0.00,1.00
0.133,-0.00,-0.00,1.00
0.134,-0.00,-0.00,1.00
0.136,-0.00,-0.00,1.00
0.138,-0.00,-0.00,1.00
0.140,-0.00,-0.00,1.00
0.141,-0.00,-0.00,1.00
0.143,-0.00,-0.00,1.00
0.148,-0.00,-0.00,1.00
0.149,-0.00,-0.00,1.00
0.150,-0.00,-0.00,1.00
0.152,-0.00,-0.00,1.00
0.154,-0.00,-0.00,1.00
0.156,-0.00,-0.00,1.00
0.157,-0.00,-0.00,1.00
0.160,-0.00,-0.00,1.00
0.165,-0.00,-0.00,1.00
0.166,-0.00,-0.00,1.00
0.166,-0.00,-0.00,1.00
0.168,-0.00,-0.00,1.00
0.170,-0.00,-0.00,1.00
0.172,-0.00,-0.00,1.00
0.174,-0.00,-0.00,1.00
0.175,-0.00,-0.00,1.00
0.177,-0.01,-0.00,1.00
0.181,-0.01,-0.00,1.00
0.183,-0.01,-0.00,1.00
0.184,-0.01,-0.00,1.00
0.185,-0.01,-0.00,1.00
0.188,-0.01,-0.00,1.00
0.190,-0.01,-0.00,1.00
0.192,-0.01,-0.00,1.00
0.193,-0.01,-0.00,1.00
0.200,-0.01,-0.00,1.00
0.201,-0.01,-0.00,1.00
0.201,-0.01,-0.00,1.00
0.202,-0.01,-0.00,1.00
0.204,-0.01,-0.00,1.00
0.206,-0.01,-0.00,1.00
0.208,-0.01,-0.00,1.00
0.211,-0.01,-0.00,1.00
0.212,-0.01,-0.00,1.00
0.229,-0.01,-0.00,1.01
0.230,-0.01,-0.00,1.01
0.230,-0.01,-0.00,1.01
0.230,-0.01,-0.00,1.01
0.230,-0.01,0.00,1.00
0.231,-0.01,0.00,1.00
0.231,-0.01,0.00,1.00
0.231,-0.01,0.00,1.00
0.232,-0.01,0.00,1.00
0.232,-0.01,0.00,1.00
0.235,-0.01,0.00,1.00
0.236,-0.01,0.00,1.00
0.238,-0.01,0.00,1.00
0.242,-0.01,0.00,1.00
0.242,-0.01,0.00,1.00
0.247,-0.01,0.00,1.00
0.249,-0.01,0.00,1.00
0.266,-0.01,0.00,1.00
0.266,-0.01,0.00,1.00
0.267,-0.01,0.00,1.00
0.267,-0.01,0.00,1.00
0.268,-0.01,0.00,1.00
0.268,-0.01,0.00,1.00
0.269,-0.01,0.00,1.00
0.269,-0.01,0.00,1.00
0.269,-0.01,-0.00,1.00
0.270,-0.01,-0.00,1.00
0.270,-0.01,-0.00,1.00
0.271,-0.01,-0.00,1.00
0.275,-0.01,-0.00,1.00
0.276,-0.01,-0.01,1.00
0.276,-0.01,-0.01,1.00
0.278,-0.01,-0.01,1.00
0.281,-0.01,-0.01,1.00
0.283,-0.01,-0.01,1.00
0.284,-0.01,-0.01,1.00
0.286,-0.01,-0.01,1.00
0.290,-0.01,-0.01,1.00
0.291,-0.01,-0.01,1.00
0.292,-0.01,-0.00,1.00
0.294,-0.01,-0.01,1.00
0.298,-0.01,-0.00,1.00
0.299,-0.01,-0.00,1.00
0.301,-0.00,0.01,1.00
0.301,-0.00,0.02,1.00
0.304,-0.01,0.01,1.00
0.305,-0.01,0.01,1.00
0.307,-0.01,0.02,1.01
0.309,-0.02,0.05,1.01
0.313,-0.02,0.08,1.01
0.314,-0.03,0.09,1.01
0.325,-0.07,0.09,1.01
0.325,-0.10,0.10,1.01
0.326,-0.12,0.10,1.01
