time,x,y,z
0.016,-0.01,-0.00,1.01
0.017,-0.01,-0.00,1.01
0.017,-0.01,-0.00,1.01
0.018,-0.00,-0.00,1.00
0.019,-0.00,-0.00,1.00
0.019,-0.01,-0.00,1.00
0.020,-0.01,-0.00,1.00
0.020,-0.01,-0.00,1.00
0.020,-0.01,-0.00,1.00
0.021,-0.01,-0.00,1.00
0.021,-0.01,-0.00,1.00
0.024,-0.01,-0.00,1.00
0.025,-0.00,-0.00,1.00
0.026,-0.00,-0.00,1.00
0.028,-0.00,-0.00,1.00
0.030,-0.00,-0.00,1.00
0.032,-0.00,-0.00,1.00
0.034,-0.00,-0.00,1.01
0.036,-0.00,-0.00,1.01
0.038,-0.00,-0.00,1.01
0.052,-0.00,0.00,1.01
0.053,-0.00,0.00,1.01
0.053,-0.00,-0.00,1.01
0.053,-0.00,-0.00,1.01
0.054,-0.00,-0.00,1.00
0.054,-0.00,-0.00,1.00
0.054,-0.00,-0.00,1.00
0.054,-0.00,-0.00,1.00
0.058,-0.00,-0.00,1.00
0.059,-0.00,-0.00,1.00
0.070,-0.00,-0.00,1.00
0.071,-0.00,-0.00,1.00
0.071,-0.00,-0.00,1.00
0.071,-0.00,-0.00,1.00
0.071,-0.00,-0.00,1.00
0.072,-0.00,-0.00,1.00
0.073,-0.00,-0.00,1.00
0.087,-0.00,-0.00,1.00
0.087,-0.00,-0.00,1.00
0.087,-0.00,-0.00,1.01
0.088,-0.00,-0.00,1.01
0.088,-0.00,-0.00,1.01
0.088,-0.00,-0.00,1.01
0.088,-0.00,-0.00,1.01
0.089,-0.00,-0.00,1.01
0.104,-0.01,-0.00,1.01
0.105,-0.01,-0.00,1.01
0.106,-0.01,-0.00,1.00
0.106,-0.01,-0.00,1.00
0.106,-0.01,-0.00,1.00
0.106,-0.01,-0.00,1.00
0.107,-0.01,-0.00,1.00
0.107,-0.01,-0.00,1.00
0.107,-0.01,-0.00,1.00
0.122,-0.01,-0.00,1.00
0.123,-0.00,-0.00,1.00
0.123,-0.00,-0.00,1.00
0.124,-0.00,-0.00,1.00
0.124,-0.01,-0.00,1.00
0.124,-0.01,-0.00,1.00
0.124,-0.01,-0.00,1.01
0.125,-0.01,-0.00,1.01
0.125,-0.01,-0.00,1.01
0.142,-0.01,-0.00,1.01
0.144,-0.01,-0.00,1.01
0.146,-0.01,-0.00,1.01
0.146,-0.01,-0.00,1.00
0.146,-0.01,-0.00,1.00
0.146,-0.01,-0.00,1.00
0.147,-0.01,-0.00,1.00
0.147,-0.01,-0.00,1.00
0.147,-0.01,-0.00,1.00
0.147,-0.01,-0.00,1.00
0.147,-0.01,-0.00,1.00
0.148,-0.01,-0.00,1.00
0.155,-0.01,-0.00,1.00
0.155,-0.01,-0.00,1.00
0.156,-0.01,-0.00,1.00
0.156,-0.01,-0.00,1.00
0.159,-0.01,-0.00,1.00
0.160,-0.01,-0.00,1.01
0.162,-0.01,-0.00,1.01
0.164,-0.01,-0.00,1.01
0.166,-0.01,-0.00,1.01
0.168,-0.01,-0.00,1.01
0.169,-0.01,-0.00,1.00
0.171,-0.01,-0.00,1.00
0.175,-0.01,-0.00,1.00
0.176,-0.01,-0.00,1.00
0.178,-0.01,-0.00,1.00
0.180,-0.01,-0.00,1.00
0.182,-0.01,-0.00,1.00
0.184,-0.01,-0.00,1.00
0.186,-0.01,-0.00,1.00
0.188,-0.01,-0.00,1.00
0.193,-0.01,-0.00,1.00
0.193,-0.01,-0.00,1.00
0.194,-0.01,-0.00,1.00
0.196,-0.01,-0.00,1.00
0.198,-0.01,-0.00,1.00
0.211,-0.01,-0.00,1.00
0.211,-0.01,-0.00,1.00
0.211,-0.01,-0.00,1.00
0.211,-0.01,-0.00,1.00
0.212,-0.01,-0.00,1.00
0.212,-0.01,-0.00,1.00
0.220,-0.01,-0.00,1.01
0.220,-0.01,-0.00,1.00
0.220,-0.01,-0.00,1.00
0.221,-0.01,-0.00,1.00
0.221,-0.01,-0.00,1.01
0.222,-0.01,-0.00,1.01
0.226,-0.01,-0.00,1.00
0.226,-0.01,-0.00,1.00
0.228,-0.01,-0.00,1.00
0.230,-0.01,-0.00,1.00
0.232,-0.01,-0.00,1.00
0.234,-0.01,-0.01,1.01
0.236,-0.01,-0.01,1.00
0.237,-0.01,-0.01,1.00
0.253,-0.01,-0.01,1.00
0.254,-0.01,-0.01,1.00
0.254,-0.01,-0.01,1.00
0.254,-0.01,-0.01,1.00
0.254,-0.01,-0.01,1.00
0.254,-0.00,-0.01,1.00
0.255,-0.00,-0.01,1.00
0.255,-0.00,-0.01,1.00
0.255,-0.00,-0.01,1.00
0.260,-0.00,-0.01,1.00
0.261,-0.00,-0.01,1.00
0.262,-0.00,-0.01,1.01
0.267,-0.00,-0.01,1.01
0.267,-0.00,-0.01,1.01
0.268,-0.00,-0.01,1.01
0.270,-0.00,-0.01,1.01
