time,x,y,z
0.016,-0.01,-0.00,1.01
0.017,-0.01,-0.00,1.00
0.017,-0.01,-0.00,1.00
0.017,-0.00,-0.00,1.01
0.018,-0.00,-0.00,1.01
0.018,-0.00,-0.00,1.01
0.018,-0.00,-0.00,1.01
0.019,-0.00,-0.00,1.01
0.019,-0.00,-0.00,1.01
0.019,-0.00,-0.00,1.01
0.020,-0.00,-0.00,1.01
0.026,-0.00,-0.00,1.01
0.026,0.00,-0.00,1.01
0.027,0.00,-0.00,1.01
0.042,0.00,-0.00,1.01
0.043,-0.00,-0.00,1.01
0.043,-0.00,-0.00,1.01
0.044,-0.00,-0.00,1.01
0.044,-0.00,-0.00,1.01
0.044,0.00,-0.00,1.01
0.045,0.01,-0.00,1.00
0.045,0.01,-0.00,1.00
0.045,0.01,-0.00,1.00
0.057,0.02,-0.00,1.00
0.058,0.02,-0.00,1.00
0.058,0.02,-0.00,1.00
0.058,0.02,-0.00,1.00
0.058,0.02,-0.00,1.00
0.058,0.02,-0.00,1.00
0.059,0.01,-0.00,1.00
0.061,0.00,-0.00,1.00
0.064,-0.01,-0.00,1.00
0.065,-0.01,0.00,1.00
0.066,-0.00,0.00,1.00
0.069,0.01,0.00,1.00
0.070,0.01,0.00,1.00
0.072,0.00,-0.00,1.01
0.074,-0.01,-0.00,1.01
0.076,-0.02,-0.00,1.01
0.082,-0.02,0.00,1.00
0.083,-0.02,0.00,1.00
0.083,-0.02,0.00,1.00
0.084,-0.01,0.00,1.00
0.086,-0.01,0.00,1.00
0.089,-0.01,0.00,1.00
0.090,-0.01,0.00,1.00
0.092,-0.00,0.00,1.00
0.107,-0.00,0.00,1.01
0.108,-0.00,0.00,1.01
0.109,0.00,0.00,1.00
0.109,0.00,0.00,1.00
0.109,-0.00,0.00,1.00
0.109,-0.00,0.00,1.00
0.110,-0.00,0.00,1.00
0.110,-0.00,0.00,1.00
0.110,-0.00,0.00,1.00
0.125,-0.00,-0.00,1.00
0.126,-0.00,-0.00,1.00
0.126,-0.00,-0.00,1.00
0.126,-0.00,-0.00,1.00
0.127,-0.01,-0.00,1.00
0.127,-0.02,-0.00,1.00
0.127,-0.06,-0.01,0.99
0.127,-0.14,-0.01,0.99
0.142,-0.23,-0.01,1.00
0.143,-0.28,-0.01,1.01
0.143,-0.31,-0.01,1.01
0.144,-0.30,-0.01,1.01
0.144,-0.28,-0.01,1.01
0.144,-0.27,-0.00,1.02
0.145,-0.25,-0.00,1.02
0.145,-0.25,-0.00,1.02
0.158,-0.25,-0.00,1.02
0.158,-0.26,-0.01,1.01
0.158,-0.28,-0.01,1.01
0.158,-0.30,-0.01,1.02
0.159,-0.33,-0.01,1.01
0.159,-0.35,-0.01,1.01
0.159,-0.35,-0.01,1.01
0.159,-0.36,-0.02,1.01
0.177,-0.38,-0.02,1.01
0.178,-0.38,-0.02,1.01
0.178,-0.39,-0.02,1.01
0.179,-0.38,-0.02,1.01
0.179,-0.37,-0.02,1.01
0.179,-0.37,-0.03,1.01
0.179,-0.38,-0.03,1.01
0.179,-0.40,-0.03,1.01
0.180,-0.43,-0.03,1.00
0.180,-0.48,-0.03,1.00
0.197,-0.51,-0.02,1.01
0.198,-0.51,-0.01,1.01
0.198,-0.51,-0.00,1.01
0.198,-0.52,0.00,1.01
0.199,-0.54,0.01,1.01
0.199,-0.56,0.01,1.01
0.199,-0.56,0.02,1.01
0.200,-0.56,0.03,1.01
0.200,-0.56,0.04,1.01
0.200,-0.55,0.05,1.01
0.218,-0.55,0.05,1.01
0.218,-0.57,0.06,1.01
0.219,-0.59,0.06,1.01
0.219,-0.61,0.06,1.01
0.220,-0.62,0.06,1.01
0.220,-0.61,0.07,1.01
0.221,-0.61,0.07,1.01
0.221,-0.60,0.07,1.01
0.221,-0.59,0.06,1.01
0.222,-0.58,0.06,1.01
0.222,-0.58,0.06,1.01
0.223,-0.59,0.05,1.01
0.228,-0.59,0.04,1.01
0.229,-0.60,0.03,1.01
0.229,-0.60,0.01,1.01
0.230,-0.60,-0.00,1.01
0.235,-0.59,-0.02,1.01
0.236,-0.57,-0.03,1.01
0.236,-0.57,-0.04,1.01
0.240,-0.56,-0.06,1.01
0.241,-0.55,-0.07,1.01
0.242,-0.54,-0.08,1.01
0.244,-0.53,-0.08,1.01
0.248,-0.52,-0.09,1.01
0.249,-0.51,-0.09,1.00
