time,x,y,z
0.015,-0.00,-0.00,1.01
0.016,-0.00,-0.00,1.01
0.016,-0.00,-0.00,1.01
0.017,-0.00,-0.00,1.01
0.017,-0.00,-0.00,1.01
0.017,-0.00,-0.00,1.00
0.017,-0.00,-0.00,1.00
0.018,-0.00,-0.00,1.00
0.018,-0.00,-0.00,1.00
0.018,-0.00,-0.00,1.00
0.025,-0.00,-0.00,1.00
0.026,-0.00,-0.00,1.00
0.026,-0.00,-0.00,1.00
0.026,0.00,-0.00,1.00
0.040,0.00,-0.00,1.00
0.040,0.00,-0.00,1.00
0.041,-0.00,-0.00,1.00
0.041,-0.00,-0.00,1.00
0.041,0.00,-0.00,1.00
0.041,0.00,-0.00,0.99
0.041,0.00,-0.00,1.00
0.042,-0.00,-0.00,1.00
0.047,-0.00,-0.00,1.01
0.047,-0.00,-0.00,1.00
0.048,-0.00,-0.00,1.00
0.050,-0.00,-0.00,1.00
0.052,-0.00,-0.00,1.01
0.055,-0.00,-0.00,1.01
0.056,-0.00,-0.00,1.01
0.058,-0.00,-0.00,1.01
0.060,-0.00,-0.00,1.01
0.064,-0.00,0.00,1.01
0.066,-0.00,0.00,1.01
0.069,-0.00,0.00,1.01
0.069,-0.00,0.00,1.01
0.071,-0.00,0.00,1.01
0.073,-0.00,0.00,1.01
0.074,-0.00,0.00,1.01
0.076,-0.00,0.00,1.00
0.080,-0.00,0.00,1.00
0.081,-0.00,0.00,1.00
0.083,-0.00,0.00,1.00
0.084,-0.00,0.00,1.00
0.086,-0.00,0.00,1.00
0.088,-0.00,0.00,1.00
0.090,-0.00,0.00,1.00
0.092,-0.00,0.00,1.00
0.097,-0.00,0.00,1.00
0.097,-0.00,0.00,1.00
0.098,-0.00,0.00,1.00
0.100,-0.00,0.00,1.00
0.103,-0.00,0.00,1.01
0.104,-0.00,-0.00,1.00
0.106,-0.00,-0.00,1.01
0.108,-0.00,-0.00,1.01
0.110,-0.00,-0.00,1.01
0.113,-0.00,-0.00,1.01
0.116,-0.00,-0.00,1.00
0.116,-0.00,-0.00,1.00
0.118,-0.00,-0.00,1.00
0.120,-0.00,-0.00,1.00
0.122,-0.00,-0.00,1.00
0.126,-0.00,-0.00,1.00
0.127,-0.00,-0.00,1.00
0.130,-0.00,-0.00,1.00
0.131,-0.00,-0.00,1.00
0.133,-0.00,-0.00,1.00
0.134,-0.00,-0.00,1.01
0.136,-0.00,-0.00,1.01
0.138,-0.00,-0.00,1.01
0.140,-0.00,-0.00,1.01
0.142,-0.00,-0.00,1.01
0.144,0.00,-0.00,1.01
0.147,0.00,-0.00,1.01
0.149,-0.00,-0.00,1.01
0.150,-0.00,-0.00,1.01
0.152,0.00,-0.00,1.00
0.154,0.00,-0.00,1.00
0.156,0.00,-0.00,1.00
0.158,0.00,-0.00,1.00
0.161,0.00,-0.00,1.00
0.163,0.00,-0.00,1.00
0.164,0.00,-0.00,1.00
0.166,0.00,-0.00,1.00
0.168,0.00,-0.00,1.00
0.170,0.00,-0.00,1.00
0.172,0.00,-0.00,1.00
0.174,0.00,-0.00,1.00
0.176,0.00,-0.00,1.00
0.182,0.00,-0.00,1.00
0.183,0.00,0.00,1.00
0.183,0.00,0.00,1.00
0.184,0.00,0.00,1.00
0.186,0.00,0.00,1.00
0.188,0.00,0.00,1.01
0.191,0.00,0.00,1.01
0.192,0.00,0.00,1.01
0.196,0.00,-0.00,1.01
0.196,0.00,0.00,1.01
0.207,0.00,0.00,1.01
0.219,0.00,0.00,1.01
0.219,0.00,0.00,1.01
0.220,0.00,-0.00,1.00
0.220,0.00,-0.00,1.00
0.221,0.00,-0.00,1.00
0.221,0.00,-0.00,1.00
0.222,0.00,-0.00,1.00
0.222,0.00,-0.00,1.00
0.223,0.00,-0.00,1.00
0.223,0.00,-0.00,1.00
0.224,-0.00,-0.00,1.00
0.224,-0.00,-0.00,1.00
0.225,-0.00,-0.00,1.00
0.231,-0.00,-0.00,1.00
0.232,-0.00,-0.00,1.00
0.232,-0.00,-0.00,1.00
0.233,-0.00,-0.00,1.00
0.246,-0.00,-0.00,1.01
0.246,-0.00,-0.00,1.01
0.247,-0.00,-0.00,1.01
0.248,-0.00,-0.00,1.01
0.248,-0.00,-0.00,1.01
0.248,-0.00,-0.00,1.01
0.249,-0.00,-0.00,1.00
0.249,-0.00,-0.00,1.00
0.250,-0.00,-0.00,1.00
0.254,-0.00,-0.00,1.00
0.254,-0.00,-0.00,1.00
0.256,-0.00,-0.00,1.00
0.258,-0.00,-0.00,1.00
0.260,-0.00,0.00,1.01
0.265,-0.00,0.00,1.01
0.266,-0.00,0.00,1.01
0.266,-0.00,0.00,1.00
0.268,-0.00,0.00,1.00
0.270,-0.00,0.00,1.00
0.272,-0.00,-0.00,1.01
0.274,-0.00,-0.00,1.01
0.276,-0.00,-0.00,1.01
0.282,-0.00,-0.00,1.01
0.283,-0.00,-0.00,1.01
0.284,-0.00,-0.00,1.01
0.284,-0.00,-0.00,1.01
0.286,-0.00,-0.00,1.00
0.288,-0.00,-0.00,1.00
0.291,-0.00,-0.00,0.99
0.293,-0.00,-0.00,0.99
0.294,-0.00,-0.00,0.99
0.309,-0.01,0.00,0.99
0.310,-0.01,0.00,1.01
0.310,-0.01,-0.00,1.02
0.310,-0.01,-0.00,1.02
0.310,-0.00,-0.00,1.01
0.311,-0.00,-0.00,1.01
0.311,-0.00,-0.00,1.01
0.311,-0.01,-0.00,1.01
0.316,-0.01,-0.00,1.00
0.316,-0.01,-0.00,1.00
0.317,-0.01,-0.00,1.00
0.318,-0.01,-0.00,1.00
0.320,-0.01,-0.00,1.00
0.322,-0.01,-0.00,1.00
0.324,-0.01,-0.00,1.00
0.326,-0.01,-0.00,1.01
0.343,-0.01,-0.00,1.01
0.343,-0.01,-0.00,1.01
0.344,-0.01,-0.00,1.00
0.344,-0.00,-0.00,1.00
0.344,-0.00,-0.00,1.00
0.345,-0.00,-0.00,1.00
0.345,-0.00,-0.00,1.00
0.345,-0.00,-0.00,1.00
0.345,-0.01,-0.00,1.00
0.349,-0.00,-0.00,1.00
0.349,-0.00,-0.00,1.00
0.350,-0.00,-0.01,1.01
0.352,0.00,-0.01,1.01
0.354,0.01,-0.01,1.01
0.357,0.00,-0.01,1.00
0.358,-0.01,-0.02,1.01
0.360,-0.01,-0.02,1.01
0.365,-0.01,-0.02,1.01
