time,x,y,z
0.018,-0.00,-0.00,1.01
0.018,-0.00,-0.00,1.01
0.019,-0.00,-0.00,1.01
0.019,-0.00,0.00,1.01
0.019,-0.00,0.00,1.01
0.019,-0.00,0.00,1.01
0.020,-0.00,0.00,1.01
0.020,-0.00,0.00,1.01
0.020,-0.00,0.00,1.01
0.020,-0.00,0.00,1.01
0.020,-0.00,0.00,1.00
0.024,-0.00,0.00,1.00
0.025,-0.00,-0.00,1.00
0.026,-0.00,-0.00,1.00
0.041,-0.00,-0.00,1.00
0.042,-0.00,-0.00,1.00
0.042,-0.00,-0.00,1.00
0.042,-0.00,-0.00,1.00
0.042,-0.00,0.00,1.00
0.043,-0.00,-0.00,1.00
0.043,-0.00,-0.00,1.01
0.043,-0.00,-0.00,1.01
0.044,-0.00,-0.00,1.01
0.058,-0.00,-0.00,1.01
0.059,-0.00,-0.00,1.01
0.059,-0.00,-0.00,1.01
0.059,-0.00,-0.00,1.01
0.060,-0.00,-0.00,1.01
0.060,-0.00,-0.00,1.01
0.060,-0.00,-0.00,1.01
0.061,-0.00,0.00,1.01
0.064,-0.00,0.00,1.01
0.065,-0.00,0.00,1.01
0.076,-0.00,0.00,1.01
0.077,-0.00,0.00,1.01
0.077,-0.01,0.00,1.00
0.077,-0.01,0.00,1.00
0.078,-0.01,0.00,1.00
0.078,-0.01,0.00,1.00
0.078,-0.01,0.00,1.00
0.095,-0.01,0.00,1.00
0.096,-0.01,0.00,1.00
0.096,-0.01,-0.00,1.00
0.098,-0.01,-0.00,1.01
0.098,-0.01,-0.00,1.01
0.099,-0.01,0.00,1.01
0.099,-0.01,0.00,1.01
0.100,-0.01,0.00,1.01
0.100,-0.01,0.00,1.01
0.100,-0.00,-0.00,1.01
0.100,-0.00,0.00,1.01
0.105,-0.00,0.00,1.01
0.105,-0.00,0.00,1.01
0.106,-0.00,0.00,1.01
0.108,-0.00,0.00,1.01
0.111,-0.00,-0.00,1.01
0.114,-0.00,-0.00,1.01
0.114,-0.01,0.00,1.01
0.116,-0.00,0.00,1.01
0.118,-0.00,0.00,1.01
0.120,-0.00,0.00,1.01
0.122,-0.00,0.00,1.01
0.124,-0.00,0.00,1.01
