time,x,y,z
0.008,-0.01,-0.00,1.00
0.009,-0.01,-0.00,1.00
0.009,-0.01,-0.00,1.00
0.009,-0.01,-0.00,1.00
0.009,-0.01,-0.00,1.00
0.010,-0.01,-0.00,1.00
0.012,-0.01,-0.00,1.00
0.025,-0.01,-0.00,1.00
0.026,-0.01,-0.00,1.00
0.026,-0.01,-0.00,1.00
0.026,-0.01,-0.00,1.00
0.027,-0.01,-0.00,1.00
0.027,-0.01,-0.00,1.00
0.027,-0.01,-0.00,1.00
0.028,-0.01,-0.00,1.01
0.033,-0.01,-0.00,1.01
0.033,-0.01,-0.00,1.00
0.034,-0.01,-0.00,1.00
0.035,-0.01,-0.00,1.00
0.038,-0.01,-0.00,1.00
0.040,-0.01,-0.00,1.00
0.042,-0.01,-0.00,1.00
0.043,-0.01,-0.00,1.00
0.046,-0.01,-0.00,1.00
0.053,-0.01,-0.00,1.00
0.053,-0.01,-0.00,1.00
0.054,-0.01,-0.00,1.00
0.054,-0.01,-0.00,1.00
0.055,-0.01,0.00,1.00
0.058,-0.01,0.00,1.00
0.059,-0.01,-0.00,1.01
0.061,-0.01,-0.00,1.01
0.065,-0.01,-0.00,1.01
0.066,-0.01,-0.00,1.01
0.068,-0.01,-0.00,1.01
0.070,-0.01,-0.00,1.01
0.072,-0.01,-0.00,1.00
0.074,-0.01,-0.00,1.00
0.075,-0.01,-0.00,1.00
0.077,-0.01,-0.00,1.00
0.082,-0.01,-0.00,1.00
0.084,-0.01,-0.00,1.00
0.084,-0.01,-0.00,1.00
0.086,-0.01,-0.00,1.00
0.088,-0.01,-0.00,1.00
0.090,-0.01,-0.00,1.00
0.092,-0.01,-0.00,1.00
0.093,-0.01,-0.00,1.01
0.095,-0.01,-0.00,1.01
0.100,-0.01,-0.00,1.01
0.100,-0.01,-0.00,1.01
0.102,-0.01,-0.00,1.01
0.103,-0.01,-0.00,1.01
0.106,-0.01,-0.00,1.01
0.108,-0.01,-0.00,1.01
0.109,-0.01,-0.00,1.01
0.111,-0.01,-0.00,1.01
0.126,-0.01,-0.00,1.00
0.126,-0.01,-0.00,1.00
0.127,-0.01,-0.01,1.00
0.127,-0.01,-0.01,1.00
0.127,-0.01,-0.01,1.00
0.128,-0.01,-0.01,1.00
0.128,-0.01,-0.01,1.01
0.128,-0.01,-0.00,1.01
0.130,-0.01,-0.00,1.01
0.145,-0.01,-0.00,1.01
0.145,-0.01,-0.00,1.01
0.146,-0.01,-0.00,1.01
0.146,-0.01,-0.00,1.01
0.146,-0.01,-0.00,1.01
0.147,-0.01,-0.00,1.01
0.147,-0.01,-0.00,1.00
0.147,-0.01,-0.00,1.00
0.165,-0.01,-0.00,1.00
0.166,-0.01,-0.00,1.00
0.166,-0.01,-0.00,1.00
0.166,-0.01,-0.00,1.00
0.167,-0.01,-0.00,1.00
0.167,-0.01,-0.00,1.00
0.167,-0.01,-0.00,1.00
0.168,-0.01,-0.00,1.00
0.168,-0.01,-0.00,1.00
0.168,-0.01,-0.00,1.00
0.169,-0.01,-0.00,1.01
0.177,-0.01,-0.00,1.01
0.178,-0.01,-0.00,1.01
0.178,-0.01,-0.00,1.01
0.179,-0.01,-0.00,1.01
0.179,-0.01,-0.00,1.01
0.180,-0.01,-0.00,1.01
0.183,-0.01,-0.00,1.00
0.184,-0.01,-0.00,1.00
0.186,-0.01,-0.00,1.00
0.188,-0.01,-0.00,1.00
0.190,-0.01,-0.00,1.00
0.192,-0.01,-0.00,1.00
0.194,-0.01,0.00,1.00
0.195,-0.01,0.00,1.00
0.200,-0.01,0.00,1.00
0.200,-0.01,0.00,1.00
0.202,-0.01,0.00,1.00
0.213,-0.01,0.00,1.00
0.214,-0.01,0.00,1.00
0.214,-0.01,0.00,1.01
0.215,-0.01,0.00,1.01
0.216,-0.01,-0.00,1.01
0.218,-0.01,0.00,1.01
0.218,-0.01,0.00,1.01
0.230,-0.01,-0.00,1.00
0.231,-0.01,-0.00,1.00
0.236,-0.01,-0.00,1.00
0.236,-0.01,-0.00,1.00
0.236,-0.01,-0.00,1.00
0.237,-0.01,-0.00,1.00
0.237,-0.01,-0.00,1.00
0.237,-0.01,-0.00,1.00
0.237,-0.01,-0.00,1.01
0.238,-0.01,-0.00,1.01
0.238,-0.01,-0.00,1.01
0.243,-0.01,-0.00,1.01
0.244,-0.01,-0.00,1.01
0.245,-0.01,-0.00,1.01
0.246,-0.01,-0.00,1.01
0.255,-0.00,0.00,1.01
0.256,-0.01,-0.00,1.01
0.257,-0.01,-0.02,1.00
0.257,-0.02,-0.04,1.00
0.258,-0.03,-0.05,1.00
0.261,-0.05,-0.05,1.00
0.261,-0.06,-0.05,1.00
0.262,-0.07,-0.05,1.00
0.264,-0.07,-0.04,1.00
0.268,-0.08,-0.04,1.00
0.269,-0.08,-0.03,1.00
0.270,-0.08,-0.03,1.00
0.271,-0.08,-0.02,1.00
0.274,-0.09,-0.02,1.00
0.276,-0.10,-0.02,1.00
0.278,-0.11,-0.02,1.01
0.281,-0.11,-0.02,1.01
0.284,-0.12,-0.02,1.01
0.285,-0.13,-0.02,1.01
0.286,-0.14,-0.02,1.00
0.288,-0.17,-0.02,1.00
0.290,-0.23,-0.03,1.00
0.292,-0.28,-0.02,1.01
0.294,-0.28,-0.02,1.00
0.295,-0.26,-0.01,1.00
0.311,-0.24,-0.00,1.00
0.311,-0.22,0.00,1.00
0.312,-0.20,0.01,1.00
0.312,-0.19,0.01,1.00
0.312,-0.18,0.02,1.01
0.312,-0.19,0.02,1.01
0.313,-0.21,0.01,1.00
0.313,-0.23,0.01,1.00
0.314,-0.24,0.01,1.00
0.317,-0.24,0.02,1.01
0.317,-0.24,0.02,1.01
0.320,-0.23,0.03,1.00
0.321,-0.23,0.03,1.00
0.325,-0.22,0.04,1.00
0.326,-0.21,0.04,1.00
0.328,-0.21,0.04,1.00
0.329,-0.21,0.04,1.00
0.344,-0.20,0.03,1.00
0.345,-0.21,0.03,1.00
0.345,-0.20,0.02,1.00
0.346,-0.20,0.02,1.00
0.346,-0.20,0.01,1.00
0.346,-0.20,0.01,1.00
0.346,-0.19,0.00,1.00
0.346,-0.18,-0.00,1.00
0.351,-0.18,-0.01,1.00
0.352,-0.17,-0.01,1.00
0.353,-0.16,-0.02,1.01
0.354,-0.16,-0.02,1.00
0.356,-0.15,-0.03,1.00
0.358,-0.15,-0.03,1.00
0.360,-0.14,-0.04,1.00
0.362,-0.13,-0.04,1.00
0.364,-0.13,-0.05,1.00
0.366,-0.13,-0.06,1.00
0.368,-0.13,-0.06,1.00
