time,x,y,z
0.012,-0.00,-0.00,1.01
0.012,-0.00,-0.00,1.01
0.013,-0.00,-0.00,1.01
0.013,-0.00,-0.00,1.01
0.013,-0.00,-0.00,1.00
0.014,-0.00,-0.00,1.00
0.021,-0.00,-0.00,1.00
0.022,-0.00,-0.00,1.00
0.022,-0.00,0.00,1.00
0.022,-0.00,0.00,1.00
0.022,-0.00,0.00,1.00
0.023,-0.00,0.00,1.00
0.025,-0.00,0.00,1.00
0.046,-0.00,0.00,1.00
0.046,-0.00,0.00,1.00
0.047,-0.00,0.00,1.01
0.047,-0.00,0.00,1.01
0.048,-0.00,0.00,1.01
0.048,-0.00,0.00,1.01
0.048,-0.01,0.00,1.01
0.049,-0.01,0.00,1.01
0.049,-0.01,0.00,1.01
0.049,-0.01,0.00,1.00
0.049,-0.01,0.00,1.00
0.050,-0.01,0.00,1.00
0.054,-0.01,0.00,1.00
0.054,-0.01,0.00,1.00
0.057,-0.01,0.00,1.00
0.058,-0.01,0.00,1.00
0.059,-0.00,0.00,1.00
0.066,-0.01,0.00,1.00
0.066,-0.01,0.00,1.00
0.067,-0.01,0.00,1.00
0.067,-0.00,0.00,1.01
0.069,-0.00,0.00,1.01
0.071,-0.00,0.00,1.01
0.073,-0.00,0.00,1.01
0.075,-0.00,0.00,1.01
0.080,-0.00,0.00,1.01
0.081,-0.00,0.00,1.01
0.081,-0.00,0.00,1.01
0.083,-0.00,0.00,1.01
0.086,-0.00,0.00,1.01
0.087,-0.00,0.00,1.01
0.089,-0.00,0.00,1.01
0.091,-0.00,-0.00,1.01
0.108,-0.00,-0.00,1.01
0.108,-0.00,-0.00,1.01
0.109,-0.00,-0.00,1.01
0.109,-0.00,-0.00,1.00
0.109,-0.00,-0.00,1.00
0.110,-0.00,-0.00,1.00
0.110,-0.00,-0.00,1.00
0.110,-0.00,-0.00,1.00
0.110,-0.00,-0.00,1.00
0.111,-0.00,-0.00,1.00
0.113,-0.00,-0.00,1.01
0.115,-0.00,-0.00,1.01
0.117,-0.00,-0.00,1.01
0.119,-0.00,-0.00,1.01
0.121,-0.00,-0.00,1.01
0.123,-0.00,-0.00,1.01
0.125,-0.00,-0.00,1.01
0.143,-0.00,-0.00,1.01
0.144,-0.00,-0.00,1.01
0.144,-0.00,-0.00,1.01
0.144,-0.00,-0.00,1.01
0.145,-0.00,-0.00,1.01
0.145,-0.00,-0.00,1.01
0.145,-0.00,-0.00,1.01
0.146,-0.00,-0.00,1.01
0.146,-0.00,-0.00,1.01
0.146,-0.00,-0.00,1.01
0.155,-0.00,-0.00,1.01
0.155,-0.00,-0.00,1.01
0.156,-0.00,-0.00,1.01
0.156,-0.00,-0.00,1.01
0.156,-0.00,-0.00,1.01
0.157,-0.00,-0.00,1.01
0.160,-0.00,-0.00,1.01
0.167,-0.00,-0.00,1.01
0.168,-0.00,-0.00,1.01
0.168,-0.00,-0.00,1.01
0.168,-0.00,-0.00,1.01
0.169,-0.00,-0.00,1.01
0.173,-0.00,-0.00,1.01
0.174,-0.00,-0.00,1.01
0.175,-0.00,-0.00,1.01
0.181,-0.00,-0.00,1.01
0.182,-0.00,-0.00,1.01
0.182,-0.00,-0.00,1.01
0.183,-0.00,-0.00,1.00
0.186,-0.00,-0.00,1.00
0.187,-0.00,-0.00,1.00
0.189,-0.00,-0.00,1.01
0.191,-0.00,-0.00,1.01
0.193,-0.00,-0.00,1.01
0.196,-0.01,-0.00,1.00
0.197,-0.01,-0.00,1.00
0.199,-0.01,-0.00,1.00
0.201,-0.01,-0.00,1.01
0.203,-0.01,-0.00,1.01
0.205,-0.01,-0.00,1.01
0.207,-0.01,-0.00,1.01
0.209,-0.01,-0.00,1.01
0.216,-0.01,-0.00,1.01
0.216,-0.01,-0.00,1.01
0.217,-0.01,-0.00,1.01
0.217,-0.01,-0.00,1.01
0.219,-0.01,-0.00,1.01
0.223,-0.01,-0.00,1.01
0.223,-0.01,-0.00,1.01
0.226,-0.01,-0.00,1.01
0.232,-0.01,-0.00,1.01
0.233,-0.01,-0.00,1.01
0.233,-0.01,-0.00,1.01
0.244,-0.01,-0.00,1.01
0.244,-0.01,-0.00,1.01
0.245,-0.01,-0.00,1.01
0.245,-0.01,-0.00,1.00
