time,x,y,z
0.025,-0.02,0,-0.02
0.026,-0.02,-0.01,0.08
0.027,-0.02,-0.02,0.05
0.042,-0.01,-0.01,0
0.047,-0.01,0,0.02
0.057,-0.01,0,0.03
0.069,-0.02,-0.02,0.03
0.077,-0.02,0.03,0.02
0.089,-0.02,0.07,0.02
0.095,-0.02,0.05,0.02
0.105,-0.02,0.03,0.01
0.116,-0.02,-0.02,0.02
0.125,-0.02,-0.06,0.03
0.135,-0.02,-0.06,0.03
0.146,-0.01,-0.03,0.02
0.155,0,0,0.02
0.166,0.01,0.03,0.02
0.175,0,0.05,0.02
0.185,-0.01,0.06,0.04
0.195,-0.02,0.01,0.04
0.211,-0.02,-0.01,0.03
0.216,-0.02,-0.02,0.04
0.226,-0.02,-0.03,0.03
0.256,-0.02,-0.02,0.02
0.258,-0.01,0.01,0.03
0.258,-0.01,0.02,0.04
0.278,0,0.01,0.04
0.279,0,0,0.03
0.293,0,-0.01,0.02
0.295,-0.02,-0.02,0.02
0.31,-0.02,-0.03,0.02
0.327,-0.02,-0.01,0.03
0.328,-0.02,0,0.03
0.345,-0.02,0,0.02
0.346,-0.02,0.01,0.02
0.363,-0.01,0.01,0.03
0.391,-0.01,-0.01,0.03
0.392,-0.02,-0.01,0.02
0.393,-0.01,0.01,0.04
0.401,-0.01,0.01,0.03
0.405,-0.02,0.01,0.03
0.415,-0.02,0.02,0.04
0.425,-0.02,0.02,0.03
0.435,-0.02,-0.01,0.03
0.446,-0.02,-0.02,0.02
0.455,-0.01,-0.02,0.02
0.465,-0.02,-0.01,0.03
0.477,-0.02,-0.01,0.02
0.5,-0.01,0.02,0.03
0.502,0,0.02,0.04
0.505,-0.01,0.01,0.02
0.515,-0.02,0,0.01
0.525,-0.02,0,0.03
0.535,-0.02,-0.01,0.02
0.545,-0.02,-0.01,0.02
0.555,-0.02,0,0.03
0.565,-0.01,0.01,0.03
0.575,-0.02,0,0.02
0.585,-0.02,0,0.03
0.595,-0.01,0,0.02
0.605,-0.02,-0.02,0.01
0.615,-0.02,-0.02,0.02
0.625,-0.02,0,0.03
0.645,-0.02,0.01,0.04
0.646,-0.02,0.01,0.03
0.655,-0.02,0.02,0.03
0.666,-0.02,0.01,0.03
0.675,-0.02,0,0.03
0.685,-0.02,-0.02,0.02
0.695,-0.01,-0.02,0.03
0.705,-0.01,-0.02,0.02
0.715,-0.01,0,0.03
0.726,-0.01,0.02,0.04
0.735,-0.01,0.03,0.04
0.746,-0.02,0.02,0.03
0.757,-0.02,0,0.02
