time,x,y,z
0.019,-0.01,0.00,1.00
0.020,-0.01,0.00,1.00
0.020,-0.01,0.00,1.00
0.020,-0.01,0.00,1.01
0.020,-0.01,0.00,1.01
0.021,-0.01,0.00,1.01
0.021,-0.01,0.00,1.01
0.022,-0.01,0.00,1.01
0.022,-0.01,0.00,1.01
0.022,-0.01,0.01,1.01
0.023,-0.01,0.01,1.01
0.023,-0.01,0.01,1.01
0.026,-0.00,0.01,1.01
0.027,-0.00,0.01,1.01
0.030,-0.00,0.01,1.01
0.043,-0.00,0.00,1.01
0.044,-0.00,0.00,1.01
0.044,-0.01,0.00,1.01
0.045,-0.01,0.00,1.01
0.045,-0.01,0.00,1.01
0.045,-0.01,0.00,1.01
0.046,-0.01,0.00,1.01
0.046,-0.01,0.00,1.01
0.050,-0.00,0.00,1.01
0.051,-0.00,-0.00,1.01
0.052,-0.00,-0.00,1.01
0.053,-0.00,-0.00,1.01
0.055,-0.00,-0.00,1.01
0.057,-0.00,-0.00,1.01
0.063,-0.00,-0.00,1.01
0.064,-0.00,-0.00,1.01
0.064,0.00,-0.00,1.01
0.065,0.00,-0.00,1.01
0.067,0.00,-0.00,1.01
0.070,0.00,-0.00,1.01
0.071,0.00,-0.00,1.00
0.073,0.00,-0.00,1.00
0.087,0.00,-0.00,0.99
0.087,0.01,-0.00,0.97
0.087,0.01,-0.00,0.96
0.087,0.01,-0.00,0.99
0.088,0.00,-0.00,1.02
0.088,0.00,-0.00,1.03
0.088,0.00,-0.00,1.02
0.089,0.00,-0.00,1.01
0.091,0.00,-0.00,1.01
0.095,0.00,-0.00,1.01
0.096,0.00,-0.00,1.01
0.102,0.00,-0.00,1.01
0.103,0.00,-0.00,1.01
0.103,0.00,-0.00,1.01
0.103,0.00,-0.00,1.01
0.105,0.00,-0.00,1.01
0.107,0.00,-0.00,1.01
0.126,0.00,-0.00,1.01
0.127,0.00,-0.00,1.01
0.127,0.00,-0.00,1.01
0.127,0.00,-0.00,1.01
0.128,0.00,-0.00,1.01
0.128,0.00,-0.00,1.00
0.128,0.00,-0.00,1.01
0.128,-0.00,-0.00,1.02
0.129,-0.00,-0.00,1.02
0.129,-0.00,-0.00,1.01
0.129,0.00,-0.00,1.00
0.136,0.00,-0.00,1.00
0.136,0.00,-0.00,1.00
0.136,-0.00,-0.00,1.00
0.137,-0.00,-0.00,1.01
0.139,-0.00,-0.00,1.01
0.142,-0.00,-0.00,1.01
0.155,-0.00,0.00,1.00
0.155,-0.00,0.00,1.00
0.156,-0.00,0.00,1.00
0.156,-0.00,0.00,1.00
0.156,-0.00,0.00,1.00
0.156,-0.00,0.00,1.01
0.158,-0.00,0.00,1.01
0.158,-0.00,0.00,1.01
0.173,-0.00,0.00,1.00
0.173,-0.00,0.00,1.00
0.174,-0.00,0.00,1.00
0.174,-0.00,0.00,1.00
0.174,-0.00,0.00,1.00
0.174,-0.00,0.00,0.97
0.174,0.00,0.00,0.93
0.175,0.01,0.00,0.90
0.188,0.00,0.00,0.98
0.189,-0.01,0.00,1.12
0.189,-0.02,-0.00,1.16
0.189,-0.02,-0.00,1.10
0.189,-0.01,0.00,1.03
0.190,-0.00,0.00,1.00
0.190,-0.00,0.00,1.00
0.190,-0.00,0.00,1.00
0.191,-0.01,0.00,1.01
0.205,-0.01,0.00,1.01
0.205,-0.01,0.00,1.02
0.206,-0.01,0.00,1.02
0.206,-0.01,0.00,1.02
0.213,-0.01,0.00,1.02
0.214,-0.01,0.00,1.02
0.214,-0.01,0.00,1.02
0.214,-0.01,0.00,1.01
0.214,-0.01,0.00,1.01
0.214,-0.01,0.00,1.01
0.215,-0.01,0.00,1.01
0.222,-0.01,0.00,1.01
0.223,-0.00,0.00,1.01
0.223,-0.00,0.00,1.01
0.223,-0.00,0.00,1.01
0.224,-0.00,0.00,1.01
0.225,-0.00,-0.00,1.01
0.263,-0.00,-0.00,1.01
0.264,-0.00,-0.00,1.01
0.264,-0.00,-0.00,1.01
0.264,-0.00,-0.00,1.01
0.264,0.00,-0.00,1.01
0.265,0.00,-0.00,1.01
0.265,0.00,-0.00,1.01
