time,x,y,z
0.009,-0.01,-0.00,1.01
0.009,-0.01,-0.00,1.01
0.009,-0.01,-0.00,1.01
0.010,-0.01,-0.00,1.01
0.010,-0.01,-0.00,1.01
0.011,-0.01,-0.00,1.01
0.017,-0.01,-0.00,1.01
0.017,-0.01,-0.00,1.01
0.018,-0.01,-0.00,1.01
0.018,-0.01,-0.00,1.01
0.020,-0.01,-0.00,1.01
0.022,-0.01,-0.00,1.01
0.024,-0.01,-0.00,1.01
0.026,-0.01,-0.00,1.01
0.028,-0.01,-0.00,1.00
0.034,-0.01,0.00,1.00
0.035,-0.01,0.00,1.00
0.035,-0.01,0.00,1.00
0.036,-0.01,0.00,1.00
0.038,-0.01,0.00,1.00
0.040,-0.01,0.00,1.00
0.042,-0.01,0.00,1.00
0.044,-0.01,0.00,1.00
0.049,-0.01,0.00,1.01
0.049,-0.01,0.00,1.01
0.050,-0.01,0.00,1.01
0.052,-0.01,0.00,1.01
0.054,-0.01,0.00,1.01
0.057,-0.01,0.00,1.01
0.058,-0.01,0.00,1.01
0.060,-0.01,0.00,1.01
0.062,-0.01,0.00,1.01
0.075,-0.01,0.00,1.01
0.076,-0.01,0.00,1.01
0.076,-0.01,0.00,1.00
0.077,-0.01,0.00,1.00
0.077,-0.01,0.00,1.00
0.077,-0.01,0.00,1.00
0.077,-0.01,0.00,1.00
0.082,-0.01,0.00,1.00
0.083,-0.01,0.00,1.00
0.083,-0.01,0.00,1.00
0.099,-0.01,0.00,1.01
0.100,-0.01,0.00,1.01
0.102,-0.00,0.00,1.01
0.106,-0.00,0.00,1.01
0.106,-0.00,0.00,1.01
0.107,-0.00,0.00,1.01
0.107,-0.00,0.00,1.01
0.107,-0.00,0.00,1.01
0.107,-0.00,0.00,1.01
0.107,-0.00,0.00,1.01
0.108,-0.00,-0.00,1.01
0.108,-0.00,-0.00,1.01
0.108,-0.00,-0.00,1.01
0.113,-0.00,-0.00,1.01
0.114,-0.00,0.00,1.01
0.114,-0.00,0.00,1.01
0.117,0.00,0.00,1.01
0.118,0.00,0.00,1.01
0.120,0.00,0.00,1.01
0.122,0.00,0.00,1.00
0.124,0.00,0.00,1.00
0.126,0.00,0.00,1.00
0.128,0.01,0.00,1.00
0.135,0.03,0.00,1.01
0.135,0.03,0.00,1.01
0.135,0.01,-0.00,1.01
0.136,-0.00,-0.00,1.01
0.138,-0.01,-0.00,1.01
0.141,-0.01,-0.00,1.01
0.142,-0.01,-0.00,1.01
0.144,-0.00,-0.00,1.01
0.146,0.00,-0.00,1.01
0.150,0.00,-0.00,1.01
0.151,0.01,0.00,1.01
0.152,0.02,0.00,1.01
0.154,0.05,0.01,1.01
0.156,0.09,0.01,1.01
0.158,0.12,0.02,1.01
0.160,0.12,0.02,1.01
0.162,0.13,0.02,1.01
0.165,0.12,0.02,1.01
0.166,0.11,0.02,1.00
0.168,0.08,0.02,1.00
0.170,0.06,0.02,1.00
0.172,0.04,0.02,1.00
0.174,0.03,0.02,1.00
0.176,0.04,0.02,1.00
0.178,0.04,0.01,1.00
0.183,0.03,0.01,1.00
0.183,0.04,0.01,1.00
0.184,0.04,0.01,1.00
0.186,0.05,0.01,1.00
0.188,0.05,0.01,1.00
0.191,0.08,0.02,1.00
0.192,0.11,0.02,1.01
0.194,0.13,0.03,1.01
0.196,0.13,0.03,1.01
0.200,0.13,0.03,1.00
0.200,0.12,0.03,1.00
0.202,0.12,0.03,1.00
0.204,0.11,0.03,1.00
0.208,0.11,0.03,1.00
0.208,0.10,0.03,1.00
0.211,0.10,0.03,1.00
0.212,0.10,0.03,1.00
0.228,0.12,0.03,1.01
0.229,0.15,0.03,1.01
0.229,0.18,0.03,1.02
0.229,0.21,0.02,1.02
0.229,0.22,0.02,1.01
0.230,0.22,0.03,1.01
0.230,0.22,0.02,1.01
0.230,0.22,0.02,1.01
0.231,0.22,0.03,1.01
0.235,0.21,0.03,1.01
0.235,0.21,0.03,1.01
0.237,0.21,0.03,1.01
0.238,0.21,0.03,1.01
0.240,0.21,0.03,1.01
0.242,0.20,0.02,1.01
0.244,0.20,0.02,1.01
0.247,0.20,0.01,1.01
0.250,0.20,0.00,1.01
0.251,0.21,-0.00,1.01
0.253,0.22,-0.01,1.01
0.254,0.22,-0.01,1.01
0.256,0.21,-0.02,1.00
0.258,0.22,-0.02,1.00
0.260,0.22,-0.02,1.01
0.262,0.22,-0.02,1.01
0.268,0.22,-0.02,1.00
0.269,0.22,-0.03,1.00
0.269,0.21,-0.03,1.00
0.270,0.20,-0.03,1.00
0.272,0.19,-0.03,1.01
0.274,0.18,-0.04,1.01
0.276,0.19,-0.04,1.00
0.278,0.19,-0.04,1.01
0.281,0.19,-0.04,1.01
0.296,0.19,-0.04,1.01
0.297,0.20,-0.04,1.01
0.297,0.21,-0.04,1.01
0.297,0.21,-0.04,1.01
0.309,0.20,-0.04,1.01
0.309,0.20,-0.04,1.01
0.310,0.20,-0.04,1.01
0.310,0.20,-0.04,1.01
0.310,0.20,-0.04,1.01
0.310,0.19,-0.04,1.01
0.310,0.19,-0.04,1.00
0.311,0.20,-0.04,1.00
0.311,0.19,-0.04,1.01
0.311,0.18,-0.04,1.01
0.311,0.18,-0.04,1.01
0.317,0.18,-0.04,1.01
0.317,0.18,-0.04,1.01
0.318,0.19,-0.04,1.01
0.327,0.20,-0.04,1.01
0.328,0.20,-0.04,1.01
0.328,0.19,-0.04,1.01
0.328,0.19,-0.04,1.00
0.328,0.19,-0.04,1.00
0.329,0.19,-0.03,1.00
0.330,0.19,-0.03,1.00
0.335,0.19,-0.03,1.01
0.336,0.18,-0.03,1.00
0.336,0.19,-0.03,1.00
0.339,0.19,-0.03,1.01
0.340,0.18,-0.03,1.01
0.342,0.18,-0.03,1.01
0.344,0.18,-0.03,1.01
0.346,0.17,-0.03,1.01
0.353,0.16,-0.03,1.01
0.354,0.18,-0.03,1.00
0.354,0.19,-0.03,1.00
0.354,0.19,-0.03,1.00
0.356,0.19,-0.03,1.00
0.358,0.18,-0.03,1.00
0.360,0.17,-0.02,1.00
0.362,0.16,-0.02,1.01
0.367,0.16,-0.02,1.00
0.367,0.16,-0.02,1.00
0.368,0.17,-0.02,1.00
0.370,0.17,-0.02,1.01
0.373,0.17,-0.02,1.01
0.375,0.16,-0.01,1.01
0.376,0.15,-0.01,1.01
0.378,0.16,-0.01,1.01
0.380,0.17,-0.01,1.00
0.385,0.16,-0.01,1.01
0.386,0.15,-0.01,1.01
0.387,0.14,-0.01,1.01
0.388,0.14,-0.01,1.01
0.391,0.15,-0.02,1.01
0.392,0.15,-0.02,1.01
0.394,0.14,-0.02,1.01
0.396,0.14,-0.02,1.01
0.401,0.14,-0.02,1.01
0.401,0.14,-0.02,1.01
0.402,0.15,-0.02,1.01
0.404,0.15,-0.02,1.01
0.407,0.15,-0.02,1.01
0.408,0.14,-0.02,1.00
0.411,0.13,-0.02,1.01
0.412,0.13,-0.01,1.00
0.414,0.13,-0.01,1.00
0.418,0.13,-0.01,1.01
0.420,0.12,-0.01,1.01
0.420,0.11,-0.01,1.01
0.423,0.11,-0.01,1.01
0.424,0.11,-0.00,1.01
0.428,0.11,-0.00,1.01
0.429,0.11,0.00,1.01
0.430,0.11,0.00,1.01
0.436,0.11,0.01,1.01
0.437,0.11,0.01,1.01
0.437,0.11,0.01,1.00
0.438,0.12,0.01,1.00
0.440,0.11,0.01,1.00
0.442,0.11,0.01,1.00
0.444,0.12,0.01,1.00
0.446,0.12,0.01,1.00
0.451,0.11,0.01,1.01
0.453,0.11,0.01,1.00
0.453,0.10,0.01,1.00
0.454,0.09,0.01,1.00
0.456,0.09,0.01,1.00
0.458,0.09,0.01,1.00
0.461,0.09,0.01,1.00
0.463,0.09,0.00,1.01
0.470,0.08,0.00,1.01
0.470,0.07,-0.00,1.01
0.471,0.06,-0.01,1.01
0.471,0.06,-0.01,1.01
0.472,0.06,-0.01,1.01
0.474,0.07,-0.01,1.01
0.477,0.08,-0.02,1.01
0.478,0.08,-0.02,1.01
0.480,0.08,-0.02,1.01
0.487,0.08,-0.02,1.01
0.488,0.08,-0.01,1.01
0.488,0.08,-0.01,1.01
0.489,0.08,-0.01,1.01
0.499,0.08,-0.01,1.01
0.500,0.08,-0.01,1.01
0.503,0.08,-0.01,1.01
0.504,0.07,-0.01,1.01
0.504,0.08,-0.01,1.01
0.504,0.08,-0.01,1.01
0.508,0.09,-0.01,1.01
0.509,0.09,-0.01,1.01
0.509,0.09,-0.01,1.01
0.510,0.10,-0.01,1.01
0.510,0.09,-0.01,1.01
0.513,0.09,-0.00,1.01
0.515,0.09,-0.00,1.01
0.518,0.09,-0.00,1.01
0.519,0.09,-0.00,1.01
0.521,0.09,-0.00,1.01
0.522,0.09,0.00,1.01
0.525,0.10,0.00,1.00
0.528,0.10,0.01,1.00
0.530,0.11,0.01,1.00
0.531,0.11,0.01,1.00
0.535,0.12,0.01,1.01
0.535,0.12,0.02,1.00
0.537,0.12,0.02,1.01
0.538,0.11,0.02,1.01
0.541,0.10,0.02,1.01
0.542,0.10,0.02,1.01
0.544,0.10,0.02,1.01
0.546,0.10,0.02,1.01
0.551,0.09,0.02,1.01
0.551,0.08,0.02,1.01
0.552,0.08,0.02,1.01
0.555,0.07,0.02,1.01
0.556,0.08,0.01,1.01
0.558,0.08,0.01,1.01
0.560,0.08,0.01,1.01
0.563,0.09,0.01,1.01
0.564,0.09,0.00,1.01
0.569,0.09,-0.00,1.00
0.570,0.08,-0.00,1.00
0.571,0.07,-0.01,1.00
0.572,0.07,-0.01,1.00
0.575,0.06,-0.01,1.00
0.576,0.06,-0.02,1.00
0.578,0.06,-0.02,1.00
0.580,0.07,-0.02,1.00
0.585,0.08,-0.02,1.00
0.587,0.09,-0.01,1.00
0.590,0.09,-0.01,1.01
0.591,0.09,-0.01,1.01
0.591,0.09,-0.01,1.01
0.593,0.08,-0.01,1.00
0.595,0.07,-0.01,1.01
0.596,0.06,-0.01,1.01
0.598,0.06,-0.01,1.01
0.602,0.05,-0.00,1.01
0.603,0.05,-0.00,1.01
0.604,0.04,0.00,1.01
0.606,0.04,0.00,1.01
0.608,0.05,0.01,1.01
0.610,0.05,0.01,1.01
0.612,0.05,0.01,1.01
0.614,0.05,0.01,1.01
0.622,0.05,0.02,1.01
0.623,0.05,0.02,1.01
0.623,0.04,0.02,1.00
0.624,0.04,0.02,1.01
0.625,0.04,0.02,1.01
0.626,0.03,0.02,1.01
0.628,0.04,0.02,1.01
0.631,0.03,0.02,1.01
0.636,0.03,0.02,1.01
0.637,0.03,0.01,1.01
0.637,0.03,0.01,1.01
0.638,0.03,0.01,1.01
0.641,0.03,0.02,1.01
0.643,0.03,0.02,1.01
0.644,0.02,0.02,1.01
0.646,0.02,0.02,1.01
0.649,0.02,0.02,1.01
0.653,0.01,0.02,1.01
0.653,0.00,0.02,1.01
0.654,-0.00,0.02,1.01
0.657,-0.01,0.02,1.01
0.659,-0.01,0.02,1.01
0.661,-0.01,0.02,1.01
0.663,-0.01,0.02,1.00
0.665,-0.02,0.02,1.00
0.668,-0.02,0.02,1.00
0.668,-0.03,0.02,1.00
0.671,-0.04,0.02,1.00
0.672,-0.04,0.02,1.00
0.674,-0.05,0.02,1.00
0.676,-0.05,0.02,1.00
0.678,-0.06,0.02,1.01
0.680,-0.06,0.02,1.01
0.683,-0.05,0.02,1.01
0.684,-0.05,0.02,1.01
0.687,-0.06,0.02,1.01
0.688,-0.06,0.02,1.01
0.692,-0.06,0.02,1.01
0.692,-0.06,0.02,1.01
0.694,-0.06,0.02,1.01
0.696,-0.07,0.01,1.01
0.698,-0.08,0.01,1.01
0.700,-0.08,0.01,1.01
0.702,-0.09,0.01,1.01
0.704,-0.09,0.01,1.01
0.706,-0.09,0.01,1.01
0.708,-0.10,0.01,1.00
0.710,-0.10,0.01,1.00
0.712,-0.11,0.01,1.01
0.714,-0.11,0.00,1.01
0.717,-0.10,0.00,1.00
0.718,-0.10,-0.00,1.00
0.720,-0.11,-0.00,1.00
0.722,-0.11,-0.01,1.00
0.724,-0.12,-0.01,1.00
0.726,-0.12,-0.01,1.00
0.728,-0.12,-0.01,1.00
0.730,-0.13,-0.01,1.00
0.733,-0.13,-0.00,1.01
0.735,-0.13,-0.00,1.00
0.736,-0.13,-0.00,1.00
0.738,-0.13,-0.00,1.00
0.741,-0.13,0.00,1.00
0.743,-0.13,0.00,1.00
0.744,-0.13,0.00,1.00
0.746,-0.14,0.00,1.00
0.748,-0.14,0.00,1.00
0.754,-0.14,0.00,1.00
0.755,-0.14,0.00,1.01
0.755,-0.14,0.00,1.01
0.757,-0.14,0.00,1.01
0.758,-0.14,0.00,1.01
0.760,-0.14,0.00,1.01
0.762,-0.14,0.01,1.01
0.765,-0.14,0.01,1.01
0.771,-0.15,0.00,1.01
0.772,-0.16,0.00,1.01
0.772,-0.17,-0.00,1.01
0.772,-0.18,-0.00,1.01
0.775,-0.19,-0.00,1.00
0.776,-0.20,-0.01,1.00
0.778,-0.20,-0.01,1.00
0.780,-0.20,-0.01,1.00
0.782,-0.20,-0.01,1.00
0.788,-0.20,-0.01,1.00
0.789,-0.20,-0.01,1.00
0.789,-0.20,-0.01,1.00
0.790,-0.20,-0.01,1.01
0.792,-0.21,-0.01,1.00
0.794,-0.22,-0.01,1.00
0.796,-0.23,-0.01,1.00
0.798,-0.23,-0.02,1.00
0.803,-0.24,-0.02,1.00
0.805,-0.25,-0.02,1.00
0.806,-0.26,-0.03,1.00
0.806,-0.26,-0.03,1.00
0.809,-0.26,-0.03,1.00
0.813,-0.26,-0.03,1.00
0.813,-0.26,-0.03,1.00
0.816,-0.26,-0.03,1.00
0.816,-0.26,-0.03,1.00
0.822,-0.26,-0.03,1.00
0.823,-0.27,-0.03,1.00
0.823,-0.27,-0.03,1.00
0.824,-0.28,-0.03,1.00
0.827,-0.28,-0.02,1.00
0.829,-0.29,-0.02,1.00
0.830,-0.29,-0.02,1.00
0.832,-0.30,-0.02,1.00
0.834,-0.30,-0.02,1.00
0.838,-0.31,-0.02,1.00
0.838,-0.31,-0.02,1.00
0.840,-0.31,-0.02,1.00
0.842,-0.32,-0.02,1.00
0.844,-0.32,-0.02,1.00
0.846,-0.33,-0.02,1.00
0.848,-0.34,-0.02,1.00
0.851,-0.34,-0.02,1.00
0.852,-0.34,-0.02,1.00
0.855,-0.35,-0.02,1.00
0.856,-0.35,-0.01,1.00
0.858,-0.35,-0.01,1.00
0.860,-0.35,-0.01,1.00
0.862,-0.36,-0.01,1.01
0.864,-0.37,-0.01,1.01
0.868,-0.37,-0.02,1.01
0.868,-0.38,-0.02,1.01
0.870,-0.38,-0.02,1.01
0.872,-0.39,-0.02,1.01
0.874,-0.38,-0.02,1.01
0.876,-0.38,-0.02,1.01
0.878,-0.39,-0.02,1.01
0.880,-0.40,-0.02,1.01
0.882,-0.41,-0.03,1.01
0.885,-0.41,-0.03,1.01
0.887,-0.41,-0.03,1.01
0.888,-0.42,-0.04,1.01
0.899,-0.43,-0.04,1.01
0.900,-0.44,-0.04,1.01
0.900,-0.44,-0.04,1.01
0.900,-0.45,-0.05,1.01
0.901,-0.45,-0.05,1.00
0.901,-0.46,-0.05,1.00
0.907,-0.47,-0.05,1.00
0.908,-0.47,-0.05,1.00
0.908,-0.48,-0.05,1.00
0.908,-0.47,-0.05,1.00
0.911,-0.47,-0.05,1.00
0.912,-0.46,-0.05,1.00
0.914,-0.46,-0.05,1.00
0.917,-0.47,-0.05,1.00
0.920,-0.47,-0.05,1.00
0.921,-0.48,-0.06,1.00
0.922,-0.48,-0.06,1.00
0.924,-0.49,-0.06,1.00
0.926,-0.48,-0.06,1.00
0.928,-0.47,-0.06,1.00
0.930,-0.45,-0.06,1.00
0.932,-0.41,-0.06,1.00
0.937,-0.35,-0.05,1.00
0.938,-0.29,-0.04,1.00
0.938,-0.24,-0.03,1.00
0.940,-0.21,-0.03,1.00
0.942,-0.18,-0.02,1.00
0.944,-0.15,-0.02,1.00
0.946,-0.13,-0.02,1.01
0.948,-0.11,-0.01,1.01
0.952,-0.09,-0.01,1.01
0.953,-0.08,-0.01,1.01
0.954,-0.07,-0.01,1.01
0.956,-0.07,-0.01,1.01
0.958,-0.07,-0.00,1.01
0.960,-0.08,-0.00,1.01
0.962,-0.08,-0.00,1.01
0.964,-0.10,0.00,1.02
0.966,-0.17,0.01,1.02
0.968,-0.28,0.02,1.02
0.972,-0.39,0.01,1.01
0.973,-0.49,0.01,1.00
0.974,-0.57,0.00,1.00
0.977,-0.61,-0.01,1.01
0.978,-0.64,-0.02,1.01
0.980,-0.64,-0.03,1.00
0.982,-0.59,-0.04,1.00
0.986,-0.53,-0.04,1.00
0.986,-0.47,-0.04,1.01
0.989,-0.41,-0.05,1.01
0.990,-0.37,-0.05,1.01
0.992,-0.34,-0.05,1.01
0.994,-0.32,-0.05,1.01
0.996,-0.30,-0.05,1.00
0.998,-0.29,-0.05,1.00
1.002,-0.28,-0.05,1.00
1.003,-0.27,-0.05,1.00
1.005,-0.27,-0.05,1.00
1.006,-0.27,-0.05,1.00
1.008,-0.27,-0.05,1.00
1.011,-0.27,-0.05,1.00
1.013,-0.26,-0.05,1.00
1.014,-0.26,-0.05,1.01
1.016,-0.26,-0.06,1.00
1.019,-0.25,-0.06,1.01
1.020,-0.25,-0.06,1.01
1.022,-0.25,-0.06,1.00
1.025,-0.24,-0.06,1.00
1.026,-0.24,-0.06,1.00
1.028,-0.24,-0.06,1.00
1.030,-0.24,-0.06,1.00
1.032,-0.23,-0.06,1.00
1.038,-0.22,-0.06,1.00
1.038,-0.20,-0.05,1.00
1.039,-0.19,-0.05,1.00
1.040,-0.18,-0.05,1.00
1.042,-0.17,-0.04,1.01
1.045,-0.17,-0.04,1.01
1.046,-0.16,-0.04,1.01
1.048,-0.16,-0.03,1.01
1.050,-0.16,-0.03,1.01
1.053,-0.15,-0.03,1.01
1.054,-0.15,-0.03,1.01
1.056,-0.15,-0.03,1.01
1.058,-0.14,-0.03,1.01
1.060,-0.13,-0.04,1.01
1.062,-0.13,-0.04,1.01
1.064,-0.13,-0.04,1.01
1.066,-0.13,-0.04,1.01
1.069,-0.12,-0.04,1.01
1.071,-0.12,-0.05,1.01
