time,x,y,z
0.011,-0.01,-0.00,1.00
0.012,-0.01,-0.00,1.00
0.012,-0.01,-0.00,1.00
0.012,-0.01,-0.00,1.00
0.013,-0.01,-0.00,1.00
0.013,-0.01,-0.00,1.00
0.014,-0.01,-0.00,1.00
0.014,-0.01,-0.00,1.00
0.016,-0.01,-0.00,1.00
0.029,-0.01,-0.00,1.00
0.030,-0.01,-0.00,1.00
0.030,-0.01,-0.00,1.01
0.030,-0.01,-0.00,1.01
0.031,-0.01,-0.00,1.01
0.032,-0.01,-0.00,1.01
0.033,-0.01,-0.00,1.01
0.033,-0.01,-0.00,1.01
0.044,-0.01,-0.00,1.01
0.045,-0.01,-0.00,1.01
0.045,-0.01,-0.00,1.01
0.045,-0.01,-0.00,1.00
0.045,-0.01,-0.00,1.00
0.045,-0.01,-0.00,1.00
0.046,-0.01,-0.00,1.00
0.060,-0.01,-0.00,1.00
0.060,-0.01,-0.00,1.00
0.061,-0.01,-0.00,1.00
0.061,-0.01,-0.00,1.00
0.061,-0.01,-0.00,1.00
0.062,-0.01,-0.00,1.00
0.062,-0.01,-0.00,1.00
0.062,-0.01,-0.00,1.00
0.064,-0.01,-0.00,1.00
0.068,-0.01,-0.00,1.00
0.069,-0.01,-0.00,1.00
0.070,-0.01,-0.00,1.00
0.072,-0.01,-0.00,1.01
0.074,-0.01,-0.00,1.01
0.076,-0.01,-0.00,1.01
0.078,-0.01,-0.00,1.01
0.080,-0.01,-0.00,1.01
0.086,-0.01,-0.00,1.01
0.086,-0.01,-0.00,1.01
0.086,-0.01,-0.00,1.00
0.088,-0.01,-0.00,1.00
0.090,-0.01,-0.00,1.00
0.092,-0.01,-0.00,1.00
0.094,-0.01,-0.00,1.00
0.095,-0.01,-0.00,1.00
0.101,-0.01,-0.00,1.00
0.102,-0.01,-0.00,1.00
0.102,-0.01,-0.00,1.00
0.104,-0.01,-0.00,1.00
0.106,-0.01,-0.00,1.00
0.108,-0.01,-0.00,1.00
0.110,-0.01,-0.00,1.00
0.112,-0.01,-0.00,1.00
0.117,-0.01,-0.00,1.00
0.118,-0.01,-0.00,1.00
0.118,-0.01,-0.00,1.00
0.120,-0.01,-0.00,1.00
0.122,-0.01,-0.00,1.00
0.124,-0.01,-0.00,1.00
0.126,-0.01,-0.00,1.00
0.128,-0.01,-0.00,1.00
0.129,-0.01,-0.00,1.00
0.134,-0.01,-0.00,1.00
0.135,-0.01,-0.00,1.00
0.135,-0.01,-0.00,1.00
0.137,-0.01,-0.00,1.00
0.139,-0.01,-0.00,1.00
0.142,-0.01,-0.00,1.00
0.143,-0.01,-0.00,1.01
0.145,-0.01,-0.00,1.01
0.153,-0.01,-0.00,1.01
0.153,-0.01,-0.00,1.01
0.153,-0.01,-0.00,1.00
0.154,-0.01,-0.00,1.00
0.156,-0.01,-0.00,1.00
0.158,-0.01,-0.00,1.00
0.160,-0.01,-0.00,1.00
0.162,-0.01,-0.00,1.00
0.164,-0.01,-0.00,1.00
0.167,-0.01,-0.00,1.00
0.168,-0.01,-0.00,1.00
0.170,-0.01,-0.00,1.00
0.172,-0.01,-0.00,1.00
0.175,-0.01,-0.00,1.00
0.176,-0.01,-0.00,1.00
0.178,-0.01,-0.00,1.00
0.180,-0.01,-0.00,1.00
0.183,-0.01,-0.00,1.00
0.184,-0.01,-0.00,1.00
0.186,-0.01,-0.00,1.00
0.188,-0.01,-0.00,1.00
0.190,-0.01,-0.00,1.00
0.192,-0.01,-0.00,1.00
0.194,-0.01,-0.00,1.00
0.195,-0.01,-0.00,1.00
0.212,-0.01,-0.00,1.00
0.224,-0.01,-0.00,1.00
0.224,-0.01,-0.00,1.00
0.225,-0.01,-0.00,1.00
0.225,-0.01,-0.00,1.00
0.226,-0.01,-0.00,1.00
0.226,-0.01,-0.00,1.01
0.226,-0.01,-0.00,1.01
0.227,-0.01,-0.00,1.01
0.227,-0.01,-0.00,1.01
0.228,-0.01,-0.00,1.01
0.228,-0.01,-0.00,1.01
0.228,-0.01,-0.00,1.00
0.229,-0.01,-0.00,1.00
0.229,-0.01,-0.00,1.00
0.229,-0.01,-0.00,1.00
0.243,-0.01,-0.00,1.00
0.244,-0.01,-0.00,1.00
0.244,-0.01,-0.00,1.00
0.244,-0.01,-0.00,1.00
