time,x,y,z
0.016,-0.00,-0.00,1.01
0.016,-0.00,-0.00,1.01
0.016,-0.00,-0.00,1.01
0.017,-0.00,-0.00,1.01
0.017,-0.00,0.00,1.01
0.017,-0.00,0.00,1.01
0.018,-0.00,0.00,1.01
0.018,-0.00,0.00,1.01
0.018,-0.00,0.00,1.01
0.019,-0.00,0.00,1.01
0.022,-0.01,0.00,1.01
0.025,-0.00,0.00,1.01
0.025,-0.00,0.00,1.01
0.026,-0.01,0.00,1.01
0.032,-0.00,0.00,1.01
0.032,-0.00,0.00,1.01
0.033,-0.00,0.00,1.01
0.034,-0.01,0.00,1.01
0.037,-0.01,0.00,1.01
0.039,-0.01,0.00,1.01
0.041,-0.01,0.00,1.01
0.044,-0.01,0.00,1.01
0.046,-0.01,0.00,1.01
0.050,-0.01,0.00,1.00
0.051,-0.01,0.00,1.00
0.053,-0.01,0.00,1.00
0.053,-0.01,0.00,1.00
0.055,-0.01,0.00,1.01
0.058,-0.01,0.00,1.01
0.059,-0.01,0.00,1.01
0.061,-0.01,0.00,1.01
0.065,-0.01,0.00,1.01
0.067,-0.01,0.00,1.01
0.069,-0.01,0.00,1.01
0.069,-0.01,0.00,1.01
0.072,-0.01,0.00,1.01
0.073,-0.01,-0.00,1.01
0.075,-0.01,-0.00,1.01
0.077,-0.01,-0.00,1.01
0.082,-0.01,-0.00,1.01
0.083,-0.01,-0.00,1.01
0.083,-0.01,-0.00,1.01
0.085,-0.01,-0.00,1.01
0.087,-0.01,-0.00,1.01
0.089,-0.01,-0.00,1.01
0.091,-0.01,-0.00,1.01
0.093,-0.01,-0.00,1.01
0.097,-0.01,-0.00,1.01
0.098,-0.01,-0.00,1.01
0.111,-0.01,-0.00,1.01
0.113,-0.01,-0.00,1.01
0.114,-0.01,-0.00,1.01
0.114,-0.01,-0.00,1.01
0.114,-0.01,-0.00,1.01
0.114,-0.01,-0.00,1.01
0.115,-0.01,-0.00,1.01
0.115,-0.01,-0.00,1.01
0.115,-0.01,-0.00,1.01
0.137,-0.01,-0.00,1.00
0.138,-0.01,-0.00,1.00
0.139,-0.01,-0.00,1.00
0.139,-0.01,-0.00,1.00
0.139,-0.01,-0.00,1.00
0.139,-0.01,-0.00,1.00
0.140,-0.01,-0.00,1.00
0.140,-0.01,-0.00,1.00
0.140,-0.01,-0.00,1.01
0.140,-0.01,-0.00,1.01
0.141,-0.01,-0.00,1.01
0.141,-0.01,-0.00,1.01
0.141,-0.01,-0.00,1.01
0.147,-0.01,-0.00,1.01
0.149,-0.01,-0.00,1.01
0.149,-0.01,-0.00,1.01
0.149,-0.00,-0.00,1.01
0.162,-0.00,-0.00,1.01
0.163,-0.00,-0.00,1.01
0.164,-0.00,-0.00,1.01
0.164,-0.00,-0.00,1.01
0.164,-0.00,-0.00,1.01
0.164,-0.00,-0.00,1.01
0.165,-0.00,-0.00,1.01
0.165,-0.00,-0.00,1.01
0.169,-0.00,-0.00,1.01
0.169,-0.00,-0.00,1.01
0.171,-0.00,-0.00,1.01
0.173,-0.00,-0.00,1.01
0.175,-0.00,-0.00,1.01
0.177,-0.00,-0.00,1.01
0.179,-0.00,-0.00,1.00
0.184,-0.00,-0.00,1.00
0.185,-0.00,-0.00,1.01
0.185,-0.00,-0.00,1.01
0.188,-0.01,-0.00,1.01
0.189,-0.01,-0.00,1.01
0.191,-0.01,-0.00,1.01
0.193,-0.01,0.00,1.01
0.195,-0.01,0.00,1.01
0.200,-0.01,0.00,1.01
0.200,-0.01,0.00,1.01
0.210,-0.01,0.00,1.01
0.210,-0.01,0.00,1.01
0.211,-0.01,0.00,1.01
0.211,-0.01,0.00,1.01
0.211,-0.00,0.00,1.01
0.211,-0.01,0.00,1.01
0.213,-0.01,0.00,1.01
0.217,-0.01,0.00,1.01
0.217,-0.01,0.00,1.01
0.219,-0.01,0.00,1.00
0.221,-0.01,0.00,1.01
0.223,-0.01,0.00,1.01
0.224,-0.01,0.00,1.01
0.226,-0.01,0.00,1.01
0.228,-0.01,0.00,1.01
0.233,-0.01,0.00,1.01
0.233,-0.01,0.00,1.01
0.235,-0.01,0.00,1.01
0.237,-0.01,0.00,1.01
0.239,-0.01,-0.00,1.01
0.240,-0.01,-0.00,1.01
0.242,-0.01,-0.00,1.01
0.245,-0.01,-0.00,1.01
0.249,-0.01,-0.00,1.01
0.249,-0.01,-0.00,1.00
0.251,-0.01,-0.00,1.00
0.252,-0.01,-0.00,1.00
0.255,-0.01,-0.00,1.00
0.257,-0.01,-0.00,1.00
0.258,-0.01,-0.00,1.00
0.263,-0.01,-0.00,1.00
0.264,-0.01,-0.00,1.00
0.276,-0.01,-0.00,1.01
0.276,-0.01,-0.01,1.01
0.276,-0.01,-0.01,1.01
0.276,-0.01,-0.01,1.01
0.277,-0.01,-0.01,1.01
0.277,-0.01,-0.01,1.01
0.277,-0.01,-0.01,1.01
0.278,-0.01,-0.01,1.01
0.281,-0.01,-0.01,1.01
0.283,-0.01,-0.01,1.01
0.284,-0.01,-0.01,1.01
0.288,-0.01,-0.01,1.01
0.288,-0.01,-0.01,1.01
0.290,-0.01,-0.01,1.01
0.292,-0.01,-0.01,1.01
0.295,-0.01,-0.01,1.01
0.299,-0.01,-0.01,1.01
0.299,-0.01,-0.01,1.00
0.301,-0.00,-0.01,1.00
0.302,-0.00,-0.01,1.00
0.305,-0.00,-0.01,1.01
0.307,-0.00,-0.01,1.00
0.309,-0.00,-0.01,1.01
0.310,-0.00,-0.01,1.01
0.313,-0.00,-0.01,1.01
0.327,-0.00,-0.01,1.01
