time,x,y,z
0.019,-0.01,0.00,1.00
0.019,-0.01,0.00,1.00
0.020,-0.00,0.00,1.00
0.020,-0.00,0.00,1.00
0.020,-0.00,0.00,1.00
0.020,-0.00,0.00,1.01
0.020,-0.00,0.00,1.01
0.021,-0.00,0.00,1.01
0.021,-0.00,0.00,1.01
0.026,-0.00,0.00,1.01
0.027,-0.00,0.01,1.01
0.027,-0.00,0.01,1.01
0.029,-0.00,0.01,1.01
0.029,-0.00,0.01,1.01
0.035,-0.00,0.01,1.00
0.036,-0.00,0.00,1.00
0.037,-0.00,0.00,1.00
0.037,-0.00,0.00,1.00
0.037,-0.00,0.01,1.00
0.038,-0.00,0.01,1.00
0.040,-0.00,0.01,1.00
0.047,-0.00,0.01,1.00
0.048,-0.00,0.01,1.01
0.048,-0.00,0.01,1.01
0.049,-0.00,0.01,1.01
0.051,-0.00,0.01,1.01
0.054,-0.00,0.01,1.01
0.057,-0.00,0.01,1.01
0.057,-0.00,0.01,1.01
0.062,0.00,0.01,1.01
0.062,0.00,0.01,1.01
0.065,0.00,0.01,1.01
0.065,0.00,0.01,1.01
0.067,0.00,0.01,1.01
0.069,0.00,0.01,1.01
0.071,0.00,0.01,1.01
0.073,0.00,0.01,1.01
0.075,0.00,0.01,1.01
0.079,0.00,0.01,1.01
0.079,0.00,0.01,1.01
0.081,-0.00,0.01,1.00
0.083,-0.00,0.01,1.00
0.085,-0.00,0.01,1.00
0.086,-0.00,0.01,1.00
0.088,-0.00,0.01,1.00
0.090,-0.00,0.01,1.00
0.096,-0.00,0.01,1.01
0.096,-0.00,0.01,1.01
0.097,-0.00,0.01,1.01
0.099,0.00,0.01,1.01
0.101,0.00,0.01,1.01
0.103,0.00,0.01,1.01
0.105,0.00,0.01,1.01
0.106,0.00,0.01,1.01
0.112,0.00,0.01,1.01
0.113,0.00,0.01,1.01
0.114,-0.00,0.01,1.01
0.115,-0.00,0.01,1.01
0.116,-0.00,0.01,1.01
0.121,-0.00,0.01,1.01
0.121,-0.00,0.01,1.01
0.122,-0.00,0.01,1.00
0.125,-0.00,0.01,1.00
0.128,-0.00,0.01,1.00
0.128,-0.00,0.00,1.00
0.130,-0.00,0.00,1.00
0.132,-0.00,0.00,1.00
0.135,-0.00,0.00,1.00
0.137,-0.00,0.00,1.00
0.138,-0.00,0.00,1.00
0.140,-0.00,0.00,1.00
0.144,-0.00,0.00,1.00
0.145,-0.00,0.00,1.00
0.146,-0.00,0.00,1.00
0.148,-0.00,0.00,1.01
0.151,-0.00,0.00,1.01
0.153,-0.00,-0.00,1.01
0.154,-0.00,-0.00,1.01
0.156,-0.00,-0.00,1.00
0.158,-0.00,-0.00,1.00
0.165,-0.00,-0.00,1.00
