time,x,y,z
0.012,-0.01,-0.00,1.01
0.012,-0.01,-0.00,1.01
0.012,-0.01,-0.00,1.01
0.013,-0.01,-0.00,1.01
0.013,-0.01,-0.00,1.01
0.013,-0.01,-0.00,1.01
0.018,-0.01,-0.00,1.00
0.018,-0.01,-0.00,1.00
0.019,-0.01,-0.00,1.00
0.019,-0.01,-0.00,1.00
0.021,-0.01,-0.00,1.00
0.023,-0.01,-0.00,1.00
0.025,-0.01,-0.00,1.00
0.027,-0.01,-0.00,1.00
0.029,-0.01,-0.00,1.00
0.044,-0.01,-0.00,1.00
0.045,-0.01,-0.00,1.00
0.045,-0.01,-0.00,1.00
0.045,-0.01,-0.00,1.00
0.045,-0.01,-0.00,1.01
0.046,-0.01,-0.00,1.01
0.046,-0.01,-0.00,1.01
0.046,-0.01,-0.00,1.01
0.047,-0.01,-0.00,1.01
0.050,-0.01,-0.00,1.01
0.051,-0.01,-0.00,1.01
0.053,-0.01,-0.00,1.01
0.055,-0.01,-0.00,1.01
0.057,-0.01,-0.00,1.00
0.059,-0.01,-0.00,1.00
0.061,-0.01,-0.00,1.00
0.063,-0.01,-0.00,1.00
0.077,-0.01,-0.00,1.00
0.077,-0.01,-0.00,1.00
0.078,-0.01,-0.00,1.00
0.078,-0.01,-0.00,1.00
0.078,-0.01,-0.00,1.00
0.078,-0.01,-0.00,1.00
0.078,-0.01,-0.00,1.00
0.082,-0.01,-0.00,1.00
0.082,-0.01,-0.00,1.00
0.107,-0.01,-0.00,1.00
0.108,-0.01,-0.00,1.00
0.108,-0.01,-0.00,1.00
0.108,-0.01,-0.00,1.00
0.109,-0.01,-0.00,1.00
0.109,-0.01,-0.00,1.00
0.109,-0.01,-0.00,1.00
0.109,-0.01,-0.00,1.00
0.110,-0.01,-0.00,1.00
0.110,-0.01,-0.00,1.00
0.110,-0.01,-0.00,1.00
0.110,-0.01,-0.00,1.00
0.110,-0.01,-0.00,1.00
0.111,-0.01,-0.00,1.00
0.111,-0.01,-0.00,1.00
0.115,-0.01,-0.00,1.00
0.116,-0.01,-0.00,1.00
0.119,-0.01,-0.00,1.00
0.119,-0.01,-0.00,1.00
0.121,-0.01,-0.00,1.01
0.123,-0.01,-0.00,1.01
0.125,-0.01,-0.00,1.01
0.127,-0.01,-0.00,1.01
0.129,-0.01,-0.00,1.01
0.133,-0.01,-0.00,1.01
0.134,-0.01,-0.01,1.01
0.135,-0.01,-0.01,1.01
0.137,-0.01,-0.01,1.01
0.142,-0.01,-0.01,1.01
0.145,-0.01,-0.01,1.01
0.146,-0.01,-0.01,1.01
0.146,-0.01,-0.01,1.00
0.147,-0.01,-0.01,1.00
0.150,-0.01,-0.01,1.00
0.151,-0.01,-0.01,1.00
0.153,-0.01,-0.01,1.00
0.159,-0.01,-0.01,1.00
0.159,-0.01,-0.01,1.00
0.159,-0.01,-0.01,1.00
0.161,-0.01,-0.01,1.00
0.163,-0.01,-0.01,1.00
0.166,-0.01,-0.01,1.00
0.167,-0.01,-0.01,1.00
0.170,-0.01,-0.01,1.00
0.171,-0.01,-0.01,1.00
0.173,-0.01,-0.01,1.00
0.175,-0.00,-0.01,1.00
0.177,-0.00,-0.01,1.00
0.179,-0.00,-0.01,1.00
0.181,-0.00,-0.01,1.00
0.183,-0.00,-0.00,1.00
0.185,-0.00,-0.00,1.00
0.187,-0.00,-0.00,1.00
0.189,-0.00,-0.00,1.00
0.191,-0.00,0.00,1.00
0.193,-0.00,0.00,1.01
0.196,-0.00,0.00,1.01
0.197,-0.00,0.00,1.01
0.210,-0.00,0.00,1.00
0.212,-0.00,0.00,1.00
0.213,-0.00,0.00,1.01
0.213,-0.00,0.00,1.01
0.213,-0.00,0.00,1.00
0.214,-0.00,0.00,1.00
0.214,-0.00,0.00,1.00
0.214,-0.00,0.00,1.00
0.217,-0.00,0.00,1.00
0.218,-0.00,0.00,1.00
0.220,-0.00,0.00,1.00
0.221,-0.00,0.00,1.00
0.223,-0.00,0.00,1.00
0.225,-0.00,0.00,1.00
0.227,-0.00,-0.00,1.00
