time,x,y,z
0.013,0.00,0.00,1.00
0.013,0.00,0.00,1.00
0.013,0.00,0.00,1.00
0.014,0.00,0.00,1.00
0.014,0.00,0.00,1.00
0.014,0.00,0.00,1.00
0.015,0.00,0.00,1.00
0.025,0.00,0.00,1.00
0.025,0.00,0.00,1.00
0.026,0.00,0.00,1.00
0.026,0.00,0.00,1.00
0.026,0.00,0.00,1.00
0.026,0.00,0.00,1.00
0.028,0.00,0.00,1.00
0.047,0.00,0.00,1.00
0.047,0.00,-0.00,1.00
0.048,0.00,-0.00,1.01
0.048,0.00,-0.00,1.01
0.048,0.00,-0.00,1.01
0.048,0.00,0.00,1.01
0.048,0.00,0.00,1.01
0.049,0.00,0.00,1.01
0.049,0.00,0.00,1.01
0.049,0.00,0.00,1.01
0.058,0.00,0.00,1.01
0.059,0.00,0.00,1.01
0.059,0.00,0.00,1.01
0.059,0.00,0.00,1.01
0.060,0.00,0.00,1.01
0.060,0.00,0.00,1.01
0.063,0.00,0.00,1.01
0.064,0.00,0.00,1.01
0.076,0.00,0.00,1.01
0.077,0.00,0.00,1.01
0.077,0.00,0.00,1.01
0.077,0.00,0.00,1.01
0.077,0.00,0.00,1.01
0.078,0.00,0.00,1.01
0.078,0.00,0.00,1.01
0.082,0.00,0.00,1.01
0.082,0.00,0.00,1.00
0.083,0.00,0.00,1.00
0.085,0.00,0.00,1.00
0.087,0.00,0.00,1.00
0.089,0.00,0.00,1.00
0.091,0.00,0.00,1.00
0.093,0.00,0.00,1.00
0.099,0.00,0.00,1.00
0.099,0.00,0.00,1.00
0.099,0.00,0.00,1.01
0.101,0.00,0.00,1.01
0.103,0.00,0.00,1.01
0.105,0.00,0.00,1.01
0.107,0.00,0.00,1.01
0.109,0.00,0.00,1.01
0.111,0.00,0.00,1.01
0.115,0.00,0.00,1.01
0.116,0.00,0.00,1.01
0.117,0.00,0.00,1.01
0.120,0.00,0.00,1.01
0.121,0.00,0.00,1.01
0.123,0.00,0.00,1.01
0.125,0.00,0.00,1.01
0.127,0.00,0.00,1.01
0.133,0.00,0.00,1.01
0.134,0.00,0.00,1.01
0.134,0.00,0.00,1.00
0.135,0.00,0.00,1.00
0.137,0.00,0.00,1.00
0.139,0.00,0.00,1.00
0.141,0.00,0.00,1.00
0.143,0.00,0.00,1.00
0.145,0.00,0.00,1.00
0.160,0.00,0.00,1.00
0.160,0.00,0.00,1.00
0.160,0.00,0.00,1.01
0.161,0.00,0.00,1.01
0.161,0.00,0.00,1.01
0.161,0.00,0.00,1.01
0.161,0.00,0.00,1.01
0.162,0.00,0.00,1.01
0.183,0.00,0.00,1.01
0.186,0.00,0.00,1.01
0.186,0.00,0.00,1.01
0.186,0.00,0.00,1.01
0.186,0.00,0.00,1.01
0.186,0.00,0.00,1.01
0.187,0.00,0.00,1.01
0.187,0.00,0.00,1.01
0.187,0.00,0.00,1.01
0.187,0.00,0.00,1.01
0.188,0.00,0.00,1.01
0.195,0.00,0.00,1.01
0.196,0.00,0.00,1.01
0.196,0.00,0.00,1.00
0.196,0.00,0.00,1.00
0.197,0.00,0.00,1.00
0.197,0.00,0.00,1.00
0.200,0.00,0.00,1.00
0.200,0.00,0.00,1.00
0.209,0.00,0.00,1.00
0.210,0.00,-0.00,1.00
0.210,0.00,-0.00,1.00
0.210,0.00,-0.00,1.00
0.211,0.00,-0.00,1.00
0.211,0.00,0.00,1.00
0.215,0.00,0.00,1.00
0.216,0.00,0.00,1.00
