Date,Time,Elapsed Seconds,Acceleration-X (m/s&#178;),Acceleration-Y (m/s&#178;),Acceleration-Z (m/s&#178;)
2/10/2020,2:38:31 PM,0.00,0.1,-0.26,10.29
2/10/2020,2:38:31 PM,0.05,0.61,2.43,10.26
2/10/2020,2:38:31 PM,0.10,-2.14,0.98,10.24
2/10/2020,2:38:31 PM,0.15,-2.81,0.23,10.25
2/10/2020,2:38:31 PM,0.20,-1.52,-0.04,10.27
2/10/2020,2:38:31 PM,0.25,0.26,-0.58,10.27
2/10/2020,2:38:31 PM,0.30,0.86,-0.68,10.26
2/10/2020,2:38:31 PM,0.35,-0.22,-1.56,10.3
2/10/2020,2:38:31 PM,0.40,-0.92,-1.7,10.24
2/10/2020,2:38:31 PM,0.45,0.04,-1.34,10.3
2/10/2020,2:38:31 PM,0.50,-1.19,-2.5,10.31
2/10/2020,2:38:31 PM,0.55,-0.32,-1.97,10.25
2/10/2020,2:38:31 PM,0.60,0.26,-2.43,10.28
2/10/2020,2:38:31 PM,0.65,1.29,-1.85,10.28
2/10/2020,2:38:31 PM,0.70,2.46,-1.45,10.29
2/10/2020,2:38:31 PM,0.75,1.92,-1.03,10.27
2/10/2020,2:38:32 PM,0.80,2.36,-0.47,10.26
2/10/2020,2:38:32 PM,0.85,2.01,-0.45,10.3
2/10/2020,2:38:32 PM,0.90,2.69,0.76,10.27
2/10/2020,2:38:32 PM,0.95,2.63,1.35,10.3
2/10/2020,2:38:32 PM,1.00,1.96,1.26,10.25
2/10/2020,2:38:32 PM,1.05,1.95,1.23,10.29
2/10/2020,2:38:32 PM,1.10,1.47,0.9,10.23
2/10/2020,2:38:32 PM,1.15,1.69,1.17,10.29
2/10/2020,2:38:32 PM,1.20,1.07,1,10.3
2/10/2020,2:38:32 PM,1.25,0.71,1.19,10.28
2/10/2020,2:38:32 PM,1.30,-1.32,0.83,10.18
2/10/2020,2:38:32 PM,1.35,-1.97,0.78,10.17
2/10/2020,2:38:32 PM,1.40,-1.82,0.9,10.21
2/10/2020,2:38:32 PM,1.45,-3.09,-0.67,10.26
2/10/2020,2:38:32 PM,1.50,-1.76,-0.54,10.24
2/10/2020,2:38:32 PM,1.55,-1.48,-1.38,10.26
2/10/2020,2:38:32 PM,1.60,-0.69,-2.08,10.25
