time,x,y,z
0.011,-0.00,0.00,1.01
0.011,-0.00,0.00,1.01
0.011,-0.00,0.00,1.01
0.012,-0.00,0.00,1.01
0.013,0.00,0.00,1.00
0.013,0.00,0.00,1.00
0.013,0.00,0.00,1.00
0.017,0.00,0.00,1.00
0.017,0.00,0.00,1.00
0.020,0.01,0.00,1.00
0.021,0.00,0.00,1.00
0.023,0.00,0.00,1.00
0.025,0.00,0.00,1.00
0.028,0.00,0.00,1.00
0.044,0.00,0.00,1.00
0.045,0.00,0.00,1.00
0.045,0.00,-0.00,1.00
0.046,0.00,-0.00,1.01
0.046,0.00,-0.00,1.01
0.046,0.00,0.00,1.01
0.047,0.00,0.00,1.01
0.047,-0.00,0.00,1.01
0.047,-0.00,0.00,1.01
0.048,-0.00,0.00,1.01
0.056,-0.00,-0.00,1.01
0.056,-0.00,-0.00,1.00
0.061,-0.00,-0.00,1.00
0.061,-0.00,-0.00,1.00
0.062,-0.00,-0.00,1.00
0.062,-0.00,-0.00,1.00
0.063,-0.00,-0.00,1.00
0.063,-0.00,-0.00,1.00
0.082,-0.00,-0.00,1.00
0.083,-0.00,-0.00,1.00
0.083,-0.01,-0.00,1.00
0.083,-0.01,-0.00,1.00
0.084,-0.01,-0.00,1.00
0.084,-0.01,-0.00,1.00
0.084,-0.01,-0.00,1.00
0.085,-0.01,-0.00,1.00
0.085,-0.01,-0.00,1.00
0.085,-0.01,-0.00,1.00
0.086,-0.01,-0.00,1.00
0.088,-0.01,-0.00,1.00
0.092,-0.01,-0.00,1.00
0.092,-0.01,-0.00,1.00
0.093,-0.01,-0.00,1.00
0.094,-0.01,-0.00,1.00
0.097,-0.01,-0.00,1.00
0.099,-0.01,-0.00,1.00
0.101,-0.01,-0.00,1.00
0.103,-0.01,-0.00,1.00
0.105,-0.01,-0.00,1.00
0.107,-0.01,-0.00,1.00
0.112,-0.01,-0.00,1.00
0.112,-0.01,-0.00,1.00
0.116,-0.01,-0.00,1.00
0.122,-0.01,-0.00,1.00
0.122,-0.01,-0.00,1.00
0.122,-0.01,-0.00,1.00
0.122,-0.01,-0.00,1.01
0.123,-0.01,-0.00,1.01
0.125,-0.01,-0.00,1.01
0.127,-0.01,-0.00,1.01
0.132,-0.01,-0.00,1.01
0.133,-0.01,-0.00,1.01
0.133,-0.01,-0.00,1.01
0.135,-0.01,-0.00,1.00
0.137,-0.01,-0.00,1.00
0.139,-0.01,-0.00,1.00
0.141,-0.01,-0.00,1.00
0.143,-0.01,-0.00,1.00
0.145,-0.01,-0.00,1.00
0.150,-0.01,-0.00,1.00
0.150,-0.01,0.00,1.00
0.150,-0.01,0.00,1.00
0.153,-0.01,0.00,1.00
0.155,-0.01,0.00,1.00
0.158,-0.01,0.00,1.00
0.158,-0.00,0.00,1.01
0.160,-0.00,0.00,1.01
0.175,-0.00,0.00,1.01
0.175,0.01,0.01,1.01
0.176,0.07,0.03,1.00
0.176,0.11,0.03,1.01
0.176,0.08,0.02,1.01
0.176,0.03,0.01,1.01
0.186,-0.00,-0.00,1.00
0.187,-0.02,-0.00,1.00
0.188,-0.02,-0.00,1.00
0.188,-0.01,-0.00,1.00
0.189,-0.01,0.00,1.00
0.189,-0.00,0.00,1.00
0.190,-0.00,0.00,1.00
0.190,-0.01,0.00,1.00
0.198,-0.02,0.01,1.00
0.198,-0.03,0.01,1.01
0.199,-0.04,0.02,1.00
0.199,-0.05,0.02,1.01
0.200,-0.06,0.02,1.01
0.208,-0.08,0.02,1.01
0.208,-0.09,0.02,1.01
0.209,-0.11,0.02,1.01
0.209,-0.12,0.01,1.01
0.209,-0.13,0.01,1.01
0.212,-0.13,0.01,1.01
0.213,-0.14,0.00,1.01
0.217,-0.14,-0.00,1.01
0.218,-0.15,-0.01,1.01
0.218,-0.15,-0.01,1.01
0.221,-0.15,-0.02,1.00
0.223,-0.15,-0.02,1.00
0.226,-0.15,-0.03,1.00
0.227,-0.15,-0.03,1.01
0.229,-0.15,-0.04,1.00
0.231,-0.16,-0.05,1.00
0.233,-0.17,-0.05,1.00
0.235,-0.18,-0.06,1.00
0.237,-0.21,-0.06,1.00
0.239,-0.25,-0.07,1.00
0.241,-0.28,-0.08,1.00
0.242,-0.30,-0.08,1.00
0.244,-0.33,-0.09,1.00
0.251,-0.36,-0.08,0.99
0.252,-0.40,-0.06,1.00
0.252,-0.43,-0.05,1.01
0.253,-0.43,-0.04,1.00
0.255,-0.43,-0.04,1.01
0.257,-0.42,-0.05,1.01
0.259,-0.41,-0.05,1.00
0.260,-0.41,-0.06,1.00
0.264,-0.39,-0.07,1.01
0.267,-0.37,-0.07,1.00
0.268,-0.36,-0.08,1.01
0.269,-0.34,-0.09,1.00
0.270,-0.33,-0.10,1.00
