Date,Time,Elapsed Seconds,Acceleration-X (m/s&#178;),Acceleration-Y (m/s&#178;),Acceleration-Z (m/s&#178;)
2/10/2020,2:45:22 PM,0.00,0.39,-3.86,10.29
2/10/2020,2:45:22 PM,0.05,0.31,-4.5,10.28
2/10/2020,2:45:22 PM,0.10,2.63,-3.99,10.26
2/10/2020,2:45:22 PM,0.15,2.87,-3.14,10.25
2/10/2020,2:45:22 PM,0.20,3.95,-0.98,10.53
2/10/2020,2:45:22 PM,0.25,3.66,-0.75,10.36
2/10/2020,2:45:22 PM,0.30,4.42,0.77,10.16
2/10/2020,2:45:22 PM,0.35,4.39,1.4,10.33
2/10/2020,2:45:22 PM,0.40,3.15,1.32,10.29
2/10/2020,2:45:22 PM,0.45,2.97,1.69,10.35
2/10/2020,2:45:22 PM,0.50,1.49,0.94,10.29
2/10/2020,2:45:22 PM,0.55,0.81,1.64,10.27
2/10/2020,2:45:22 PM,0.60,0.04,2.4,10.3
2/10/2020,2:45:22 PM,0.65,-1.76,2.95,10.24
2/10/2020,2:45:23 PM,0.70,-2.7,1.85,10.19
2/10/2020,2:45:23 PM,0.75,-3.7,0.65,10.21
2/10/2020,2:45:23 PM,0.80,-5.17,-0.33,10.24
2/10/2020,2:45:23 PM,0.85,-3.68,-1,10.28
2/10/2020,2:45:23 PM,0.90,-2.68,-0.84,10.22
2/10/2020,2:45:23 PM,0.95,-2.61,-1.62,10.27
2/10/2020,2:45:23 PM,1.00,-1.72,-2.54,10.25
2/10/2020,2:45:23 PM,1.05,-1.37,-1.97,10.29
