time,x,y,z
0.020,0.00,0.00,1.01
0.020,0.00,0.00,1.00
0.020,0.00,0.00,1.00
0.021,0.00,0.00,1.00
0.021,0.00,0.00,1.00
0.021,0.00,0.00,1.00
0.022,0.00,0.00,1.00
0.022,0.00,0.00,1.00
0.022,0.00,0.00,1.00
0.023,0.00,0.00,1.00
0.023,0.00,0.00,1.00
0.023,0.00,0.00,1.00
0.031,0.00,0.00,1.00
0.032,0.00,0.00,1.00
0.032,0.00,0.00,0.98
0.032,0.01,0.00,0.97
0.033,0.01,0.00,0.99
0.034,0.00,0.00,1.00
0.040,0.00,0.00,1.02
0.040,0.00,0.00,1.02
0.041,0.00,0.00,1.01
0.042,0.00,0.00,1.01
0.044,0.00,0.00,1.01
0.046,0.00,0.00,1.01
0.048,0.00,0.00,1.01
0.050,0.00,0.00,1.01
0.053,0.00,0.00,1.01
0.066,0.00,0.00,1.01
0.067,0.00,0.00,1.01
0.067,0.00,0.00,1.01
0.068,0.00,0.00,1.01
0.068,0.00,0.00,1.00
0.069,0.00,0.00,1.01
0.069,0.00,0.00,1.01
0.069,0.00,0.00,1.01
0.075,0.00,0.00,1.01
0.076,0.00,0.00,1.01
0.076,0.00,0.00,1.00
0.077,0.00,0.00,1.00
0.085,0.00,0.00,1.00
0.086,0.00,0.00,1.00
0.086,0.00,0.00,1.00
0.086,0.00,0.00,1.00
0.089,0.00,0.00,1.00
0.090,0.00,0.00,1.00
0.091,0.00,0.00,1.00
0.092,0.00,0.00,1.00
0.094,0.00,0.00,1.00
0.096,0.00,0.00,1.01
0.098,0.00,0.00,1.01
0.100,0.00,0.00,1.00
0.102,0.00,0.00,1.00
0.105,0.00,0.00,1.00
0.106,0.00,0.00,1.00
0.109,0.00,0.00,1.00
0.110,0.00,0.00,1.00
0.112,0.00,0.00,1.00
0.114,0.00,0.00,1.00
0.116,0.00,0.00,1.00
0.118,0.00,0.00,1.00
0.124,0.00,0.00,1.01
0.125,0.00,0.00,1.01
0.125,-0.00,0.00,1.01
0.126,0.00,0.00,1.01
0.130,0.00,0.00,1.01
0.131,0.00,0.00,1.01
0.132,0.00,0.00,1.01
0.134,0.00,0.00,1.01
0.148,0.00,0.00,1.00
0.149,0.00,0.00,0.99
0.149,0.00,0.00,0.98
0.149,0.00,0.00,0.97
0.150,0.00,0.00,0.96
0.150,0.00,0.00,0.97
0.150,-0.00,0.00,1.01
0.151,-0.00,0.00,1.04
0.151,-0.00,-0.00,1.04
0.155,0.00,-0.00,1.03
0.157,0.00,-0.00,1.02
0.158,0.00,-0.00,1.01
0.161,0.00,-0.00,1.01
0.162,0.00,-0.00,1.00
0.165,0.00,-0.00,1.00
0.166,0.00,-0.00,1.00
0.169,0.00,-0.00,1.00
0.170,0.00,-0.00,1.00
0.174,-0.00,-0.00,1.00
0.175,0.00,-0.00,1.01
0.176,0.00,-0.00,1.01
0.178,0.00,-0.00,1.01
0.180,0.00,-0.00,1.01
0.182,0.00,-0.00,1.01
0.184,0.00,-0.00,1.00
0.189,0.00,-0.00,1.00
0.190,0.00,-0.00,1.00
0.190,0.00,0.00,1.00
0.192,0.00,0.00,1.00
0.194,0.00,0.00,1.00
0.196,0.00,0.00,1.01
0.198,0.00,0.00,1.01
0.210,0.00,0.00,1.01
0.210,0.00,0.00,1.01
0.210,0.00,0.00,1.01
0.210,0.00,0.00,1.01
0.211,0.00,0.00,1.01
0.211,0.00,0.00,1.01
0.214,0.00,0.00,1.01
0.215,-0.00,0.00,1.01
0.216,-0.00,0.00,1.01
0.218,-0.00,0.00,1.01
0.224,-0.00,0.00,1.01
0.225,-0.00,0.00,1.00
0.225,-0.00,0.00,1.00
0.226,-0.00,0.00,1.01
0.229,-0.00,0.00,1.01
0.230,-0.00,0.00,1.01
0.232,-0.00,0.00,1.01
0.235,-0.00,0.00,1.01
0.236,-0.00,0.00,1.01
0.240,-0.00,0.00,1.01
0.241,-0.01,0.00,1.01
0.242,-0.01,0.00,1.01
0.244,-0.01,0.00,1.01
0.246,-0.01,0.00,1.01
0.248,-0.01,0.00,1.01
0.250,-0.01,0.00,1.00
0.252,-0.01,0.00,1.00
0.268,-0.01,0.00,1.00
0.268,-0.01,0.00,1.00
0.268,-0.00,0.00,1.00
0.269,-0.00,0.00,1.00
0.269,-0.00,0.00,1.00
0.269,-0.00,0.00,1.00
0.269,-0.00,-0.00,1.00
0.270,-0.00,-0.00,1.00
0.270,-0.00,-0.00,1.00
0.283,-0.00,-0.00,1.00
0.284,-0.00,-0.00,1.00
0.284,-0.00,-0.00,1.00
0.284,-0.00,-0.00,1.00
0.285,-0.00,-0.00,1.00
0.285,-0.00,-0.00,1.01
0.285,-0.00,-0.00,1.01
0.285,-0.00,-0.00,1.01
0.290,-0.00,-0.00,1.00
0.292,-0.00,-0.00,1.00
0.292,-0.00,-0.00,1.00
0.294,-0.00,-0.00,1.00
0.297,-0.00,-0.00,1.00
0.298,-0.00,-0.00,1.00
0.300,-0.00,-0.00,1.00
0.302,-0.00,-0.00,1.00
0.312,-0.00,-0.00,1.00
0.312,-0.00,-0.00,1.00
0.313,0.00,-0.00,1.00
0.313,0.00,-0.00,1.00
0.313,0.00,-0.00,1.00
0.314,0.00,-0.00,1.00
0.316,0.00,-0.00,1.01
0.318,0.00,-0.00,1.01
0.323,0.00,-0.00,1.00
0.323,0.00,-0.00,1.00
0.324,0.01,-0.00,1.00
0.326,0.01,-0.00,1.00
0.328,0.01,-0.00,1.01
0.330,0.01,-0.00,1.01
0.332,0.01,-0.00,1.01
0.334,0.01,0.00,1.01
0.336,0.01,0.00,1.01
0.342,0.01,0.00,1.01
0.343,0.01,0.00,1.01
0.343,0.01,0.00,1.01
0.344,0.01,0.00,1.01
0.346,0.01,0.00,1.01
0.348,0.01,0.00,1.01
0.350,0.01,0.00,1.01
0.352,0.00,0.00,1.01
