time,x,y,z
0.012,-0.00,-0.00,1.01
0.013,-0.00,-0.00,1.01
0.013,-0.01,-0.00,1.01
0.014,-0.01,-0.00,1.01
0.014,-0.01,-0.00,1.01
0.014,-0.01,-0.00,1.01
0.015,-0.01,-0.00,1.01
0.015,-0.01,-0.00,1.01
0.016,-0.01,-0.00,1.01
0.016,-0.01,-0.00,1.01
0.027,-0.01,-0.00,1.01
0.028,-0.01,0.00,1.01
0.028,-0.01,0.00,1.01
0.029,-0.01,0.00,1.01
0.029,-0.01,0.00,1.01
0.029,-0.01,0.00,1.01
0.034,-0.01,0.00,1.01
0.034,-0.01,0.00,1.01
0.034,-0.01,0.00,1.01
0.037,-0.01,0.00,1.01
0.040,-0.01,0.00,1.01
0.041,-0.01,0.00,1.01
0.042,-0.01,0.00,1.01
0.044,-0.01,0.00,1.01
0.046,-0.01,0.00,1.01
0.051,-0.01,0.00,1.01
0.052,-0.01,0.00,1.01
0.054,-0.01,0.00,1.01
0.056,-0.01,0.00,1.01
0.056,-0.01,0.00,1.01
0.060,-0.01,0.00,1.01
0.060,-0.01,0.00,1.01
0.062,-0.00,0.00,1.01
0.067,-0.00,0.00,1.01
0.067,-0.00,0.00,1.01
0.069,-0.00,0.00,1.01
0.071,-0.00,0.00,1.01
0.072,-0.00,0.00,1.01
0.074,-0.00,0.00,1.00
0.076,-0.00,0.00,1.00
0.079,-0.00,0.00,1.00
0.084,-0.00,0.00,1.00
0.084,-0.00,0.00,1.00
0.085,-0.00,0.00,1.01
0.086,0.00,0.00,1.01
0.088,0.00,0.00,1.01
0.090,0.00,0.00,1.01
0.092,0.00,0.00,1.01
0.094,0.00,0.00,1.01
0.096,0.00,-0.00,1.01
0.100,0.00,-0.00,1.01
0.101,0.00,-0.00,1.01
0.104,0.00,-0.00,1.01
0.105,0.00,0.00,1.01
0.107,0.00,0.00,1.01
0.109,0.00,0.00,1.01
0.110,0.00,0.00,1.01
0.113,0.00,0.00,1.01
0.114,0.00,0.00,1.01
0.117,0.00,0.00,1.01
0.118,0.01,0.00,1.01
0.120,0.01,0.00,1.01
0.122,0.01,0.00,1.01
0.124,0.01,0.00,1.01
0.126,0.00,0.00,1.01
0.128,0.00,0.00,1.01
0.130,0.00,0.00,1.01
0.133,0.01,-0.00,1.01
0.134,0.01,-0.00,1.01
0.137,0.00,-0.01,1.01
0.138,0.02,-0.03,1.01
0.140,0.08,-0.07,1.00
0.142,0.18,-0.10,1.00
0.144,0.27,-0.12,1.00
0.146,0.31,-0.11,1.00
0.151,0.32,-0.09,1.00
0.152,0.30,-0.06,1.00
0.153,0.26,-0.03,1.00
0.154,0.21,-0.01,1.00
0.156,0.16,0.01,1.00
0.158,0.13,0.03,1.00
0.160,0.12,0.03,1.00
0.162,0.11,0.04,1.00
0.164,0.11,0.04,1.00
0.167,0.10,0.05,1.01
0.168,0.11,0.05,1.01
0.173,0.12,0.06,1.01
0.174,0.14,0.06,1.01
0.174,0.16,0.07,1.01
0.176,0.18,0.08,1.01
0.179,0.18,0.08,1.01
0.181,0.18,0.09,1.01
0.194,0.19,0.09,1.01
0.194,0.19,0.10,1.01
0.194,0.19,0.11,1.01
0.195,0.19,0.11,1.01
0.195,0.18,0.12,1.01
0.195,0.18,0.12,1.01
0.196,0.17,0.12,1.01
0.196,0.17,0.13,1.01
0.206,0.17,0.13,1.01
0.206,0.18,0.13,1.01
0.206,0.18,0.14,1.01
0.207,0.18,0.14,1.01
0.207,0.18,0.15,1.01
0.214,0.18,0.15,1.01
0.215,0.18,0.15,1.01
0.215,0.18,0.16,1.01
0.215,0.19,0.16,1.01
0.218,0.18,0.17,1.01
0.219,0.18,0.18,1.01
0.220,0.19,0.18,1.01
0.223,0.19,0.19,1.01
0.224,0.19,0.20,1.01
0.226,0.20,0.21,1.01
0.230,0.20,0.21,1.01
0.231,0.20,0.22,1.01
0.234,0.19,0.22,1.01
0.235,0.19,0.22,1.01
0.236,0.19,0.22,1.01
0.238,0.19,0.23,1.01
0.240,0.19,0.22,1.01
0.242,0.19,0.22,1.01
0.244,0.18,0.22,1.01
0.246,0.18,0.22,1.01
0.248,0.18,0.22,1.01
0.252,0.18,0.22,1.01
0.253,0.18,0.22,1.01
0.254,0.18,0.22,1.01
0.257,0.18,0.22,1.01
0.258,0.18,0.22,1.01
0.260,0.18,0.22,1.01
0.263,0.18,0.21,1.01
0.264,0.18,0.21,1.01
0.267,0.18,0.21,1.01
0.268,0.18,0.20,1.01
0.270,0.17,0.20,1.01
0.272,0.17,0.20,1.01
0.275,0.17,0.20,1.01
0.276,0.16,0.20,1.01
0.278,0.16,0.20,1.01
0.280,0.15,0.19,1.01
0.285,0.15,0.19,1.01
0.285,0.15,0.19,1.01
0.288,0.14,0.19,1.00
0.288,0.15,0.19,1.01
0.290,0.15,0.19,1.01
0.292,0.14,0.19,1.01
0.294,0.14,0.18,1.01
0.297,0.14,0.18,1.01
0.298,0.14,0.18,1.01
0.301,0.14,0.18,1.01
0.302,0.14,0.18,1.01
0.304,0.13,0.18,1.01
0.307,0.13,0.17,1.01
0.309,0.13,0.17,1.01
0.310,0.13,0.17,1.01
0.312,0.13,0.17,1.01
0.314,0.12,0.17,1.01
0.319,0.11,0.17,1.01
0.319,0.11,0.17,1.01
0.321,0.10,0.17,1.01
0.322,0.10,0.18,1.01
0.324,0.10,0.18,1.01
0.326,0.10,0.18,1.01
0.328,0.10,0.19,1.01
0.330,0.11,0.19,1.01
0.334,0.11,0.20,1.01
0.334,0.11,0.20,1.01
0.336,0.11,0.20,1.01
0.338,0.11,0.20,1.01
0.340,0.12,0.20,1.01
0.342,0.11,0.20,1.01
0.344,0.11,0.19,1.01
0.346,0.11,0.19,1.01
0.348,0.10,0.19,1.01
0.350,0.10,0.18,1.01
0.352,0.10,0.18,1.01
0.354,0.09,0.17,1.01
0.356,0.09,0.17,1.01
0.358,0.08,0.16,1.01
0.360,0.08,0.16,1.01
0.362,0.07,0.15,1.01
0.364,0.06,0.15,1.01
0.369,0.05,0.14,1.01
0.369,0.04,0.14,1.01
0.371,0.03,0.13,1.00
0.372,0.01,0.13,1.01
0.374,0.00,0.13,1.01
0.376,-0.01,0.12,1.01
0.378,-0.02,0.12,1.01
0.380,-0.03,0.12,1.01
0.385,-0.03,0.12,1.01
0.385,-0.03,0.12,1.01
0.386,-0.04,0.12,1.01
0.389,-0.04,0.12,1.01
0.391,-0.04,0.12,1.01
0.394,-0.05,0.12,1.01
0.394,-0.06,0.12,1.01
0.401,-0.07,0.12,1.01
0.406,-0.08,0.11,1.01
0.406,-0.08,0.11,1.01
0.406,-0.09,0.12,1.01
0.406,-0.09,0.12,1.01
0.407,-0.10,0.11,1.00
0.408,-0.10,0.11,1.01
0.410,-0.10,0.11,1.01
0.412,-0.10,0.11,1.01
0.414,-0.11,0.11,1.01
0.417,-0.11,0.12,1.01
0.418,-0.11,0.12,1.01
0.421,-0.11,0.12,1.01
0.422,-0.10,0.12,1.01
0.424,-0.10,0.12,1.01
0.426,-0.11,0.12,1.01
0.428,-0.11,0.11,1.01
0.430,-0.12,0.11,1.01
0.432,-0.13,0.10,1.01
0.435,-0.14,0.10,1.01
0.436,-0.14,0.10,1.01
0.438,-0.14,0.10,1.01
0.440,-0.14,0.10,1.01
0.442,-0.14,0.11,1.01
0.444,-0.13,0.12,1.01
0.446,-0.12,0.13,1.01
0.448,-0.11,0.13,1.01
0.454,-0.10,0.14,1.01
0.455,-0.09,0.15,1.01
0.455,-0.08,0.15,1.01
0.457,-0.08,0.15,1.01
0.459,-0.07,0.15,1.01
0.460,-0.07,0.16,1.00
0.462,-0.07,0.16,1.01
0.464,-0.06,0.16,1.01
0.468,-0.06,0.17,1.01
0.468,-0.05,0.17,1.01
0.470,-0.05,0.17,1.01
0.472,-0.05,0.18,1.01
0.474,-0.05,0.18,1.02
0.476,-0.04,0.18,1.02
0.478,-0.04,0.19,1.01
0.480,-0.03,0.19,1.01
0.482,-0.03,0.20,1.01
0.485,-0.03,0.19,1.01
0.488,-0.04,0.19,1.02
0.488,-0.05,0.19,1.01
0.490,-0.06,0.18,1.01
0.492,-0.07,0.18,1.01
0.494,-0.08,0.17,1.00
0.496,-0.10,0.16,1.01
0.498,-0.11,0.15,1.01
0.502,-0.13,0.14,1.01
0.502,-0.15,0.13,1.01
0.504,-0.17,0.11,1.01
0.506,-0.19,0.10,1.00
0.508,-0.20,0.10,1.01
0.510,-0.22,0.09,1.01
0.512,-0.23,0.08,1.01
0.514,-0.24,0.07,1.01
0.520,-0.25,0.06,1.01
0.520,-0.25,0.05,1.01
0.521,-0.25,0.05,1.00
0.522,-0.25,0.03,1.00
0.524,-0.26,0.02,1.01
0.526,-0.26,0.01,1.01
0.528,-0.27,-0.01,1.01
0.530,-0.28,-0.02,1.01
0.532,-0.29,-0.03,1.01
0.535,-0.30,-0.04,1.01
0.536,-0.30,-0.05,1.01
0.538,-0.31,-0.06,1.01
0.540,-0.32,-0.06,1.01
0.542,-0.32,-0.06,1.01
0.544,-0.33,-0.07,1.01
0.546,-0.33,-0.07,1.01
0.548,-0.34,-0.08,1.00
0.552,-0.34,-0.09,1.00
0.553,-0.34,-0.09,1.01
0.556,-0.34,-0.10,1.01
0.556,-0.34,-0.10,1.00
0.558,-0.34,-0.10,1.00
0.560,-0.34,-0.10,1.01
0.562,-0.34,-0.09,1.01
0.564,-0.33,-0.09,1.01
0.569,-0.33,-0.08,1.01
0.569,-0.33,-0.07,1.01
0.570,-0.33,-0.06,1.01
0.572,-0.32,-0.05,1.01
0.574,-0.32,-0.05,1.01
0.576,-0.31,-0.05,1.01
0.578,-0.30,-0.04,1.01
0.580,-0.30,-0.04,1.01
0.582,-0.29,-0.04,1.01
0.587,-0.29,-0.04,1.01
0.587,-0.28,-0.04,1.00
0.588,-0.27,-0.04,1.01
0.590,-0.27,-0.04,1.01
0.592,-0.26,-0.04,1.01
0.594,-0.26,-0.04,1.01
0.596,-0.26,-0.04,1.01
0.607,-0.25,-0.04,1.01
0.607,-0.24,-0.04,1.01
0.608,-0.24,-0.04,1.01
0.608,-0.24,-0.04,1.01
0.608,-0.23,-0.03,1.01
0.608,-0.23,-0.03,1.01
0.614,-0.22,-0.02,1.01
0.615,-0.22,-0.02,1.01
0.615,-0.22,-0.01,1.00
0.616,-0.22,-0.01,1.00
0.625,-0.22,-0.00,1.00
0.625,-0.22,0.00,1.01
0.626,-0.23,0.00,1.01
0.626,-0.23,0.01,1.00
0.626,-0.23,0.00,1.01
0.628,-0.24,0.00,1.01
0.630,-0.24,0.00,1.01
0.632,-0.24,0.00,1.01
0.637,-0.24,0.00,1.01
0.638,-0.24,0.00,1.01
0.641,-0.24,0.01,1.01
0.642,-0.24,0.00,1.01
0.642,-0.24,-0.01,1.01
0.644,-0.23,-0.02,1.01
0.646,-0.23,-0.04,1.01
0.648,-0.22,-0.06,1.01
0.655,-0.22,-0.07,1.01
0.655,-0.22,-0.08,1.00
0.656,-0.22,-0.09,1.00
0.657,-0.22,-0.10,1.00
0.662,-0.22,-0.11,1.01
0.662,-0.23,-0.11,1.01
0.663,-0.23,-0.11,1.00
0.664,-0.23,-0.11,1.00
0.669,-0.23,-0.12,1.01
0.669,-0.23,-0.12,1.00
0.670,-0.23,-0.12,1.00
0.674,-0.23,-0.12,1.01
0.674,-0.22,-0.13,1.01
0.676,-0.22,-0.13,1.01
0.678,-0.21,-0.14,1.01
0.680,-0.20,-0.15,1.01
0.682,-0.19,-0.15,1.01
0.686,-0.19,-0.15,1.01
0.686,-0.19,-0.15,1.01
0.688,-0.19,-0.15,1.01
0.691,-0.19,-0.15,1.01
0.692,-0.19,-0.14,1.01
0.697,-0.20,-0.13,1.01
0.698,-0.20,-0.12,1.01
0.699,-0.19,-0.11,1.01
0.704,-0.19,-0.10,1.01
0.704,-0.19,-0.09,1.01
0.705,-0.19,-0.09,1.01
0.706,-0.18,-0.09,1.01
0.708,-0.18,-0.09,1.01
0.711,-0.18,-0.10,1.01
0.712,-0.18,-0.10,1.01
0.714,-0.19,-0.11,1.01
0.716,-0.19,-0.12,1.01
0.721,-0.18,-0.12,1.01
0.722,-0.19,-0.13,1.01
0.723,-0.19,-0.13,1.00
0.724,-0.19,-0.13,1.01
0.726,-0.18,-0.13,1.01
0.728,-0.18,-0.12,1.01
0.730,-0.18,-0.12,1.01
0.732,-0.18,-0.12,1.01
0.738,-0.18,-0.11,1.01
0.738,-0.18,-0.11,1.01
0.738,-0.18,-0.11,1.01
0.741,-0.18,-0.10,1.01
0.742,-0.18,-0.10,1.01
0.744,-0.18,-0.10,1.00
0.746,-0.18,-0.10,1.01
0.748,-0.19,-0.11,1.01
0.750,-0.19,-0.11,1.01
0.753,-0.20,-0.12,1.01
0.756,-0.21,-0.12,1.01
0.756,-0.23,-0.13,1.01
0.758,-0.24,-0.13,1.01
0.761,-0.25,-0.14,1.01
0.762,-0.25,-0.15,1.01
0.764,-0.25,-0.16,1.01
0.766,-0.25,-0.17,1.00
0.769,-0.24,-0.18,1.01
0.770,-0.24,-0.19,1.00
0.772,-0.23,-0.19,1.00
0.774,-0.21,-0.20,1.00
0.776,-0.20,-0.20,1.00
0.778,-0.19,-0.21,1.01
0.780,-0.18,-0.21,1.01
0.782,-0.18,-0.21,1.00
0.786,-0.17,-0.21,1.01
0.786,-0.16,-0.22,1.00
0.788,-0.15,-0.22,1.01
