time,x,y,z
0.015,0.00,0.00,1.01
0.016,0.00,0.00,1.01
0.018,0.00,0.00,1.01
0.019,0.00,-0.00,1.01
0.020,0.00,-0.00,1.01
0.020,0.00,0.00,1.01
0.020,0.00,0.00,1.01
0.021,0.00,0.00,1.01
0.021,0.00,0.00,1.01
0.021,0.00,0.00,1.01
0.021,0.00,0.00,1.01
0.026,0.00,0.00,1.01
0.027,0.00,0.00,1.01
0.028,0.00,0.00,1.01
0.029,0.00,0.00,1.01
0.033,0.00,0.00,1.01
0.034,0.00,0.00,1.01
0.035,0.00,0.00,1.01
0.037,0.00,0.00,1.01
0.039,0.00,0.00,1.01
0.041,0.00,0.00,1.01
0.044,0.00,0.00,1.01
0.044,0.00,0.00,1.01
0.051,0.00,0.00,1.01
0.052,0.00,0.00,1.00
0.052,0.00,0.00,1.00
0.052,0.00,0.00,1.00
0.055,0.00,0.00,1.00
0.059,0.00,0.00,1.00
0.060,0.00,0.00,1.00
0.061,0.00,0.00,1.01
0.065,0.00,0.00,1.01
0.067,0.00,0.00,1.01
0.069,0.00,0.00,1.01
0.072,0.00,0.00,1.01
0.072,0.00,0.00,1.01
0.072,0.00,0.00,1.01
0.075,0.00,0.00,1.01
0.077,0.00,0.00,1.01
0.079,0.00,0.00,1.01
0.082,0.00,0.00,1.01
0.083,0.00,0.00,1.01
0.085,0.00,0.00,1.01
0.087,0.00,0.00,1.01
0.089,0.00,0.00,1.01
0.091,0.00,0.00,1.01
0.093,0.00,0.00,1.01
0.094,0.00,0.00,1.00
0.110,0.00,0.00,1.00
0.111,0.00,0.00,1.00
0.111,0.00,0.00,1.00
0.112,0.00,0.00,1.00
0.112,0.00,0.00,1.00
0.112,0.00,0.00,1.00
0.112,0.00,0.00,1.00
0.113,0.00,0.00,0.99
0.113,0.00,0.00,0.99
0.116,0.00,0.00,1.00
0.118,0.00,0.00,1.01
0.118,0.00,0.00,1.01
0.121,0.00,0.00,1.01
0.123,0.00,0.00,1.00
0.125,0.00,-0.00,1.01
0.126,0.00,-0.00,1.01
0.129,0.00,-0.00,1.01
0.132,0.00,-0.00,1.01
0.133,0.00,-0.00,1.01
0.134,0.00,-0.00,1.01
0.137,0.00,-0.00,1.01
0.139,0.00,0.00,1.01
0.141,0.00,0.00,1.01
0.143,0.00,0.00,1.00
0.145,0.00,0.00,1.00
0.149,0.00,0.00,1.00
0.150,0.00,0.00,1.00
0.152,0.00,0.00,1.00
0.153,0.00,0.00,1.00
0.155,0.00,0.00,1.00
0.157,0.00,0.00,1.00
0.159,0.00,0.00,1.01
0.161,0.00,0.00,1.01
0.163,0.00,0.00,1.01
0.167,0.00,0.00,1.01
0.168,0.00,0.00,1.01
0.169,0.00,0.00,1.01
0.170,0.00,0.00,1.01
0.173,0.00,0.00,1.01
0.174,0.00,0.00,1.01
0.176,0.00,0.00,1.01
0.178,0.00,0.00,1.01
0.184,0.00,0.00,1.01
0.185,0.00,0.00,1.01
0.186,0.00,0.00,1.01
0.186,0.00,0.00,1.00
0.189,0.00,0.00,1.00
0.191,0.00,0.00,1.01
0.192,0.00,0.00,1.01
0.194,0.00,0.00,1.01
0.197,0.00,0.00,1.01
0.201,0.00,0.00,1.01
0.212,0.00,0.00,1.01
0.212,-0.00,0.00,1.01
0.212,-0.00,0.00,1.01
0.212,-0.00,0.00,1.00
0.213,0.00,0.00,1.00
0.214,0.00,0.00,1.00
0.215,0.00,0.00,1.00
0.215,0.00,0.00,1.01
0.227,0.00,0.00,1.01
0.227,0.00,0.00,1.01
0.227,0.00,0.00,1.01
0.227,0.00,0.00,1.01
0.228,0.00,0.00,1.01
0.228,0.00,0.00,1.01
0.228,0.00,0.00,1.01
0.233,0.00,0.00,1.01
0.233,0.00,0.00,1.01
0.235,0.00,0.00,1.01
0.237,0.00,0.00,1.01
0.240,0.00,0.00,1.01
0.240,0.00,0.00,1.01
0.243,0.00,0.00,1.00
0.244,0.00,0.00,1.00
0.246,0.00,0.00,0.99
0.262,0.00,0.00,0.99
0.262,0.00,-0.00,0.99
0.263,0.00,-0.00,0.99
0.263,0.00,-0.00,1.00
0.265,-0.00,-0.00,1.02
0.265,-0.00,-0.00,1.02
0.265,-0.00,-0.00,1.02
0.265,0.00,-0.00,1.02
0.266,0.00,-0.00,1.01
0.279,0.00,-0.00,1.01
0.279,0.00,-0.00,1.01
0.279,0.00,0.00,1.01
0.279,0.00,0.00,1.00
0.280,0.00,-0.00,1.00
0.282,0.00,0.00,1.00
0.282,0.00,0.00,1.01
0.283,0.00,-0.00,1.01
0.283,0.00,-0.00,1.01
0.296,0.00,0.00,1.01
0.297,0.00,0.00,1.01
0.298,0.00,0.00,1.01
0.298,0.00,0.00,1.01
0.298,0.00,0.00,1.01
0.299,0.00,-0.00,1.00
0.300,0.00,-0.00,1.00
0.301,0.00,-0.00,1.00
0.302,0.00,-0.00,1.00
0.311,0.00,-0.00,1.00
0.312,0.00,-0.00,1.00
0.312,0.00,-0.00,1.00
0.313,0.00,0.00,1.01
0.313,0.00,0.00,1.01
0.313,0.00,-0.00,1.01
0.317,0.00,-0.00,1.01
0.317,0.00,-0.00,1.01
0.319,0.00,-0.00,1.01
0.321,-0.00,-0.00,1.01
0.322,-0.00,-0.00,1.01
0.324,-0.00,-0.00,1.01
0.326,-0.00,-0.00,1.01
0.328,-0.00,-0.00,1.01
0.333,-0.00,-0.00,1.01
0.333,-0.00,-0.00,1.01
0.335,-0.00,-0.00,1.01
0.336,-0.00,0.00,1.01
0.338,-0.00,0.00,1.01
0.341,-0.00,0.00,1.01
0.343,-0.00,0.00,1.01
0.344,-0.00,0.00,1.01
0.346,-0.00,0.00,1.01
0.351,-0.00,0.00,1.01
0.352,-0.00,0.00,1.01
0.353,-0.00,0.00,1.01
0.354,-0.00,0.00,1.01
0.357,-0.00,0.00,1.01
0.359,-0.00,0.00,1.01
0.361,-0.00,0.00,1.01
0.362,-0.00,0.00,1.01
0.367,-0.00,0.00,1.01
0.368,-0.00,0.00,1.01
0.369,-0.00,0.00,1.01
0.371,-0.00,0.00,1.01
0.373,-0.00,0.00,1.01
0.375,-0.00,0.00,1.01
0.376,-0.00,0.00,1.00
0.378,-0.00,0.00,1.00
0.380,-0.00,0.00,1.01
0.396,-0.00,0.00,1.01
0.397,-0.00,0.00,1.01
0.397,-0.00,0.00,1.01
