time,x,y,z
0.013,-0.01,-0.00,1.00
0.014,-0.00,-0.00,1.00
0.014,-0.00,-0.00,1.00
0.014,-0.01,-0.00,1.00
0.014,-0.01,-0.00,1.00
0.015,-0.01,-0.00,1.00
0.015,-0.01,-0.00,1.00
0.015,-0.01,-0.00,1.00
0.018,-0.01,-0.00,1.00
0.018,-0.01,-0.00,1.00
0.021,-0.01,-0.00,1.00
0.023,-0.01,-0.00,1.00
0.024,-0.01,-0.00,1.00
0.027,-0.01,-0.00,1.00
0.036,-0.01,-0.00,1.00
0.037,-0.01,-0.00,1.00
0.037,-0.01,-0.00,1.00
0.037,-0.01,-0.00,1.00
0.037,-0.01,-0.00,1.00
0.039,-0.01,-0.00,1.01
0.040,-0.01,-0.00,1.01
0.042,-0.01,-0.00,1.01
0.044,-0.01,-0.00,1.01
0.049,-0.01,-0.00,1.01
0.049,-0.01,-0.00,1.01
0.050,-0.01,-0.00,1.01
0.054,-0.01,-0.00,1.00
0.055,-0.01,-0.00,1.00
0.057,-0.01,-0.00,1.00
0.058,-0.01,-0.00,1.00
0.060,-0.01,-0.00,1.00
0.064,-0.01,-0.00,1.00
0.065,-0.01,-0.00,1.00
0.066,-0.01,-0.00,1.01
0.069,-0.01,-0.00,1.01
0.071,-0.01,-0.00,1.01
0.072,-0.01,-0.00,1.00
0.074,-0.01,-0.00,1.00
0.076,-0.01,-0.00,1.00
0.081,-0.01,-0.00,1.00
0.081,-0.01,-0.00,1.00
0.083,-0.01,-0.00,1.01
0.084,-0.01,-0.00,1.01
0.086,-0.01,-0.00,1.01
0.088,-0.01,-0.00,1.01
0.090,-0.01,-0.00,1.01
0.092,-0.01,-0.00,1.01
0.094,-0.01,-0.00,1.01
0.107,-0.01,-0.00,1.00
0.108,-0.01,-0.00,1.00
0.108,-0.01,-0.00,1.00
0.108,-0.01,-0.00,1.01
0.108,-0.01,-0.00,1.01
0.109,-0.01,-0.00,1.01
0.109,-0.01,-0.00,1.00
0.110,-0.01,-0.00,1.00
0.115,-0.01,-0.00,1.00
0.116,-0.01,-0.00,1.00
0.117,-0.01,-0.00,1.00
0.119,-0.01,-0.00,1.00
0.120,-0.01,-0.00,1.00
0.123,-0.01,-0.00,1.00
0.124,-0.01,-0.00,1.00
0.126,-0.01,-0.00,1.00
0.129,-0.01,-0.00,1.00
0.132,-0.01,-0.00,1.00
0.132,-0.01,-0.00,1.00
0.134,-0.01,-0.00,1.00
0.136,-0.01,-0.00,1.00
0.138,-0.01,-0.00,1.00
0.141,-0.01,-0.00,1.00
0.142,-0.01,-0.00,1.00
0.144,-0.01,-0.00,1.00
0.158,-0.01,-0.00,1.00
0.159,-0.01,-0.00,1.00
0.159,-0.01,-0.00,1.00
0.159,-0.01,-0.00,1.00
0.159,-0.01,-0.00,1.00
0.160,-0.01,-0.00,1.00
0.160,-0.01,-0.00,1.00
0.160,-0.02,-0.00,1.00
0.165,-0.01,-0.00,1.00
0.165,-0.01,-0.00,1.00
0.167,-0.01,-0.00,1.00
0.171,-0.01,-0.00,1.00
0.171,-0.01,-0.00,1.00
0.173,-0.01,-0.00,1.00
0.174,-0.01,-0.00,1.00
0.176,-0.01,-0.00,1.00
0.179,-0.01,-0.00,1.00
0.193,-0.01,-0.00,1.00
0.193,-0.01,-0.00,1.00
0.193,-0.01,-0.00,1.00
0.194,-0.00,-0.00,1.00
0.194,-0.00,-0.00,1.00
0.194,-0.00,-0.00,1.00
0.195,-0.00,-0.00,1.00
0.195,-0.00,-0.00,1.01
0.199,-0.00,-0.00,1.01
0.201,-0.00,-0.00,1.01
0.211,-0.00,-0.00,1.01
0.212,-0.00,-0.00,1.01
0.212,-0.00,-0.00,1.01
0.213,-0.00,-0.00,1.01
0.213,-0.00,-0.00,1.01
0.213,-0.00,-0.00,1.01
0.214,-0.00,-0.00,1.00
0.225,-0.00,-0.00,1.00
0.225,-0.00,-0.00,1.00
0.225,-0.00,-0.00,1.00
0.226,-0.00,0.00,1.00
0.226,-0.00,0.00,1.00
0.226,-0.00,-0.00,1.00
0.227,-0.00,-0.00,1.00
0.228,-0.00,0.00,1.00
0.231,-0.00,0.00,1.00
0.233,-0.00,0.00,1.00
0.235,-0.00,0.00,1.00
0.236,-0.00,0.00,1.00
0.238,-0.01,0.00,1.00
0.240,-0.01,-0.00,1.00
0.242,-0.01,-0.00,1.01
0.244,-0.01,-0.00,1.01
0.248,-0.01,-0.00,1.00
0.249,-0.01,-0.00,1.00
0.251,-0.01,-0.00,1.00
0.252,-0.01,-0.00,1.00
0.254,-0.01,-0.00,1.00
0.257,-0.01,-0.00,1.00
0.258,0.01,0.01,1.01
0.260,0.02,0.03,1.01
0.266,-0.09,0.05,1.01
0.267,-0.27,0.06,1.01
0.267,-0.37,0.05,1.01
0.269,-0.40,0.04,1.01
0.270,-0.36,0.03,1.01
0.272,-0.29,0.02,1.01
0.274,-0.22,0.01,1.01
0.276,-0.17,0.00,1.00
0.278,-0.17,0.00,1.01
0.292,-0.21,0.00,1.01
0.292,-0.25,0.00,1.00
0.292,-0.27,0.00,1.00
0.293,-0.29,0.01,1.00
0.293,-0.30,0.01,1.00
0.293,-0.30,0.01,1.01
0.293,-0.30,0.00,1.01
0.294,-0.30,0.00,1.01
0.299,-0.29,-0.00,1.01
0.300,-0.29,-0.01,1.01
0.301,-0.28,-0.01,1.01
0.302,-0.28,-0.01,1.01
0.304,-0.27,-0.02,1.01
0.306,-0.26,-0.02,1.01
0.308,-0.25,-0.02,1.01
0.310,-0.24,-0.02,1.01
0.313,-0.23,-0.03,1.01
0.326,-0.22,-0.03,1.00
0.327,-0.22,-0.03,1.00
0.327,-0.22,-0.04,1.00
0.327,-0.21,-0.04,1.00
0.327,-0.20,-0.05,1.01
0.328,-0.20,-0.05,1.00
0.328,-0.20,-0.05,1.00
0.328,-0.19,-0.06,1.00
0.334,-0.18,-0.06,1.00
0.334,-0.17,-0.06,1.00
0.335,-0.16,-0.07,1.00
0.337,-0.15,-0.07,1.00
0.339,-0.15,-0.07,1.01
0.341,-0.15,-0.08,1.01
0.342,-0.15,-0.08,1.01
0.344,-0.15,-0.08,1.00
0.351,-0.14,-0.08,1.00
0.352,-0.14,-0.08,1.01
0.352,-0.13,-0.08,1.01
0.352,-0.13,-0.08,1.00
0.355,-0.14,-0.08,1.00
0.357,-0.14,-0.07,1.00
0.358,-0.14,-0.07,1.01
0.361,-0.13,-0.07,1.00
0.363,-0.13,-0.07,1.00
0.366,-0.13,-0.06,1.00
0.367,-0.13,-0.06,1.00
0.368,-0.13,-0.06,1.00
0.370,-0.13,-0.06,1.00
0.373,-0.13,-0.06,1.01
0.374,-0.13,-0.06,1.00
0.376,-0.13,-0.06,1.00
0.378,-0.13,-0.06,1.00
0.382,-0.12,-0.06,1.00
0.383,-0.12,-0.06,1.01
0.385,-0.13,-0.06,1.01
0.387,-0.13,-0.06,1.00
0.388,-0.12,-0.06,1.01
0.390,-0.13,-0.07,1.01
0.392,-0.15,-0.07,1.00
0.394,-0.16,-0.08,1.00
0.402,-0.16,-0.09,1.00
0.403,-0.17,-0.09,1.00
0.418,-0.18,-0.09,1.00
0.418,-0.18,-0.10,1.00
0.418,-0.17,-0.10,1.01
0.418,-0.17,-0.10,1.00
0.419,-0.16,-0.10,1.01
0.419,-0.15,-0.09,1.01
0.419,-0.15,-0.09,1.00
0.419,-0.15,-0.09,1.00
0.419,-0.15,-0.09,1.00
0.420,-0.14,-0.09,1.00
0.424,-0.13,-0.09,1.00
0.425,-0.13,-0.09,1.01
0.425,-0.13,-0.09,1.01
0.426,-0.12,-0.08,1.01
0.428,-0.12,-0.08,1.00
0.436,-0.11,-0.08,1.00
0.437,-0.11,-0.08,1.01
0.437,-0.10,-0.07,1.00
0.439,-0.11,-0.07,1.00
0.439,-0.11,-0.07,1.00
0.441,-0.11,-0.07,1.00
0.443,-0.11,-0.07,1.00
0.444,-0.11,-0.07,1.01
0.452,-0.11,-0.06,1.01
0.453,-0.10,-0.06,1.01
0.453,-0.10,-0.06,1.01
0.453,-0.09,-0.06,1.01
0.454,-0.08,-0.06,1.00
0.457,-0.08,-0.05,1.01
0.459,-0.08,-0.05,1.01
0.461,-0.08,-0.05,1.00
0.463,-0.07,-0.05,1.00
0.471,-0.07,-0.05,1.01
0.472,-0.06,-0.05,1.00
0.472,-0.07,-0.05,1.00
0.472,-0.07,-0.05,1.01
0.473,-0.07,-0.05,1.01
0.474,-0.06,-0.05,1.00
0.477,-0.05,-0.05,1.00
0.478,-0.04,-0.05,1.00
0.483,-0.03,-0.05,1.00
0.484,-0.03,-0.05,1.00
0.485,-0.02,-0.05,1.01
0.487,-0.02,-0.05,1.01
0.488,-0.02,-0.05,1.00
0.490,-0.02,-0.05,1.00
0.493,-0.02,-0.05,1.00
0.494,-0.01,-0.05,1.00
0.499,-0.01,-0.06,1.00
0.500,-0.00,-0.06,1.00
0.502,-0.01,-0.06,1.00
0.502,-0.01,-0.06,1.00
0.509,-0.01,-0.06,1.00
0.509,-0.01,-0.06,1.00
0.510,0.00,-0.06,1.00
0.510,0.00,-0.07,1.01
0.512,0.00,-0.07,1.01
0.517,0.00,-0.07,1.01
0.517,-0.00,-0.07,1.00
0.519,-0.01,-0.08,1.00
0.521,-0.01,-0.08,1.00
0.523,-0.00,-0.09,1.00
0.525,-0.00,-0.09,1.00
0.527,-0.00,-0.09,1.00
0.528,-0.00,-0.10,1.00
0.533,0.00,-0.10,1.00
0.533,0.01,-0.10,1.00
0.535,0.01,-0.10,1.00
0.536,0.01,-0.10,1.01
0.538,0.01,-0.10,1.01
0.541,0.02,-0.10,1.01
0.542,0.02,-0.10,1.01
0.544,0.03,-0.10,1.00
0.546,0.02,-0.10,1.01
0.550,0.02,-0.10,1.01
0.552,0.03,-0.10,1.00
0.554,0.03,-0.10,1.00
0.554,0.03,-0.10,1.00
0.556,0.04,-0.10,1.00
0.558,0.04,-0.10,1.00
0.560,0.04,-0.10,1.00
0.562,0.04,-0.09,1.01
0.569,0.04,-0.09,1.00
0.569,0.04,-0.10,1.00
0.569,0.04,-0.10,1.00
0.570,0.04,-0.10,1.00
0.572,0.03,-0.10,1.00
0.574,0.03,-0.10,1.00
0.577,0.04,-0.10,1.01
0.578,0.04,-0.10,1.01
0.584,0.05,-0.10,1.01
0.585,0.05,-0.10,1.01
0.587,0.05,-0.10,1.00
0.587,0.06,-0.10,1.00
0.589,0.07,-0.09,1.00
0.590,0.08,-0.09,1.01
0.593,0.08,-0.08,1.01
0.595,0.07,-0.08,1.00
0.596,0.06,-0.08,1.00
0.604,0.06,-0.08,1.00
0.615,0.06,-0.08,1.01
0.616,0.06,-0.07,1.01
0.616,0.06,-0.07,1.01
0.617,0.07,-0.07,1.01
0.617,0.08,-0.07,1.01
0.617,0.09,-0.06,1.01
0.617,0.09,-0.06,1.01
0.617,0.09,-0.06,1.01
0.618,0.10,-0.06,1.01
0.622,0.09,-0.06,1.00
0.622,0.09,-0.06,1.00
0.623,0.10,-0.06,1.01
0.625,0.10,-0.06,1.01
0.626,0.10,-0.06,1.01
0.629,0.10,-0.07,1.00
0.635,0.10,-0.07,1.00
0.636,0.11,-0.07,1.00
0.636,0.12,-0.07,1.00
0.636,0.13,-0.06,1.00
0.639,0.13,-0.06,1.00
0.643,0.12,-0.06,1.00
0.644,0.12,-0.06,1.00
0.645,0.13,-0.06,1.00
0.646,0.13,-0.06,1.00
0.651,0.14,-0.06,1.01
0.653,0.14,-0.06,1.01
0.654,0.14,-0.06,1.01
0.654,0.14,-0.05,1.00
0.657,0.14,-0.06,1.00
0.659,0.13,-0.06,1.00
0.660,0.13,-0.06,1.00
0.662,0.14,-0.06,1.00
0.669,0.14,-0.06,1.01
0.670,0.14,-0.06,1.01
0.670,0.14,-0.06,1.01
0.670,0.15,-0.05,1.00
0.673,0.15,-0.05,1.00
0.674,0.16,-0.05,1.00
0.677,0.16,-0.05,1.00
0.678,0.16,-0.04,1.00
0.680,0.16,-0.04,1.01
0.685,0.16,-0.04,1.01
0.686,0.15,-0.04,1.00
0.686,0.15,-0.04,1.00
0.688,0.15,-0.04,1.00
0.690,0.15,-0.04,1.00
0.693,0.15,-0.04,1.00
0.694,0.15,-0.03,1.00
0.696,0.15,-0.03,1.00
0.700,0.15,-0.03,1.00
0.701,0.15,-0.04,1.01
0.702,0.15,-0.04,1.01
0.704,0.15,-0.04,1.01
0.706,0.15,-0.04,1.00
0.708,0.15,-0.04,1.00
0.710,0.15,-0.04,1.01
0.712,0.15,-0.05,1.01
0.719,0.14,-0.05,1.00
0.719,0.14,-0.05,1.00
0.719,0.14,-0.05,1.01
0.720,0.14,-0.05,1.00
0.722,0.14,-0.06,1.00
0.724,0.14,-0.06,1.00
0.726,0.14,-0.05,1.01
0.728,0.15,-0.05,1.01
0.730,0.15,-0.05,1.00
0.737,0.15,-0.04,1.00
0.737,0.15,-0.04,1.01
0.737,0.14,-0.04,1.01
0.738,0.14,-0.04,1.00
0.741,0.14,-0.03,1.00
0.742,0.13,-0.03,1.00
0.745,0.13,-0.03,1.01
0.746,0.13,-0.03,1.01
0.749,0.13,-0.03,1.00
0.753,0.12,-0.03,1.00
0.754,0.12,-0.03,1.01
0.754,0.13,-0.03,1.00
0.756,0.13,-0.03,1.00
0.758,0.13,-0.03,1.01
0.761,0.13,-0.03,1.01
0.762,0.13,-0.03,1.01
0.769,0.13,-0.03,1.00
0.770,0.13,-0.03,1.01
0.771,0.13,-0.04,1.01
0.771,0.12,-0.04,1.00
0.772,0.12,-0.05,1.00
0.774,0.12,-0.06,1.00
0.776,0.12,-0.06,1.00
0.778,0.12,-0.06,1.00
0.780,0.12,-0.05,1.00
0.786,0.12,-0.05,1.01
0.787,0.12,-0.05,1.00
0.787,0.13,-0.05,1.00
0.788,0.13,-0.04,1.01
0.790,0.13,-0.04,1.00
0.793,0.13,-0.04,1.01
0.794,0.13,-0.04,1.01
0.796,0.13,-0.05,1.00
0.802,0.13,-0.06,1.00
0.816,0.12,-0.06,1.00
0.816,0.12,-0.07,1.01
0.816,0.12,-0.07,1.00
0.817,0.12,-0.07,1.00
0.817,0.12,-0.07,1.00
0.817,0.11,-0.08,1.00
0.818,0.11,-0.08,1.01
0.818,0.12,-0.07,1.00
0.819,0.12,-0.07,1.01
0.819,0.12,-0.06,1.01
0.824,0.12,-0.05,1.00
0.824,0.13,-0.04,1.00
0.825,0.12,-0.04,1.00
0.826,0.12,-0.03,1.00
0.829,0.13,-0.03,1.00
0.831,0.13,-0.02,1.00
0.835,0.13,-0.01,1.00
0.836,0.13,-0.01,1.00
0.837,0.13,-0.00,1.01
0.839,0.13,0.00,1.00
0.841,0.13,0.01,1.00
0.842,0.13,0.01,1.00
0.844,0.12,0.01,1.01
0.846,0.12,0.01,1.01
0.851,0.12,0.01,1.01
0.852,0.12,0.01,1.01
0.852,0.12,0.01,1.00
0.855,0.12,0.01,1.00
0.856,0.12,0.01,1.01
0.859,0.12,0.01,1.01
0.861,0.12,0.01,1.00
0.863,0.12,0.01,1.00
0.864,0.11,0.00,1.00
0.869,0.11,-0.00,1.01
0.869,0.11,-0.00,1.00
0.870,0.11,-0.00,1.00
0.873,0.11,-0.00,1.01
0.875,0.11,-0.00,1.01
0.877,0.11,-0.00,1.00
0.878,0.11,0.00,1.00
0.880,0.11,0.01,1.00
0.885,0.12,0.01,1.00
0.885,0.12,0.01,1.00
0.887,0.12,0.01,1.00
0.888,0.12,0.01,1.00
0.891,0.12,0.01,1.01
0.892,0.13,0.02,1.01
0.894,0.13,0.01,1.00
0.896,0.13,0.01,1.00
0.902,0.13,0.01,1.00
0.903,0.13,0.01,1.00
0.903,0.13,0.01,1.00
0.905,0.14,0.02,1.00
0.906,0.14,0.01,1.00
0.908,0.15,0.00,1.00
0.911,0.15,-0.00,1.00
0.912,0.16,-0.01,1.00
0.914,0.16,-0.02,1.00
0.921,0.16,-0.02,1.00
0.921,0.16,-0.02,1.00
0.922,0.16,-0.02,1.00
0.922,0.16,-0.02,1.01
0.925,0.16,-0.01,1.01
0.926,0.16,-0.01,1.00
0.928,0.16,-0.00,1.00
0.930,0.16,-0.00,1.01
0.936,0.16,0.00,1.01
0.938,0.16,0.01,1.00
0.940,0.17,0.01,1.01
0.941,0.17,0.01,1.01
0.941,0.17,0.02,1.01
0.943,0.17,0.02,1.00
0.944,0.17,0.02,1.00
0.946,0.17,0.02,1.01
0.948,0.17,0.02,1.01
0.951,0.17,0.02,1.01
0.954,0.17,0.02,1.01
0.954,0.17,0.02,1.00
0.956,0.17,0.02,1.00
0.958,0.17,0.03,1.01
0.961,0.17,0.03,1.00
0.963,0.17,0.03,1.00
0.964,0.17,0.04,1.00
0.967,0.17,0.04,1.00
0.968,0.16,0.05,1.01
0.971,0.15,0.06,1.01
0.972,0.15,0.06,1.00
0.975,0.14,0.06,1.01
0.976,0.14,0.07,1.01
0.978,0.14,0.08,1.01
0.980,0.14,0.08,1.01
0.985,0.14,0.08,1.01
0.986,0.14,0.08,1.01
0.987,0.14,0.08,1.01
0.989,0.13,0.08,1.01
0.990,0.13,0.07,1.01
0.993,0.13,0.07,1.01
0.994,0.14,0.07,1.01
0.996,0.14,0.06,1.01
0.998,0.14,0.06,1.01
1.008,0.15,0.06,1.00
1.008,0.15,0.06,1.00
1.009,0.14,0.06,1.00
1.009,0.14,0.06,1.00
1.009,0.14,0.07,1.00
1.013,0.13,0.07,1.00
1.014,0.13,0.07,1.00
1.014,0.13,0.06,1.00
1.027,0.13,0.07,1.00
1.027,0.13,0.07,1.01
1.027,0.13,0.07,1.01
1.027,0.14,0.07,1.00
1.028,0.14,0.07,1.01
1.029,0.13,0.07,1.00
1.029,0.14,0.07,1.00
1.032,0.14,0.07,1.01
1.033,0.13,0.07,1.01
1.041,0.13,0.07,1.00
1.041,0.13,0.08,1.00
1.041,0.12,0.08,1.01
1.042,0.12,0.08,1.01
1.042,0.13,0.08,1.01
1.044,0.13,0.08,1.01
1.047,0.12,0.08,1.01
1.048,0.12,0.08,1.01
1.051,0.11,0.08,1.01
1.053,0.11,0.08,1.01
1.054,0.11,0.09,1.01
1.056,0.11,0.09,1.01
1.058,0.11,0.09,1.00
1.062,0.12,0.08,1.00
1.063,0.12,0.08,1.00
1.064,0.12,0.08,1.01
1.073,0.11,0.08,1.00
1.073,0.11,0.08,1.00
1.073,0.11,0.07,1.00
1.074,0.10,0.07,1.00
1.075,0.10,0.07,1.01
1.077,0.09,0.06,1.01
1.079,0.09,0.06,1.00
1.080,0.09,0.06,1.01
1.087,0.08,0.05,1.00
1.088,0.08,0.05,1.00
1.088,0.08,0.05,1.00
1.088,0.08,0.05,1.01
1.090,0.09,0.04,1.01
1.093,0.09,0.04,1.00
1.094,0.09,0.03,1.00
1.096,0.08,0.03,1.00
1.098,0.07,0.03,1.01
1.102,0.06,0.03,1.01
1.103,0.05,0.03,1.01
1.105,0.04,0.03,1.00
1.106,0.05,0.03,1.00
1.109,0.05,0.03,1.00
1.111,0.05,0.03,1.00
1.113,0.05,0.03,1.00
1.114,0.05,0.03,1.00
1.122,0.05,0.03,1.00
1.123,0.06,0.02,1.01
1.123,0.06,0.02,1.01
1.124,0.07,0.02,1.01
1.124,0.07,0.02,1.01
1.126,0.08,0.02,1.00
1.129,0.07,0.02,1.00
1.130,0.06,0.02,1.01
1.132,0.06,0.02,1.01
1.138,0.05,0.02,1.01
1.138,0.06,0.02,1.01
1.139,0.05,0.02,1.00
1.141,0.05,0.02,1.00
1.143,0.05,0.01,1.00
1.145,0.05,0.01,1.00
1.147,0.04,0.01,1.00
1.148,0.04,0.01,1.00
1.156,0.04,0.01,1.01
1.157,0.04,0.01,1.00
1.157,0.03,0.01,1.00
1.157,0.02,0.01,1.01
1.159,0.02,0.01,1.01
1.160,0.02,0.01,1.00
1.162,0.02,0.01,1.01
1.164,0.02,0.01,1.01
1.170,0.02,0.00,1.00
1.170,0.02,-0.00,1.00
1.171,0.02,-0.00,1.01
1.173,0.02,-0.01,1.00
1.175,0.02,-0.01,1.00
1.177,0.02,-0.01,1.00
1.178,0.02,-0.00,1.00
1.180,0.01,-0.00,1.01
1.183,0.01,-0.00,1.01
1.187,0.01,-0.00,1.01
1.187,0.01,-0.00,1.00
1.189,0.00,0.00,1.00
1.191,0.00,0.00,1.01
1.194,0.00,0.01,1.00
1.194,0.00,0.01,1.00
1.196,0.00,0.00,1.01
1.198,0.00,0.00,1.01
1.209,0.01,0.00,1.00
1.209,0.00,-0.00,0.99
1.210,-0.00,-0.00,1.00
1.210,0.00,-0.00,1.00
1.210,0.01,-0.01,1.00
1.211,0.01,-0.01,1.00
1.214,0.02,-0.02,1.00
1.214,0.01,-0.02,1.00
1.225,0.00,-0.02,1.00
1.225,-0.00,-0.03,1.01
1.225,-0.00,-0.03,1.00
1.225,-0.00,-0.03,1.00
1.226,-0.01,-0.03,1.00
1.227,-0.02,-0.03,1.00
1.228,-0.03,-0.03,1.00
1.230,-0.04,-0.03,1.00
1.233,-0.04,-0.03,1.00
1.237,-0.05,-0.03,1.01
1.237,-0.05,-0.03,1.01
1.239,-0.05,-0.03,1.01
1.241,-0.05,-0.03,1.00
1.242,-0.04,-0.04,1.00
1.245,-0.04,-0.04,1.00
1.246,-0.04,-0.04,1.01
1.248,-0.04,-0.05,1.01
1.254,-0.04,-0.05,1.00
1.254,-0.04,-0.05,1.00
1.255,-0.04,-0.05,1.01
1.256,-0.03,-0.05,1.00
1.260,-0.03,-0.05,1.00
1.260,-0.03,-0.05,1.00
1.263,-0.03,-0.05,1.00
1.264,-0.04,-0.05,1.00
1.268,-0.04,-0.05,1.01
1.269,-0.04,-0.05,1.01
1.270,-0.04,-0.05,1.00
1.272,-0.04,-0.05,1.00
1.274,-0.04,-0.05,1.00
1.276,-0.05,-0.05,1.00
1.278,-0.05,-0.05,1.00
1.280,-0.05,-0.05,1.00
1.282,-0.05,-0.05,1.00
1.289,-0.05,-0.05,1.01
1.289,-0.04,-0.05,1.00
1.289,-0.05,-0.05,1.00
1.291,-0.05,-0.05,1.00
1.293,-0.06,-0.04,1.00
1.294,-0.05,-0.05,1.00
1.296,-0.05,-0.05,1.00
1.298,-0.06,-0.05,1.00
1.303,-0.07,-0.05,1.01
1.303,-0.07,-0.05,1.00
1.305,-0.07,-0.05,1.00
