Date,Time,Elapsed Seconds,Acceleration-X (m/s&#178;),Acceleration-Y (m/s&#178;),Acceleration-Z (m/s&#178;)
2/10/2020,3:22:00 PM,0.00,0.26,-0.27,10.63
2/10/2020,3:22:00 PM,0.05,0.24,-0.26,10.62
2/10/2020,3:22:00 PM,0.10,0.25,-0.27,10.62
2/10/2020,3:22:00 PM,0.15,0.25,-0.27,10.61
2/10/2020,3:22:00 PM,0.20,0.26,-0.27,10.62
2/10/2020,3:22:00 PM,0.25,0.26,-0.27,10.62
2/10/2020,3:22:00 PM,0.30,-0.09,-1.12,10.63
2/10/2020,3:22:00 PM,0.35,-0.41,-1.55,10.64
2/10/2020,3:22:00 PM,0.40,0.44,-1.67,10.6
2/10/2020,3:22:00 PM,0.45,1.12,-0.75,10.63
2/10/2020,3:22:00 PM,0.50,1.46,-0.65,10.66
2/10/2020,3:22:00 PM,0.55,1.24,-0.21,10.59
2/10/2020,3:22:01 PM,0.60,1.42,-0.08,10.63
2/10/2020,3:22:01 PM,0.65,1.45,0.68,10.61
2/10/2020,3:22:01 PM,0.70,1.39,0.81,10.64
2/10/2020,3:22:01 PM,0.75,1.19,0.23,10.64
2/10/2020,3:22:01 PM,0.80,0.99,1.36,10.64
2/10/2020,3:22:01 PM,0.85,0.94,1.11,10.65
2/10/2020,3:22:01 PM,0.90,0.03,1.45,10.56
2/10/2020,3:22:01 PM,0.95,-0.32,1.59,10.61
2/10/2020,3:22:01 PM,1.00,-1.53,0.78,10.6
2/10/2020,3:22:01 PM,1.05,-2.08,0.4,10.67
2/10/2020,3:22:01 PM,1.10,-2.45,-1.06,10.71
2/10/2020,3:22:01 PM,1.15,-1.65,-0.8,10.6
2/10/2020,3:22:01 PM,1.20,-1.1,-0.77,10.62
2/10/2020,3:22:01 PM,1.25,-0.84,-2.08,10.61
2/10/2020,3:22:01 PM,1.30,-0.45,-1.89,10.65
2/10/2020,3:22:01 PM,1.35,-0.46,-2.03,10.6
2/10/2020,3:22:01 PM,1.40,0.24,-1.54,10.6
2/10/2020,3:22:01 PM,1.45,0.34,-1.49,10.66
2/10/2020,3:22:01 PM,1.50,0.1,-1.94,10.61
2/10/2020,3:22:01 PM,1.55,0.89,-1.77,10.67
2/10/2020,3:22:02 PM,1.60,0.94,-1.93,10.65
2/10/2020,3:22:02 PM,1.65,0.71,-2.51,10.62
2/10/2020,3:22:02 PM,1.70,1.55,-1.22,10.64
2/10/2020,3:22:02 PM,1.75,1.04,-1.56,10.65
2/10/2020,3:22:02 PM,1.80,2.09,-0.67,10.59
2/10/2020,3:22:02 PM,1.85,1.69,-0.15,10.56
2/10/2020,3:22:02 PM,1.90,2.15,0.41,10.73
2/10/2020,3:22:02 PM,1.95,1.81,0.95,10.75
2/10/2020,3:22:02 PM,2.00,1.7,0.36,10.67
2/10/2020,3:22:02 PM,2.05,1.54,1.22,10.65
2/10/2020,3:22:02 PM,2.10,1.13,0.83,10.62
2/10/2020,3:22:02 PM,2.15,1.44,1.32,10.65
2/10/2020,3:22:02 PM,2.20,0.53,1.52,10.67
2/10/2020,3:22:02 PM,2.25,-0.2,1.28,10.61
2/10/2020,3:22:02 PM,2.30,-0.6,1.7,10.56
2/10/2020,3:22:02 PM,2.35,-1.31,1.3,10.68
2/10/2020,3:22:02 PM,2.40,-1.96,-0.04,10.67
2/10/2020,3:22:02 PM,2.45,-1.88,-0.81,10.71
2/10/2020,3:22:02 PM,2.50,-1.59,-1.18,10.53
2/10/2020,3:22:02 PM,2.55,-1,-1.47,10.57
2/10/2020,3:22:03 PM,2.60,-0.71,-1.77,10.72
2/10/2020,3:22:03 PM,2.65,-0.39,-1.64,10.59
2/10/2020,3:22:03 PM,2.70,-0.11,-1.66,10.61
2/10/2020,3:22:03 PM,2.75,0.17,-1.87,10.62
2/10/2020,3:22:03 PM,2.80,0.74,-1.9,10.63
2/10/2020,3:22:03 PM,2.85,0.53,-2.17,10.64
2/10/2020,3:22:03 PM,2.90,1.2,-1.17,10.66
2/10/2020,3:22:03 PM,2.95,1.3,-0.28,10.64
2/10/2020,3:22:03 PM,3.00,1.1,-0.48,10.56
2/10/2020,3:22:03 PM,3.05,1.24,-0.07,10.7
2/10/2020,3:22:03 PM,3.10,0.91,-1.23,10.6
2/10/2020,3:22:03 PM,3.15,1.23,-0.06,10.57
2/10/2020,3:22:03 PM,3.20,0.94,-0.12,10.6
2/10/2020,3:22:03 PM,3.25,1.04,0.25,10.59
2/10/2020,3:22:03 PM,3.30,0.87,0.82,10.58
2/10/2020,3:22:03 PM,3.35,0.93,0.49,10.64
