time,x,y,z
0.018,-0.01,-0.00,1.00
0.019,-0.01,-0.00,1.00
0.019,-0.01,-0.00,1.00
0.020,-0.01,0.00,1.00
0.020,-0.01,0.00,1.00
0.020,-0.01,0.00,1.00
0.020,-0.01,0.00,1.00
0.021,-0.01,0.00,1.00
0.021,-0.01,0.00,1.00
0.021,-0.01,0.00,1.00
0.022,-0.01,0.00,1.00
0.024,-0.01,0.00,1.00
0.024,-0.01,0.00,1.00
0.028,-0.01,0.00,1.00
0.029,-0.01,0.00,1.00
0.044,-0.01,0.00,1.00
0.045,-0.01,0.00,1.00
0.045,-0.01,0.00,1.00
0.046,-0.01,0.00,1.00
0.046,-0.01,0.00,1.00
0.046,-0.01,0.00,1.00
0.046,-0.01,0.00,1.00
0.047,-0.01,0.00,1.00
0.064,-0.01,0.00,1.00
0.065,-0.01,0.00,1.00
0.065,-0.01,0.00,1.00
0.065,-0.01,0.00,1.00
0.066,-0.01,0.00,1.00
0.066,-0.01,0.00,1.00
0.066,-0.01,0.00,1.00
0.066,-0.01,0.00,1.00
0.067,-0.01,0.00,1.00
0.067,-0.01,0.00,1.00
0.067,-0.01,0.00,1.00
0.070,-0.01,0.00,1.00
0.071,-0.01,0.00,1.00
0.074,-0.01,0.00,1.00
0.075,-0.01,0.00,1.00
0.076,-0.01,0.00,1.00
0.078,-0.01,0.00,1.00
0.082,-0.01,0.00,1.00
0.084,-0.01,0.00,1.00
0.086,-0.01,0.00,1.00
0.086,-0.01,0.00,1.00
0.089,-0.01,0.00,1.00
0.091,-0.01,0.00,1.00
0.093,-0.01,0.00,1.00
0.094,-0.01,0.00,1.00
0.111,-0.01,0.00,1.00
0.112,-0.01,0.00,1.00
0.112,-0.01,0.00,1.00
0.112,-0.01,0.00,1.00
0.113,-0.01,0.00,1.00
0.113,-0.01,-0.00,1.00
0.113,-0.01,-0.00,1.00
0.114,-0.01,-0.00,1.00
0.114,-0.01,-0.00,1.00
0.116,-0.01,-0.00,1.00
0.118,-0.01,0.00,1.00
0.118,-0.01,0.00,1.00
0.120,-0.01,0.00,1.00
0.123,-0.01,0.00,1.00
0.125,-0.01,0.00,1.00
0.127,-0.01,0.00,1.00
0.130,-0.01,0.00,1.00
0.131,-0.01,0.00,1.00
0.134,-0.01,0.00,1.00
0.134,-0.01,0.00,1.00
0.137,-0.01,0.00,1.00
0.138,-0.01,0.00,1.00
0.141,-0.01,0.00,1.00
0.142,-0.01,0.00,1.00
0.144,-0.01,0.00,1.00
0.149,-0.01,0.00,1.00
0.149,-0.01,0.00,1.00
0.151,-0.01,0.00,1.00
0.152,-0.01,0.00,1.00
0.154,-0.01,0.01,1.00
0.157,-0.01,0.01,1.00
0.160,-0.01,0.01,1.00
0.161,-0.01,0.01,1.00
0.163,-0.01,0.01,1.00
0.178,-0.01,0.01,1.00
0.178,-0.01,0.01,1.00
0.179,-0.01,0.01,1.00
0.179,-0.01,0.01,1.00
0.179,-0.01,0.01,1.00
0.180,-0.01,0.01,1.00
0.180,-0.01,0.01,1.00
0.180,-0.01,0.01,1.00
0.183,-0.01,0.01,1.00
0.184,-0.01,0.00,1.00
0.185,-0.01,0.00,1.00
0.187,-0.01,0.00,1.01
0.189,-0.01,0.00,1.01
0.191,-0.01,0.00,1.00
0.193,-0.01,0.00,1.00
0.195,-0.01,0.00,1.00
0.207,-0.01,0.00,1.00
0.207,-0.01,0.00,1.00
0.218,-0.01,0.00,1.00
0.219,-0.01,-0.00,1.00
0.219,-0.01,-0.00,1.00
0.219,-0.01,-0.00,1.00
0.220,-0.01,-0.00,1.00
0.220,-0.01,-0.00,1.00
0.220,-0.01,-0.00,1.00
0.220,-0.01,-0.00,1.00
0.221,-0.01,-0.00,1.00
0.221,-0.01,-0.00,1.00
0.222,-0.01,-0.00,1.00
0.225,-0.01,-0.00,1.00
0.226,-0.01,-0.00,1.00
0.227,-0.01,-0.00,1.00
0.229,-0.01,-0.00,1.00
0.233,-0.01,-0.01,1.00
0.233,-0.00,-0.01,1.00
0.235,-0.00,-0.01,1.00
0.238,-0.00,-0.01,1.00
0.240,-0.00,-0.00,1.00
0.241,-0.00,-0.00,1.00
0.242,-0.00,-0.00,1.00
0.245,-0.00,-0.00,1.00
0.247,-0.00,-0.00,1.00
0.249,-0.00,-0.00,1.00
0.251,-0.00,-0.00,1.00
0.253,-0.00,-0.00,1.00
0.255,-0.00,-0.00,1.00
0.257,-0.00,-0.00,1.00
0.259,-0.00,-0.00,1.00
0.260,-0.00,-0.00,1.01
0.262,-0.00,-0.00,1.01
0.266,-0.00,-0.00,1.01
0.267,-0.00,-0.00,1.00
0.269,-0.00,-0.00,1.00
