time,x,y,z
0.016,-0.01,-0.00,1.01
0.016,-0.01,-0.00,1.01
0.016,-0.00,-0.00,1.01
0.017,-0.00,-0.00,1.01
0.017,-0.00,-0.00,1.01
0.017,-0.01,-0.00,1.01
0.018,-0.00,-0.00,1.01
0.018,-0.00,-0.00,1.01
0.018,-0.00,0.00,1.01
0.019,-0.00,0.00,1.00
0.021,-0.00,0.00,1.00
0.027,-0.00,0.00,1.00
0.028,-0.00,0.00,1.00
0.028,-0.00,0.00,1.00
0.029,-0.00,0.00,1.00
0.030,-0.00,0.00,1.00
0.034,-0.00,0.00,1.00
0.035,-0.00,0.00,1.00
0.035,-0.00,0.00,1.01
0.038,-0.00,0.00,1.01
0.040,-0.00,0.00,1.01
0.042,-0.00,0.00,1.01
0.044,-0.00,0.00,1.01
0.046,-0.00,0.00,1.01
0.052,-0.00,0.00,1.01
0.052,-0.00,0.00,1.01
0.052,-0.00,0.00,1.01
0.053,-0.00,0.00,1.01
0.055,-0.00,0.00,1.01
0.057,-0.00,0.00,1.01
0.059,-0.00,0.00,1.01
0.061,-0.00,0.00,1.01
0.063,-0.00,0.00,1.00
0.066,-0.00,0.00,1.00
0.068,-0.00,0.00,1.00
0.069,-0.00,0.00,1.00
0.072,-0.00,0.00,1.00
0.074,-0.00,0.00,1.00
0.076,-0.00,0.00,1.00
0.078,-0.00,0.00,1.01
0.080,-0.00,0.00,1.01
0.095,-0.00,0.00,1.01
0.096,-0.00,0.00,1.01
0.096,-0.00,0.00,1.01
0.096,-0.00,0.00,1.01
0.096,-0.00,0.00,1.01
0.097,-0.00,0.00,1.01
0.097,-0.00,0.00,1.01
0.097,-0.00,0.00,1.01
0.116,-0.00,0.00,1.01
0.117,-0.00,0.00,1.01
0.117,-0.00,0.00,1.01
0.118,-0.00,0.00,1.01
0.118,-0.00,0.00,1.01
0.118,-0.00,0.00,1.01
0.118,-0.00,-0.00,1.00
0.118,-0.00,-0.00,1.00
0.119,-0.00,0.00,1.00
0.119,-0.00,0.00,1.01
