time,x,y,z
0.020,-0.01,0.01,1.01
0.021,-0.01,0.01,1.01
0.021,-0.01,0.01,1.01
0.021,-0.01,0.01,1.01
0.021,-0.01,0.01,1.01
0.021,-0.01,0.01,1.01
0.021,-0.01,0.01,1.01
0.022,-0.01,0.01,1.01
0.022,-0.01,0.01,1.01
0.022,-0.01,0.01,1.01
0.022,-0.01,0.01,1.01
0.025,-0.01,0.01,1.00
0.025,-0.01,0.01,1.00
0.038,-0.01,0.01,1.00
0.039,-0.01,0.01,1.00
0.040,-0.01,0.01,1.00
0.040,-0.01,0.01,1.00
0.040,-0.01,0.01,1.00
0.040,-0.01,0.00,1.00
0.041,-0.01,0.00,1.00
0.041,-0.01,0.00,1.00
0.042,-0.01,0.00,1.00
0.050,-0.01,0.00,1.00
0.050,-0.01,0.00,1.01
0.051,-0.01,0.00,1.01
0.051,-0.01,0.00,1.01
0.052,-0.01,0.00,1.01
0.055,-0.01,0.00,1.01
0.056,-0.01,0.00,1.01
0.058,-0.01,0.00,1.01
0.066,-0.01,-0.00,1.01
0.067,-0.01,-0.00,1.01
0.067,-0.02,-0.00,1.01
0.067,-0.02,-0.00,1.01
0.071,-0.02,-0.00,1.01
0.071,-0.01,-0.00,1.00
0.072,-0.02,-0.00,1.00
0.074,-0.02,-0.00,1.00
0.076,-0.02,-0.00,1.00
0.083,-0.02,-0.00,1.00
0.084,-0.02,-0.00,1.00
0.084,-0.02,-0.00,1.00
0.085,-0.02,-0.00,1.00
0.086,-0.02,-0.00,1.00
0.088,-0.02,-0.00,1.01
0.090,-0.02,-0.00,1.01
0.092,-0.02,-0.00,1.01
0.099,-0.02,-0.00,1.00
0.100,-0.02,-0.00,1.00
0.100,-0.02,-0.00,1.00
0.100,-0.02,-0.00,1.00
0.102,-0.02,-0.00,1.00
0.104,-0.02,-0.00,1.00
0.106,-0.02,-0.00,1.00
0.108,-0.02,-0.00,1.00
0.109,-0.02,-0.00,1.00
0.114,-0.02,-0.00,1.00
0.114,-0.02,0.00,1.00
0.116,-0.02,0.00,1.00
0.118,-0.02,0.00,1.00
0.120,-0.02,0.00,1.00
0.122,-0.02,0.00,1.00
