time,x,y,z
0.016,-0.04,0.00,1.01
0.017,-0.02,0.00,1.01
0.017,-0.01,0.00,1.01
0.018,0.01,0.00,1.01
0.018,0.02,0.00,1.01
0.018,0.03,-0.00,1.01
0.018,0.03,-0.00,1.01
0.019,0.02,0.00,1.01
0.019,0.02,0.00,1.01
0.019,0.01,0.00,1.01
0.020,0.01,-0.00,1.01
0.022,0.01,-0.00,1.00
0.026,0.01,-0.00,1.00
0.027,0.01,-0.00,1.00
0.027,0.00,-0.00,1.00
0.030,0.00,0.00,1.00
0.033,0.00,0.00,1.00
0.034,0.00,0.00,1.00
0.036,0.00,0.00,1.00
0.037,-0.00,0.00,1.00
0.040,-0.00,0.00,1.00
0.042,-0.00,0.00,1.00
0.043,-0.00,0.00,1.00
0.046,-0.00,0.00,1.00
0.061,-0.00,0.00,1.00
0.062,-0.00,0.00,1.00
0.062,-0.00,0.00,1.01
0.062,-0.00,0.00,1.01
0.062,-0.00,0.00,1.01
0.063,-0.00,0.00,1.01
0.064,-0.00,0.00,1.01
0.064,-0.00,0.00,1.01
0.064,-0.00,0.00,1.01
0.067,-0.00,0.00,1.01
0.068,-0.00,0.00,1.01
0.069,-0.00,0.00,1.01
0.072,-0.00,0.00,1.01
0.074,-0.00,0.00,1.01
0.076,-0.00,0.00,1.01
0.078,-0.00,0.00,1.00
0.079,-0.00,0.00,1.00
0.083,-0.00,0.00,1.00
0.084,-0.00,0.00,1.00
0.085,-0.00,0.00,1.00
0.087,-0.00,0.00,1.00
0.090,-0.00,0.00,1.00
0.091,-0.00,0.00,1.00
0.093,-0.00,0.00,1.00
0.095,-0.00,0.00,1.00
0.100,-0.00,0.00,1.00
0.100,-0.00,0.00,1.01
0.101,-0.00,0.00,1.01
0.103,-0.00,0.00,1.01
0.105,-0.00,0.00,1.01
0.107,-0.00,0.00,1.01
0.109,-0.00,0.00,1.01
0.111,-0.00,0.00,1.00
0.117,-0.01,0.00,1.00
0.117,-0.01,0.00,1.00
0.117,-0.01,0.00,1.00
0.120,-0.01,0.00,1.00
