time,x,y,z
0.019,-0.01,0.01,1.00
0.019,-0.01,0.01,1.00
0.020,-0.01,0.01,1.01
0.020,-0.01,0.00,1.01
0.020,-0.01,0.00,1.01
0.020,-0.01,0.00,1.00
0.020,-0.01,0.00,1.00
0.021,-0.01,0.00,1.00
0.021,-0.01,0.00,1.00
0.021,-0.00,0.00,1.00
0.021,-0.00,0.00,1.00
0.025,-0.00,0.00,1.00
0.027,-0.00,0.00,1.00
0.028,-0.01,0.00,1.00
0.031,-0.01,0.00,1.00
0.032,-0.01,0.00,1.01
0.041,-0.01,0.00,1.01
0.042,-0.01,0.00,1.01
0.042,-0.01,0.00,1.01
0.043,-0.00,0.00,1.01
0.043,-0.00,0.00,1.01
0.043,-0.01,0.00,1.01
0.056,-0.01,0.00,1.00
0.057,-0.00,0.00,1.00
0.058,-0.00,0.00,1.00
0.058,-0.00,0.00,1.00
0.058,-0.00,0.00,1.00
0.058,-0.01,0.00,1.00
0.058,-0.01,0.00,1.00
0.058,-0.01,0.00,1.00
0.064,-0.01,0.00,1.00
0.064,-0.01,0.00,1.00
0.065,-0.01,0.00,1.00
0.074,-0.01,0.00,1.00
0.074,-0.01,0.00,1.00
0.075,-0.01,0.00,1.00
0.075,-0.01,0.00,1.01
0.076,-0.01,0.00,1.01
0.077,-0.01,0.00,1.01
0.099,-0.01,0.00,1.01
0.100,-0.01,0.00,1.01
0.100,-0.01,0.00,1.01
0.101,-0.01,0.00,1.01
0.101,-0.01,0.00,1.01
0.101,-0.01,0.00,1.00
0.102,-0.01,0.00,1.01
0.102,-0.01,0.00,1.01
0.102,-0.01,0.00,1.01
0.103,-0.01,0.00,1.01
0.103,-0.01,0.00,1.01
0.103,-0.01,0.00,1.00
0.103,-0.01,0.00,1.00
0.108,-0.01,0.00,1.00
0.109,-0.01,0.00,1.00
0.109,-0.01,0.00,1.00
0.123,-0.01,0.00,1.00
0.123,-0.01,0.00,1.00
0.124,-0.01,0.00,1.00
0.124,-0.01,0.00,1.00
0.124,-0.01,0.00,1.00
0.125,-0.01,0.00,1.00
0.125,-0.01,0.00,1.00
0.125,-0.01,0.00,1.00
0.127,-0.01,0.00,1.00
0.142,-0.01,0.00,1.01
0.143,-0.01,0.00,1.01
0.143,-0.01,0.00,1.01
0.143,-0.01,0.00,1.01
0.144,-0.01,0.00,1.01
0.144,-0.01,0.00,1.01
0.144,-0.01,0.00,1.01
0.145,-0.01,0.00,1.00
0.145,-0.01,0.00,1.00
0.157,-0.01,0.00,1.00
0.157,-0.01,0.00,1.00
0.158,-0.01,0.00,1.00
0.158,-0.01,0.00,1.00
0.158,-0.01,0.00,1.00
0.158,-0.01,0.00,1.00
0.159,-0.01,0.00,1.00
0.174,-0.01,0.00,1.00
0.175,-0.01,0.00,1.00
0.175,-0.01,0.00,1.00
0.175,-0.01,0.00,1.01
0.175,-0.01,0.00,1.01
0.176,-0.01,0.00,1.01
0.176,-0.01,0.00,1.00
0.176,-0.01,0.00,1.00
0.180,-0.01,0.00,1.00
0.180,-0.01,0.00,1.00
0.180,-0.01,0.00,1.00
0.191,-0.01,0.00,1.01
0.191,-0.01,0.00,1.01
0.192,-0.01,0.00,1.01
0.192,-0.01,0.00,1.00
0.192,-0.02,0.00,1.00
0.192,-0.02,0.00,1.00
0.209,-0.02,0.00,1.00
0.209,-0.02,0.00,1.00
0.209,-0.03,0.00,1.00
0.220,-0.03,0.00,1.00
0.220,-0.04,0.00,1.00
0.221,-0.06,0.00,1.00
0.221,-0.11,0.01,1.01
0.221,-0.16,0.02,1.01
0.221,-0.22,0.03,1.01
0.222,-0.26,0.03,1.01
0.222,-0.30,0.04,1.01
0.222,-0.33,0.04,1.01
0.223,-0.36,0.05,1.01
0.224,-0.40,0.06,1.01
