time,x,y,z
0.011,-0.01,0.00,1.00
0.011,-0.01,0.00,1.00
0.011,-0.01,0.00,1.00
0.011,-0.01,0.00,1.00
0.012,-0.01,0.00,1.00
0.012,-0.01,0.00,1.00
0.023,-0.01,0.00,1.00
0.023,-0.01,0.00,1.00
0.023,-0.01,0.00,1.00
0.023,-0.01,0.00,1.00
0.023,-0.01,0.00,1.00
0.023,-0.01,0.00,1.00
0.024,-0.01,0.00,1.00
0.026,-0.01,0.00,1.00
0.028,-0.01,0.00,1.00
0.029,-0.01,0.00,1.00
0.031,-0.01,0.00,1.00
0.033,-0.01,0.00,1.00
0.037,-0.01,0.00,1.00
0.037,-0.01,0.00,1.00
0.039,-0.01,0.00,1.00
0.041,-0.01,0.01,1.00
0.043,-0.00,0.01,1.00
0.045,-0.00,0.01,1.00
0.046,-0.01,0.01,1.01
0.048,-0.01,0.00,1.01
0.051,-0.01,0.00,1.00
0.053,-0.01,-0.00,1.00
0.055,-0.01,-0.00,1.00
0.057,-0.01,-0.00,1.00
0.059,-0.01,-0.00,1.00
0.060,-0.01,-0.00,1.00
0.062,-0.01,-0.00,1.01
0.064,-0.01,-0.00,1.01
0.066,-0.01,-0.00,1.01
0.071,-0.01,-0.00,1.01
0.071,-0.01,-0.00,1.01
0.074,-0.01,-0.00,1.01
0.079,-0.01,-0.00,1.01
0.079,-0.01,-0.00,1.01
0.079,-0.01,-0.00,1.00
0.081,-0.01,-0.00,1.00
0.083,-0.01,-0.00,1.00
0.085,-0.01,-0.00,1.00
0.087,-0.01,-0.00,1.00
0.089,-0.01,-0.00,1.00
0.091,-0.01,-0.00,1.00
0.093,-0.01,-0.00,1.00
0.095,-0.01,-0.00,1.00
0.097,-0.01,-0.00,1.00
0.098,-0.01,-0.00,1.00
0.100,-0.01,-0.00,1.00
0.104,-0.01,-0.00,1.00
0.105,-0.01,-0.00,1.00
0.107,-0.01,-0.00,1.00
0.109,-0.01,-0.00,1.00
0.111,-0.01,-0.00,1.00
0.113,-0.01,-0.00,1.01
0.114,-0.01,-0.00,1.01
0.117,-0.01,-0.00,1.01
0.121,-0.01,-0.00,1.01
0.121,-0.01,-0.00,1.01
0.123,-0.01,-0.00,1.00
0.125,-0.01,-0.00,1.00
0.127,-0.01,-0.00,1.00
0.129,-0.01,-0.00,1.00
0.131,-0.01,-0.00,1.00
0.132,-0.01,-0.00,1.00
0.134,-0.01,-0.00,1.00
0.137,-0.01,-0.00,1.00
0.139,-0.01,-0.00,1.00
0.144,-0.01,-0.00,1.00
0.144,-0.01,0.00,1.00
0.145,-0.01,0.00,1.00
0.147,-0.01,0.00,1.00
0.149,-0.01,0.00,1.00
0.150,-0.01,0.00,1.00
0.164,-0.01,0.00,1.00
0.165,-0.01,0.00,1.00
0.165,-0.01,0.00,1.01
0.165,-0.01,0.00,1.01
0.165,-0.01,0.00,1.01
0.166,-0.01,0.00,1.01
0.166,-0.01,0.00,1.01
0.167,-0.01,0.00,1.00
0.169,-0.01,0.00,1.00
0.171,-0.01,0.00,1.00
0.173,-0.01,0.00,1.00
0.175,-0.01,0.00,1.00
0.177,-0.01,0.00,1.00
0.179,-0.01,0.00,1.00
0.181,-0.01,0.00,1.00
0.183,-0.01,0.00,1.00
0.185,-0.01,0.00,1.00
0.189,-0.01,0.00,1.00
0.190,-0.01,0.00,1.00
0.191,-0.01,0.00,1.00
0.193,-0.01,0.00,1.00
0.195,-0.01,0.00,1.00
0.197,-0.01,0.00,1.00
0.207,-0.01,0.00,1.00
0.208,-0.01,0.00,1.00
0.208,-0.01,0.00,1.00
0.209,-0.01,0.00,1.00
0.209,-0.01,0.00,1.00
0.209,-0.01,0.00,1.00
0.215,-0.01,-0.00,1.00
0.215,-0.01,-0.00,1.00
0.215,-0.01,-0.00,1.00
0.217,-0.01,-0.00,1.00
0.219,-0.01,-0.00,1.00
0.222,-0.01,-0.00,1.00
0.223,-0.01,-0.00,1.01
0.225,-0.01,-0.00,1.01
0.227,-0.01,-0.00,1.00
0.230,-0.01,-0.00,1.00
0.231,-0.01,-0.00,1.00
0.233,-0.01,-0.00,1.00
0.239,-0.01,-0.00,1.00
0.240,-0.01,-0.00,1.00
0.241,-0.01,-0.00,1.00
0.241,-0.01,-0.00,1.01
0.243,-0.01,-0.00,1.00
0.245,-0.01,-0.00,1.00
0.247,-0.01,-0.00,1.00
0.249,-0.01,-0.00,1.00
0.251,-0.01,-0.00,1.00
0.257,-0.01,-0.00,1.00
0.258,-0.01,-0.00,1.00
0.258,-0.01,-0.00,1.00
0.259,-0.01,-0.00,1.00
0.261,-0.01,-0.00,1.00
0.263,-0.01,-0.00,1.00
0.265,-0.01,-0.00,1.00
0.266,-0.01,-0.00,1.00
0.268,-0.01,-0.00,1.00
0.273,-0.01,-0.00,1.00
0.274,-0.01,-0.00,1.00
0.275,-0.01,-0.00,1.00
0.277,-0.01,-0.00,1.00
0.279,-0.01,-0.00,1.00
0.281,-0.01,-0.00,1.00
0.283,-0.01,-0.00,1.00
0.285,-0.01,-0.00,1.01
0.290,-0.01,-0.00,1.01
0.290,-0.01,-0.00,1.01
0.291,-0.01,-0.00,1.00
0.293,-0.01,-0.00,1.00
0.295,-0.01,-0.00,1.00
0.297,-0.01,-0.00,1.00
0.299,-0.01,-0.00,1.00
0.301,-0.01,-0.00,1.00
0.307,-0.00,-0.00,1.00
0.307,-0.00,-0.00,1.00
0.308,-0.00,-0.00,1.00
0.309,-0.00,-0.00,1.00
0.311,-0.00,-0.00,1.00
0.313,-0.00,-0.00,1.00
0.315,-0.00,-0.00,1.00
0.316,0.00,-0.00,1.01
0.318,0.00,-0.00,1.01
0.330,0.00,-0.00,1.01
0.330,0.00,-0.00,1.01
0.330,0.00,-0.01,1.00
0.330,0.00,-0.00,1.01
0.331,-0.00,-0.00,1.00
0.334,-0.00,-0.00,1.00
0.335,-0.00,-0.00,1.01
0.335,-0.00,-0.00,1.01
0.339,-0.00,-0.00,1.00
0.342,-0.00,-0.00,1.00
0.342,-0.00,-0.00,1.00
0.345,-0.00,-0.01,1.00
0.345,0.00,-0.01,1.00
0.347,0.04,-0.02,1.00
0.350,0.15,-0.13,1.00
0.351,0.29,-0.29,1.00
0.353,0.36,-0.39,1.00
0.357,0.37,-0.44,0.99
0.357,0.33,-0.44,1.00
0.359,0.27,-0.41,1.00
0.361,0.21,-0.37,1.00
0.363,0.15,-0.31,1.00
0.365,0.10,-0.26,1.00
0.366,0.07,-0.22,1.00
0.369,0.05,-0.19,1.00
0.372,0.03,-0.17,1.00
0.373,0.03,-0.15,1.00
0.375,0.03,-0.14,1.01
0.377,0.03,-0.13,1.01
0.379,0.03,-0.13,1.00
0.381,0.03,-0.13,1.00
0.383,0.04,-0.13,1.00
0.385,0.04,-0.13,1.00
0.389,0.05,-0.13,1.00
0.389,0.05,-0.13,1.00
0.391,0.05,-0.13,1.00
0.393,0.06,-0.13,1.00
0.395,0.05,-0.13,1.00
0.397,0.05,-0.12,1.00
0.408,0.05,-0.12,1.00
0.408,0.05,-0.12,1.00
0.408,0.05,-0.12,1.00
0.408,0.05,-0.12,1.00
0.409,0.05,-0.11,1.00
0.409,0.04,-0.11,1.00
0.412,0.04,-0.10,1.00
0.413,0.03,-0.09,1.00
0.415,0.03,-0.09,1.00
0.417,0.03,-0.08,1.00
0.419,0.02,-0.06,1.01
0.423,0.02,-0.05,1.01
0.424,0.02,-0.04,1.00
0.425,0.02,-0.03,1.00
0.427,0.03,-0.03,1.00
0.429,0.03,-0.03,1.00
0.433,0.03,-0.02,1.00
0.433,0.04,-0.02,1.00
0.435,0.05,-0.03,1.00
0.441,0.05,-0.03,1.01
0.441,0.05,-0.02,1.00
0.442,0.04,-0.02,1.00
0.443,0.04,-0.01,1.00
0.445,0.05,-0.01,1.00
0.447,0.05,-0.01,1.00
0.449,0.06,-0.02,1.00
0.451,0.06,-0.02,1.00
0.453,0.06,-0.03,1.00
0.459,0.07,-0.04,1.00
0.460,0.07,-0.04,1.00
0.460,0.08,-0.05,1.00
0.461,0.08,-0.06,1.00
0.464,0.07,-0.06,1.00
0.465,0.07,-0.06,1.00
0.467,0.07,-0.06,1.00
0.468,0.09,-0.07,1.00
0.473,0.10,-0.08,0.99
0.474,0.10,-0.09,0.99
0.476,0.10,-0.09,0.99
0.477,0.10,-0.10,0.99
0.479,0.10,-0.10,1.00
0.481,0.10,-0.10,1.00
0.483,0.10,-0.10,0.99
0.485,0.10,-0.11,1.00
0.491,0.10,-0.11,1.00
0.491,0.10,-0.11,1.00
0.492,0.11,-0.11,1.00
0.493,0.11,-0.12,1.00
0.496,0.12,-0.12,1.00
0.497,0.12,-0.12,1.00
0.499,0.11,-0.12,1.00
0.501,0.09,-0.11,1.00
0.503,0.08,-0.11,1.00
0.506,0.07,-0.10,1.00
0.508,0.07,-0.10,1.00
0.509,0.07,-0.10,1.00
0.511,0.07,-0.09,1.00
0.513,0.07,-0.09,1.00
0.515,0.06,-0.10,1.00
0.516,0.06,-0.10,1.00
0.519,0.06,-0.11,1.00
0.524,0.06,-0.10,1.00
0.524,0.06,-0.10,1.00
0.525,0.06,-0.10,1.00
0.527,0.07,-0.10,1.00
0.529,0.08,-0.10,1.00
0.531,0.09,-0.11,1.00
0.533,0.09,-0.11,1.00
0.534,0.08,-0.11,1.00
0.537,0.08,-0.11,1.01
0.540,0.09,-0.12,1.00
0.541,0.10,-0.12,1.00
0.543,0.10,-0.12,1.00
0.546,0.10,-0.12,1.01
0.547,0.09,-0.11,1.01
0.549,0.07,-0.11,1.01
0.551,0.07,-0.10,1.01
0.553,0.08,-0.11,1.00
0.556,0.08,-0.10,1.01
0.557,0.09,-0.11,1.00
0.559,0.09,-0.11,1.00
0.561,0.08,-0.11,1.00
0.563,0.08,-0.11,1.00
0.566,0.09,-0.12,1.00
0.567,0.09,-0.12,1.00
0.569,0.07,-0.11,1.00
0.576,0.06,-0.10,1.00
0.576,0.07,-0.10,1.00
0.577,0.08,-0.10,1.00
0.577,0.06,-0.09,1.00
0.579,0.05,-0.08,1.00
0.581,0.05,-0.08,1.00
0.583,0.04,-0.07,1.00
0.586,0.04,-0.07,1.00
0.587,0.05,-0.07,1.00
0.593,0.06,-0.08,1.00
0.594,0.07,-0.09,1.01
0.594,0.06,-0.10,1.01
0.595,0.05,-0.10,1.00
0.599,0.04,-0.10,1.00
0.611,0.02,-0.09,1.00
0.612,0.03,-0.09,1.00
0.612,0.04,-0.09,1.01
0.612,0.04,-0.08,1.00
0.613,0.04,-0.08,1.00
0.613,0.05,-0.08,1.00
0.613,0.06,-0.09,1.00
0.614,0.06,-0.09,1.00
0.619,0.05,-0.09,1.00
0.620,0.03,-0.08,1.00
0.620,0.01,-0.08,1.00
0.621,0.00,-0.07,1.00
0.627,0.01,-0.07,1.00
0.628,0.01,-0.06,1.00
0.629,0.01,-0.06,1.00
0.632,0.01,-0.06,1.00
0.632,0.00,-0.06,1.00
0.633,0.00,-0.06,1.00
0.635,0.01,-0.06,1.00
0.637,0.02,-0.07,1.01
0.641,0.02,-0.07,1.00
0.641,0.01,-0.07,1.00
0.643,0.00,-0.07,1.00
0.646,0.02,-0.07,1.00
0.647,0.04,-0.07,1.00
0.649,0.04,-0.07,1.01
0.651,0.02,-0.06,1.00
0.653,0.00,-0.06,1.00
0.657,-0.00,-0.06,1.00
0.657,0.02,-0.06,1.00
0.659,0.03,-0.06,1.00
0.661,0.03,-0.06,1.00
0.663,0.03,-0.06,1.01
0.665,0.03,-0.07,1.00
0.667,0.04,-0.07,1.01
0.668,0.04,-0.07,1.01
0.672,0.03,-0.07,1.00
0.675,0.03,-0.08,1.00
0.676,0.02,-0.08,1.01
0.677,0.02,-0.08,1.00
0.680,0.02,-0.08,1.00
0.681,0.03,-0.08,1.01
0.685,0.03,-0.07,1.01
0.685,0.01,-0.06,1.00
