time,x,y,z
0.013,-0.00,0.00,1.01
0.013,-0.00,0.00,1.01
0.014,-0.01,0.00,1.01
0.014,-0.01,0.00,1.01
0.014,-0.01,0.00,1.01
0.015,-0.01,0.00,1.01
0.015,-0.01,0.00,1.01
0.015,-0.00,-0.00,1.01
0.024,-0.00,0.00,1.01
0.025,-0.00,0.00,1.01
0.025,-0.00,0.00,1.01
0.025,-0.01,0.00,1.01
0.025,-0.01,0.00,1.01
0.026,-0.01,0.00,1.01
0.027,-0.01,0.00,1.01
0.032,-0.01,-0.00,1.01
0.033,-0.01,-0.00,1.01
0.033,-0.01,-0.00,1.01
0.037,-0.01,-0.00,1.01
0.037,-0.01,-0.00,1.01
0.039,-0.01,-0.00,1.01
0.041,-0.01,-0.00,1.01
0.043,-0.01,-0.00,1.01
0.045,-0.01,-0.00,1.01
0.048,-0.00,-0.00,1.01
0.049,-0.00,-0.00,1.01
0.051,-0.01,-0.00,1.01
0.053,-0.00,-0.00,1.01
0.055,-0.00,-0.00,1.01
0.057,-0.00,-0.00,1.01
0.059,-0.00,-0.00,1.01
0.061,-0.01,-0.00,1.01
0.075,-0.00,-0.00,1.01
0.076,-0.00,-0.00,1.01
0.076,-0.00,-0.00,1.01
0.076,-0.00,-0.00,1.01
0.076,-0.01,-0.00,1.01
0.077,-0.01,-0.00,1.01
0.077,-0.01,-0.00,1.01
0.077,-0.01,-0.00,1.01
0.105,-0.01,-0.00,1.01
0.106,-0.01,-0.00,1.01
0.107,-0.01,-0.00,1.01
0.107,-0.01,-0.00,1.01
0.107,-0.01,-0.00,1.01
0.108,-0.01,-0.00,1.01
0.108,-0.01,-0.00,1.01
0.108,-0.01,-0.00,1.01
0.109,-0.00,-0.00,1.01
0.109,-0.00,-0.00,1.01
0.109,-0.00,-0.00,1.01
0.109,-0.00,-0.00,1.01
0.110,-0.00,-0.00,1.01
0.110,-0.00,-0.00,1.01
0.110,-0.00,-0.00,1.01
0.111,-0.00,-0.00,1.01
0.111,-0.00,-0.00,1.01
0.116,-0.00,-0.00,1.01
0.116,-0.00,-0.00,1.01
0.118,-0.01,-0.00,1.01
0.119,-0.01,-0.00,1.01
0.121,-0.01,-0.00,1.01
0.123,-0.01,-0.00,1.01
0.125,-0.00,-0.00,1.01
0.127,-0.00,-0.00,1.01
0.129,-0.00,-0.00,1.01
0.132,-0.00,-0.00,1.01
0.134,-0.00,-0.00,1.01
0.135,-0.00,-0.00,1.01
0.137,-0.00,-0.00,1.01
0.139,-0.00,-0.00,1.01
0.141,-0.00,-0.00,1.01
0.143,-0.00,-0.00,1.01
0.145,-0.00,-0.00,1.01
0.148,-0.00,-0.00,1.01
0.149,-0.00,-0.00,1.01
0.151,-0.00,-0.00,1.01
0.153,-0.00,0.00,1.01
0.155,-0.01,0.00,1.01
0.157,-0.01,0.00,1.01
0.159,-0.01,-0.00,1.01
0.161,-0.01,-0.00,1.01
0.165,-0.01,-0.00,1.01
0.166,-0.01,-0.00,1.01
0.167,-0.01,-0.00,1.01
0.169,-0.01,-0.00,1.01
0.171,-0.01,-0.00,1.01
0.173,-0.01,-0.00,1.01
0.175,-0.01,-0.00,1.01
0.177,-0.01,0.00,1.01
0.179,-0.01,0.00,1.01
0.181,-0.01,0.00,1.01
0.183,-0.01,0.00,1.01
0.185,-0.01,0.00,1.01
0.187,-0.01,0.00,1.01
0.189,-0.01,0.00,1.01
0.191,-0.01,0.00,1.01
0.193,-0.01,0.00,1.01
0.195,-0.01,0.00,1.01
0.198,-0.01,0.00,1.01
0.209,-0.01,0.00,1.01
0.209,-0.01,0.00,1.01
0.209,-0.01,0.00,1.01
0.210,-0.01,0.00,1.01
0.210,-0.01,0.00,1.01
0.210,-0.01,0.00,1.01
0.211,-0.01,0.00,1.01
0.217,-0.01,0.00,1.01
0.217,-0.01,0.00,1.01
0.218,-0.01,0.00,1.01
0.219,-0.00,0.00,1.01
0.221,-0.00,0.00,1.01
0.223,-0.00,0.00,1.01
0.225,-0.00,0.00,1.01
0.228,-0.00,0.00,1.01
0.229,-0.00,0.00,1.01
0.244,-0.00,0.00,1.01
0.245,-0.00,0.00,1.01
0.245,-0.00,0.00,1.01
0.245,-0.00,0.00,1.01
0.246,-0.00,0.00,1.01
0.246,-0.00,0.00,1.01
0.246,-0.00,0.00,1.01
0.247,-0.00,0.00,1.01
0.247,-0.00,0.00,1.01
0.250,-0.00,0.00,1.01
0.251,-0.00,0.00,1.01
0.253,-0.00,0.00,1.01
0.259,-0.00,-0.00,1.01
0.259,-0.00,-0.00,1.01
0.260,-0.00,-0.00,1.01
0.262,-0.00,-0.00,1.01
0.263,-0.00,-0.00,1.01
0.277,-0.00,-0.00,1.01
0.278,-0.00,-0.00,1.01
0.279,-0.00,-0.00,1.01
0.279,-0.00,-0.00,1.01
0.280,-0.01,-0.00,1.01
0.280,-0.01,-0.00,1.01
0.280,-0.01,-0.00,1.01
0.281,-0.01,-0.00,1.01
0.290,-0.01,-0.00,1.01
0.291,-0.01,-0.00,1.01
0.292,-0.01,-0.00,1.01
0.292,-0.01,-0.00,1.01
0.292,-0.01,-0.00,1.01
0.292,-0.01,-0.00,1.01
0.293,-0.01,-0.01,1.01
0.295,-0.01,-0.01,1.01
0.302,-0.01,-0.01,1.01
0.303,-0.01,-0.01,1.01
0.303,-0.01,-0.01,1.01
0.303,-0.01,-0.01,1.01
0.305,-0.00,-0.01,1.01
0.307,-0.00,-0.01,1.01
0.309,-0.00,-0.01,1.01
0.311,-0.00,-0.01,1.01
0.313,-0.00,-0.01,1.01
0.319,-0.00,-0.01,1.01
0.320,-0.00,-0.01,1.01
0.320,-0.00,-0.01,1.01
0.321,-0.00,-0.01,1.01
0.323,-0.00,-0.02,1.01
0.325,0.00,-0.02,1.01
0.327,0.00,-0.02,1.01
0.329,0.00,-0.01,1.01
0.334,-0.00,-0.01,1.01
0.335,-0.00,-0.01,1.01
0.335,-0.00,-0.01,1.01
0.337,-0.00,-0.01,1.01
0.339,-0.00,-0.01,1.01
0.341,0.00,-0.01,1.01
0.343,0.01,-0.01,1.01
0.345,0.01,-0.01,1.01
0.351,0.01,-0.01,1.01
0.351,0.01,-0.01,1.01
0.352,0.02,-0.04,1.01
0.353,0.08,-0.14,1.01
0.357,0.15,-0.28,1.01
0.358,0.19,-0.36,1.00
0.359,0.18,-0.39,1.00
0.361,0.15,-0.37,1.00
0.363,0.12,-0.33,1.00
0.379,0.09,-0.29,1.00
0.379,0.07,-0.24,1.01
0.380,0.05,-0.19,1.01
0.380,0.04,-0.16,1.01
0.381,0.03,-0.14,1.01
0.381,0.04,-0.16,1.01
0.381,0.06,-0.20,1.01
0.382,0.07,-0.22,1.01
0.382,0.07,-0.22,1.01
0.385,0.08,-0.22,1.01
0.386,0.08,-0.22,1.01
0.387,0.09,-0.21,1.01
0.389,0.09,-0.20,1.01
0.392,0.09,-0.19,1.01
0.393,0.09,-0.18,1.01
0.396,0.09,-0.18,1.01
0.411,0.10,-0.19,1.01
0.424,0.10,-0.20,1.01
0.425,0.11,-0.21,1.01
0.425,0.11,-0.21,1.01
0.425,0.11,-0.21,1.01
0.425,0.11,-0.20,1.01
