time,x,y,z
0.016,-0.00,-0.00,1.01
0.017,-0.00,-0.00,1.01
0.017,-0.00,-0.00,1.01
0.017,-0.00,-0.00,1.00
0.018,-0.00,-0.00,1.00
0.018,-0.00,-0.00,1.00
0.018,-0.00,-0.00,1.00
0.019,-0.00,-0.00,1.00
0.019,-0.00,0.00,1.00
0.023,-0.00,0.00,1.00
0.024,-0.00,0.00,1.00
0.024,-0.00,0.00,1.00
0.024,-0.00,0.00,1.00
0.026,-0.00,0.00,1.00
0.031,-0.00,0.00,1.01
0.031,0.00,0.00,1.01
0.034,0.00,0.00,1.01
0.034,0.00,0.00,1.01
0.036,0.00,0.00,1.01
0.040,-0.00,0.00,1.01
0.040,-0.00,0.00,1.01
0.042,-0.00,0.00,1.01
0.047,-0.00,0.00,1.01
0.048,-0.00,0.00,1.01
0.049,-0.00,0.00,1.01
0.050,-0.00,0.00,1.01
0.053,-0.00,0.00,1.01
0.054,-0.00,0.00,1.01
0.057,-0.00,0.00,1.01
0.058,-0.00,0.01,1.01
0.060,-0.00,0.01,1.01
0.067,-0.00,0.01,1.01
0.068,-0.00,0.01,1.01
0.068,-0.00,0.01,1.01
0.068,-0.00,0.01,1.01
0.071,-0.00,0.01,1.01
0.072,-0.01,0.01,1.01
0.075,-0.00,0.00,1.01
0.077,-0.00,0.00,1.00
0.078,-0.00,0.00,1.00
0.083,-0.01,0.00,1.00
0.083,-0.01,0.00,1.01
0.084,-0.01,0.00,1.01
0.086,-0.01,0.00,1.01
0.091,-0.01,0.00,1.00
0.092,-0.01,0.00,1.01
0.092,-0.01,0.00,1.01
0.099,-0.01,0.00,1.01
0.099,-0.01,0.00,1.00
0.099,-0.01,0.00,1.00
0.100,-0.01,0.00,1.00
0.102,-0.01,0.00,1.00
0.105,-0.01,0.00,1.00
0.107,-0.01,-0.00,1.01
0.108,-0.01,-0.00,1.01
0.110,-0.01,-0.00,1.01
0.113,-0.01,-0.00,1.01
0.115,-0.01,-0.00,1.01
0.116,-0.00,-0.00,1.01
0.118,0.00,-0.00,1.01
0.121,0.01,-0.00,1.01
0.122,0.01,0.00,1.01
0.124,0.02,0.00,1.01
0.126,0.02,-0.00,1.00
0.129,0.01,-0.00,0.99
0.130,-0.01,-0.00,0.98
0.132,-0.02,-0.00,0.97
0.134,-0.03,-0.00,0.99
0.136,-0.02,-0.00,1.02
0.138,-0.02,-0.00,1.03
0.140,-0.00,-0.00,1.02
0.142,0.03,0.00,1.01
0.145,0.08,0.00,1.01
0.149,0.15,0.01,1.01
0.150,0.20,0.01,1.01
0.151,0.22,0.01,1.01
0.152,0.19,0.01,1.01
0.154,0.14,0.01,1.01
0.156,0.08,0.00,1.01
0.158,0.04,0.00,1.01
0.160,0.00,-0.00,1.01
0.164,-0.02,-0.01,1.01
0.165,-0.03,-0.01,1.01
0.167,-0.04,-0.01,1.01
0.168,-0.05,-0.01,1.01
0.171,-0.05,-0.01,1.01
0.172,-0.06,-0.01,1.01
0.174,-0.06,-0.01,1.01
0.176,-0.06,-0.01,1.01
0.191,-0.06,-0.01,1.01
0.192,-0.07,-0.01,1.01
0.192,-0.07,-0.01,1.01
0.193,-0.08,-0.01,1.01
0.193,-0.08,-0.01,1.01
0.193,-0.08,-0.01,1.00
0.193,-0.08,-0.01,1.00
0.194,-0.08,-0.01,1.00
0.194,-0.07,-0.01,1.00
0.197,-0.05,-0.01,1.00
0.199,-0.05,-0.00,1.00
0.209,-0.04,-0.00,1.00
0.209,-0.03,-0.00,1.01
0.210,-0.03,-0.00,1.01
0.210,-0.02,-0.00,1.01
0.210,-0.02,-0.00,1.01
0.211,-0.02,-0.00,1.01
0.214,-0.02,-0.00,1.01
0.215,-0.01,-0.00,1.01
0.216,-0.01,-0.00,1.01
0.218,-0.01,-0.00,1.01
0.220,-0.01,-0.00,1.01
0.222,-0.01,-0.00,1.01
0.224,-0.01,-0.01,1.01
0.226,-0.01,-0.01,1.00
0.230,-0.01,-0.01,1.00
0.230,-0.01,-0.01,1.00
0.232,-0.01,-0.01,1.00
0.234,-0.01,-0.01,1.00
0.236,-0.01,-0.01,1.01
0.238,-0.01,-0.02,1.01
0.240,-0.01,-0.02,1.01
0.242,-0.01,-0.02,1.01
0.243,-0.01,-0.02,1.01
0.246,-0.01,-0.01,1.01
0.249,-0.01,-0.01,1.01
0.250,-0.01,-0.01,1.01
0.252,-0.01,-0.01,1.01
0.254,-0.01,-0.01,1.01
0.256,-0.01,-0.01,1.01
0.258,-0.01,-0.01,1.01
0.260,-0.01,-0.01,1.01
0.264,-0.01,-0.00,1.01
0.264,-0.02,-0.00,1.01
0.267,-0.02,-0.00,1.01
0.268,-0.01,-0.00,1.01
0.270,-0.01,-0.01,1.00
0.272,-0.01,-0.01,1.00
0.274,-0.01,-0.01,1.00
0.276,-0.01,-0.01,1.00
0.293,-0.01,-0.03,1.00
0.293,-0.03,-0.12,1.00
0.296,-0.05,-0.27,1.00
0.297,-0.03,-0.39,1.00
0.297,0.01,-0.46,1.00
0.298,0.07,-0.48,1.00
0.298,0.11,-0.47,1.00
0.299,0.14,-0.44,1.00
0.300,0.16,-0.41,1.00
0.300,0.17,-0.39,1.00
0.300,0.17,-0.38,1.00
0.301,0.17,-0.36,1.00
0.312,0.18,-0.35,1.00
0.312,0.18,-0.34,1.00
0.312,0.17,-0.34,1.00
0.313,0.17,-0.33,1.00
0.313,0.17,-0.33,1.00
0.314,0.16,-0.31,1.00
0.318,0.15,-0.29,1.00
0.318,0.14,-0.27,1.00
0.318,0.13,-0.25,1.00
0.320,0.13,-0.24,1.00
0.322,0.12,-0.23,1.00
0.324,0.12,-0.22,1.00
0.326,0.11,-0.22,1.00
0.332,0.11,-0.22,1.00
0.333,0.12,-0.22,1.00
0.333,0.12,-0.23,1.00
0.334,0.11,-0.23,1.00
0.336,0.11,-0.22,1.00
0.338,0.09,-0.21,1.01
0.340,0.09,-0.20,1.00
0.342,0.09,-0.20,1.00
0.344,0.08,-0.19,1.01
0.348,0.09,-0.19,1.01
0.348,0.09,-0.19,1.00
0.350,0.08,-0.18,1.00
0.352,0.07,-0.18,1.01
0.354,0.07,-0.17,1.01
0.356,0.06,-0.16,1.01
0.358,0.06,-0.15,1.01
0.360,0.06,-0.15,1.01
0.376,0.06,-0.15,1.00
0.377,0.06,-0.16,1.00
0.377,0.05,-0.16,1.00
0.377,0.04,-0.16,1.00
0.377,0.04,-0.16,1.00
0.378,0.03,-0.15,1.00
0.378,0.03,-0.15,1.00
0.378,0.03,-0.14,1.00
0.378,0.03,-0.14,1.00
0.394,0.03,-0.14,1.01
0.395,0.03,-0.14,1.01
0.396,0.02,-0.14,1.01
0.397,0.02,-0.13,1.01
0.398,0.02,-0.13,1.01
0.398,0.03,-0.13,1.00
0.398,0.03,-0.13,1.00
0.399,0.03,-0.13,1.01
0.399,0.03,-0.14,1.00
0.399,0.03,-0.14,1.00
0.408,0.03,-0.15,1.00
0.408,0.04,-0.15,1.00
0.408,0.04,-0.16,1.00
0.408,0.04,-0.17,1.00
0.409,0.04,-0.18,1.00
0.413,0.03,-0.18,1.00
0.414,0.03,-0.19,1.00
0.415,0.04,-0.19,1.00
0.417,0.04,-0.20,1.00
0.418,0.04,-0.20,1.00
0.420,0.04,-0.20,1.01
0.422,0.04,-0.19,1.01
0.424,0.03,-0.19,1.00
0.426,0.04,-0.19,1.00
0.427,0.04,-0.18,1.00
0.434,0.03,-0.18,1.01
0.435,0.02,-0.17,1.01
0.435,0.02,-0.16,1.01
0.436,0.03,-0.15,1.01
0.438,0.04,-0.16,1.00
0.440,0.04,-0.16,1.00
0.442,0.03,-0.15,1.00
0.444,0.02,-0.14,1.01
0.449,0.02,-0.13,1.00
0.450,0.03,-0.13,1.01
0.450,0.04,-0.13,1.00
0.452,0.03,-0.13,1.00
0.454,0.01,-0.11,1.00
0.456,0.01,-0.09,1.00
0.458,0.01,-0.08,1.00
0.460,0.01,-0.07,1.00
0.466,0.01,-0.05,1.00
0.467,-0.00,-0.04,1.01
0.467,-0.01,-0.02,1.01
0.468,-0.02,0.00,1.00
0.470,-0.02,0.02,1.01
0.472,-0.03,0.03,1.01
0.474,-0.03,0.04,1.01
0.476,-0.03,0.05,1.01
0.478,-0.03,0.06,1.01
0.482,-0.04,0.07,1.01
0.483,-0.06,0.09,1.01
0.484,-0.07,0.11,1.01
0.486,-0.07,0.12,1.01
0.488,-0.08,0.13,1.01
0.490,-0.09,0.14,1.01
0.493,-0.11,0.16,1.01
0.494,-0.12,0.19,1.01
0.500,-0.13,0.20,1.01
0.501,-0.13,0.21,1.01
0.501,-0.14,0.23,1.01
0.502,-0.15,0.25,1.01
0.504,-0.16,0.26,1.01
0.507,-0.17,0.28,1.01
0.508,-0.17,0.30,1.01
0.510,-0.17,0.31,1.01
0.516,-0.18,0.33,1.01
0.517,-0.19,0.35,1.01
0.518,-0.18,0.35,1.01
0.519,-0.18,0.35,1.01
0.520,-0.18,0.36,1.01
0.522,-0.19,0.37,1.01
0.524,-0.19,0.39,1.01
0.526,-0.18,0.40,1.01
0.528,-0.18,0.40,1.01
0.532,-0.17,0.40,1.01
0.533,-0.16,0.39,1.01
0.535,-0.15,0.38,1.01
0.536,-0.15,0.37,1.01
0.538,-0.14,0.38,1.01
0.540,-0.14,0.38,1.01
0.542,-0.13,0.39,1.01
0.544,-0.12,0.39,1.01
0.549,-0.11,0.39,1.01
0.550,-0.10,0.40,1.01
0.550,-0.10,0.40,1.01
0.554,-0.09,0.39,1.01
0.554,-0.08,0.39,1.01
0.556,-0.08,0.39,1.01
0.558,-0.07,0.39,1.01
0.560,-0.06,0.39,1.01
0.562,-0.06,0.38,1.01
0.566,-0.05,0.37,1.01
0.566,-0.04,0.36,1.01
0.568,-0.04,0.35,1.01
0.570,-0.03,0.34,1.01
0.572,-0.03,0.33,1.01
0.574,-0.02,0.32,1.01
0.576,-0.02,0.31,1.00
