time,x,y,z
0.012,-0.01,0.00,1.01
0.012,-0.01,0.00,1.01
0.013,-0.01,0.00,1.01
0.013,-0.01,0.00,1.01
0.013,-0.01,0.00,1.01
0.014,-0.01,-0.00,1.01
0.014,-0.01,0.00,1.01
0.017,-0.01,0.00,1.01
0.017,-0.01,0.00,1.00
0.021,-0.01,0.00,1.00
0.021,-0.01,0.00,1.00
0.021,-0.01,0.00,1.00
0.024,-0.01,0.00,1.00
0.028,-0.01,0.00,1.00
0.028,-0.01,0.00,1.00
0.030,-0.01,0.00,1.00
0.032,-0.01,0.00,1.00
0.034,-0.01,0.00,1.01
0.036,-0.01,-0.00,1.01
0.044,-0.01,-0.00,1.01
0.044,-0.01,-0.00,1.01
0.044,-0.01,-0.00,1.01
0.044,-0.01,-0.00,1.01
0.046,-0.01,-0.00,1.01
0.048,-0.01,0.00,1.00
0.050,-0.01,0.00,1.00
0.052,-0.01,0.00,1.00
0.054,-0.01,0.00,1.00
0.057,-0.01,0.00,1.00
0.057,-0.01,0.00,1.00
0.073,-0.01,0.00,1.00
0.074,-0.01,-0.00,1.00
0.074,-0.01,-0.00,1.00
0.074,-0.01,-0.00,1.00
0.074,-0.01,-0.00,1.00
0.074,-0.01,-0.00,1.00
0.074,-0.01,-0.00,1.00
0.075,-0.01,-0.00,1.00
0.078,-0.01,-0.00,1.01
0.078,-0.01,-0.00,1.01
0.080,-0.01,-0.00,1.01
0.082,-0.01,-0.00,1.01
0.085,-0.01,-0.00,1.01
0.085,-0.01,-0.00,1.00
0.088,-0.01,-0.00,1.00
0.091,-0.01,-0.00,1.00
0.092,-0.01,0.00,1.00
0.096,-0.01,0.00,1.00
0.097,-0.01,0.00,1.00
0.097,-0.01,0.00,1.00
0.099,-0.01,0.00,1.00
0.101,-0.01,0.00,1.00
0.103,-0.01,0.00,1.00
0.105,-0.01,0.00,1.00
0.108,-0.01,0.00,1.01
0.112,-0.01,0.00,1.01
0.112,-0.01,0.00,1.01
0.113,-0.01,0.00,1.01
0.115,-0.01,0.00,1.01
0.118,-0.01,0.00,1.01
0.119,-0.01,0.00,1.01
0.121,-0.01,0.00,1.01
0.123,-0.01,-0.00,1.01
0.127,-0.01,-0.00,1.01
0.127,-0.01,-0.00,1.01
0.130,-0.01,-0.00,1.01
0.131,-0.01,-0.00,1.01
0.134,-0.01,-0.00,1.01
0.136,-0.01,-0.00,1.01
0.137,-0.01,-0.00,1.01
0.139,-0.01,0.00,1.01
0.142,-0.01,0.00,1.01
0.144,-0.01,-0.00,1.01
0.145,-0.01,0.00,1.01
0.148,-0.01,0.00,1.01
0.151,-0.01,-0.00,1.01
0.151,-0.01,-0.00,1.01
0.153,-0.01,-0.00,1.00
0.155,-0.01,-0.00,1.00
0.157,-0.01,-0.00,1.00
0.160,-0.01,-0.00,1.00
0.162,-0.01,-0.00,1.01
0.164,-0.01,-0.00,1.01
0.165,-0.01,-0.00,1.01
0.168,-0.01,-0.00,1.01
0.169,-0.01,-0.00,1.01
0.172,-0.01,-0.00,1.01
0.173,-0.01,-0.00,1.01
0.178,-0.01,-0.00,1.01
0.178,-0.01,-0.00,1.01
0.180,-0.01,-0.00,1.01
0.182,-0.01,-0.00,1.01
0.184,-0.01,-0.00,1.00
0.185,-0.01,-0.00,1.00
0.187,-0.01,-0.00,1.00
0.189,-0.01,-0.00,1.00
0.191,-0.01,-0.00,1.00
0.196,-0.01,-0.00,1.00
0.196,-0.01,-0.00,1.00
0.197,-0.01,-0.00,1.00
0.207,-0.01,-0.00,1.00
0.208,-0.01,-0.00,1.00
0.208,-0.01,-0.00,1.00
0.208,-0.01,-0.00,1.00
0.209,-0.01,-0.00,1.01
0.222,-0.01,-0.00,1.01
0.223,-0.01,-0.00,1.01
0.223,-0.01,-0.00,1.01
0.223,-0.01,-0.00,1.01
0.223,-0.01,-0.00,1.01
0.224,-0.01,-0.00,1.01
0.224,-0.01,-0.00,1.01
0.224,-0.01,-0.00,1.01
0.229,-0.01,-0.00,1.01
0.230,-0.01,-0.00,1.01
0.230,-0.01,-0.00,1.01
