time,x,y,z
0.009,-0.00,0.00,1.00
0.010,-0.00,0.00,1.00
0.010,-0.00,0.00,1.00
0.010,-0.00,0.00,1.00
0.011,-0.00,0.00,1.00
0.011,-0.00,0.00,1.00
0.012,-0.00,0.00,1.00
0.027,-0.00,0.00,1.00
0.027,-0.00,0.00,1.00
0.027,-0.00,0.00,1.00
0.027,-0.00,0.00,1.00
0.028,0.00,0.00,1.00
0.028,0.00,0.00,1.00
0.028,0.00,0.00,1.00
0.028,0.00,0.00,1.00
0.060,0.00,0.00,1.00
0.061,0.00,-0.00,1.00
0.061,0.00,-0.00,1.00
0.061,0.00,-0.00,1.00
0.061,0.00,-0.00,1.00
0.062,0.00,-0.00,1.00
0.062,0.00,-0.00,1.00
0.062,0.00,-0.00,1.00
0.062,0.00,-0.00,1.00
0.062,0.00,-0.00,1.00
0.063,0.00,-0.00,1.00
0.063,0.00,-0.00,1.00
0.063,0.00,-0.00,1.00
0.063,0.00,-0.00,1.00
0.063,0.00,-0.00,1.00
0.063,0.00,-0.00,1.00
0.064,0.00,-0.00,1.00
0.068,0.00,-0.00,1.00
0.069,0.00,-0.00,1.00
0.069,0.00,-0.00,1.00
0.070,0.00,-0.00,1.00
0.072,0.00,-0.00,1.00
0.074,0.00,-0.00,1.00
0.076,0.00,-0.00,1.00
0.078,0.00,-0.00,1.00
0.082,0.00,-0.00,1.00
0.083,-0.00,-0.00,1.00
0.084,-0.00,-0.00,1.00
0.086,-0.00,-0.00,1.00
0.088,-0.00,-0.00,1.00
0.090,-0.00,-0.00,1.00
0.092,-0.00,-0.00,1.00
0.094,-0.00,-0.00,1.00
0.096,-0.00,-0.00,1.00
0.099,-0.00,-0.00,1.00
0.100,-0.00,-0.00,1.00
0.103,-0.00,-0.00,1.00
0.104,-0.00,-0.00,1.00
0.106,-0.00,-0.00,1.00
0.110,-0.00,-0.00,1.00
0.110,-0.00,-0.00,1.00
0.112,-0.00,-0.00,1.00
0.128,-0.00,-0.00,1.00
0.129,-0.00,-0.00,1.00
0.129,-0.00,-0.00,1.00
0.136,-0.00,-0.00,1.00
0.136,-0.00,-0.00,1.00
0.136,-0.00,0.00,1.00
0.137,-0.00,0.00,1.00
0.137,-0.00,0.00,1.00
0.137,-0.00,0.00,1.00
0.138,-0.00,0.00,1.00
0.139,-0.00,0.00,1.00
0.140,-0.00,0.00,1.00
0.140,-0.00,0.00,1.01
0.140,-0.00,0.00,1.00
0.146,-0.00,0.00,1.00
0.147,-0.00,0.00,1.00
0.148,-0.00,0.00,1.00
0.148,-0.00,0.00,1.00
0.157,-0.00,0.00,1.00
0.157,-0.00,0.00,1.00
0.158,-0.00,0.00,1.00
0.158,-0.00,0.00,1.00
0.159,-0.00,0.00,1.00
0.162,-0.00,0.00,1.00
0.162,-0.00,0.00,1.00
0.184,-0.00,0.00,1.00
0.184,-0.00,0.00,1.00
0.184,-0.00,0.00,1.00
0.185,-0.00,0.00,1.00
0.185,-0.00,0.00,1.00
0.185,-0.00,0.00,1.00
0.185,-0.00,0.00,1.00
0.186,-0.00,0.00,1.00
0.186,-0.00,0.00,1.00
0.186,-0.00,-0.00,1.00
0.186,-0.00,0.00,1.00
0.187,-0.00,0.00,1.00
0.191,-0.00,0.00,1.00
0.192,-0.00,0.00,1.00
0.192,-0.00,0.00,1.00
0.193,-0.00,0.00,1.00
0.195,-0.00,0.00,1.00
0.211,-0.00,0.00,1.00
0.212,-0.00,-0.00,1.00
0.212,-0.00,-0.00,1.00
0.212,-0.00,-0.00,1.00
0.212,-0.00,-0.00,1.00
0.213,-0.00,-0.00,1.00
0.214,-0.00,-0.00,1.00
0.214,-0.00,-0.00,1.00
0.214,-0.00,-0.00,1.00
0.233,-0.00,-0.00,1.00
0.234,-0.00,-0.00,1.00
0.234,-0.00,-0.00,1.00
0.234,-0.00,-0.00,1.00
0.234,-0.00,-0.00,1.00
0.235,-0.00,-0.00,1.00
0.235,-0.00,-0.00,1.00
0.235,-0.00,-0.00,1.00
0.235,-0.00,-0.00,1.00
0.235,-0.00,-0.00,1.00
0.244,-0.00,-0.00,1.00
0.245,-0.00,-0.00,1.00
0.245,-0.00,-0.00,1.00
0.245,-0.00,-0.00,1.00
0.245,-0.00,-0.00,1.00
0.246,0.00,-0.00,1.00
0.257,0.00,-0.00,1.00
0.257,-0.00,-0.00,1.01
0.258,-0.00,-0.00,1.01
0.258,-0.00,-0.00,1.01
0.258,0.00,-0.00,1.01
0.258,0.00,-0.00,1.00
0.260,0.00,-0.00,1.00
0.262,0.00,-0.00,1.00
0.279,0.00,-0.00,1.00
0.279,-0.00,-0.00,1.00
0.279,-0.00,-0.00,1.00
0.279,-0.00,-0.00,1.00
0.280,-0.00,-0.00,1.00
0.280,-0.00,-0.00,1.00
0.280,0.00,-0.00,1.00
0.280,0.00,-0.00,1.00
0.280,0.00,-0.00,1.00
0.296,0.00,0.00,1.00
0.297,0.00,0.00,1.00
0.298,0.00,0.00,1.00
0.298,0.00,0.00,1.00
0.298,0.00,0.00,1.00
0.299,0.00,0.00,1.00
0.299,0.00,0.00,1.00
0.299,0.00,0.00,1.00
0.299,0.00,0.00,1.00
0.325,0.00,0.00,1.00
0.326,-0.00,0.00,1.00
0.326,-0.00,0.00,1.00
0.327,-0.00,0.00,1.00
0.327,-0.00,0.00,1.01
0.327,-0.00,0.00,1.01
0.328,-0.00,0.00,1.01
0.328,-0.00,0.00,1.01
0.328,-0.00,0.00,1.00
0.328,-0.00,0.00,1.00
0.339,-0.00,0.00,1.00
0.339,-0.00,-0.00,1.00
0.339,-0.00,-0.00,1.00
0.340,-0.00,0.00,1.00
0.340,-0.00,0.00,1.00
0.340,-0.00,0.00,1.00
0.340,-0.00,0.00,1.00
0.341,-0.00,0.00,1.00
0.341,-0.00,0.00,1.00
0.341,-0.00,0.00,1.00
0.342,-0.00,0.00,1.00
0.342,-0.00,-0.00,1.00
0.346,-0.00,-0.00,1.00
0.346,-0.00,-0.00,1.00
0.358,-0.00,-0.00,1.00
0.359,-0.00,-0.00,1.00
0.359,-0.00,-0.00,1.00
0.359,-0.00,-0.00,1.00
0.359,-0.00,0.00,1.01
0.360,-0.00,0.00,1.01
0.360,-0.00,0.00,1.01
0.362,-0.00,-0.00,1.01
0.369,-0.00,-0.00,1.00
0.369,-0.00,-0.00,1.00
0.370,-0.00,-0.00,1.00
0.371,-0.00,-0.00,1.01
0.371,-0.00,-0.00,1.00
0.374,-0.00,0.00,1.00
0.376,-0.00,0.00,1.00
0.378,-0.00,0.00,1.00
0.379,-0.00,0.00,1.00
0.383,-0.00,0.00,1.00
0.384,-0.00,0.00,1.00
0.386,-0.00,0.00,1.00
0.388,-0.00,-0.00,1.00
0.391,-0.00,-0.00,1.00
0.392,-0.00,-0.00,1.00
0.394,-0.00,-0.00,1.00
0.396,-0.00,-0.00,1.00
0.401,-0.00,-0.00,1.00
0.401,-0.00,-0.00,1.00
0.402,-0.00,0.00,1.00
0.404,-0.00,-0.00,1.00
0.405,-0.00,0.00,1.00
0.408,-0.00,0.00,1.00
0.410,-0.00,0.00,1.00
0.412,-0.00,0.00,1.00
0.413,0.00,0.00,1.00
0.416,0.00,0.00,1.00
0.418,0.00,0.00,1.00
0.420,0.00,0.00,1.00
0.422,0.00,0.00,1.00
0.427,0.00,0.00,0.99
0.428,0.00,-0.00,0.99
0.428,-0.00,-0.00,0.99
0.430,-0.00,-0.00,0.98
0.438,-0.00,-0.00,0.99
0.439,-0.00,-0.00,1.00
0.439,-0.00,-0.00,1.01
0.440,0.00,-0.00,1.02
0.440,0.00,-0.00,1.01
0.442,0.00,-0.00,1.01
0.444,0.00,-0.00,1.01
0.446,0.00,-0.00,1.01
0.462,0.00,-0.00,1.01
0.463,0.00,-0.00,1.01
0.463,0.00,-0.00,1.01
0.463,0.00,-0.00,1.01
0.464,-0.00,-0.00,1.01
0.464,-0.00,-0.00,1.01
0.464,-0.00,-0.00,1.01
0.465,-0.00,-0.00,1.01
0.465,-0.00,-0.00,1.01
0.470,-0.00,-0.00,1.01
0.471,-0.00,-0.00,1.00
0.471,-0.00,-0.00,1.00
0.473,-0.00,0.00,1.00
0.474,-0.00,0.00,1.00
0.476,-0.00,0.00,1.00
0.478,-0.00,0.00,1.00
0.480,-0.00,-0.00,1.00
0.484,-0.01,-0.00,1.00
0.484,-0.01,-0.00,1.00
0.487,-0.01,-0.00,1.00
0.488,-0.01,-0.00,1.01
0.490,-0.01,-0.00,1.01
0.492,-0.00,-0.00,1.01
0.494,-0.00,-0.00,1.01
0.496,-0.00,0.00,1.01
0.498,-0.00,0.00,1.01
0.500,-0.00,0.00,1.01
0.502,-0.00,0.00,1.01
0.504,-0.00,0.00,1.01
0.506,-0.01,0.00,1.01
0.508,-0.01,0.00,1.01
