time,x,y,z
0.018,0.00,-0.00,1.01
0.018,0.00,-0.00,1.01
0.019,0.00,-0.00,1.01
0.019,0.00,-0.00,1.00
0.020,0.00,-0.00,1.00
0.020,0.00,-0.00,1.00
0.020,0.00,-0.00,1.00
0.020,0.00,-0.00,1.00
0.021,0.00,-0.00,1.00
0.021,0.00,-0.00,1.00
0.021,0.00,-0.00,1.00
0.028,0.00,-0.00,1.00
0.029,0.00,-0.00,1.00
0.029,0.00,0.00,1.00
0.030,0.00,-0.00,1.00
0.045,0.00,-0.00,1.00
0.045,0.00,-0.00,1.01
0.046,0.00,-0.00,1.01
0.046,0.00,-0.00,1.01
0.046,0.00,-0.00,1.01
0.047,0.00,-0.00,1.00
0.047,0.00,0.00,1.00
0.047,0.00,0.00,1.00
0.047,0.00,0.00,1.01
0.052,0.00,-0.00,1.01
0.053,0.00,-0.00,1.01
0.054,0.00,-0.00,1.01
0.055,0.00,-0.00,1.01
0.057,0.00,-0.00,1.01
0.059,-0.00,-0.00,1.01
0.063,-0.00,-0.00,1.01
0.065,-0.00,-0.00,1.01
0.066,-0.00,-0.00,1.01
0.067,-0.00,-0.00,1.00
0.069,-0.00,-0.00,1.00
0.071,-0.00,-0.00,1.00
0.073,-0.00,-0.00,1.00
0.074,-0.00,-0.00,1.00
0.079,-0.00,-0.00,1.00
0.080,-0.00,-0.00,1.00
0.081,-0.00,-0.00,1.00
0.083,-0.00,0.00,1.00
0.086,-0.00,0.00,1.00
0.087,-0.00,0.00,1.00
0.089,-0.00,0.00,1.00
0.091,-0.00,0.00,1.01
0.096,-0.00,0.00,1.01
0.097,-0.00,0.00,1.01
0.097,-0.00,0.00,1.01
0.099,-0.00,0.00,1.01
0.101,-0.00,0.00,1.01
0.103,-0.00,0.00,1.01
0.105,-0.00,0.00,1.01
0.106,-0.00,0.00,1.01
0.108,-0.00,0.00,1.00
0.113,-0.00,0.00,1.00
0.114,-0.00,0.00,1.00
0.115,-0.00,0.00,1.00
0.117,-0.00,0.00,1.00
0.119,-0.00,0.00,1.00
0.121,-0.00,0.00,1.00
0.123,-0.00,0.00,1.00
0.124,-0.00,0.00,1.00
0.138,-0.00,0.00,1.00
