time,x,y,z
0.022,-0.01,0.00,1.00
0.023,-0.01,0.00,1.00
0.023,-0.01,0.00,1.00
0.023,-0.01,0.00,1.00
0.023,-0.01,0.00,1.00
0.024,-0.01,0.00,1.00
0.024,-0.01,0.00,1.00
0.024,-0.01,0.00,1.00
0.024,-0.01,0.00,1.00
0.024,-0.01,0.00,1.00
0.025,-0.01,0.00,1.00
0.025,-0.01,0.00,1.00
0.025,-0.01,0.00,1.00
0.025,-0.01,0.00,1.00
0.029,-0.01,0.00,1.00
0.030,-0.01,0.00,1.01
0.031,-0.01,0.00,1.01
0.038,-0.01,0.00,1.01
0.038,-0.01,0.00,1.01
0.039,-0.01,0.00,1.01
0.039,-0.01,0.00,1.01
0.041,-0.01,0.00,1.01
0.043,-0.01,0.00,1.01
0.056,-0.01,0.00,1.00
0.056,-0.01,0.00,1.00
0.057,-0.01,0.00,1.00
0.057,-0.01,0.00,1.00
0.057,-0.01,0.00,1.00
0.057,-0.01,0.00,1.00
0.057,-0.01,0.00,1.00
0.060,-0.01,0.00,1.00
0.063,-0.01,0.00,1.00
0.064,-0.01,0.00,1.00
0.065,-0.01,0.00,1.00
0.070,-0.01,0.00,1.00
0.070,-0.01,0.00,1.00
0.071,-0.01,0.00,1.00
0.073,-0.01,0.00,1.00
0.075,-0.01,0.00,1.00
0.077,-0.01,0.00,1.00
0.081,-0.01,0.00,1.00
0.081,-0.01,0.00,1.00
0.083,-0.01,0.00,1.00
0.085,-0.01,0.00,1.00
0.087,-0.01,0.00,1.00
0.089,-0.01,0.00,1.00
0.091,-0.01,0.00,1.00
0.093,-0.01,0.00,1.00
0.097,-0.01,0.00,1.00
0.098,-0.01,0.00,1.00
0.099,-0.01,0.00,1.00
0.101,-0.01,0.00,1.00
0.103,-0.01,0.00,1.00
0.106,-0.01,0.00,1.00
0.107,-0.01,0.00,1.00
0.109,-0.01,0.00,1.00
0.114,-0.01,0.00,1.00
0.115,-0.01,0.00,1.00
0.115,-0.01,0.00,1.00
0.117,-0.01,0.00,1.00
0.121,-0.00,0.00,1.00
0.121,-0.00,0.00,1.00
0.124,-0.00,0.00,1.00
0.125,-0.01,0.00,1.00
0.127,-0.01,0.00,1.00
0.130,-0.01,0.00,1.00
0.132,-0.01,0.00,1.00
0.133,-0.01,0.00,1.00
0.135,-0.01,0.00,1.00
0.137,-0.01,0.00,1.00
0.139,-0.01,0.00,1.00
0.141,-0.01,0.00,1.00
0.143,-0.01,0.00,1.00
0.158,-0.01,0.00,1.00
0.158,-0.01,0.00,1.00
0.159,-0.01,0.00,1.00
0.159,-0.01,0.00,1.00
0.159,-0.01,0.00,1.00
0.159,-0.01,0.00,1.00
0.159,-0.01,0.00,1.00
0.160,-0.01,0.00,1.00
0.164,-0.01,0.00,1.00
0.164,-0.01,0.00,1.00
0.166,-0.01,0.00,1.00
0.167,-0.01,0.00,1.00
0.169,-0.01,0.00,1.00
0.171,-0.01,0.00,1.00
0.173,-0.01,0.00,1.00
0.175,-0.01,0.00,1.00
0.177,-0.01,0.00,1.00
0.191,-0.01,0.00,1.00
0.192,-0.01,0.00,1.00
0.192,-0.01,0.00,1.00
0.192,-0.01,0.00,1.00
0.192,-0.01,0.00,1.00
0.193,-0.01,0.00,1.00
0.193,-0.01,0.00,1.00
0.193,-0.01,0.00,1.00
0.210,-0.01,0.00,1.00
0.211,-0.01,0.00,1.00
0.226,-0.01,0.00,1.00
0.226,-0.01,0.00,1.00
0.226,-0.01,0.00,1.00
0.227,-0.01,0.00,1.00
0.228,-0.01,0.00,1.00
0.228,-0.01,0.00,1.00
0.228,-0.01,0.00,1.00
0.229,-0.01,0.00,1.00
0.230,-0.01,0.00,1.00
0.230,-0.01,0.00,1.00
0.231,-0.01,0.00,1.00
0.231,-0.01,0.00,1.00
0.232,-0.01,0.00,1.00
0.233,-0.01,0.00,1.00
0.233,-0.01,0.00,1.00
0.233,-0.01,0.00,1.00
0.234,-0.01,0.00,1.00
0.234,-0.01,0.00,1.00
0.243,-0.01,0.00,1.00
0.244,-0.01,0.00,1.00
0.244,-0.01,0.00,1.00
0.244,-0.01,0.00,1.00
0.245,-0.01,0.00,1.00
0.258,-0.01,0.00,1.00
0.259,-0.01,0.00,1.00
0.259,-0.01,0.00,1.00
0.260,-0.01,0.00,1.00
0.260,-0.01,0.00,1.00
0.260,-0.01,0.00,1.00
0.260,-0.01,0.00,1.00
0.261,-0.01,0.00,1.00
0.262,-0.01,0.00,1.00
0.266,-0.00,0.00,1.00
0.266,-0.01,0.00,1.00
0.267,-0.01,0.00,1.00
0.269,-0.01,0.00,1.00
0.272,-0.00,0.00,1.00
0.273,-0.00,0.00,1.00
0.275,-0.00,0.00,1.00
0.277,-0.01,0.00,1.00
0.281,-0.01,0.00,1.00
0.282,-0.01,0.00,1.00
0.283,-0.01,0.00,1.00
0.285,-0.01,0.00,1.00
0.289,-0.01,0.00,1.00
0.289,-0.01,0.00,1.00
0.291,-0.01,0.00,1.00
0.293,-0.01,0.00,1.00
0.298,-0.01,0.00,1.00
0.299,-0.01,0.00,1.00
0.299,-0.01,0.00,1.00
0.301,-0.01,0.00,1.00
