time,x,y,z
0.011,-0.00,0.00,1.01
0.012,-0.00,0.00,1.01
0.012,-0.00,0.00,1.01
0.012,-0.00,0.00,1.01
0.013,-0.00,0.00,1.01
0.013,-0.00,0.00,1.01
0.013,-0.00,0.00,1.01
0.017,-0.00,0.00,1.01
0.017,-0.00,0.00,1.01
0.017,0.00,0.00,1.01
0.019,0.00,0.00,1.01
0.021,0.00,0.00,1.01
0.023,0.00,0.00,1.00
0.025,0.00,0.00,1.00
0.026,0.00,0.00,1.00
0.032,0.00,0.00,1.00
0.032,0.00,0.00,1.00
0.033,0.00,0.00,1.00
0.035,0.00,0.00,1.00
0.036,0.00,0.00,1.00
0.039,0.00,0.00,1.01
0.041,0.00,0.00,1.01
0.042,0.00,0.00,1.00
0.044,0.00,0.00,1.00
0.047,0.00,0.00,1.01
0.048,0.00,0.00,1.01
0.051,0.00,0.00,1.01
0.053,0.00,0.00,1.01
0.055,0.00,0.00,1.01
0.057,0.00,0.00,1.01
0.059,0.00,0.00,1.01
0.060,0.00,0.00,1.01
0.063,0.00,0.00,1.01
0.067,0.00,0.00,1.01
0.067,0.00,0.00,1.01
0.069,0.00,0.00,1.01
0.071,0.00,0.00,1.00
0.073,0.00,0.00,1.00
0.075,0.00,0.00,1.00
0.077,0.00,0.00,1.00
0.081,0.00,0.00,1.00
0.083,0.00,0.00,1.01
0.084,0.00,0.00,1.01
0.085,0.00,0.00,1.01
0.091,0.00,0.00,1.01
0.091,0.00,0.00,1.01
0.092,0.00,0.00,1.01
0.092,0.00,0.00,1.01
0.095,0.00,0.00,1.01
0.097,0.00,0.00,1.01
0.099,0.01,0.00,1.01
0.101,0.01,0.00,1.01
0.103,0.01,0.00,1.01
0.105,0.01,0.00,1.01
0.107,0.01,0.00,1.01
0.109,0.01,0.00,1.01
0.111,0.01,0.00,1.01
0.117,0.01,0.00,1.01
0.117,0.01,0.00,1.01
0.118,0.00,0.00,1.01
0.119,0.00,0.00,1.01
0.121,0.00,0.00,1.01
0.123,0.00,0.00,1.01
0.124,0.00,0.00,1.01
0.127,0.01,0.00,1.01
0.131,0.01,0.00,1.01
0.131,0.01,0.00,1.01
0.132,0.01,0.00,1.01
0.135,0.01,0.00,1.01
0.137,0.01,0.00,1.01
0.139,0.01,0.00,1.01
0.141,0.01,0.00,1.01
0.143,0.01,0.00,1.01
0.145,0.00,0.00,1.01
0.159,0.00,0.00,1.01
0.159,0.01,0.00,1.01
0.160,0.00,0.00,1.01
0.160,-0.00,0.00,0.99
0.160,-0.00,0.00,0.99
0.160,-0.00,0.00,1.00
0.160,-0.00,0.00,1.01
0.161,0.00,0.00,1.00
0.164,0.00,0.00,1.00
0.167,0.00,0.00,1.00
0.168,0.00,0.00,1.00
0.169,0.00,0.00,1.01
0.171,0.00,0.00,1.01
0.176,0.00,0.00,1.00
0.177,0.00,0.01,1.00
0.177,0.00,0.01,1.00
0.181,0.00,0.01,1.00
0.181,0.00,0.01,1.00
0.184,0.00,0.01,1.01
0.184,0.00,0.00,1.01
0.187,0.00,0.00,1.01
0.189,0.00,0.00,1.01
0.191,0.00,0.00,1.01
0.195,0.00,0.00,1.01
0.196,-0.00,0.00,1.00
0.200,-0.00,0.00,1.00
0.211,-0.00,0.00,1.00
0.212,-0.00,0.00,1.00
0.212,-0.00,0.00,1.01
0.213,-0.01,0.00,1.00
0.213,-0.01,0.00,1.00
0.213,-0.01,0.00,1.01
0.214,-0.01,0.00,1.01
0.214,-0.01,0.00,1.01
0.226,-0.00,0.00,1.01
0.226,-0.00,0.00,1.01
0.226,-0.00,0.00,1.01
0.226,0.00,0.00,1.01
0.227,0.00,0.00,1.01
0.227,0.00,0.00,1.01
0.227,0.00,0.00,1.01
0.228,0.00,0.00,1.01
0.231,0.00,0.00,1.02
0.233,0.00,0.00,1.02
0.235,-0.00,0.00,1.02
0.236,-0.00,0.00,1.02
0.238,-0.00,-0.00,1.02
0.241,-0.00,-0.00,1.03
0.242,-0.00,-0.00,1.03
0.244,-0.00,-0.01,1.04
0.248,-0.00,-0.00,1.04
0.249,0.00,0.00,1.04
0.251,0.00,0.00,1.04
0.253,0.00,0.00,1.04
0.255,-0.00,0.00,1.04
0.257,-0.01,0.00,1.04
0.259,-0.01,0.00,1.04
0.260,-0.01,0.00,1.03
0.265,-0.01,0.00,1.04
0.266,-0.01,0.00,1.04
0.267,-0.00,0.00,1.04
0.268,-0.00,-0.00,1.04
0.271,-0.00,-0.02,1.04
0.272,-0.01,-0.08,1.04
0.274,-0.02,-0.16,1.03
0.276,-0.01,-0.21,1.02
0.278,-0.00,-0.24,1.02
0.282,0.01,-0.24,1.02
0.283,0.01,-0.23,1.02
0.285,0.02,-0.20,1.02
0.287,0.03,-0.17,1.02
0.289,0.03,-0.14,1.02
0.290,0.04,-0.11,1.02
0.292,0.05,-0.09,1.02
0.294,0.05,-0.07,1.02
0.300,0.06,-0.05,1.03
0.301,0.07,-0.03,1.04
0.301,0.07,-0.02,1.05
0.303,0.08,-0.00,1.07
0.305,0.08,0.01,1.09
0.307,0.08,0.03,1.12
0.310,0.08,0.04,1.14
0.311,0.08,0.06,1.17
0.316,0.08,0.08,1.21
0.318,0.08,0.11,1.24
0.318,0.08,0.13,1.28
0.319,0.08,0.15,1.31
0.321,0.08,0.17,1.34
0.323,0.08,0.19,1.36
0.325,0.08,0.21,1.38
0.326,0.09,0.23,1.39
0.328,0.11,0.24,1.39
0.333,0.12,0.26,1.39
0.334,0.13,0.27,1.39
0.335,0.15,0.28,1.39
0.337,0.16,0.29,1.38
0.339,0.16,0.30,1.38
0.341,0.17,0.30,1.37
0.342,0.16,0.31,1.36
0.344,0.16,0.30,1.35
0.348,0.14,0.30,1.34
0.349,0.13,0.30,1.32
0.351,0.12,0.30,1.31
0.353,0.10,0.30,1.29
0.355,0.09,0.30,1.28
0.357,0.08,0.30,1.26
0.359,0.07,0.31,1.25
0.361,0.06,0.31,1.23
0.363,0.05,0.31,1.21
0.365,0.04,0.32,1.19
0.367,0.04,0.32,1.18
0.369,0.04,0.33,1.17
0.371,0.04,0.33,1.16
0.373,0.04,0.34,1.16
0.375,0.03,0.34,1.16
0.376,0.03,0.34,1.17
0.378,0.03,0.34,1.17
0.382,0.04,0.33,1.18
0.383,0.04,0.33,1.18
0.385,0.04,0.34,1.18
0.387,0.04,0.34,1.18
0.389,0.04,0.34,1.18
0.391,0.04,0.35,1.17
0.393,0.04,0.35,1.16
0.395,0.03,0.35,1.16
0.399,0.03,0.36,1.15
0.411,0.02,0.35,1.15
0.412,0.01,0.35,1.14
0.412,0.00,0.35,1.13
0.412,-0.00,0.34,1.13
0.413,-0.00,0.33,1.12
0.413,-0.00,0.33,1.11
0.413,-0.00,0.32,1.10
0.413,-0.00,0.31,1.09
0.415,-0.00,0.30,1.08
0.418,0.00,0.29,1.07
0.419,0.00,0.28,1.05
0.421,-0.00,0.27,1.04
0.423,-0.00,0.26,1.03
0.425,-0.01,0.25,1.01
0.426,-0.02,0.24,1.00
0.428,-0.02,0.23,0.99
0.435,-0.03,0.22,0.99
0.435,-0.04,0.21,0.99
0.435,-0.04,0.21,0.99
0.438,-0.05,0.21,0.99
0.439,-0.05,0.20,0.99
0.441,-0.05,0.20,0.99
0.443,-0.06,0.20,1.00
0.445,-0.06,0.19,1.00
0.450,-0.06,0.19,1.00
0.450,-0.06,0.19,1.01
0.451,-0.06,0.19,1.01
0.453,-0.07,0.18,1.01
0.455,-0.07,0.18,1.01
0.457,-0.07,0.18,1.01
0.459,-0.07,0.19,1.00
0.460,-0.07,0.19,0.99
0.462,-0.07,0.20,0.98
0.466,-0.06,0.20,0.97
0.467,-0.06,0.21,0.96
0.469,-0.06,0.21,0.95
0.471,-0.06,0.21,0.93
0.473,-0.06,0.22,0.92
0.475,-0.06,0.22,0.91
0.476,-0.05,0.22,0.90
0.478,-0.05,0.22,0.89
0.482,-0.05,0.21,0.88
0.483,-0.04,0.21,0.87
0.484,-0.04,0.21,0.87
0.487,-0.04,0.20,0.86
0.489,-0.04,0.20,0.86
0.491,-0.03,0.20,0.85
0.492,-0.03,0.19,0.85
0.495,-0.02,0.19,0.85
0.501,-0.01,0.18,0.85
0.501,-0.01,0.18,0.85
0.502,-0.00,0.18,0.85
0.503,0.00,0.18,0.85
0.504,0.01,0.18,0.85
0.507,0.01,0.18,0.85
0.509,0.02,0.18,0.85
0.511,0.02,0.18,0.84
0.513,0.02,0.18,0.84
0.516,0.02,0.18,0.84
0.517,0.02,0.18,0.83
0.519,0.03,0.18,0.83
0.521,0.03,0.18,0.82
0.524,0.02,0.19,0.81
0.525,0.02,0.19,0.81
0.526,0.02,0.19,0.80
0.529,0.02,0.19,0.80
0.534,0.01,0.19,0.79
0.534,0.01,0.19,0.79
0.535,0.01,0.19,0.79
0.537,0.01,0.19,0.79
0.539,0.00,0.19,0.79
0.541,-0.00,0.19,0.79
0.543,-0.01,0.19,0.79
