time,x,y,z
0.014,-0.00,0.00,1.01
0.015,-0.00,0.00,1.01
0.015,-0.00,0.00,1.01
0.015,-0.00,0.00,1.01
0.016,-0.00,0.00,1.01
0.016,-0.00,0.00,1.01
0.016,-0.00,0.00,1.01
0.016,-0.00,0.00,1.01
0.017,-0.00,0.00,1.01
0.017,-0.00,0.00,1.01
0.017,-0.00,0.00,1.01
0.030,-0.00,0.00,1.01
0.030,-0.00,0.00,1.01
0.030,-0.00,0.00,1.01
0.031,-0.00,0.00,1.01
0.031,-0.00,0.00,1.01
0.031,-0.00,0.00,1.01
0.035,-0.00,0.00,1.01
0.035,-0.00,0.00,1.01
0.046,-0.00,0.00,1.01
0.047,0.00,0.00,1.01
0.047,0.00,0.00,1.01
0.047,0.00,0.00,1.01
0.048,0.00,0.00,1.01
0.048,0.00,0.00,1.02
0.049,0.00,0.00,1.02
0.062,0.00,0.00,1.02
0.062,0.00,0.00,1.02
0.063,0.00,0.00,1.02
0.063,0.00,0.00,1.02
0.063,0.00,0.00,1.01
0.063,0.00,0.00,1.01
0.064,0.00,0.00,1.01
0.064,0.00,0.00,1.01
0.068,0.00,0.00,1.01
0.069,-0.01,0.01,1.00
0.070,-0.00,0.01,1.00
0.072,0.01,0.00,1.00
0.073,0.01,0.00,0.99
0.076,0.01,0.00,0.98
0.077,0.01,0.00,0.97
0.079,0.01,0.00,0.96
0.096,0.01,0.00,0.97
0.096,0.01,0.00,0.98
0.097,0.01,0.00,0.99
0.097,0.01,0.00,1.01
0.097,0.00,0.00,1.02
0.097,0.00,0.00,1.03
0.097,0.00,0.00,1.03
0.098,0.00,0.00,1.02
0.099,0.00,0.00,1.02
0.102,0.01,0.00,1.01
0.102,0.01,0.00,1.00
0.105,0.01,0.00,1.00
0.106,0.01,0.00,1.00
0.108,0.01,0.00,1.00
0.110,0.01,0.00,1.00
0.112,0.01,0.00,1.00
0.113,0.01,0.00,1.01
0.117,0.01,0.00,1.01
0.119,0.01,0.00,1.01
0.119,0.01,0.00,1.01
0.121,0.01,0.00,1.01
0.123,0.01,0.00,1.01
0.126,0.01,0.00,1.01
0.127,0.01,0.00,1.01
0.129,0.01,0.00,1.01
0.133,0.01,0.00,1.01
0.134,0.01,0.00,1.01
0.136,0.01,0.00,1.01
0.137,0.01,0.00,1.01
0.139,0.01,0.00,1.01
0.142,0.01,0.00,1.01
0.144,0.01,0.00,1.01
0.145,0.01,0.00,1.01
0.147,0.01,0.00,1.01
0.159,0.01,0.00,1.01
0.160,0.01,0.01,1.01
0.160,0.01,0.01,1.01
0.160,0.01,0.01,1.01
0.160,0.01,0.01,1.01
0.160,0.01,0.01,1.01
0.161,0.01,0.01,1.00
0.163,0.01,0.01,1.00
0.176,0.01,0.01,1.01
0.176,0.01,0.01,1.01
0.177,0.01,0.01,1.01
0.177,0.01,0.01,1.01
0.177,0.01,0.00,1.01
0.177,0.01,0.00,1.01
0.178,0.01,0.00,1.01
0.179,0.01,0.00,1.01
0.181,0.01,0.00,1.01
0.185,0.01,0.00,1.01
0.186,0.01,0.00,1.01
0.187,0.01,0.00,1.01
0.190,0.01,0.00,1.01
0.192,0.01,0.00,1.01
0.193,0.01,0.00,1.01
0.195,0.01,0.00,1.01
0.206,0.01,0.00,1.00
0.207,0.01,0.00,1.00
0.207,0.01,0.00,1.00
0.207,0.01,0.00,1.00
0.208,0.01,0.00,1.01
0.214,0.01,0.00,1.01
0.216,0.01,0.00,1.01
0.216,0.01,0.00,1.01
0.217,0.01,0.00,1.01
0.217,0.01,0.00,1.01
0.218,0.01,0.00,1.01
0.229,0.01,0.00,1.01
0.230,0.01,0.00,1.01
0.230,0.01,0.00,1.01
0.231,0.01,0.00,1.01
0.231,0.01,0.00,1.01
0.231,0.01,0.00,1.01
0.248,0.01,0.00,1.01
0.250,0.00,0.00,1.01
0.251,0.01,0.00,1.01
0.252,0.01,0.00,1.01
0.252,0.01,0.00,1.01
0.252,0.01,0.00,1.01
0.252,0.01,0.00,1.00
0.254,0.01,0.00,1.00
0.254,0.00,0.00,1.00
0.263,0.00,0.00,1.00
0.264,0.00,0.00,1.01
0.264,0.00,0.00,1.01
0.265,0.00,0.00,1.01
0.266,0.00,0.00,1.01
0.266,0.00,0.00,1.01
0.267,0.00,0.00,1.01
0.267,0.00,0.00,1.01
0.267,0.00,0.00,1.01
0.278,0.00,0.00,1.01
0.279,0.00,0.00,1.01
0.279,0.00,0.00,1.01
0.279,0.00,0.00,1.01
0.279,0.00,0.00,1.00
0.280,0.01,0.00,0.95
0.280,0.02,0.00,0.84
0.281,0.04,0.01,0.73
0.300,0.04,0.01,0.75
0.300,0.01,0.01,0.99
0.300,-0.02,-0.00,1.21
0.301,-0.03,-0.01,1.25
0.301,-0.02,-0.00,1.18
0.301,-0.01,-0.00,1.10
0.302,-0.01,0.00,1.03
0.302,-0.00,0.00,0.99
0.302,-0.00,0.00,0.97
0.303,-0.00,0.00,0.98
0.306,-0.00,0.00,1.00
0.306,-0.01,0.00,1.02
0.308,-0.01,-0.00,1.03
0.310,-0.00,-0.00,1.04
0.312,-0.00,-0.00,1.04
0.314,-0.00,0.00,1.03
0.318,-0.00,-0.00,1.03
0.318,-0.00,-0.00,1.03
0.320,-0.00,-0.00,1.02
0.321,-0.00,-0.00,1.02
0.323,0.00,-0.00,1.01
0.326,0.00,0.00,1.01
0.328,0.00,0.00,1.01
0.329,0.00,0.00,1.01
0.331,0.00,0.00,1.01
0.335,0.00,0.00,1.01
0.336,0.00,0.00,1.01
0.338,0.00,0.00,1.01
0.340,0.00,-0.00,1.01
0.342,0.01,-0.00,1.01
0.344,0.01,-0.00,1.01
0.345,0.01,-0.00,1.01
0.347,0.01,-0.00,1.01
0.352,0.01,-0.00,1.01
0.352,0.01,-0.00,1.01
0.354,0.01,-0.00,1.01
0.356,0.01,-0.00,1.01
0.358,0.01,-0.00,1.01
0.360,0.01,-0.00,1.01
0.361,0.01,-0.00,1.01
0.363,0.01,-0.00,1.01
0.365,0.01,-0.00,1.01
0.372,0.01,-0.00,1.01
0.372,0.01,-0.00,1.01
0.373,0.01,-0.00,1.00
0.374,0.00,-0.00,1.00
0.376,0.00,-0.00,1.00
0.378,0.00,-0.00,1.00
0.380,0.00,-0.00,1.00
0.382,0.00,-0.00,1.00
0.387,0.00,-0.00,1.00
0.388,0.00,-0.00,1.00
0.388,0.00,-0.00,1.00
0.389,0.00,-0.00,1.01
0.392,0.00,0.00,1.01
0.394,-0.00,0.00,1.01
0.396,-0.00,0.00,1.01
0.408,-0.00,0.00,1.01
0.408,-0.00,0.00,1.01
0.408,-0.00,0.00,1.01
0.408,-0.00,0.00,1.01
0.409,-0.00,0.00,1.01
0.409,-0.00,0.00,1.01
0.411,-0.00,0.00,1.01
0.412,-0.00,0.00,1.01
0.414,-0.00,0.00,1.01
0.416,-0.01,0.00,1.01
0.419,-0.01,0.01,1.01
0.420,-0.01,0.01,1.01
0.424,-0.01,0.01,1.01
0.425,-0.01,0.00,1.01
0.426,-0.01,0.00,1.01
0.428,-0.01,0.01,1.01
