time,x,y,z
0.020,-0.02,0.00,1.00
0.021,-0.02,0.00,1.00
0.021,-0.02,0.00,1.00
0.021,-0.02,0.00,1.00
0.022,-0.02,0.00,1.00
0.022,-0.02,0.00,1.00
0.022,-0.02,0.00,1.00
0.023,-0.02,0.00,1.00
0.023,-0.02,0.00,1.00
0.023,-0.02,0.00,1.00
0.024,-0.02,0.00,1.00
0.024,-0.02,0.00,1.00
0.025,-0.02,0.00,1.00
0.025,-0.02,0.00,1.00
0.025,-0.02,0.00,1.00
0.035,-0.02,0.00,1.00
0.036,-0.02,0.00,1.00
0.037,-0.02,0.00,1.00
0.037,-0.02,0.00,1.00
0.037,-0.01,0.00,1.00
0.038,-0.01,0.00,1.00
0.041,-0.01,0.00,1.00
0.042,-0.01,0.00,1.00
0.043,-0.01,0.00,1.00
0.047,-0.01,0.00,1.00
0.048,-0.01,0.00,1.00
0.063,-0.01,0.00,1.00
0.063,-0.01,0.00,1.00
0.063,-0.02,0.00,1.00
0.063,-0.02,0.00,1.00
0.063,-0.02,0.00,1.00
0.064,-0.02,0.00,1.00
0.064,-0.02,0.00,1.00
0.064,-0.02,0.00,1.00
0.066,-0.02,0.00,1.00
0.067,-0.02,0.00,1.00
0.069,-0.02,0.00,1.00
0.071,-0.02,0.00,1.00
0.073,-0.02,0.00,1.00
0.075,-0.02,0.00,1.00
0.078,-0.02,0.00,1.00
0.079,-0.02,0.00,1.00
0.083,-0.02,0.00,1.00
0.084,-0.02,0.00,1.00
0.085,-0.02,0.00,1.00
0.087,-0.02,0.00,1.00
0.089,-0.02,0.00,1.00
0.091,-0.02,0.00,1.00
0.094,-0.02,0.00,1.00
0.095,-0.02,0.00,1.00
0.097,-0.02,0.00,1.00
0.101,-0.02,0.00,1.00
0.102,-0.02,0.00,1.00
0.104,-0.02,0.00,1.00
0.106,-0.02,0.00,1.00
0.108,-0.02,0.00,1.00
0.109,-0.02,0.00,1.00
0.112,-0.02,0.00,1.00
0.113,-0.02,0.00,1.00
0.116,-0.02,0.00,1.00
0.117,-0.02,0.00,1.00
0.121,-0.02,0.00,1.00
0.121,-0.02,0.00,1.00
0.123,-0.02,0.00,1.00
0.125,-0.02,0.00,1.00
0.127,-0.02,0.00,1.00
0.129,-0.02,0.00,1.00
0.131,-0.02,0.00,1.00
0.146,-0.02,0.00,1.00
0.147,-0.02,0.00,1.00
0.148,-0.02,0.00,1.00
0.148,-0.02,0.00,1.00
0.148,-0.02,0.00,1.00
0.149,-0.02,0.00,1.00
0.149,-0.02,0.00,1.00
0.149,-0.02,0.00,1.00
0.150,-0.02,0.00,1.00
0.179,-0.02,0.00,1.00
0.180,-0.02,0.00,1.00
0.180,-0.02,0.00,1.00
0.180,-0.02,0.00,1.00
0.181,-0.02,0.00,1.00
0.181,-0.02,0.00,1.00
0.181,-0.02,0.00,1.00
0.182,-0.02,0.00,1.00
0.182,-0.02,0.00,1.00
0.182,-0.02,0.00,1.00
0.183,-0.02,0.00,1.00
0.183,-0.02,0.00,1.00
0.183,-0.02,0.00,1.00
0.184,-0.02,0.00,1.00
0.184,-0.02,0.00,1.00
0.184,-0.01,0.00,1.00
0.184,-0.01,0.00,1.00
0.185,-0.01,0.00,1.00
0.188,-0.01,0.00,1.00
0.189,-0.01,0.00,1.00
0.191,-0.01,0.00,1.00
0.193,-0.02,0.00,1.00
0.195,-0.02,0.00,1.00
0.197,-0.02,0.00,1.00
0.201,-0.02,0.00,1.00
0.202,-0.02,0.00,1.00
0.204,-0.02,0.00,1.00
0.206,-0.02,0.00,1.00
0.207,-0.02,0.00,1.00
0.209,-0.02,0.00,1.00
0.211,-0.02,0.00,1.00
0.213,-0.02,0.00,1.00
0.228,-0.02,0.00,1.00
0.228,-0.02,0.00,1.00
0.229,-0.02,0.00,1.00
0.229,-0.01,0.00,1.00
0.229,-0.01,0.00,1.00
0.229,-0.01,0.00,1.00
0.230,-0.01,0.00,1.00
0.230,-0.01,0.00,1.00
0.231,-0.01,0.00,1.00
0.245,-0.01,0.00,1.00
0.246,-0.01,0.00,1.00
0.246,-0.01,0.00,1.00
0.247,-0.01,0.00,1.00
0.247,-0.01,0.00,1.00
0.247,-0.01,0.00,1.00
0.247,-0.01,0.00,1.00
