time,x,y,z
0.014,-0.00,0.00,1.01
0.015,-0.00,0.00,1.00
0.016,-0.00,0.00,1.00
0.016,-0.01,0.00,1.00
0.016,-0.01,0.00,1.00
0.017,-0.01,0.00,1.00
0.017,-0.01,0.00,1.00
0.017,-0.01,0.00,1.00
0.021,-0.01,0.00,1.00
0.021,-0.01,0.00,1.00
0.021,-0.01,-0.00,1.00
0.022,-0.01,-0.00,1.00
0.023,-0.01,-0.00,1.00
0.028,-0.01,-0.00,1.00
0.028,-0.01,-0.00,1.00
0.029,-0.01,-0.00,1.01
0.031,-0.01,-0.00,1.01
0.033,-0.01,-0.00,1.01
0.035,-0.01,-0.00,1.01
0.037,-0.01,-0.00,1.01
0.039,-0.01,-0.00,1.00
0.043,-0.01,-0.00,1.00
0.044,-0.01,-0.00,1.00
0.046,-0.01,-0.00,1.00
0.049,-0.01,-0.00,1.00
0.049,-0.01,-0.00,1.00
0.051,-0.01,-0.00,1.00
0.054,-0.01,-0.00,1.00
0.055,-0.01,-0.00,1.00
0.057,-0.01,-0.00,1.00
0.062,-0.01,-0.00,1.00
0.062,-0.01,-0.00,1.00
0.065,-0.00,-0.00,1.00
0.066,-0.00,-0.00,1.00
0.067,-0.00,-0.00,1.00
0.069,-0.00,-0.00,1.00
0.072,-0.00,0.00,1.00
0.073,-0.00,0.00,1.00
0.077,-0.00,0.00,1.00
0.077,-0.00,0.00,1.00
0.092,-0.00,0.00,1.00
0.094,-0.00,0.00,1.00
0.094,-0.00,0.00,1.00
0.095,-0.00,0.00,1.00
0.095,-0.01,0.00,1.00
0.095,-0.00,0.00,1.00
0.096,-0.00,0.00,1.00
0.096,-0.00,0.00,1.00
0.096,-0.01,0.00,1.00
0.101,-0.00,0.00,1.00
0.102,-0.00,0.00,1.00
0.103,-0.00,0.00,1.00
0.103,-0.00,0.00,1.00
0.105,-0.00,0.00,1.00
0.107,-0.00,0.00,1.00
0.114,-0.00,0.00,1.00
0.114,-0.00,0.00,1.00
0.115,-0.00,0.00,1.00
0.115,-0.00,0.00,1.00
0.119,-0.00,0.00,1.00
0.120,-0.00,0.00,1.00
0.121,-0.00,0.00,1.01
0.124,-0.00,0.00,1.01
0.133,-0.00,0.00,1.01
0.133,-0.00,0.00,1.01
0.134,-0.00,0.00,1.00
0.135,-0.00,0.00,1.00
0.135,-0.01,0.00,1.00
0.136,-0.01,0.00,1.00
0.137,-0.01,0.00,1.00
0.139,-0.01,0.00,1.00
0.141,-0.02,-0.00,1.00
0.145,-0.04,-0.02,1.00
0.145,-0.07,-0.02,1.00
0.147,-0.07,-0.03,1.00
0.149,-0.04,-0.04,1.00
0.151,-0.02,-0.05,1.00
0.153,-0.00,-0.04,1.00
0.155,0.00,-0.03,1.00
0.158,0.00,-0.03,1.00
0.162,0.00,-0.02,1.00
0.162,0.00,-0.02,1.00
0.163,0.01,-0.02,1.00
0.165,0.01,-0.02,1.00
0.167,0.01,-0.03,1.00
0.169,0.02,-0.03,1.00
0.171,0.02,-0.03,1.00
0.174,0.03,-0.03,1.00
0.178,0.03,-0.03,1.00
0.178,0.04,-0.03,1.00
0.180,0.04,-0.03,1.00
0.181,0.04,-0.03,1.00
0.183,0.05,-0.03,1.00
0.186,0.05,-0.03,1.00
0.187,0.06,-0.03,1.00
0.189,0.06,-0.04,1.01
0.191,0.07,-0.04,1.01
0.195,0.08,-0.04,1.01
0.196,0.10,-0.05,1.00
0.197,0.11,-0.06,1.00
0.207,0.12,-0.06,1.00
0.207,0.13,-0.06,1.00
0.208,0.14,-0.06,1.00
0.208,0.14,-0.06,1.00
0.208,0.14,-0.06,1.00
0.212,0.14,-0.05,1.00
0.213,0.13,-0.05,1.00
0.214,0.12,-0.04,1.00
0.216,0.12,-0.04,1.00
0.217,0.11,-0.04,1.00
0.219,0.11,-0.03,1.00
0.221,0.10,-0.03,1.00
0.223,0.10,-0.02,1.00
0.225,0.09,-0.02,1.00
0.228,0.09,-0.02,1.00
0.229,0.10,-0.02,1.00
0.231,0.11,-0.01,1.00
0.233,0.11,-0.01,1.00
0.235,0.11,-0.01,1.00
0.237,0.10,-0.00,1.00
0.239,0.10,0.00,1.00
0.241,0.10,0.00,1.00
0.246,0.09,0.01,1.00
0.246,0.08,0.01,1.00
0.247,0.08,0.01,1.00
0.250,0.07,0.02,1.00
0.251,0.07,0.02,1.00
0.254,0.08,0.02,1.00
0.255,0.08,0.02,1.00
0.257,0.09,0.02,1.00
0.261,0.10,0.02,1.00
0.262,0.10,0.02,1.00
0.263,0.10,0.02,1.00
0.265,0.11,0.02,1.00
0.267,0.11,0.02,1.01
0.269,0.11,0.02,1.01
0.271,0.12,0.02,1.01
0.273,0.13,0.02,1.01
0.275,0.14,0.02,1.01
0.278,0.15,0.03,1.01
0.280,0.14,0.02,1.01
0.281,0.14,0.02,1.01
0.283,0.14,0.02,1.01
0.285,0.15,0.02,1.01
0.287,0.16,0.02,1.00
0.289,0.16,0.02,1.00
0.291,0.15,0.02,1.00
0.296,0.14,0.02,1.00
0.297,0.14,0.02,1.00
0.298,0.14,0.02,1.00
0.299,0.14,0.02,1.00
0.302,0.14,0.02,1.00
0.304,0.13,0.02,1.00
0.305,0.13,0.02,1.00
0.307,0.14,0.02,1.00
0.312,0.14,0.02,1.00
0.312,0.14,0.01,1.00
0.314,0.14,0.01,1.00
0.315,0.14,0.01,1.00
0.317,0.15,0.01,1.00
0.319,0.14,0.01,1.00
0.321,0.13,0.01,1.01
0.323,0.13,0.01,1.01
0.325,0.12,0.01,1.00
0.328,0.12,0.01,1.00
0.329,0.11,0.01,1.01
0.331,0.11,0.02,1.00
0.333,0.11,0.02,1.00
0.335,0.12,0.02,1.01
0.337,0.12,0.02,1.00
0.339,0.12,0.02,1.00
0.341,0.11,0.02,1.00
0.345,0.10,0.02,1.00
0.347,0.09,0.02,1.00
0.348,0.08,0.02,1.00
0.349,0.09,0.02,1.00
0.351,0.09,0.02,1.00
0.353,0.10,0.03,1.00
0.355,0.10,0.03,1.01
0.357,0.09,0.03,1.00
0.362,0.08,0.02,1.01
0.362,0.08,0.02,1.01
0.364,0.07,0.02,1.01
0.365,0.07,0.02,1.01
0.367,0.07,0.02,1.00
0.369,0.07,0.02,1.00
0.373,0.07,0.01,1.01
0.374,0.07,0.01,1.01
0.375,0.08,0.01,1.00
0.389,0.08,0.01,1.00
0.390,0.07,0.01,1.00
0.390,0.07,0.01,1.00
0.390,0.06,0.01,1.00
0.391,0.05,0.01,1.00
0.391,0.04,0.01,1.00
0.391,0.04,0.01,1.00
0.397,0.05,0.01,1.00
0.397,0.06,0.02,1.00
0.398,0.07,0.02,1.00
0.398,0.06,0.02,1.00
0.413,0.06,0.02,1.00
0.413,0.06,0.02,1.00
0.413,0.06,0.02,1.00
0.414,0.05,0.02,1.01
0.414,0.05,0.02,1.00
0.415,0.06,0.02,1.00
0.415,0.05,0.02,1.01
0.415,0.06,0.02,1.01
0.416,0.05,0.02,1.01
0.421,0.05,0.03,1.01
0.421,0.04,0.03,1.01
0.422,0.04,0.03,1.01
0.423,0.03,0.03,1.01
0.425,0.03,0.03,1.00
0.433,0.03,0.04,1.00
0.433,0.03,0.04,1.00
0.434,0.03,0.04,1.00
0.434,0.03,0.04,1.00
0.435,0.02,0.04,1.00
0.437,0.02,0.04,1.00
0.439,0.02,0.04,1.00
0.441,0.02,0.04,1.00
0.445,0.02,0.04,1.00
0.446,0.02,0.04,1.00
0.447,0.02,0.04,1.00
0.449,0.02,0.04,1.00
0.451,0.02,0.04,1.01
0.453,0.02,0.04,1.01
0.455,0.01,0.04,1.01
0.458,0.01,0.04,1.01
0.459,0.01,0.04,1.01
0.463,0.02,0.04,1.01
0.464,0.02,0.04,1.01
0.465,0.02,0.04,1.01
0.467,0.03,0.04,1.00
0.469,0.02,0.04,1.00
0.472,0.02,0.04,1.00
0.473,0.01,0.04,1.01
0.476,0.01,0.04,1.00
0.479,0.01,0.04,1.00
0.480,0.00,0.05,1.00
0.481,-0.00,0.05,1.00
0.483,-0.00,0.05,1.00
0.485,0.00,0.05,1.01
0.487,-0.00,0.05,1.01
0.490,0.00,0.05,1.01
0.491,0.01,0.05,1.01
0.495,0.01,0.05,1.00
0.495,0.01,0.05,1.01
0.497,0.01,0.05,1.01
0.499,0.01,0.05,1.01
0.501,-0.00,0.05,1.00
0.503,-0.01,0.05,1.00
0.505,-0.02,0.05,1.00
0.507,-0.02,0.05,1.00
0.510,-0.03,0.05,1.00
0.513,-0.03,0.06,1.00
0.514,-0.03,0.06,1.00
0.517,-0.03,0.05,1.00
0.517,-0.04,0.05,1.00
0.520,-0.04,0.05,1.00
0.521,-0.04,0.05,1.00
0.523,-0.04,0.05,1.00
0.525,-0.03,0.06,1.00
0.531,-0.03,0.06,1.00
0.531,-0.03,0.06,1.01
0.531,-0.03,0.06,1.01
0.533,-0.03,0.06,1.00
0.535,-0.04,0.06,1.00
0.537,-0.05,0.06,1.01
0.539,-0.06,0.07,1.00
0.541,-0.05,0.07,1.00
0.546,-0.05,0.07,1.00
0.546,-0.05,0.07,1.00
0.547,-0.05,0.07,1.00
0.549,-0.05,0.07,1.01
0.551,-0.05,0.07,1.01
0.553,-0.05,0.07,1.01
0.555,-0.05,0.07,1.01
0.557,-0.04,0.07,1.00
0.559,-0.04,0.07,1.00
0.562,-0.03,0.07,1.01
0.564,-0.03,0.07,1.01
0.565,-0.03,0.08,1.01
0.567,-0.04,0.08,1.01
0.569,-0.04,0.07,1.01
0.571,-0.04,0.07,1.01
0.573,-0.05,0.07,1.01
0.575,-0.05,0.07,1.01
0.578,-0.05,0.07,1.00
0.580,-0.06,0.07,1.01
0.581,-0.06,0.07,1.00
0.583,-0.06,0.07,1.00
0.585,-0.06,0.06,1.00
0.587,-0.06,0.06,1.00
0.589,-0.07,0.06,1.00
0.591,-0.07,0.06,1.00
0.593,-0.08,0.06,1.00
0.596,-0.08,0.06,1.00
0.597,-0.08,0.06,1.00
0.605,-0.08,0.06,1.00
0.605,-0.08,0.06,1.00
0.606,-0.07,0.06,1.00
0.606,-0.07,0.07,1.00
0.607,-0.06,0.07,1.00
0.610,-0.06,0.07,1.00
0.612,-0.05,0.08,1.00
0.613,-0.05,0.08,1.00
0.615,-0.06,0.08,1.00
0.617,-0.07,0.08,1.00
0.619,-0.08,0.08,1.01
0.622,-0.08,0.08,1.01
0.623,-0.09,0.08,1.01
0.625,-0.09,0.08,1.00
0.630,-0.09,0.07,1.00
0.630,-0.09,0.07,1.00
0.631,-0.09,0.07,1.00
0.633,-0.09,0.07,1.00
0.635,-0.08,0.08,1.00
0.637,-0.08,0.08,1.00
0.639,-0.07,0.08,1.00
0.642,-0.06,0.08,1.00
0.643,-0.06,0.08,1.01
0.648,-0.07,0.07,1.00
0.648,-0.07,0.07,1.00
0.649,-0.08,0.06,1.00
0.651,-0.09,0.05,1.00
0.653,-0.09,0.05,1.00
0.656,-0.09,0.05,1.00
0.657,-0.08,0.05,1.00
0.659,-0.08,0.05,1.00
0.666,-0.08,0.05,1.01
0.667,-0.08,0.05,1.00
0.668,-0.07,0.06,1.01
0.668,-0.07,0.06,1.01
0.669,-0.07,0.06,1.01
0.671,-0.07,0.07,1.00
0.673,-0.07,0.07,1.00
0.675,-0.08,0.07,1.00
0.682,-0.08,0.07,1.01
0.683,-0.08,0.07,1.01
0.683,-0.08,0.07,1.01
0.683,-0.07,0.06,1.01
0.685,-0.07,0.06,1.00
0.687,-0.07,0.06,1.00
0.689,-0.08,0.05,1.00
0.691,-0.08,0.05,1.00
0.693,-0.08,0.05,1.01
0.699,-0.08,0.05,1.01
0.700,-0.08,0.05,1.01
0.700,-0.08,0.05,1.01
0.701,-0.08,0.05,1.00
0.703,-0.08,0.05,1.00
0.705,-0.08,0.05,1.01
0.707,-0.08,0.05,1.01
0.709,-0.09,0.05,1.01
0.714,-0.09,0.04,1.01
0.714,-0.09,0.04,1.00
0.715,-0.09,0.03,1.00
0.717,-0.09,0.03,1.00
0.720,-0.09,0.03,1.01
0.721,-0.09,0.02,1.00
0.723,-0.09,0.02,1.00
0.725,-0.09,0.02,1.00
0.731,-0.09,0.02,1.00
0.731,-0.09,0.01,1.00
0.732,-0.09,0.01,1.00
0.733,-0.10,0.00,1.00
0.736,-0.10,-0.00,1.00
0.739,-0.10,-0.00,1.00
0.740,-0.10,-0.00,1.00
0.741,-0.10,0.00,1.00
0.743,-0.10,0.01,1.00
0.749,-0.09,0.01,1.00
0.749,-0.09,0.01,1.00
0.750,-0.09,0.01,1.00
0.751,-0.09,0.01,1.00
0.753,-0.10,0.01,1.00
0.755,-0.10,0.00,1.00
0.757,-0.11,-0.00,1.00
0.759,-0.11,-0.00,1.00
0.763,-0.11,-0.00,1.00
0.764,-0.11,-0.00,1.00
0.765,-0.11,-0.00,1.00
0.767,-0.11,-0.00,1.00
0.769,-0.10,-0.00,1.00
0.771,-0.10,-0.00,1.00
0.773,-0.10,-0.00,1.00
0.775,-0.10,-0.00,1.01
0.777,-0.10,-0.00,1.00
0.780,-0.10,0.00,1.00
0.781,-0.09,0.01,1.01
0.783,-0.09,0.01,1.01
0.785,-0.09,0.01,1.00
0.787,-0.09,0.01,1.01
0.789,-0.09,0.00,1.01
0.791,-0.10,0.00,1.01
0.793,-0.10,0.00,1.00
0.800,-0.10,0.00,1.00
0.800,-0.10,0.00,1.00
0.812,-0.09,0.00,1.00
0.812,-0.10,0.01,1.00
0.813,-0.10,0.01,1.01
0.813,-0.09,0.01,1.00
0.813,-0.09,0.02,1.00
0.814,-0.09,0.02,1.00
0.814,-0.09,0.03,1.00
0.814,-0.09,0.03,1.00
0.818,-0.09,0.04,1.00
0.818,-0.09,0.04,1.00
0.820,-0.09,0.04,1.00
0.822,-0.09,0.03,1.01
0.823,-0.09,0.02,1.00
0.825,-0.09,0.02,1.00
0.827,-0.09,0.02,1.00
0.830,-0.08,0.03,1.00
0.832,-0.08,0.03,1.00
0.833,-0.08,0.03,1.00
0.835,-0.08,0.02,1.00
0.837,-0.08,0.02,1.00
0.839,-0.08,0.02,1.00
0.841,-0.08,0.01,1.01
0.843,-0.08,0.01,1.01
0.846,-0.08,0.00,1.01
0.848,-0.08,0.01,1.01
0.849,-0.07,0.02,1.00
0.851,-0.07,0.02,1.00
0.853,-0.07,0.03,1.00
0.856,-0.07,0.03,1.00
