time,x,y,z
0.016,-0.01,0.00,1.00
0.018,-0.01,0.00,1.00
0.018,-0.01,0.00,1.00
0.018,-0.01,0.00,1.00
0.019,-0.01,0.00,1.00
0.019,-0.01,0.00,1.00
0.019,-0.01,0.00,1.00
0.019,-0.01,0.00,1.00
0.019,-0.01,0.00,1.00
0.020,-0.00,0.00,1.00
0.020,-0.01,0.00,1.00
0.033,-0.01,0.00,1.00
0.033,-0.01,0.00,1.00
0.034,-0.00,0.00,1.00
0.034,-0.00,0.00,1.00
0.034,-0.00,0.00,1.00
0.034,-0.00,0.00,1.00
0.035,-0.00,0.00,1.00
0.035,-0.00,0.00,1.00
0.046,-0.00,0.00,1.00
0.048,-0.00,0.00,1.00
0.048,-0.00,0.00,1.01
0.049,-0.00,0.00,1.01
0.049,-0.00,0.00,1.01
0.049,-0.00,0.00,1.01
0.049,-0.00,0.00,1.01
0.057,-0.00,0.00,1.01
0.058,-0.00,0.00,1.01
0.058,-0.00,0.00,1.01
0.058,-0.00,0.00,1.01
0.062,-0.00,0.00,1.01
0.077,-0.00,0.00,1.01
0.078,-0.00,0.00,1.01
0.078,-0.00,0.00,1.01
0.078,-0.00,0.00,1.01
0.079,-0.00,0.00,1.00
0.079,-0.00,0.00,1.00
0.079,-0.00,0.00,1.00
0.079,-0.00,0.00,1.00
0.081,-0.00,0.00,1.00
0.081,-0.00,0.00,1.01
0.082,-0.00,0.00,1.01
0.089,-0.00,0.00,1.01
0.089,-0.00,0.00,1.01
0.089,-0.00,0.00,1.00
0.090,-0.00,0.00,1.00
0.091,-0.00,0.00,1.00
0.093,-0.00,0.00,1.00
0.095,-0.00,0.00,1.00
0.101,-0.00,0.00,1.00
0.102,-0.00,0.00,1.00
0.102,-0.00,0.00,1.00
0.103,-0.00,0.00,1.00
0.106,-0.00,0.00,1.00
0.107,-0.00,0.00,1.00
0.109,-0.00,0.00,1.00
0.111,-0.00,0.00,1.00
0.116,-0.00,0.00,1.00
0.117,-0.01,0.00,1.00
0.118,-0.00,0.00,1.00
0.119,-0.00,0.00,1.00
0.121,-0.00,0.00,1.00
0.123,-0.00,0.00,1.00
0.125,-0.01,0.00,1.00
0.127,-0.01,0.00,1.00
0.129,-0.01,0.00,1.00
0.133,-0.01,0.00,1.00
0.135,-0.01,0.00,1.00
0.135,-0.01,0.00,1.00
0.137,-0.01,0.00,1.00
0.140,-0.01,0.00,1.00
0.141,-0.01,0.00,1.00
0.143,-0.01,0.00,1.00
0.145,-0.01,0.00,1.00
0.159,-0.00,0.00,1.00
0.160,-0.00,0.00,1.00
0.160,-0.00,0.00,1.00
0.160,-0.00,0.00,1.00
0.161,-0.00,0.00,1.00
0.161,-0.00,0.00,1.00
0.161,-0.01,0.00,1.00
0.161,-0.01,0.00,1.00
0.178,-0.01,0.00,1.00
0.178,-0.00,0.00,1.00
0.179,-0.01,0.00,1.00
0.179,-0.01,0.00,1.00
0.179,-0.01,0.00,1.00
0.180,-0.01,0.00,1.01
0.180,-0.01,0.00,1.01
0.180,-0.01,0.00,1.01
0.180,-0.01,0.00,1.01
0.194,-0.01,-0.00,1.01
0.195,-0.01,-0.00,1.01
0.196,-0.01,-0.00,1.01
0.196,-0.01,-0.00,1.01
0.196,-0.01,-0.00,1.01
0.197,-0.01,-0.00,1.01
0.197,-0.01,-0.00,1.01
0.197,-0.01,-0.00,1.01
0.219,-0.01,-0.00,1.01
0.230,-0.01,-0.00,1.01
0.230,-0.01,-0.00,1.01
0.230,-0.01,-0.00,1.01
0.231,-0.01,-0.00,1.01
0.232,-0.00,-0.00,1.01
0.232,-0.00,-0.00,1.01
0.233,-0.01,-0.00,1.01
0.233,-0.00,-0.00,1.01
0.233,-0.01,-0.00,1.01
0.234,-0.01,-0.00,1.00
0.235,-0.01,-0.00,1.00
0.235,-0.01,-0.00,1.00
0.235,-0.01,-0.00,1.00
0.235,-0.01,-0.00,1.00
0.235,-0.01,-0.00,1.00
0.236,-0.01,0.00,1.00
0.236,-0.01,0.00,1.00
0.236,-0.01,0.00,1.00
0.236,-0.01,0.00,1.00
0.244,-0.01,0.00,1.00
0.245,-0.01,0.00,1.00
0.245,-0.01,0.00,1.00
0.245,-0.01,0.00,1.00
0.245,-0.01,0.00,1.00
0.248,-0.00,0.00,1.00
0.249,-0.00,0.00,1.00
0.260,-0.00,0.00,1.00
0.260,-0.00,0.00,1.01
0.261,-0.00,0.00,1.01
0.261,-0.00,0.00,1.01
0.261,-0.00,0.00,1.01
0.261,-0.00,0.00,1.01
0.267,-0.00,0.00,1.01
0.268,-0.00,0.00,1.01
0.268,-0.00,0.00,1.01
0.269,-0.00,0.00,1.01
0.271,-0.00,0.00,1.01
0.273,-0.00,0.00,1.01
0.277,-0.00,0.00,1.01
0.277,-0.00,0.00,1.00
0.279,-0.00,0.00,1.00
0.292,-0.00,0.00,1.00
0.293,-0.00,0.00,1.00
0.293,-0.00,0.00,1.00
0.293,-0.00,0.00,1.00
0.294,-0.00,-0.00,1.00
0.294,0.00,-0.00,1.01
0.294,0.00,-0.00,1.01
0.295,0.00,-0.00,1.01
0.299,0.00,-0.00,1.01
0.300,0.00,-0.00,1.01
0.301,0.01,-0.00,1.01
0.310,0.01,-0.01,1.01
0.311,0.01,-0.00,1.01
0.312,0.01,-0.00,1.01
0.312,0.01,-0.00,1.01
0.312,0.01,-0.00,1.00
0.313,0.01,-0.00,1.00
0.316,0.01,-0.00,1.00
0.317,0.02,-0.04,1.00
0.319,0.06,-0.12,1.00
0.321,0.14,-0.22,1.00
0.323,0.22,-0.28,1.00
0.325,0.29,-0.29,1.00
0.327,0.32,-0.28,1.00
0.329,0.34,-0.26,1.00
0.336,0.34,-0.23,1.00
0.337,0.32,-0.20,1.00
0.337,0.29,-0.17,1.00
0.338,0.27,-0.15,1.00
0.339,0.25,-0.13,1.00
0.341,0.24,-0.12,1.00
0.343,0.23,-0.11,1.00
0.345,0.22,-0.10,1.00
0.350,0.21,-0.09,1.00
0.350,0.21,-0.08,1.00
0.351,0.21,-0.08,1.00
0.353,0.21,-0.08,1.00
0.355,0.22,-0.07,1.00
0.358,0.22,-0.07,1.00
0.359,0.22,-0.06,1.00
0.361,0.22,-0.06,1.00
0.363,0.22,-0.06,1.00
0.366,0.22,-0.06,1.00
0.368,0.22,-0.05,1.00
0.370,0.22,-0.05,1.00
0.371,0.22,-0.05,1.00
0.373,0.22,-0.05,1.00
0.375,0.22,-0.05,1.00
0.377,0.22,-0.05,1.01
0.379,0.21,-0.04,1.01
0.384,0.20,-0.04,1.00
0.386,0.19,-0.04,1.00
0.386,0.18,-0.03,1.01
0.387,0.18,-0.03,1.01
0.389,0.18,-0.02,1.00
0.391,0.17,-0.02,1.00
0.393,0.17,-0.01,1.00
0.395,0.17,-0.01,1.00
0.400,0.17,-0.00,1.00
0.412,0.17,-0.00,1.00
0.412,0.16,0.00,1.00
0.413,0.16,0.01,1.00
0.414,0.15,0.01,1.00
0.414,0.15,0.02,1.00
0.415,0.15,0.03,1.00
0.415,0.14,0.03,1.00
0.415,0.13,0.04,1.00
0.416,0.12,0.04,1.01
0.420,0.13,0.05,1.01
0.420,0.13,0.05,1.01
0.421,0.14,0.06,1.01
0.424,0.14,0.06,1.00
0.426,0.15,0.07,1.00
0.427,0.15,0.07,1.00
0.429,0.14,0.08,1.00
0.437,0.14,0.08,1.01
0.438,0.13,0.08,1.00
0.438,0.13,0.08,1.00
0.438,0.13,0.08,1.00
0.440,0.13,0.08,1.00
0.443,0.14,0.08,1.00
0.443,0.13,0.07,1.00
0.445,0.12,0.07,1.00
0.460,0.12,0.07,1.00
0.462,0.12,0.07,1.01
0.462,0.11,0.07,1.01
0.463,0.11,0.07,1.01
0.465,0.11,0.07,1.01
0.466,0.11,0.07,1.01
