time,x,y,z
0.012,-0.01,-0.00,1.00
0.013,-0.01,-0.00,1.00
0.013,-0.01,-0.00,1.01
0.013,-0.01,-0.00,1.01
0.013,-0.01,-0.00,1.01
0.013,-0.01,-0.00,1.01
0.014,-0.00,-0.00,1.01
0.016,-0.00,-0.00,1.01
0.017,-0.01,-0.00,1.01
0.019,-0.01,-0.00,1.01
0.021,-0.01,-0.00,1.01
0.023,-0.01,-0.00,1.01
0.025,-0.01,-0.00,1.01
0.031,-0.01,-0.00,1.01
0.031,-0.00,-0.00,1.01
0.031,-0.00,-0.00,1.01
0.033,-0.00,-0.00,1.01
0.035,-0.00,-0.00,1.01
0.037,-0.00,-0.00,1.01
0.040,-0.01,-0.00,1.01
0.041,-0.01,-0.00,1.00
0.045,-0.01,-0.00,1.00
0.046,-0.01,-0.00,1.00
0.047,-0.01,-0.00,1.00
0.049,-0.01,-0.00,1.00
0.051,-0.01,-0.00,1.00
0.053,-0.01,-0.00,1.00
0.055,-0.01,-0.00,1.00
0.057,-0.01,-0.00,1.00
0.059,-0.01,-0.00,1.00
0.062,-0.01,-0.00,1.00
0.064,-0.01,-0.00,1.01
0.065,-0.01,-0.00,1.01
0.069,-0.01,-0.00,1.01
0.070,-0.01,-0.00,1.01
0.072,-0.01,-0.00,1.01
0.073,-0.01,-0.00,1.01
0.075,-0.01,-0.00,1.01
0.078,-0.01,-0.00,1.01
0.079,-0.01,-0.00,1.01
0.081,-0.01,-0.00,1.01
0.084,-0.01,-0.00,1.01
0.085,-0.01,-0.00,1.01
0.087,-0.01,-0.00,1.00
0.089,-0.01,-0.00,1.00
0.091,-0.01,-0.00,1.00
0.097,-0.01,-0.00,1.00
0.097,-0.01,-0.00,1.00
0.097,-0.01,-0.00,1.00
0.099,-0.01,-0.00,1.00
0.101,-0.01,-0.00,1.00
0.103,-0.01,-0.00,1.00
0.106,-0.01,-0.00,1.00
0.107,-0.01,-0.00,1.01
0.109,-0.01,-0.00,1.01
0.113,-0.01,-0.00,1.01
0.114,-0.01,-0.00,1.01
0.115,-0.01,-0.00,1.01
0.118,-0.01,0.00,1.01
0.119,-0.01,0.00,1.01
0.121,-0.01,0.00,1.00
0.123,-0.01,0.00,1.00
0.125,-0.01,0.00,1.00
0.140,-0.01,0.00,1.00
0.140,-0.01,0.00,1.00
0.141,-0.01,0.00,1.00
0.141,-0.01,0.00,1.00
0.141,-0.01,0.00,1.01
0.141,-0.01,0.00,1.01
0.141,-0.01,0.00,1.01
0.142,-0.01,0.00,1.01
0.145,-0.01,0.00,1.01
0.146,-0.01,0.00,1.01
0.147,-0.01,0.00,1.01
0.149,-0.01,0.00,1.01
0.151,-0.01,0.00,1.01
0.153,-0.01,0.00,1.01
0.155,-0.01,0.00,1.01
0.157,-0.01,0.00,1.01
0.159,-0.01,0.00,1.01
0.163,-0.01,0.00,1.01
0.163,-0.01,0.00,1.01
0.165,-0.01,0.00,1.00
0.167,-0.01,-0.00,1.00
0.169,-0.01,0.00,1.00
0.171,-0.01,0.00,1.00
0.173,-0.01,-0.00,1.00
0.175,-0.01,-0.00,1.00
0.179,-0.01,-0.00,1.00
0.180,-0.01,-0.00,1.00
0.181,-0.01,-0.00,1.00
0.183,-0.01,-0.00,1.00
