time,x,y,z
0.013,-0.00,0.00,1.00
0.014,-0.00,0.00,1.00
0.014,-0.00,0.00,1.00
0.015,-0.00,0.00,1.00
0.015,-0.00,0.00,1.00
0.015,-0.00,0.00,1.01
0.015,-0.00,0.00,1.01
0.015,-0.00,0.00,1.01
0.022,-0.00,0.00,1.00
0.023,-0.00,0.00,1.00
0.024,-0.00,0.00,1.00
0.024,-0.00,0.00,1.00
0.024,-0.00,0.00,1.00
0.026,-0.00,0.00,1.00
0.043,-0.00,0.00,1.00
0.044,-0.00,0.00,1.00
0.045,-0.00,0.00,1.00
0.045,-0.00,0.00,1.00
0.045,-0.00,0.00,1.00
0.046,-0.00,0.00,1.00
0.046,-0.00,0.00,1.00
0.046,-0.00,0.00,1.00
0.047,-0.00,0.00,1.00
0.047,-0.00,0.00,1.00
0.048,-0.00,0.00,1.00
0.057,-0.00,0.00,1.01
0.058,-0.00,0.00,1.01
0.058,-0.00,0.00,1.01
0.058,-0.00,0.00,1.01
0.059,-0.00,0.00,1.01
0.063,-0.00,0.00,1.00
0.063,-0.00,0.00,1.00
0.087,-0.00,0.00,1.00
0.087,-0.00,0.00,1.00
0.087,-0.00,0.00,1.00
0.088,-0.00,0.00,1.00
0.088,-0.00,0.00,1.00
0.088,-0.00,0.00,1.00
0.088,-0.00,0.00,1.00
0.089,-0.00,0.00,1.00
0.089,-0.00,0.00,1.00
0.089,-0.00,0.00,1.00
0.089,-0.00,0.00,1.00
0.089,-0.00,0.00,1.00
0.090,-0.00,-0.00,1.00
0.090,-0.00,-0.00,1.00
0.095,-0.00,-0.00,1.00
0.095,-0.00,-0.00,1.01
0.096,-0.00,0.00,1.01
0.108,-0.00,0.00,1.00
0.108,-0.00,0.00,1.00
0.108,-0.00,0.00,1.00
0.108,-0.00,0.00,1.00
0.109,-0.00,0.00,1.00
0.109,-0.00,-0.00,1.00
0.109,-0.00,-0.00,1.00
0.114,-0.00,-0.00,1.00
0.114,-0.00,-0.00,1.00
0.116,-0.00,-0.00,1.00
0.119,-0.00,-0.00,1.00
0.120,-0.00,-0.00,1.00
0.122,-0.00,-0.00,1.00
0.124,-0.00,-0.00,1.00
0.125,-0.00,-0.00,1.00
0.141,-0.00,-0.00,1.00
0.141,-0.00,-0.00,1.00
0.141,-0.00,-0.00,1.00
0.142,-0.00,0.00,1.00
0.142,-0.00,0.00,1.00
0.142,-0.00,0.00,1.00
0.150,-0.00,0.00,1.00
0.150,-0.00,0.00,1.00
0.151,-0.00,0.00,1.00
0.151,-0.00,0.00,1.00
0.151,-0.00,0.00,1.00
0.151,-0.00,0.00,1.00
0.152,-0.00,0.00,1.00
0.159,-0.00,0.00,1.00
