time,x,y,z
0.017,-0.00,0.00,1.01
0.017,-0.00,0.00,1.01
0.018,-0.00,-0.00,1.01
0.018,-0.00,-0.00,1.01
0.018,-0.00,-0.00,1.01
0.019,-0.00,-0.00,1.01
0.019,-0.00,-0.00,1.01
0.019,-0.00,-0.00,1.01
0.019,-0.00,-0.00,1.01
0.020,-0.00,-0.00,1.01
0.020,-0.00,-0.00,1.01
0.026,-0.00,-0.00,1.01
0.026,-0.00,-0.00,1.01
0.026,0.00,-0.00,1.01
0.029,0.00,-0.00,1.01
0.043,-0.00,-0.00,1.01
0.043,-0.00,-0.00,1.01
0.043,-0.00,-0.00,1.01
0.043,-0.00,-0.00,1.01
0.044,-0.00,-0.00,1.01
0.044,-0.00,-0.00,1.01
0.044,-0.00,-0.00,1.01
0.044,-0.00,-0.00,1.01
0.058,-0.00,-0.00,1.01
0.059,-0.00,-0.00,1.01
0.059,-0.00,-0.00,1.01
0.059,-0.00,-0.00,1.01
0.060,-0.00,-0.00,1.01
0.060,0.00,-0.00,1.01
0.060,-0.00,0.00,1.01
0.060,-0.00,0.00,1.00
0.065,-0.00,0.00,1.00
0.067,-0.00,0.00,1.00
0.067,-0.00,0.00,1.00
0.077,-0.00,0.00,1.00
0.078,-0.00,0.00,1.00
0.078,-0.00,0.00,1.00
0.079,-0.00,0.00,1.00
0.079,-0.00,0.00,1.00
0.079,-0.00,0.00,1.00
0.083,-0.00,0.00,1.01
0.083,-0.00,0.00,1.01
0.084,-0.00,0.00,1.01
0.086,-0.00,0.00,1.01
0.088,-0.00,0.00,1.01
0.090,-0.00,0.00,1.01
0.092,-0.01,0.00,1.01
0.094,-0.01,0.00,1.01
0.099,-0.01,0.00,1.01
0.099,-0.01,0.00,1.01
0.105,-0.01,-0.00,1.01
0.105,-0.01,-0.00,1.01
0.105,-0.01,-0.00,1.00
0.106,-0.01,-0.00,1.00
0.108,-0.01,-0.00,1.00
0.110,-0.01,-0.00,1.00
0.114,-0.01,-0.00,1.00
0.128,-0.01,-0.00,1.00
0.128,-0.01,-0.00,1.00
0.128,-0.01,-0.00,1.00
0.128,-0.01,-0.00,1.00
0.129,-0.01,-0.00,1.00
0.129,-0.01,-0.00,1.00
0.129,-0.01,-0.00,1.00
0.129,-0.01,-0.00,1.00
0.133,-0.01,-0.00,1.00
0.133,-0.01,-0.00,1.00
0.134,-0.01,-0.00,1.00
0.137,-0.01,-0.00,1.00
0.138,-0.00,-0.00,1.00
0.141,-0.00,-0.00,1.01
0.142,-0.00,-0.00,1.01
0.144,-0.00,-0.00,1.01
0.158,-0.00,-0.00,1.01
0.159,-0.00,-0.00,1.01
0.159,-0.00,-0.00,1.01
0.159,-0.00,-0.00,1.01
0.159,-0.00,-0.00,1.01
0.159,-0.00,-0.00,1.01
0.160,-0.00,-0.00,1.01
0.160,-0.00,-0.00,1.00
0.162,-0.00,-0.00,1.00
0.165,-0.00,-0.00,1.00
0.166,-0.00,-0.00,1.00
0.168,-0.00,-0.00,1.00
0.170,-0.00,-0.00,1.00
0.172,-0.00,-0.00,1.01
0.174,-0.00,-0.00,1.01
0.176,-0.00,-0.00,1.01
0.179,-0.00,-0.00,1.01
0.182,-0.00,-0.01,1.01
0.183,-0.00,-0.01,1.01
0.184,-0.00,-0.01,1.01
0.186,-0.00,-0.01,1.01
0.188,-0.00,-0.01,1.01
0.190,-0.01,-0.01,1.01
0.192,-0.03,-0.06,1.01
0.194,-0.08,-0.19,1.00
0.199,-0.11,-0.34,1.00
0.199,-0.10,-0.42,1.00
0.204,-0.06,-0.43,1.00
0.204,-0.01,-0.40,1.00
0.204,0.02,-0.35,1.00
0.207,0.04,-0.30,1.01
0.208,0.05,-0.26,1.01
0.210,0.07,-0.24,1.01
0.212,0.08,-0.23,1.01
0.215,0.08,-0.22,1.01
0.216,0.07,-0.21,1.01
0.218,0.06,-0.20,1.01
0.220,0.06,-0.19,1.01
0.223,0.05,-0.18,1.01
0.224,0.05,-0.17,1.01
0.226,0.04,-0.17,1.01
0.228,0.04,-0.16,1.01
0.232,0.04,-0.15,1.01
0.232,0.03,-0.15,1.00
0.234,0.03,-0.16,1.00
0.236,0.02,-0.17,1.00
0.239,0.02,-0.18,1.00
0.240,0.02,-0.19,1.00
0.242,0.01,-0.20,1.00
0.244,0.01,-0.21,1.00
0.250,0.00,-0.21,1.00
0.250,0.00,-0.22,1.00
0.250,-0.00,-0.21,1.00
0.252,-0.01,-0.21,1.01
