time,x,y,z
0.017,-0.00,0.00,1.00
0.018,-0.00,0.00,1.01
0.018,-0.00,0.00,1.01
0.019,-0.00,0.00,1.00
0.019,-0.00,0.00,1.00
0.019,-0.00,0.00,1.00
0.019,-0.00,0.00,1.00
0.020,-0.00,0.00,1.00
0.020,-0.00,0.00,1.00
0.021,-0.00,0.00,1.00
0.021,-0.00,0.00,1.00
0.025,-0.00,0.00,1.01
0.026,-0.00,0.00,1.01
0.037,-0.00,0.00,1.00
0.038,-0.00,0.00,1.00
0.038,-0.00,0.00,1.00
0.038,-0.00,0.00,1.00
0.038,-0.00,0.00,1.00
0.039,-0.00,0.00,1.00
0.039,-0.00,0.00,1.00
0.041,-0.00,0.00,1.00
0.047,-0.00,0.00,1.00
0.047,-0.00,0.00,1.01
0.048,-0.00,0.00,1.01
0.049,-0.00,0.00,1.01
0.051,-0.00,0.00,1.01
0.053,-0.00,0.00,1.01
0.056,-0.00,0.00,1.01
0.057,-0.00,0.00,1.01
0.059,-0.00,0.00,1.01
0.063,-0.00,0.00,1.01
0.067,-0.00,0.00,1.01
0.068,-0.00,0.00,1.01
0.069,-0.00,-0.00,1.01
0.069,-0.00,-0.00,1.00
0.071,-0.00,-0.00,1.00
0.073,-0.00,-0.00,1.00
0.076,-0.00,-0.00,1.00
0.085,-0.00,-0.00,1.00
0.086,-0.00,-0.00,1.00
0.086,-0.00,0.00,1.00
0.086,-0.00,0.00,1.00
0.087,-0.00,0.00,1.00
0.087,-0.00,0.00,1.00
0.089,-0.00,0.00,1.00
0.091,-0.00,0.00,1.00
0.098,-0.00,0.00,1.01
0.099,-0.00,0.00,1.00
0.099,-0.00,0.00,1.00
0.099,-0.00,0.00,1.01
0.101,-0.00,0.00,1.00
0.104,-0.00,-0.00,1.00
0.105,-0.00,-0.00,1.00
0.107,-0.00,-0.00,1.00
0.109,-0.00,0.00,1.00
0.125,-0.00,0.00,1.00
0.127,-0.00,0.00,1.00
0.127,-0.00,0.00,1.00
0.127,-0.00,0.00,1.00
0.128,-0.00,0.00,1.00
0.128,-0.00,0.00,1.01
0.128,-0.00,0.00,1.01
0.129,-0.00,0.00,1.01
0.129,-0.00,0.00,1.01
0.129,-0.00,0.00,1.00
0.144,-0.00,0.00,1.00
0.145,-0.00,0.00,1.00
0.145,-0.00,0.00,1.00
0.145,-0.00,0.00,1.00
0.146,-0.00,0.00,1.00
0.146,-0.00,0.00,1.00
0.146,-0.00,0.00,1.00
0.147,-0.00,0.00,1.00
0.147,-0.00,0.00,1.00
0.150,-0.00,0.00,1.00
0.152,-0.00,0.00,1.00
0.153,-0.00,0.00,1.01
0.155,-0.00,0.00,1.01
0.157,-0.00,0.00,1.01
0.159,-0.00,0.00,1.01
0.163,-0.00,0.00,1.01
0.165,-0.00,0.00,1.01
0.165,-0.00,0.00,1.01
0.167,-0.00,0.00,1.01
0.170,-0.00,0.00,1.01
0.171,-0.00,0.00,1.01
0.173,-0.00,-0.00,1.01
0.175,-0.00,-0.00,1.01
0.180,-0.00,-0.00,1.01
0.181,-0.00,-0.00,1.01
0.181,-0.00,-0.00,1.00
0.183,-0.00,-0.00,1.00
0.185,-0.00,-0.00,1.00
0.188,-0.00,-0.00,1.00
0.189,-0.00,-0.00,1.00
0.191,-0.00,-0.00,1.00
0.193,-0.00,-0.00,1.01
0.197,-0.00,-0.00,1.01
0.198,-0.00,-0.00,1.01
0.199,-0.00,0.00,1.01
0.212,-0.00,-0.00,1.01
0.212,-0.00,-0.00,1.01
0.213,-0.00,-0.00,1.01
0.213,-0.00,-0.00,1.00
0.214,-0.00,-0.00,1.00
0.215,-0.00,-0.00,1.00
0.215,-0.00,-0.00,1.00
0.225,-0.00,-0.00,1.00
0.226,-0.00,-0.00,1.00
0.227,-0.00,-0.00,1.00
0.228,-0.00,-0.00,1.01
0.232,-0.00,-0.00,1.00
0.233,-0.00,-0.00,1.00
0.233,-0.00,-0.00,1.00
0.234,-0.00,-0.00,1.00
0.234,-0.00,-0.00,1.00
0.235,-0.00,-0.00,1.00
0.235,-0.00,-0.00,1.00
0.242,-0.00,-0.00,1.00
0.242,-0.00,-0.00,1.00
0.243,-0.00,-0.00,1.00
0.243,-0.00,-0.00,1.00
0.247,-0.00,-0.00,1.00
0.247,-0.00,-0.00,1.00
0.249,-0.00,-0.00,1.00
0.251,-0.00,-0.00,1.00
0.254,-0.00,-0.00,1.00
0.255,-0.00,-0.00,1.01
0.257,-0.00,-0.00,1.01
