time,x,y,z
0.035,-0.00,0.00,1.01
0.035,-0.00,0.00,1.01
0.036,-0.00,0.00,1.01
0.036,-0.00,0.00,1.01
0.036,-0.00,0.00,1.01
0.037,-0.00,0.00,1.01
0.037,-0.00,0.00,1.00
0.037,-0.00,0.00,1.00
0.037,-0.00,0.00,1.00
0.038,-0.00,0.00,1.00
0.038,0.00,0.00,1.00
0.038,0.00,0.00,1.00
0.039,0.00,0.00,1.00
0.039,0.00,0.00,1.00
0.039,0.00,0.00,1.00
0.040,0.00,0.00,1.01
0.040,0.00,0.00,1.01
0.040,0.00,0.00,1.01
0.041,0.00,0.00,1.01
0.041,0.00,0.00,1.01
0.041,0.00,0.00,1.01
0.042,0.00,0.00,1.01
0.042,0.00,0.00,1.00
0.043,0.00,0.00,1.00
0.043,0.00,0.00,1.00
0.046,0.00,0.00,1.00
0.047,0.00,0.00,1.00
0.048,0.00,0.00,1.00
0.067,0.00,0.00,1.00
0.067,0.00,0.00,1.00
0.068,0.00,0.00,1.00
0.068,0.00,0.00,1.00
0.068,0.00,0.00,1.00
0.069,0.00,0.00,1.00
0.069,0.00,0.00,1.00
0.069,0.00,0.00,1.00
0.070,0.00,0.00,1.00
0.070,0.00,0.00,1.00
0.070,0.00,0.00,1.00
0.076,0.00,0.00,1.00
0.077,0.00,0.00,1.00
0.077,0.00,0.00,1.01
0.083,0.00,0.00,1.01
0.084,0.00,0.00,1.00
0.084,0.00,0.00,1.01
0.084,-0.00,0.00,1.01
0.111,-0.00,0.00,1.01
0.112,-0.00,0.00,1.01
0.112,-0.00,0.00,1.00
0.112,-0.00,0.00,1.00
0.113,-0.00,0.00,1.00
0.113,-0.00,0.00,1.00
0.113,-0.00,0.00,1.00
0.113,-0.00,0.00,1.00
0.114,-0.00,0.00,1.00
0.114,-0.00,0.00,1.00
0.114,-0.00,-0.00,1.00
0.115,-0.00,-0.00,1.00
0.115,-0.00,-0.00,1.00
0.115,-0.00,0.00,1.00
0.116,0.00,0.00,1.00
0.116,0.00,0.00,1.01
0.132,0.00,0.00,1.01
0.134,0.00,0.00,1.01
0.135,0.00,-0.00,1.01
0.135,0.00,-0.00,1.01
0.136,0.00,-0.00,1.01
