time,x,y,z
0.013,-0.01,0.00,1.01
0.014,-0.01,0.00,1.01
0.014,-0.01,0.00,1.01
0.014,-0.01,0.00,1.01
0.015,-0.01,0.00,1.01
0.015,-0.01,0.00,1.01
0.015,-0.01,0.00,1.01
0.025,-0.01,0.00,1.01
0.025,-0.01,0.01,1.01
0.026,-0.01,0.01,1.00
0.026,-0.01,0.01,1.00
0.026,-0.01,0.01,1.00
0.026,-0.01,0.01,1.00
0.027,-0.01,0.01,1.00
0.029,-0.01,0.01,1.00
0.033,-0.01,0.01,1.00
0.033,-0.01,0.01,1.00
0.036,-0.01,0.01,1.00
0.037,-0.01,0.01,1.00
0.039,-0.00,0.01,1.00
0.042,-0.00,0.01,1.00
0.043,-0.00,0.01,1.00
0.045,-0.00,0.01,1.01
0.047,-0.00,0.01,1.01
0.051,-0.00,0.01,1.01
0.053,-0.00,0.01,1.01
0.053,-0.00,0.01,1.01
0.055,-0.00,0.01,1.01
0.057,-0.00,0.01,1.01
0.059,-0.00,0.01,1.01
0.061,-0.00,0.01,1.01
0.063,-0.00,0.01,1.01
0.068,-0.00,0.01,1.01
0.068,-0.00,0.01,1.01
0.071,-0.00,0.01,1.01
0.072,-0.00,0.01,1.01
0.073,-0.00,0.01,1.01
0.075,-0.00,0.01,1.01
0.078,-0.00,0.01,1.01
0.079,-0.00,0.01,1.01
0.095,-0.00,0.01,1.01
0.095,-0.00,0.01,1.01
0.095,-0.00,0.01,1.01
0.096,-0.00,0.01,1.01
0.096,-0.00,0.01,1.01
0.096,-0.00,0.01,1.01
0.096,-0.00,0.00,1.01
0.096,-0.00,0.00,1.01
0.097,-0.00,0.00,1.01
0.111,-0.00,0.00,1.01
0.112,-0.00,0.00,1.02
0.113,-0.00,0.00,1.02
0.113,-0.01,0.00,1.02
0.113,-0.01,0.00,1.02
0.113,-0.01,0.00,1.02
0.114,-0.01,-0.00,1.02
0.114,-0.01,-0.00,1.02
0.117,-0.01,-0.00,1.02
0.118,-0.01,-0.00,1.01
0.119,-0.01,-0.00,1.01
0.121,-0.01,-0.00,1.01
0.123,-0.01,-0.00,1.01
0.125,-0.01,-0.00,1.01
0.128,-0.01,-0.00,1.01
0.129,-0.01,-0.00,1.01
0.131,-0.01,-0.00,1.01
0.145,-0.01,-0.00,1.01
0.145,-0.01,-0.00,1.01
