time,x,y,z
0.020,-0.01,0.00,1.00
0.022,-0.01,0.00,1.00
0.022,-0.01,0.00,1.00
0.022,-0.01,0.00,1.00
0.022,-0.01,0.00,1.00
0.023,-0.01,0.00,1.00
0.023,-0.01,0.00,1.00
0.023,-0.01,0.00,1.00
0.023,-0.01,0.00,1.00
0.023,-0.01,0.00,1.00
0.024,-0.01,0.00,1.00
0.024,-0.01,0.00,1.00
0.028,-0.01,0.00,1.00
0.028,-0.01,0.00,1.00
0.030,-0.01,0.00,1.00
0.038,-0.01,0.00,1.01
0.038,-0.01,0.00,1.01
0.038,-0.01,0.00,1.01
0.039,-0.02,0.00,1.01
0.039,-0.02,0.00,1.01
0.040,-0.02,0.00,1.01
0.043,-0.02,0.00,1.01
0.057,-0.02,0.00,1.01
0.057,-0.02,0.00,1.01
0.057,-0.02,0.00,1.00
0.057,-0.02,0.00,1.00
0.058,-0.02,0.00,1.00
0.058,-0.02,-0.00,1.00
0.058,-0.02,-0.00,1.00
0.061,-0.02,-0.00,1.00
0.062,-0.02,-0.00,1.00
0.090,-0.02,-0.00,1.00
0.090,-0.02,-0.00,1.00
0.091,-0.02,-0.00,1.00
0.091,-0.02,-0.00,1.00
0.091,-0.02,-0.00,1.00
0.091,-0.02,-0.00,1.00
0.092,-0.02,-0.00,1.00
0.092,-0.02,-0.00,1.00
0.092,-0.02,-0.00,1.01
0.093,-0.02,-0.00,1.01
0.093,-0.02,-0.00,1.01
0.093,-0.01,-0.00,1.01
0.093,-0.01,-0.00,1.01
0.094,-0.01,-0.00,1.01
0.094,-0.01,-0.00,1.01
0.094,-0.01,-0.00,1.01
0.101,-0.01,-0.00,1.00
0.102,-0.01,0.00,1.00
0.103,-0.01,0.00,1.00
0.103,-0.00,0.00,1.00
0.103,-0.00,0.00,1.00
0.107,-0.00,0.00,1.00
0.108,-0.00,0.00,1.00
0.111,-0.00,0.00,1.00
0.112,-0.00,0.00,1.01
0.113,-0.00,0.00,1.01
0.117,-0.00,0.00,1.01
0.118,-0.00,0.00,1.01
0.119,-0.00,0.00,1.01
0.121,-0.00,0.00,1.01
0.123,-0.00,0.00,1.01
0.125,-0.01,0.00,1.01
0.131,-0.00,0.00,1.01
0.131,-0.00,0.00,1.01
0.132,-0.01,0.00,1.01
0.132,-0.01,0.00,1.01
0.135,-0.01,0.00,1.01
0.136,-0.01,0.00,1.01
0.139,-0.01,0.00,1.01
0.140,-0.01,0.00,1.01
0.142,-0.01,0.00,1.01
0.154,-0.01,0.00,1.01
0.155,-0.00,0.00,1.01
0.155,-0.00,0.00,1.01
0.155,-0.00,0.00,1.01
0.155,-0.01,0.00,1.01
0.155,-0.01,0.00,1.01
0.156,-0.01,0.00,1.01
0.158,-0.01,0.00,1.01
0.165,-0.01,0.00,1.01
0.166,-0.01,0.00,1.01
0.166,-0.01,0.00,1.01
0.166,-0.01,0.00,1.01
0.169,-0.01,0.00,1.01
0.171,-0.01,0.00,1.01
0.173,-0.01,0.00,1.01
0.174,-0.01,0.00,1.01
0.177,-0.01,0.00,1.01
0.181,-0.01,0.00,1.01
0.182,-0.01,0.00,1.01
0.183,-0.01,0.00,1.00
0.184,-0.01,0.00,1.00
0.187,-0.01,0.00,1.00
0.189,-0.01,0.00,1.00
0.191,-0.01,0.00,1.00
0.192,-0.01,0.00,1.00
0.209,-0.01,0.00,1.00
0.210,-0.01,-0.00,1.00
0.210,-0.01,-0.00,1.01
0.210,-0.01,-0.00,1.01
0.210,-0.01,-0.00,1.01
0.211,-0.01,-0.00,1.01
0.211,-0.01,-0.00,1.01
0.211,-0.01,-0.00,1.01
0.212,-0.01,-0.00,1.01
0.235,-0.01,-0.00,1.01
0.235,-0.01,-0.00,1.01
0.236,-0.01,-0.00,1.01
0.236,-0.01,-0.00,1.01
0.237,-0.01,-0.00,1.00
0.237,-0.01,-0.00,1.00
0.237,-0.01,-0.00,1.01
0.237,-0.01,-0.01,1.01
0.237,-0.01,-0.01,1.01
0.238,-0.01,-0.01,1.01
0.238,-0.01,-0.01,1.01
0.238,-0.01,-0.01,1.01
0.238,-0.01,-0.01,1.01
0.242,-0.01,-0.01,1.01
0.252,-0.01,-0.01,1.01
0.252,-0.01,-0.01,1.01
0.253,-0.01,-0.01,1.01
0.253,-0.01,-0.01,1.01
0.253,-0.01,-0.01,1.01
0.254,-0.01,-0.01,1.01
0.254,-0.01,-0.01,1.01
0.258,-0.01,-0.01,1.01
0.259,-0.01,-0.01,1.01
0.259,-0.01,-0.01,1.01
0.264,-0.01,-0.01,1.01
0.265,-0.01,-0.01,1.01
0.265,-0.01,-0.01,1.01
0.266,-0.01,-0.01,1.01
0.269,-0.01,-0.01,1.01
0.271,-0.02,-0.02,1.01
0.272,-0.03,-0.07,1.01
0.274,-0.05,-0.17,1.00
0.276,-0.06,-0.27,1.00
0.280,-0.06,-0.32,1.00
0.282,-0.06,-0.32,1.00
0.283,-0.05,-0.29,1.00
0.284,-0.04,-0.26,1.00
0.287,-0.03,-0.22,1.00
0.289,-0.01,-0.18,1.00
0.290,0.01,-0.17,1.01
0.292,0.03,-0.19,1.01
0.297,0.02,-0.20,1.01
0.297,0.01,-0.21,1.01
0.299,-0.00,-0.22,1.00
0.300,-0.01,-0.21,1.01
0.302,-0.01,-0.21,1.00
0.304,-0.02,-0.21,1.00
0.306,-0.02,-0.22,1.00
0.308,-0.03,-0.22,1.00
0.313,-0.03,-0.22,1.01
0.313,-0.03,-0.22,1.00
0.314,-0.02,-0.21,1.00
0.317,-0.02,-0.21,1.01
0.319,-0.02,-0.21,1.00
0.321,-0.02,-0.22,1.00
0.322,-0.02,-0.22,1.00
0.324,-0.02,-0.23,1.00
0.331,-0.02,-0.24,1.00
0.331,-0.02,-0.25,1.00
0.331,-0.03,-0.24,1.00
0.333,-0.03,-0.24,1.00
0.334,-0.03,-0.24,1.00
0.337,-0.03,-0.24,1.00
0.339,-0.02,-0.24,1.00
0.341,-0.02,-0.23,1.00
0.342,-0.02,-0.22,1.00
0.358,-0.02,-0.22,1.00
0.359,-0.02,-0.21,1.00
0.359,-0.01,-0.20,1.00
0.359,-0.02,-0.19,1.01
0.359,-0.02,-0.19,1.01
0.359,-0.02,-0.18,1.01
0.359,-0.02,-0.17,1.01
0.360,-0.02,-0.17,1.01
0.365,-0.02,-0.16,1.00
0.366,-0.02,-0.16,1.00
0.366,-0.02,-0.16,1.00
0.366,-0.02,-0.15,1.00
0.373,-0.02,-0.15,1.00
0.374,-0.02,-0.15,1.00
0.374,-0.02,-0.14,1.00
0.375,-0.02,-0.14,1.00
0.379,-0.03,-0.15,1.00
0.381,-0.03,-0.14,1.00
0.381,-0.03,-0.15,1.00
0.386,-0.04,-0.15,1.00
0.387,-0.04,-0.15,1.00
0.387,-0.05,-0.15,1.00
0.389,-0.05,-0.16,1.00
0.390,-0.05,-0.16,1.00
0.393,-0.05,-0.16,1.00
0.400,-0.06,-0.16,1.00
0.401,-0.06,-0.17,1.00
0.401,-0.06,-0.17,1.00
0.401,-0.06,-0.18,1.00
0.402,-0.06,-0.18,1.00
0.405,-0.06,-0.18,1.00
0.406,-0.06,-0.18,1.00
0.409,-0.06,-0.18,1.01
0.410,-0.06,-0.18,1.00
0.415,-0.06,-0.18,1.00
0.415,-0.06,-0.17,1.01
0.417,-0.07,-0.17,1.01
0.418,-0.07,-0.16,1.00
0.421,-0.07,-0.17,1.00
0.423,-0.07,-0.17,1.01
0.425,-0.07,-0.18,1.00
0.426,-0.07,-0.18,1.00
0.430,-0.07,-0.19,1.00
0.432,-0.07,-0.18,1.01
0.433,-0.07,-0.19,1.00
0.435,-0.07,-0.19,1.00
0.437,-0.07,-0.19,1.00
0.439,-0.07,-0.19,1.00
0.450,-0.06,-0.19,1.00
0.450,-0.06,-0.18,1.01
0.450,-0.06,-0.18,1.01
0.450,-0.06,-0.18,1.00
0.451,-0.05,-0.18,1.01
0.451,-0.05,-0.18,1.01
0.455,-0.05,-0.18,1.01
0.457,-0.04,-0.18,1.01
0.458,-0.04,-0.19,1.00
0.471,-0.04,-0.19,1.00
0.471,-0.04,-0.18,1.01
0.472,-0.04,-0.18,1.00
0.472,-0.03,-0.17,1.00
0.472,-0.03,-0.17,1.01
0.472,-0.04,-0.18,1.01
0.473,-0.04,-0.18,1.00
0.473,-0.03,-0.17,1.01
0.474,-0.03,-0.16,1.01
0.477,-0.03,-0.16,1.01
0.485,-0.03,-0.15,1.00
0.486,-0.03,-0.15,1.01
0.487,-0.02,-0.14,1.01
0.487,-0.03,-0.14,1.00
0.487,-0.03,-0.13,1.00
0.489,-0.02,-0.12,1.00
0.492,-0.02,-0.11,1.01
0.493,-0.02,-0.10,1.01
0.512,-0.02,-0.10,1.01
0.514,-0.02,-0.10,1.01
0.514,-0.02,-0.09,1.00
0.514,-0.02,-0.09,1.00
0.515,-0.02,-0.09,1.00
0.516,-0.01,-0.09,1.00
0.516,-0.01,-0.09,1.00
0.516,-0.01,-0.11,1.00
0.517,-0.01,-0.12,1.01
0.517,-0.01,-0.12,1.01
0.517,-0.01,-0.12,1.00
0.517,-0.01,-0.13,1.00
0.518,-0.02,-0.13,1.00
0.521,-0.02,-0.13,1.01
0.522,-0.02,-0.13,1.01
0.525,-0.01,-0.12,1.00
0.526,-0.01,-0.11,1.00
0.532,-0.01,-0.10,1.00
0.533,-0.01,-0.09,1.00
0.533,-0.01,-0.08,1.00
0.534,-0.00,-0.07,1.00
0.537,0.00,-0.06,1.01
0.539,0.00,-0.05,1.00
0.540,-0.00,-0.05,1.00
0.542,-0.00,-0.05,1.00
0.545,0.00,-0.05,1.00
0.548,0.00,-0.04,1.00
0.549,0.00,-0.04,1.00
0.551,0.01,-0.04,1.00
0.553,0.01,-0.04,1.00
0.555,0.01,-0.04,1.00
0.557,0.01,-0.04,1.00
0.558,0.01,-0.04,1.00
0.560,-0.00,-0.05,1.00
0.565,-0.01,-0.06,1.00
0.565,-0.00,-0.07,1.00
0.567,-0.00,-0.08,1.00
0.569,-0.00,-0.08,1.01
0.571,-0.01,-0.08,1.01
0.573,-0.01,-0.08,1.00
0.576,-0.01,-0.08,1.01
0.576,-0.01,-0.07,1.01
0.581,-0.00,-0.07,1.00
0.583,0.00,-0.06,1.01
0.583,0.00,-0.06,1.01
0.585,0.00,-0.06,1.00
0.589,-0.00,-0.07,1.00
0.590,-0.00,-0.08,1.00
0.591,-0.00,-0.08,1.00
0.592,-0.01,-0.08,1.00
0.595,-0.01,-0.08,1.00
0.599,-0.01,-0.07,1.00
0.600,-0.01,-0.06,1.00
0.600,-0.01,-0.05,1.00
0.602,-0.00,-0.05,1.00
0.604,-0.00,-0.04,1.00
0.607,0.00,-0.04,1.01
0.608,0.00,-0.05,1.01
0.610,-0.00,-0.06,1.00
0.622,0.00,-0.05,1.01
0.623,0.01,-0.04,1.01
0.623,0.01,-0.04,1.00
0.624,0.00,-0.04,1.01
0.624,0.00,-0.04,1.01
0.624,0.00,-0.04,1.01
0.641,0.00,-0.04,1.01
0.641,0.00,-0.04,1.00
0.642,0.00,-0.03,1.01
0.642,-0.00,-0.03,1.01
0.642,-0.00,-0.03,1.00
0.642,-0.01,-0.03,1.01
0.643,-0.01,-0.03,1.00
0.643,-0.02,-0.04,1.00
0.655,-0.02,-0.05,1.00
0.655,-0.02,-0.05,1.01
0.655,-0.02,-0.04,1.01
0.656,-0.02,-0.03,1.01
0.656,-0.02,-0.02,1.01
0.656,-0.02,-0.01,1.00
0.657,-0.02,-0.01,1.00
0.657,-0.02,-0.01,1.00
0.657,-0.03,-0.01,1.01
0.661,-0.03,-0.02,1.01
0.663,-0.03,-0.03,1.00
0.663,-0.03,-0.03,1.00
0.665,-0.04,-0.03,1.01
0.668,-0.04,-0.02,1.01
0.669,-0.04,-0.01,1.01
0.672,-0.04,-0.00,1.00
0.673,-0.04,0.00,1.01
