time,x,y,z
0.016,-0.01,-0.00,1.01
0.016,-0.01,-0.00,1.01
0.017,-0.01,-0.00,1.01
0.017,-0.01,-0.00,1.01
0.017,-0.01,-0.00,1.00
0.017,-0.01,-0.00,1.00
0.017,-0.01,-0.00,1.00
0.017,-0.01,-0.00,1.00
0.017,-0.01,-0.00,1.00
0.020,-0.01,-0.00,1.00
0.021,-0.01,-0.00,1.00
0.023,-0.01,-0.00,1.00
0.025,-0.01,-0.00,1.00
0.027,-0.01,-0.00,1.01
0.032,-0.01,-0.00,1.01
0.032,-0.01,-0.00,1.01
0.033,-0.01,-0.00,1.01
0.035,-0.01,-0.00,1.01
0.037,-0.01,0.00,1.01
0.041,-0.01,0.00,1.01
0.041,-0.01,0.00,1.01
0.043,-0.01,0.00,1.01
0.045,-0.01,0.00,1.01
0.049,-0.01,0.00,1.01
0.049,-0.01,0.00,1.01
0.051,-0.01,0.00,1.00
0.054,-0.01,0.00,1.00
0.055,-0.01,0.00,1.00
0.057,-0.01,0.00,1.00
0.059,-0.01,0.00,1.00
0.061,-0.00,0.00,1.00
0.066,-0.00,0.00,1.00
0.066,-0.01,0.00,1.00
0.067,-0.01,0.00,1.00
0.069,-0.01,0.00,1.00
0.071,-0.01,0.00,1.00
0.073,-0.01,0.00,1.00
0.075,-0.01,0.00,1.01
0.077,-0.01,0.00,1.01
0.082,-0.01,0.00,1.01
0.083,-0.00,0.00,1.01
0.084,-0.00,0.00,1.01
0.089,-0.00,0.00,1.00
0.089,-0.00,0.00,1.00
0.089,-0.00,0.00,1.00
0.091,-0.00,0.00,1.00
0.093,-0.00,0.00,1.00
0.095,-0.00,0.00,1.00
0.098,-0.00,0.00,1.00
0.099,-0.00,0.00,1.00
0.101,-0.00,0.00,1.00
0.103,-0.00,-0.00,1.01
0.105,-0.00,-0.00,1.01
0.107,-0.00,-0.00,1.01
0.110,-0.00,-0.00,1.01
0.111,-0.00,-0.00,1.01
0.115,-0.00,-0.00,1.01
0.116,-0.00,-0.00,1.00
