time,x,y,z
0.014,-0.01,0.00,1.00
0.015,-0.01,0.00,1.00
0.015,-0.01,0.00,1.00
0.015,-0.01,0.00,1.00
0.016,-0.01,0.00,1.00
0.016,-0.01,0.00,1.00
0.017,-0.01,0.00,1.00
0.017,-0.01,0.00,1.00
0.018,-0.01,0.00,1.00
0.022,-0.01,0.00,1.00
0.022,-0.01,0.00,1.00
0.023,-0.01,0.00,1.00
0.033,-0.01,0.00,1.00
0.033,-0.01,0.00,1.00
0.033,-0.01,0.00,1.00
0.034,-0.01,0.00,1.00
0.034,-0.01,0.00,1.00
0.035,-0.01,0.00,1.00
0.038,-0.01,0.00,1.00
0.039,-0.01,0.00,1.00
0.041,-0.01,0.00,1.00
0.046,-0.01,0.00,1.00
0.046,-0.01,0.00,1.00
0.047,-0.00,0.00,1.00
0.049,-0.00,0.00,1.00
0.051,-0.00,0.00,1.00
0.053,-0.00,0.00,1.00
0.055,-0.01,0.00,1.00
0.057,-0.01,0.00,1.00
0.061,-0.01,0.00,1.00
0.062,-0.01,0.00,1.00
0.064,-0.01,0.00,1.00
0.065,-0.01,0.00,1.00
0.067,-0.01,0.00,1.00
0.070,-0.01,0.00,1.00
0.071,-0.01,0.00,1.00
0.074,-0.01,0.00,1.00
0.075,-0.01,0.00,1.00
0.079,-0.00,0.00,1.00
0.080,-0.00,0.00,1.00
0.081,-0.00,0.00,1.00
0.083,-0.00,0.00,1.00
0.086,-0.00,0.00,1.00
0.087,-0.00,0.00,1.00
0.089,-0.00,0.00,1.00
0.091,-0.00,-0.00,1.00
0.095,-0.00,0.00,1.00
0.096,-0.00,0.00,1.00
0.098,-0.01,-0.00,1.00
0.099,-0.01,0.00,1.00
0.101,-0.01,0.00,1.00
0.103,-0.00,0.00,1.00
0.105,-0.00,0.00,1.00
0.107,-0.01,0.00,1.00
0.109,-0.01,0.00,1.00
0.112,-0.01,0.00,1.00
0.113,-0.01,0.00,1.00
0.115,-0.01,0.00,1.00
0.117,-0.01,0.00,1.00
0.120,-0.01,0.00,1.00
0.121,-0.01,0.00,1.00
0.123,-0.01,0.00,1.00
0.125,-0.01,0.00,1.00
0.138,-0.01,0.00,1.00
0.138,-0.01,0.00,1.00
0.139,-0.01,0.00,1.00
0.139,-0.01,0.00,1.00
0.139,-0.01,-0.00,1.00
0.139,-0.01,-0.00,1.00
0.139,-0.01,-0.00,1.00
0.141,-0.01,-0.00,1.00
0.161,-0.01,-0.00,1.00
0.162,-0.01,-0.00,1.00
0.162,-0.01,-0.00,1.00
0.163,-0.01,-0.00,1.00
0.163,-0.01,-0.00,1.00
0.163,-0.01,-0.00,1.00
0.164,-0.01,-0.00,1.00
0.164,-0.01,-0.00,1.00
0.164,-0.01,-0.00,1.00
0.164,-0.01,-0.00,1.00
0.165,-0.01,-0.00,1.01
0.165,-0.01,-0.00,1.00
0.168,-0.01,-0.00,1.00
0.169,-0.01,-0.00,1.00
0.173,-0.01,-0.00,1.00
0.173,-0.01,-0.00,1.00
0.175,-0.01,-0.00,1.00
0.179,-0.01,-0.00,1.00
0.179,-0.01,-0.00,1.00
0.181,-0.01,-0.00,1.00
0.183,-0.01,-0.00,1.00
0.185,-0.01,-0.00,1.00
0.187,-0.01,-0.00,1.00
0.189,-0.01,-0.00,1.01
0.191,-0.01,-0.00,1.01
0.193,-0.01,-0.00,1.01
0.195,-0.01,-0.00,1.01
0.198,-0.01,-0.00,1.01
0.199,-0.01,-0.00,1.01
0.211,-0.01,-0.00,1.01
0.211,-0.01,-0.00,1.01
0.212,-0.01,-0.00,1.00
0.212,-0.01,-0.00,1.00
0.213,-0.01,-0.00,1.00
0.214,-0.01,-0.00,1.00
0.214,-0.01,-0.00,1.00
0.215,-0.01,-0.00,1.00
0.222,-0.01,-0.00,1.00
0.223,-0.01,-0.00,1.00
0.223,-0.01,-0.00,1.00
0.223,-0.01,-0.00,1.00
0.225,-0.01,-0.00,1.01
0.242,-0.01,-0.00,1.01
0.243,-0.01,-0.00,1.00
0.244,-0.01,-0.00,1.01
0.244,-0.01,0.00,1.01
0.245,-0.01,0.00,1.01
0.245,-0.01,-0.00,1.01
0.246,-0.01,-0.00,1.01
0.246,-0.01,-0.00,1.01
0.246,-0.00,-0.00,1.01
0.247,-0.01,-0.02,1.01
0.257,-0.02,-0.16,1.00
0.257,-0.01,-0.39,1.00
0.257,0.02,-0.56,1.00
0.258,0.07,-0.62,1.00
0.258,0.10,-0.60,1.00
0.259,0.11,-0.54,1.00
0.259,0.09,-0.50,1.00
0.275,0.08,-0.48,1.00
0.276,0.10,-0.42,1.00
0.279,0.10,-0.36,1.00
0.279,0.10,-0.31,1.00
0.281,0.09,-0.27,1.00
0.282,0.07,-0.23,1.00
0.283,0.06,-0.21,1.00
0.283,0.05,-0.19,1.00
0.284,0.04,-0.18,1.00
0.284,0.02,-0.17,1.00
0.284,0.02,-0.17,1.00
0.285,0.01,-0.17,1.00
0.300,0.01,-0.17,1.00
0.301,0.01,-0.17,1.00
0.301,0.01,-0.18,1.01
0.301,0.01,-0.19,1.00
0.301,0.01,-0.20,1.00
0.301,0.01,-0.20,1.01
0.301,0.01,-0.20,1.01
0.302,0.01,-0.20,1.00
0.302,0.01,-0.21,1.01
0.308,0.01,-0.21,1.01
0.309,0.01,-0.21,1.00
0.309,0.01,-0.20,1.00
0.312,0.01,-0.19,1.00
0.312,0.00,-0.18,1.00
0.313,-0.00,-0.17,1.00
0.315,-0.01,-0.16,1.00
0.317,-0.01,-0.15,1.00
0.319,-0.02,-0.14,1.00
0.321,-0.02,-0.13,1.00
0.323,-0.03,-0.13,1.00
0.325,-0.03,-0.12,1.00
0.329,-0.03,-0.11,1.00
0.330,-0.04,-0.10,1.00
0.332,-0.04,-0.09,1.00
0.333,-0.04,-0.08,1.00
0.335,-0.04,-0.08,1.00
0.337,-0.04,-0.07,1.00
0.339,-0.04,-0.06,1.00
0.341,-0.04,-0.06,1.00
0.346,-0.04,-0.06,1.00
0.346,-0.04,-0.05,1.00
0.347,-0.04,-0.05,1.00
0.349,-0.04,-0.05,1.00
0.351,-0.04,-0.05,1.00
0.353,-0.03,-0.05,1.00
