time,x,y,z
0.011,-0.00,0.00,1.00
0.012,-0.00,0.00,1.00
0.012,-0.00,0.00,1.00
0.012,-0.00,0.00,1.00
0.012,-0.00,0.00,1.00
0.013,-0.00,0.00,1.00
0.013,-0.00,0.00,1.00
0.016,-0.00,0.00,1.01
0.018,-0.00,0.00,1.00
0.018,-0.00,0.00,1.00
0.020,-0.00,0.00,1.00
0.022,-0.00,0.00,1.00
0.024,-0.00,0.00,1.00
0.026,-0.00,0.00,1.00
0.028,-0.00,0.00,1.00
0.030,-0.00,0.00,1.00
0.043,-0.00,0.00,1.00
0.043,-0.00,0.00,1.00
0.043,-0.00,0.00,1.00
0.044,-0.01,0.00,1.00
0.044,-0.01,0.00,1.00
0.044,-0.01,0.00,1.00
0.044,-0.01,0.00,1.00
0.046,-0.01,0.00,1.00
0.062,-0.01,0.00,1.00
0.062,-0.01,0.00,1.00
0.062,-0.00,0.00,1.01
0.062,-0.00,0.00,1.01
0.063,-0.00,0.00,1.01
0.063,-0.00,0.00,1.00
0.063,-0.00,0.00,1.00
0.063,-0.00,0.00,1.00
0.066,-0.00,0.00,1.00
0.067,-0.00,0.00,1.00
0.090,-0.00,0.00,1.00
0.091,-0.00,0.00,1.00
0.091,-0.00,0.00,1.00
0.091,-0.00,0.00,1.00
0.091,-0.00,0.00,1.00
0.092,-0.01,0.00,1.00
0.092,-0.00,0.00,1.00
0.092,-0.00,0.00,1.00
0.092,-0.01,0.00,1.00
0.092,-0.01,0.00,1.00
0.093,-0.01,0.00,1.00
0.093,-0.00,0.00,1.00
0.093,-0.01,0.00,1.00
0.097,-0.01,0.00,1.00
0.097,-0.00,0.00,1.00
0.102,-0.00,0.00,1.00
0.102,-0.01,0.00,1.00
0.103,-0.01,0.00,1.00
0.104,-0.01,0.00,1.00
0.106,-0.01,0.00,1.00
0.108,-0.01,0.00,1.00
0.110,-0.01,0.00,1.00
0.112,-0.01,0.00,1.00
0.117,-0.01,0.00,1.00
0.117,-0.01,0.00,1.00
0.118,-0.01,0.00,1.01
0.120,-0.01,0.00,1.00
0.122,-0.01,0.00,1.00
0.124,-0.01,0.00,1.00
0.126,-0.01,0.00,1.00
0.128,-0.01,0.00,1.00
0.130,-0.00,0.00,1.00
0.134,-0.00,0.00,1.00
0.135,-0.01,0.00,1.00
0.136,-0.01,0.00,1.00
0.138,-0.01,0.00,1.00
0.140,-0.01,0.00,1.00
0.142,-0.01,0.00,1.00
0.144,-0.01,0.00,1.00
0.148,-0.02,0.00,1.00
0.148,-0.03,0.00,1.00
0.161,-0.03,-0.00,1.00
0.161,-0.04,-0.00,1.00
0.161,-0.05,-0.00,1.00
0.161,-0.05,-0.00,1.00
0.162,-0.06,-0.00,1.01
0.162,-0.07,0.00,1.01
0.162,-0.09,0.00,1.01
0.164,-0.10,0.01,1.01
0.167,-0.12,0.01,1.00
0.168,-0.14,0.01,1.00
0.170,-0.16,0.01,1.00
0.172,-0.17,0.01,1.00
0.174,-0.18,0.01,1.01
0.176,-0.19,0.01,1.01
0.178,-0.20,0.01,1.01
0.180,-0.20,0.00,1.01
0.196,-0.20,0.00,1.01
0.196,-0.21,0.00,1.01
0.197,-0.21,0.00,1.01
0.197,-0.21,0.01,1.00
0.197,-0.22,0.01,1.00
0.197,-0.22,0.01,1.00
0.197,-0.22,0.01,1.00
0.198,-0.21,0.01,1.00
0.201,-0.20,0.01,1.01
0.211,-0.19,0.01,1.01
0.211,-0.18,0.01,1.01
0.211,-0.16,0.01,1.00
0.211,-0.15,0.01,1.00
0.212,-0.14,0.00,1.00
0.213,-0.12,-0.00,1.01
0.214,-0.10,-0.01,1.01
0.214,-0.08,-0.02,1.01
0.232,-0.06,-0.03,1.01
0.233,-0.04,-0.03,1.00
0.233,-0.02,-0.04,0.99
0.234,-0.00,-0.04,1.00
0.235,0.01,-0.05,1.00
0.235,0.03,-0.05,1.01
0.235,0.05,-0.06,1.01
0.235,0.06,-0.07,1.00
0.236,0.07,-0.08,0.99
0.236,0.08,-0.08,0.99
0.236,0.08,-0.08,1.00
0.240,0.09,-0.08,1.01
0.241,0.08,-0.08,1.00
0.242,0.08,-0.08,0.99
0.244,0.08,-0.07,0.99
0.246,0.09,-0.07,1.00
0.252,0.09,-0.06,1.01
0.253,0.09,-0.06,1.02
0.253,0.09,-0.06,1.01
0.254,0.08,-0.05,1.00
0.256,0.07,-0.04,1.00
0.258,0.08,-0.03,1.01
0.261,0.07,-0.02,1.02
0.262,0.06,-0.01,1.02
0.264,0.04,-0.01,1.01
0.280,0.03,-0.00,1.00
0.281,0.01,-0.00,1.00
0.281,0.00,0.00,1.00
0.281,-0.00,0.00,1.01
0.281,-0.01,0.00,1.00
0.282,-0.02,0.01,1.00
0.283,-0.03,0.01,1.01
0.283,-0.04,0.01,1.01
0.284,-0.05,0.01,1.01
0.284,-0.06,0.01,1.01
0.296,-0.07,0.02,1.01
0.296,-0.07,0.02,1.01
0.297,-0.08,0.02,1.01
0.297,-0.09,0.02,1.02
0.297,-0.09,0.02,1.02
0.297,-0.10,0.02,1.02
0.298,-0.11,0.03,1.02
0.311,-0.13,0.03,1.01
0.312,-0.15,0.03,1.01
0.312,-0.17,0.02,1.00
0.312,-0.20,0.02,0.99
0.313,-0.23,0.02,0.99
0.313,-0.26,0.02,0.99
0.313,-0.28,0.02,0.99
0.314,-0.30,0.02,0.99
0.329,-0.32,0.02,0.99
0.330,-0.33,0.02,1.00
0.330,-0.34,0.02,1.00
0.330,-0.35,0.02,1.00
0.330,-0.36,0.02,1.01
0.331,-0.36,0.02,1.01
0.331,-0.36,0.02,1.00
0.331,-0.36,0.02,1.00
0.332,-0.36,0.02,1.00
0.336,-0.36,0.03,1.00
0.337,-0.35,0.03,1.01
0.338,-0.35,0.03,1.01
0.340,-0.35,0.03,1.01
0.342,-0.34,0.04,1.01
0.344,-0.34,0.04,1.01
0.347,-0.33,0.05,1.00
0.360,-0.32,0.06,1.01
0.361,-0.32,0.07,1.01
0.361,-0.32,0.08,1.01
0.361,-0.31,0.09,1.01
0.361,-0.31,0.11,1.01
0.361,-0.30,0.12,1.01
0.362,-0.30,0.13,1.01
0.363,-0.29,0.14,1.01
0.364,-0.29,0.15,1.01
0.369,-0.29,0.15,1.01
0.369,-0.29,0.16,1.01
0.370,-0.29,0.17,1.01
0.372,-0.29,0.18,1.01
0.374,-0.28,0.18,1.01
0.377,-0.28,0.19,1.01
0.378,-0.28,0.19,1.00
0.380,-0.28,0.19,1.00
0.385,-0.28,0.19,1.00
0.385,-0.27,0.19,1.00
0.386,-0.27,0.19,1.00
0.388,-0.27,0.19,1.00
0.390,-0.26,0.19,1.01
0.392,-0.26,0.19,1.01
0.394,-0.25,0.19,1.01
0.396,-0.25,0.19,1.01
0.401,-0.24,0.19,1.01
0.413,-0.23,0.19,1.01
0.413,-0.23,0.19,1.01
0.413,-0.22,0.18,1.01
0.413,-0.21,0.18,1.01
0.414,-0.20,0.18,1.00
0.414,-0.19,0.17,1.00
0.414,-0.17,0.17,1.00
0.415,-0.16,0.16,1.00
0.418,-0.14,0.15,1.00
0.419,-0.12,0.15,1.00
0.420,-0.11,0.15,1.01
0.422,-0.09,0.15,1.01
0.424,-0.08,0.16,1.01
0.426,-0.07,0.17,1.01
0.428,-0.05,0.17,1.01
0.430,-0.04,0.18,1.01
0.434,-0.03,0.19,1.01
0.435,-0.02,0.20,1.00
0.436,-0.01,0.20,1.00
0.438,-0.01,0.21,1.00
0.440,0.00,0.21,1.00
0.443,0.01,0.22,1.00
0.444,0.01,0.22,1.00
0.447,0.02,0.22,1.00
0.448,0.03,0.23,1.00
0.450,0.04,0.23,1.00
0.453,0.04,0.24,1.00
0.454,0.05,0.24,1.00
0.456,0.06,0.25,1.00
0.458,0.07,0.25,1.00
0.461,0.08,0.25,1.01
0.462,0.09,0.26,1.01
0.464,0.10,0.26,1.01
0.471,0.12,0.26,1.01
0.472,0.13,0.26,1.00
0.472,0.13,0.27,1.00
0.472,0.14,0.27,1.01
0.474,0.15,0.28,1.00
0.476,0.15,0.28,1.01
0.478,0.16,0.29,1.01
0.481,0.17,0.29,1.01
0.498,0.17,0.29,1.01
0.499,0.18,0.30,1.01
0.500,0.18,0.30,1.01
0.500,0.18,0.30,1.01
0.501,0.19,0.30,1.01
