time,x,y,z
0.016,-0.00,0.00,1.00
0.017,-0.00,0.00,1.00
0.017,-0.00,0.00,1.00
0.018,-0.00,0.00,1.00
0.018,-0.00,0.00,1.00
0.018,-0.00,0.00,1.00
0.018,-0.00,0.00,1.00
0.018,-0.00,0.00,1.00
0.019,-0.00,0.00,1.00
0.019,-0.00,0.00,1.00
0.023,-0.00,0.00,1.00
0.035,-0.00,0.00,1.00
0.036,-0.00,0.00,1.00
0.036,-0.00,0.00,1.00
0.036,-0.00,0.00,1.00
0.036,-0.00,0.00,1.00
0.037,-0.00,0.00,1.00
0.037,-0.00,0.00,1.00
0.037,-0.00,0.00,1.00
0.037,-0.00,0.00,1.00
0.048,-0.00,0.00,1.00
0.048,-0.00,0.00,1.00
0.049,-0.00,0.00,1.00
0.050,-0.00,0.00,1.00
0.050,-0.00,0.00,1.00
0.050,-0.00,0.00,1.00
0.054,-0.00,0.00,1.00
0.055,-0.00,0.00,1.00
0.055,-0.00,0.00,1.00
0.074,-0.00,0.00,1.00
0.074,-0.00,0.00,1.00
0.075,-0.00,0.00,1.00
0.075,-0.00,0.00,1.00
0.075,-0.01,0.00,1.00
0.075,-0.01,0.00,1.00
0.076,-0.01,0.00,1.00
0.076,-0.01,-0.00,1.00
0.076,-0.00,-0.00,1.00
0.088,-0.00,-0.00,1.00
0.089,-0.00,-0.00,1.01
0.089,-0.01,0.00,1.01
0.089,-0.01,0.00,1.01
0.090,-0.01,-0.00,1.01
0.090,-0.01,-0.00,1.01
0.090,-0.01,-0.00,1.01
0.090,-0.00,-0.00,1.01
0.104,-0.00,-0.00,1.01
0.104,-0.00,0.00,1.01
0.104,-0.00,0.00,1.00
0.105,-0.00,0.00,1.00
0.105,-0.00,0.00,1.00
0.105,-0.00,0.00,1.00
0.105,-0.00,0.00,1.00
0.105,-0.00,0.00,1.00
0.121,-0.00,0.00,1.00
0.121,-0.00,0.00,1.00
0.121,-0.00,0.00,1.00
0.122,-0.00,0.00,1.00
0.122,-0.00,0.00,1.01
0.122,-0.00,-0.00,1.01
0.122,-0.00,-0.00,1.01
0.123,-0.00,-0.00,1.01
0.137,-0.00,-0.00,1.01
0.137,-0.00,-0.00,1.01
0.138,-0.00,-0.00,1.01
0.138,-0.00,-0.00,1.01
0.138,-0.00,0.00,1.01
0.138,-0.00,0.00,1.01
0.138,-0.00,-0.00,1.00
0.140,-0.00,-0.00,1.00
0.141,-0.00,-0.00,1.00
0.144,-0.00,-0.00,1.00
0.144,-0.00,-0.00,1.00
0.145,-0.00,-0.00,1.00
0.147,-0.00,-0.00,1.00
0.151,-0.00,-0.00,1.00
0.151,-0.00,-0.00,1.01
0.153,-0.00,-0.00,1.01
0.155,-0.00,-0.00,1.01
0.159,-0.00,-0.00,1.01
0.160,-0.00,-0.00,1.01
0.161,-0.00,-0.00,1.01
0.163,-0.00,-0.00,1.01
0.165,-0.00,-0.00,1.01
0.168,-0.00,-0.00,1.01
0.169,-0.00,-0.00,1.01
0.171,-0.00,-0.00,1.01
0.176,-0.00,-0.00,1.00
0.176,-0.00,-0.00,1.00
0.177,-0.00,-0.00,1.00
0.180,-0.00,-0.00,1.00
0.181,-0.00,-0.00,1.00
0.184,-0.00,-0.00,1.00
0.186,-0.00,-0.00,1.00
0.187,-0.00,-0.00,1.00
0.189,-0.00,-0.00,1.00
0.205,-0.00,-0.00,1.00
0.206,-0.00,-0.00,1.01
0.207,-0.00,-0.00,1.01
0.208,-0.00,-0.00,1.01
0.221,-0.00,-0.00,1.01
0.221,-0.00,-0.00,1.01
0.222,-0.00,-0.00,1.01
0.222,-0.00,-0.00,1.01
0.222,-0.01,-0.00,1.01
0.223,-0.01,-0.00,1.01
0.223,-0.01,-0.00,1.00
0.223,-0.01,-0.00,1.00
0.223,-0.01,-0.00,1.00
0.224,-0.01,-0.00,1.00
0.224,-0.01,-0.00,1.00
0.225,-0.01,-0.00,1.00
0.225,-0.01,-0.00,1.00
0.225,-0.01,-0.00,1.00
0.236,-0.01,-0.00,1.00
0.237,-0.01,-0.00,1.01
0.237,-0.01,-0.00,1.01
0.238,-0.01,-0.00,1.01
0.238,-0.01,-0.00,1.01
0.238,-0.01,-0.00,1.01
0.239,-0.01,-0.00,1.01
0.243,-0.01,-0.00,1.01
0.244,-0.01,-0.00,1.01
0.246,-0.01,-0.01,1.01
0.247,-0.01,-0.01,1.01
0.250,-0.01,-0.01,1.01
0.252,-0.01,-0.01,1.01
0.253,-0.01,-0.01,1.01
0.255,-0.01,-0.01,1.01
0.272,-0.01,-0.01,1.00
0.273,-0.01,-0.01,1.00
0.273,-0.01,-0.01,1.00
0.274,-0.01,-0.01,1.00
0.274,-0.01,-0.01,1.00
0.274,-0.01,-0.01,1.00
0.274,-0.01,-0.01,1.00
0.275,-0.01,-0.01,1.00
0.275,-0.01,-0.01,1.00
0.276,-0.00,-0.02,1.00
0.294,0.01,-0.10,1.00
0.296,0.04,-0.28,1.00
0.296,0.04,-0.46,1.00
0.296,0.03,-0.55,1.00
0.297,0.02,-0.58,1.00
0.297,0.01,-0.57,1.00
0.298,0.02,-0.51,1.00
0.298,0.03,-0.43,1.00
0.298,0.03,-0.33,1.01
0.299,0.02,-0.24,1.01
0.299,0.02,-0.17,1.00
0.304,0.01,-0.11,1.00
0.305,-0.00,-0.07,1.00
0.305,-0.01,-0.05,1.00
0.306,-0.02,-0.04,1.01
0.321,-0.03,-0.04,1.01
0.322,-0.04,-0.04,1.01
0.322,-0.04,-0.06,1.00
0.322,-0.05,-0.09,1.00
0.322,-0.06,-0.11,1.00
0.322,-0.06,-0.13,1.00
0.323,-0.06,-0.13,1.00
0.323,-0.05,-0.13,1.00
0.323,-0.05,-0.13,1.00
0.337,-0.04,-0.13,1.00
0.337,-0.04,-0.14,1.00
0.337,-0.04,-0.14,1.00
0.338,-0.04,-0.15,1.00
0.338,-0.03,-0.16,1.01
0.338,-0.03,-0.17,1.01
0.340,-0.03,-0.17,1.00
0.353,-0.03,-0.16,1.00
0.354,-0.02,-0.16,1.01
0.354,-0.02,-0.16,1.01
0.354,-0.02,-0.16,1.00
0.355,-0.01,-0.17,1.00
0.355,-0.01,-0.17,1.01
0.355,-0.01,-0.17,1.00
0.355,-0.02,-0.17,1.00
0.355,-0.02,-0.16,1.00
0.360,-0.02,-0.15,1.00
0.361,-0.02,-0.14,1.01
0.361,-0.02,-0.12,1.00
0.365,-0.02,-0.11,1.00
0.366,-0.03,-0.10,1.00
0.367,-0.03,-0.10,1.00
0.369,-0.03,-0.10,1.00
0.371,-0.03,-0.09,1.00
0.373,-0.03,-0.09,1.00
0.378,-0.03,-0.09,1.00
0.380,-0.04,-0.09,1.00
0.380,-0.03,-0.09,1.00
0.381,-0.03,-0.09,1.00
0.383,-0.03,-0.09,1.00
0.386,-0.03,-0.09,1.01
0.388,-0.03,-0.10,1.01
0.389,-0.03,-0.10,1.00
0.405,-0.02,-0.11,1.01
0.406,-0.02,-0.12,1.01
0.406,-0.02,-0.13,1.01
0.407,-0.01,-0.14,1.00
0.419,-0.01,-0.15,1.00
0.419,-0.00,-0.16,1.00
0.420,-0.00,-0.16,1.00
0.421,0.00,-0.16,1.01
0.421,0.01,-0.16,1.00
0.422,0.01,-0.17,1.00
0.422,0.01,-0.18,1.00
0.422,0.01,-0.18,1.00
0.423,0.01,-0.18,1.00
0.423,0.01,-0.18,1.00
0.423,0.01,-0.18,1.00
0.423,0.01,-0.18,1.00
0.423,0.01,-0.18,1.00
0.427,0.01,-0.18,1.01
0.428,0.01,-0.18,1.00
0.432,0.01,-0.18,1.00
0.432,0.01,-0.18,1.00
0.434,0.01,-0.19,1.00
0.435,0.01,-0.20,1.00
0.439,0.01,-0.20,1.00
0.440,0.01,-0.20,1.01
0.446,0.01,-0.21,1.01
0.447,0.01,-0.22,1.01
0.447,0.02,-0.23,1.01
0.449,0.02,-0.23,1.01
0.449,0.02,-0.23,1.01
0.452,0.02,-0.23,1.01
0.453,0.02,-0.23,1.01
0.455,0.02,-0.23,1.00
0.457,0.02,-0.22,1.00
0.462,0.02,-0.21,1.00
0.464,0.01,-0.21,1.00
0.464,0.01,-0.20,1.00
0.465,0.01,-0.19,1.00
0.467,0.01,-0.18,1.01
0.469,0.00,-0.16,1.00
0.472,-0.00,-0.15,1.00
0.473,-0.00,-0.15,1.00
0.478,-0.01,-0.14,1.00
0.479,-0.01,-0.15,1.00
0.479,-0.01,-0.16,1.00
0.481,-0.01,-0.16,1.00
0.483,-0.01,-0.16,1.00
0.486,-0.01,-0.16,1.00
0.487,-0.01,-0.15,1.01
0.490,-0.00,-0.15,1.01
0.495,-0.00,-0.14,1.01
0.495,-0.00,-0.13,1.01
0.496,-0.00,-0.13,1.00
0.497,-0.00,-0.13,1.00
0.500,-0.00,-0.12,1.00
0.501,-0.01,-0.12,1.00
0.503,-0.01,-0.12,1.00
0.505,-0.01,-0.11,1.01
0.507,-0.02,-0.11,1.00
0.511,-0.02,-0.10,1.00
0.512,-0.02,-0.11,1.00
0.513,-0.02,-0.11,1.00
0.515,-0.03,-0.12,1.00
0.518,-0.03,-0.12,1.01
0.519,-0.03,-0.13,1.00
0.521,-0.03,-0.13,1.00
0.523,-0.02,-0.12,1.01
0.529,-0.02,-0.12,1.01
0.530,-0.03,-0.11,1.01
0.530,-0.03,-0.10,1.00
0.531,-0.03,-0.09,1.00
