time,x,y,z
0.014,-0.00,0.00,1.01
0.014,-0.00,0.00,1.01
0.015,-0.00,0.00,1.01
0.015,-0.00,0.00,1.01
0.015,-0.00,0.00,1.01
0.016,-0.00,0.00,1.01
0.016,-0.00,0.00,1.00
0.016,-0.00,0.00,1.00
0.026,-0.00,0.00,1.00
0.026,-0.00,0.00,1.00
0.026,-0.00,0.00,1.00
0.027,-0.00,0.00,1.00
0.027,-0.00,0.00,1.00
0.027,-0.00,0.00,1.00
0.028,-0.00,0.00,1.00
0.033,-0.00,0.00,1.00
0.033,-0.00,0.00,1.00
0.034,-0.00,0.00,1.00
0.037,-0.00,0.00,1.00
0.038,-0.00,0.00,1.00
0.040,-0.00,0.00,1.00
0.042,-0.00,0.00,1.00
0.044,-0.00,0.00,1.00
0.048,-0.00,0.00,1.00
0.048,-0.00,0.00,1.01
0.050,-0.00,0.00,1.01
0.052,-0.00,0.00,1.00
0.055,-0.00,0.00,1.00
0.057,-0.00,0.00,1.00
0.058,-0.00,0.00,1.00
0.060,-0.00,0.00,1.00
0.065,-0.00,0.00,1.00
0.066,-0.00,0.00,1.00
0.069,-0.00,0.00,1.00
0.069,-0.00,0.00,1.00
0.071,-0.00,0.00,1.00
0.073,-0.00,0.00,1.00
0.074,-0.00,0.00,1.00
0.077,-0.00,0.00,1.00
0.078,-0.00,0.00,1.00
0.081,-0.00,0.00,1.00
0.082,-0.00,0.00,1.00
0.084,-0.00,0.00,1.00
0.089,-0.00,0.00,1.00
0.089,-0.00,0.00,1.00
0.090,-0.00,0.00,1.00
0.093,-0.00,0.00,1.00
0.095,-0.00,0.00,1.00
0.108,-0.00,0.00,1.01
0.108,-0.00,0.00,1.01
0.108,-0.00,0.00,1.01
0.109,-0.00,0.00,1.01
0.109,-0.00,0.00,1.01
0.109,-0.00,0.00,1.01
0.110,-0.00,0.00,1.00
0.110,-0.00,0.00,1.00
0.112,-0.00,0.00,1.01
0.115,-0.00,0.00,1.01
0.117,-0.00,0.00,1.00
0.119,-0.00,0.00,1.00
0.121,-0.00,0.00,1.00
0.123,-0.00,0.00,1.00
0.124,-0.00,0.00,1.00
0.126,-0.00,-0.00,1.01
0.129,-0.01,0.00,1.01
0.133,-0.01,-0.00,1.01
0.133,-0.01,-0.00,1.01
0.134,-0.01,-0.00,1.01
0.137,-0.01,-0.00,1.01
0.138,-0.01,-0.00,1.01
0.141,-0.01,-0.00,1.01
0.143,-0.01,-0.00,1.01
0.144,-0.01,-0.00,1.01
0.161,-0.01,-0.00,1.01
0.161,-0.01,-0.00,1.01
0.162,-0.01,-0.00,1.01
0.162,-0.01,-0.00,1.01
0.162,-0.01,-0.00,1.01
0.163,-0.01,-0.00,1.01
0.163,-0.01,-0.00,1.01
0.163,-0.00,-0.00,1.01
0.163,-0.00,-0.00,1.00
0.164,-0.00,-0.00,1.00
0.179,-0.00,-0.00,1.00
0.180,-0.00,-0.00,1.00
0.180,-0.00,-0.00,1.00
0.181,-0.00,-0.00,1.00
0.181,-0.00,-0.00,1.00
0.181,-0.00,-0.00,1.00
0.182,-0.00,0.00,1.00
0.182,-0.00,0.00,1.00
0.183,-0.00,0.00,1.00
0.186,-0.00,0.00,1.00
0.187,-0.00,0.00,1.00
0.189,-0.00,0.00,1.00
0.190,-0.00,0.00,1.00
0.194,-0.00,0.00,1.00
0.194,-0.00,0.00,1.00
0.201,-0.00,0.00,1.01
0.201,-0.00,0.00,1.01
0.213,-0.00,0.00,1.01
0.213,-0.00,0.00,1.01
0.213,-0.00,0.00,1.01
0.213,-0.00,0.00,1.01
0.214,-0.00,0.00,1.01
0.214,-0.00,0.00,1.01
0.215,-0.00,0.00,1.01
0.215,-0.00,0.00,1.01
0.227,-0.00,0.00,1.00
0.227,-0.00,0.00,1.00
0.228,-0.00,0.00,1.00
0.228,-0.00,0.00,1.00
0.228,-0.00,0.00,1.00
0.228,-0.00,0.00,1.00
0.228,-0.00,0.00,1.00
0.233,-0.00,0.00,1.00
0.234,-0.00,0.00,1.00
0.235,-0.00,0.00,1.01
0.236,-0.00,0.00,1.01
0.239,-0.00,0.00,1.00
0.241,-0.00,-0.00,1.00
0.244,-0.01,-0.00,1.00
0.245,-0.00,-0.00,1.00
0.251,-0.00,-0.00,1.00
0.252,-0.00,-0.00,1.00
0.252,-0.00,-0.00,1.00
0.253,-0.00,-0.00,1.00
0.255,-0.00,-0.00,1.00
0.256,-0.00,-0.00,1.00
0.258,-0.00,-0.00,1.00
0.260,-0.00,-0.00,1.00
0.262,-0.00,-0.00,1.00
0.267,-0.00,-0.00,1.00
0.268,-0.00,-0.00,1.00
0.269,-0.00,-0.00,1.00
0.270,-0.00,-0.00,1.00
0.274,-0.00,-0.01,1.00
0.275,-0.00,-0.01,1.00
0.276,-0.00,-0.01,1.00
0.278,-0.00,-0.01,1.00
0.283,-0.00,-0.01,1.00
0.283,-0.00,-0.01,1.00
0.284,-0.00,-0.01,1.00
0.289,-0.00,-0.01,1.00
0.289,-0.00,-0.01,1.00
0.290,-0.00,-0.01,1.00
0.292,-0.01,-0.01,1.00
0.294,0.01,-0.08,1.00
0.296,0.08,-0.28,1.00
0.310,0.12,-0.46,0.99
0.310,0.12,-0.50,1.00
0.311,0.08,-0.45,1.00
0.311,0.04,-0.34,1.00
0.311,0.02,-0.24,1.00
0.312,0.00,-0.17,1.01
0.312,-0.00,-0.13,1.01
0.312,-0.00,-0.13,1.01
0.317,-0.00,-0.12,1.01
0.318,-0.01,-0.12,1.01
0.319,-0.01,-0.12,1.01
0.320,-0.01,-0.12,1.01
0.322,-0.02,-0.12,1.01
0.324,-0.02,-0.13,1.00
0.326,-0.03,-0.16,1.01
0.328,-0.04,-0.21,1.00
0.334,-0.04,-0.24,1.00
0.335,-0.04,-0.26,1.00
0.336,-0.04,-0.27,1.00
0.336,-0.03,-0.27,1.00
0.339,-0.03,-0.26,1.00
0.341,-0.03,-0.25,1.00
0.342,-0.03,-0.24,1.00
0.344,-0.02,-0.22,1.00
0.346,-0.02,-0.20,1.00
0.363,-0.03,-0.18,1.01
0.364,-0.02,-0.17,1.00
0.364,-0.02,-0.16,1.01
0.365,-0.02,-0.17,1.00
0.365,-0.02,-0.18,1.00
0.365,-0.02,-0.18,1.01
0.365,-0.02,-0.18,1.01
0.365,-0.02,-0.18,1.00
0.366,-0.02,-0.18,1.00
0.370,-0.01,-0.18,1.00
0.371,-0.01,-0.18,1.00
0.371,-0.00,-0.17,1.00
0.373,0.00,-0.17,1.00
0.375,0.00,-0.16,1.00
0.377,0.00,-0.15,1.00
0.378,0.00,-0.15,1.00
0.399,0.00,-0.15,1.00
0.401,-0.00,-0.15,1.00
0.401,-0.00,-0.14,1.00
0.402,0.00,-0.13,1.00
0.402,0.00,-0.13,1.00
0.402,0.00,-0.13,1.00
0.403,0.00,-0.13,1.00
0.403,0.00,-0.13,1.00
0.403,0.00,-0.13,1.00
0.403,-0.00,-0.13,1.00
0.414,-0.01,-0.13,1.00
0.414,-0.01,-0.14,1.00
0.414,-0.01,-0.15,1.00
0.414,-0.01,-0.17,1.00
0.415,-0.01,-0.17,1.00
0.417,-0.01,-0.17,1.00
0.418,-0.01,-0.17,1.00
0.418,-0.01,-0.17,1.00
0.419,-0.01,-0.18,1.00
0.419,-0.01,-0.18,1.00
0.427,-0.01,-0.18,1.00
0.428,-0.00,-0.17,1.00
0.429,-0.00,-0.17,1.00
0.429,-0.01,-0.17,1.01
0.429,-0.01,-0.17,1.00
0.446,-0.01,-0.18,1.00
0.447,-0.01,-0.18,1.00
0.447,-0.01,-0.18,1.00
0.448,-0.02,-0.18,1.00
0.448,-0.01,-0.18,1.01
0.450,-0.01,-0.17,1.01
0.450,-0.02,-0.17,1.00
0.451,-0.02,-0.17,1.00
0.451,-0.02,-0.17,1.00
0.451,-0.02,-0.17,1.00
0.451,-0.02,-0.17,1.00
0.461,-0.02,-0.16,1.01
0.462,-0.02,-0.16,1.01
0.463,-0.02,-0.15,1.00
0.463,-0.02,-0.15,1.00
0.464,-0.02,-0.14,1.00
0.464,-0.01,-0.14,1.00
0.477,-0.01,-0.14,1.01
0.478,-0.01,-0.14,1.00
0.478,-0.01,-0.14,1.00
0.478,-0.01,-0.15,1.00
0.478,-0.01,-0.15,1.01
0.479,-0.01,-0.15,1.00
0.479,-0.01,-0.15,1.01
0.479,-0.01,-0.15,1.00
0.494,-0.01,-0.15,1.00
0.495,-0.01,-0.15,1.00
0.495,-0.01,-0.16,1.00
0.496,-0.02,-0.17,1.00
0.496,-0.02,-0.17,1.00
0.496,-0.02,-0.17,1.00
0.496,-0.02,-0.16,1.01
0.497,-0.02,-0.15,1.00
0.497,-0.02,-0.15,1.00
0.510,-0.02,-0.14,1.00
0.511,-0.02,-0.14,1.00
0.511,-0.02,-0.14,1.00
0.511,-0.02,-0.14,1.00
0.511,-0.02,-0.13,1.00
0.512,-0.02,-0.12,1.00
0.512,-0.01,-0.11,1.00
0.512,-0.02,-0.10,1.00
0.526,-0.01,-0.09,1.00
0.527,-0.01,-0.09,1.00
0.527,-0.01,-0.09,1.01
0.528,-0.01,-0.08,1.01
0.528,-0.01,-0.07,1.00
0.528,-0.01,-0.07,1.00
0.529,-0.01,-0.07,1.00
0.529,-0.01,-0.07,1.01
0.531,-0.01,-0.07,1.01
0.534,-0.02,-0.07,1.00
0.535,-0.02,-0.07,1.00
0.536,-0.02,-0.07,1.00
0.538,-0.02,-0.08,1.00
0.540,-0.02,-0.09,1.00
0.542,-0.03,-0.08,1.00
0.544,-0.03,-0.08,1.00
0.546,-0.03,-0.08,1.00
0.551,-0.02,-0.07,1.00
0.553,-0.02,-0.06,1.00
0.553,-0.02,-0.06,1.00
0.555,-0.02,-0.06,1.00
0.556,-0.02,-0.06,1.01
0.558,-0.02,-0.06,1.01
0.560,-0.01,-0.06,1.00
0.562,-0.01,-0.06,1.00
0.567,-0.01,-0.06,1.01
0.569,-0.01,-0.06,1.00
0.569,-0.00,-0.05,1.00
0.571,0.00,-0.05,1.00
0.572,0.00,-0.04,1.00
0.574,-0.00,-0.05,1.00
0.577,-0.00,-0.05,1.00
0.578,-0.00,-0.05,1.00
0.580,-0.00,-0.04,1.00
0.584,0.00,-0.04,1.01
0.586,0.00,-0.04,1.00
0.586,0.01,-0.03,1.00
0.588,0.01,-0.03,1.01
0.590,0.01,-0.03,1.01
0.592,0.01,-0.02,1.01
0.594,0.02,-0.01,1.01
0.596,0.02,-0.01,1.01
0.601,0.01,-0.03,1.01
0.618,0.01,-0.04,1.01
0.620,0.01,-0.04,1.01
0.621,0.01,-0.05,1.00
0.621,0.01,-0.05,1.00
0.621,0.01,-0.06,1.01
0.622,0.01,-0.06,1.00
0.622,0.01,-0.08,1.00
0.622,0.01,-0.09,1.01
0.622,0.01,-0.10,1.01
0.623,0.01,-0.11,1.01
0.623,0.01,-0.12,1.01
0.623,0.01,-0.12,1.01
0.628,0.01,-0.12,1.00
0.629,0.01,-0.11,1.00
0.629,0.01,-0.10,1.00
0.631,0.01,-0.08,1.01
0.637,0.01,-0.07,1.01
0.638,0.01,-0.06,1.01
0.638,0.01,-0.05,1.00
0.639,0.01,-0.04,1.00
0.640,0.01,-0.03,1.01
0.643,0.01,-0.03,1.01
