time,x,y,z
0.018,-0.01,0.00,1.00
0.019,-0.01,0.00,1.00
0.019,-0.01,0.00,1.01
0.019,-0.01,0.00,1.01
0.020,-0.01,0.00,1.00
0.020,-0.01,0.00,1.00
0.020,-0.01,0.00,1.00
0.020,-0.01,0.00,1.00
0.021,-0.01,0.00,1.00
0.021,-0.01,0.00,1.00
0.021,-0.01,0.00,1.00
0.021,-0.01,0.00,1.00
0.026,-0.01,0.00,1.00
0.026,-0.01,0.00,1.00
0.027,-0.01,0.00,1.00
0.037,-0.01,0.00,1.00
0.038,-0.01,0.00,1.00
0.038,-0.01,0.00,1.00
0.038,-0.01,0.00,1.00
0.038,-0.01,0.00,1.00
0.039,-0.01,0.00,1.01
0.040,-0.01,0.00,1.01
0.053,-0.01,0.00,1.01
0.053,-0.01,0.00,1.01
0.053,-0.01,0.00,1.01
0.054,-0.01,0.00,1.01
0.054,-0.01,0.00,1.00
0.054,-0.01,0.00,1.00
0.054,-0.01,0.00,1.00
0.058,-0.01,0.00,1.00
0.058,-0.01,0.00,1.00
0.069,-0.01,0.00,1.00
0.070,-0.01,0.00,1.00
0.070,-0.01,0.00,1.00
0.070,-0.01,0.00,1.00
0.071,-0.01,0.00,1.00
0.071,-0.01,0.00,1.00
0.072,-0.01,0.00,1.00
0.079,-0.01,0.00,1.00
0.080,-0.01,0.00,1.00
0.080,-0.01,0.00,1.00
0.081,-0.01,0.00,1.01
0.081,-0.01,0.00,1.01
0.084,-0.01,0.00,1.01
0.085,-0.01,0.00,1.01
0.087,-0.01,0.00,1.01
0.089,-0.01,0.00,1.00
0.094,-0.01,0.00,1.00
0.094,-0.01,0.00,1.00
0.096,-0.01,0.00,1.00
0.098,-0.01,0.00,1.00
0.101,-0.01,0.00,1.00
0.102,-0.01,0.00,1.00
0.104,-0.01,0.00,1.00
0.105,-0.01,0.00,1.00
0.110,-0.01,0.00,1.00
0.110,-0.01,0.00,1.00
0.113,-0.01,0.00,1.00
0.113,-0.01,0.00,1.00
0.116,-0.01,0.00,1.00
0.118,-0.01,0.00,1.00
0.120,-0.01,0.00,1.00
0.122,-0.01,0.00,1.01
0.136,-0.01,0.00,1.01
0.136,-0.01,0.00,1.01
0.136,-0.01,0.00,1.01
0.137,-0.01,0.00,1.01
0.137,-0.01,0.00,1.00
0.137,-0.01,0.00,1.00
0.137,-0.01,0.00,1.00
0.141,-0.01,0.00,1.00
0.142,-0.01,0.00,1.00
0.144,-0.01,0.00,1.00
0.145,-0.01,0.00,1.00
0.146,-0.01,0.00,1.00
0.150,-0.01,0.00,1.00
0.150,-0.01,-0.00,1.00
0.152,-0.01,-0.00,1.00
0.154,-0.01,-0.00,1.00
0.156,-0.01,-0.00,1.00
0.165,-0.01,-0.00,1.00
0.166,-0.01,-0.00,1.01
0.166,-0.01,-0.00,1.01
0.166,-0.01,-0.00,1.01
0.167,-0.01,-0.00,1.01
0.168,-0.01,-0.00,1.00
0.170,-0.01,-0.00,1.00
0.172,-0.01,-0.00,1.00
0.176,-0.01,-0.00,1.01
0.176,-0.01,-0.00,1.01
0.178,-0.01,-0.00,1.00
0.180,-0.01,-0.00,1.00
0.182,-0.01,-0.00,1.00
0.184,-0.01,-0.00,1.00
0.186,-0.01,-0.00,1.00
0.188,-0.01,-0.00,1.00
0.190,-0.01,-0.00,1.00
0.194,-0.01,-0.00,1.00
0.194,-0.01,-0.00,1.00
0.196,-0.01,-0.00,1.01
0.198,-0.01,-0.00,1.01
0.200,-0.01,-0.00,1.01
0.202,-0.01,-0.00,1.01
0.204,-0.01,-0.00,1.01
0.206,-0.01,-0.00,1.01
0.209,-0.01,-0.00,1.01
0.210,-0.01,-0.00,1.01
0.212,-0.01,-0.00,1.01
0.214,-0.01,-0.00,1.00
0.216,-0.01,-0.00,1.00
0.218,-0.01,-0.00,1.00
0.220,-0.00,-0.00,1.00
0.222,-0.00,-0.01,1.00
0.224,-0.00,-0.01,1.00
0.226,-0.00,-0.01,1.00
0.228,-0.00,-0.00,1.00
0.230,-0.00,-0.00,1.00
0.232,-0.00,-0.01,1.00
0.234,-0.00,-0.01,1.00
0.236,-0.00,-0.01,1.00
0.238,0.00,-0.01,1.00
0.248,-0.00,-0.01,1.00
0.248,-0.00,-0.01,1.00
0.249,-0.00,-0.01,1.01
0.249,-0.00,-0.01,1.01
0.250,0.00,-0.01,1.01
0.250,0.01,-0.01,1.01
0.258,0.02,-0.07,1.00
0.259,0.04,-0.19,1.00
0.259,0.04,-0.30,0.99
0.285,0.01,-0.34,0.98
0.286,-0.02,-0.33,0.99
0.286,-0.04,-0.28,0.99
0.286,-0.05,-0.23,1.00
