time,x,y,z
0.020,0.00,0.01,1.00
0.021,0.00,0.01,1.00
0.021,0.00,0.01,1.00
0.022,0.00,0.01,1.00
0.022,0.00,0.01,1.00
0.022,0.00,0.01,1.00
0.023,0.00,0.01,1.00
0.023,0.00,0.01,1.00
0.023,0.00,0.01,1.00
0.023,0.00,0.01,1.00
0.024,0.00,0.01,1.00
0.024,0.00,0.01,1.00
0.024,0.00,0.01,1.00
0.025,0.00,0.01,1.00
0.028,0.00,0.01,1.00
0.028,0.00,0.01,1.00
0.041,0.00,0.01,1.00
0.041,0.00,0.01,1.00
0.042,0.00,0.01,1.00
0.042,0.00,0.01,1.00
0.042,0.00,0.01,1.00
0.042,0.00,0.01,1.00
0.043,0.00,0.01,1.00
0.043,0.00,0.01,1.00
0.046,0.00,0.01,1.00
0.048,0.00,0.01,1.00
0.050,0.00,0.01,1.00
0.051,0.00,0.01,1.00
0.054,0.00,0.01,1.00
0.056,0.00,0.01,1.00
0.058,0.00,0.01,1.00
0.059,0.00,0.01,1.00
0.075,0.00,0.00,1.00
0.076,0.00,0.00,1.00
0.076,0.00,0.00,1.00
0.076,0.00,0.01,1.00
0.076,0.00,0.00,1.00
0.076,0.00,0.00,1.00
0.077,0.00,0.01,1.01
0.077,0.00,0.01,1.01
0.077,0.00,0.01,1.01
0.081,0.00,0.00,1.01
0.082,0.00,0.00,1.01
0.094,0.00,0.00,1.01
0.094,0.00,0.01,1.01
0.095,0.00,0.00,1.01
0.096,0.00,0.00,1.01
0.096,0.00,0.00,1.01
0.096,0.00,0.00,1.01
0.097,0.00,0.00,1.00
0.104,0.00,0.00,1.00
0.105,0.00,0.00,1.00
0.105,0.00,0.00,1.00
0.106,0.00,0.00,1.00
0.106,0.00,0.00,1.00
0.108,0.00,0.00,1.00
0.110,0.00,0.00,1.00
0.134,0.00,0.00,1.01
0.135,0.00,0.00,1.01
0.135,0.00,0.00,1.01
0.135,0.00,0.00,1.01
0.135,0.00,0.00,1.01
0.135,0.00,0.00,1.00
0.136,0.00,0.00,1.00
0.136,0.00,0.00,1.00
0.136,0.00,0.00,1.00
0.136,0.00,0.00,1.00
0.136,0.00,0.00,1.00
0.136,0.00,0.00,1.00
0.137,0.00,0.00,1.00
0.144,0.00,0.00,1.01
0.145,0.00,0.00,1.01
0.145,0.00,0.00,1.01
0.145,0.00,0.00,1.01
0.161,0.00,0.00,1.01
0.162,0.00,0.00,1.01
0.163,0.00,0.00,1.01
0.163,0.00,0.00,1.01
0.163,0.00,0.00,1.01
0.164,0.00,0.00,1.01
0.164,0.00,0.00,1.01
0.164,0.00,0.00,1.00
0.165,0.00,0.00,1.00
0.165,0.00,0.00,1.00
0.177,0.00,0.00,1.00
0.177,0.00,0.00,1.01
0.179,0.00,0.00,1.01
0.179,0.01,0.00,1.01
0.179,0.01,0.00,1.01
0.180,0.01,0.00,1.01
0.180,0.01,0.00,1.01
0.192,0.01,0.00,1.01
0.192,0.00,0.00,1.01
0.192,0.00,0.00,1.01
0.193,0.01,0.00,1.00
0.193,0.01,0.00,1.00
0.193,0.01,0.00,1.00
0.193,0.01,0.00,1.00
0.194,0.01,0.00,1.00
0.210,0.00,0.00,1.00
0.220,0.00,0.00,1.00
0.220,0.00,0.00,1.01
0.221,0.00,0.00,1.01
0.221,0.00,0.00,1.01
0.221,0.00,0.00,1.01
0.222,0.00,0.00,1.01
0.222,0.00,0.00,1.01
0.222,0.00,0.00,1.00
0.223,0.00,0.00,1.00
0.223,0.00,0.00,1.00
0.223,0.00,0.00,1.00
0.223,0.00,0.00,1.00
0.224,0.00,0.00,1.00
0.224,0.00,0.00,1.00
0.228,0.00,0.00,1.00
0.229,0.00,0.00,1.00
0.242,0.00,0.00,1.00
0.242,0.00,0.00,1.00
0.242,0.00,0.00,1.00
0.243,0.00,0.00,1.01
0.243,0.00,0.00,1.01
0.243,0.00,0.00,1.00
0.244,0.00,0.00,1.00
0.244,0.00,0.00,1.00
0.277,0.00,0.00,1.00
0.278,0.01,0.00,1.01
0.279,0.00,0.00,1.01
0.280,0.00,0.00,1.00
0.280,0.00,0.00,0.99
0.281,0.00,0.01,0.99
0.281,0.01,0.01,0.99
0.281,0.01,0.01,1.00
0.281,0.01,0.01,1.01
0.282,0.01,0.00,1.01
0.282,0.01,0.00,1.01
0.282,0.01,0.00,1.01
0.283,0.01,0.00,1.01
0.283,0.01,0.00,1.01
0.283,0.01,0.00,1.01
0.283,0.01,0.00,1.01
0.284,0.01,0.00,1.00
0.284,0.01,0.00,1.00
0.284,0.01,0.00,1.00
0.285,0.01,0.00,1.00
0.289,0.01,0.00,1.00
