time,x,y,z
0.017,-0.01,0.00,1.01
0.017,-0.01,0.00,1.01
0.018,-0.01,0.00,1.01
0.018,-0.01,0.00,1.01
0.018,-0.01,0.00,1.01
0.018,-0.01,0.00,1.01
0.019,-0.01,0.00,1.01
0.019,-0.01,0.00,1.01
0.019,-0.01,0.00,1.01
0.020,-0.01,0.00,1.01
0.020,-0.00,0.00,1.01
0.023,-0.01,0.01,1.01
0.026,-0.01,0.01,1.01
0.026,-0.01,0.01,1.01
0.028,-0.01,0.01,1.01
0.034,-0.01,0.01,1.01
0.035,-0.01,0.01,1.01
0.035,-0.01,0.01,1.01
0.036,-0.01,0.00,1.01
0.038,-0.01,0.00,1.01
0.040,-0.01,0.00,1.01
0.042,-0.01,0.00,1.00
0.044,-0.01,0.00,1.00
0.046,-0.01,0.00,1.00
0.049,-0.01,0.00,1.00
0.050,-0.01,0.00,1.00
0.052,-0.01,0.00,1.00
0.054,-0.01,0.00,1.00
0.056,-0.01,0.00,1.00
0.058,-0.01,0.00,1.00
0.060,-0.01,0.00,0.99
0.062,-0.01,0.00,0.99
0.067,-0.01,0.00,0.99
0.069,-0.01,0.00,0.99
0.069,-0.01,0.00,0.99
0.070,-0.01,0.00,0.99
0.072,-0.01,0.00,0.99
0.074,-0.01,0.00,0.99
0.076,-0.01,0.00,0.99
0.078,-0.01,0.00,0.99
0.080,-0.01,0.00,0.99
0.096,-0.01,0.00,0.99
0.097,-0.01,0.00,0.99
0.097,-0.01,0.00,1.00
0.097,-0.01,0.00,1.00
0.098,-0.01,0.00,1.00
0.098,-0.01,0.00,1.00
0.098,-0.00,0.00,1.00
0.099,-0.00,0.00,1.00
0.099,-0.00,0.00,1.00
0.118,-0.00,0.00,1.00
0.119,-0.00,0.00,1.01
0.119,-0.00,0.00,1.01
0.119,-0.00,0.00,1.01
0.120,0.00,0.00,1.01
0.120,0.00,0.00,1.01
0.120,0.00,0.00,1.01
0.121,0.00,0.00,1.01
0.121,-0.00,0.00,1.01
0.121,-0.00,0.00,1.01
0.122,-0.00,0.00,1.01
0.122,-0.00,0.00,1.01
0.127,-0.00,0.00,1.01
0.128,-0.00,0.00,1.01
0.128,-0.00,0.00,1.01
0.130,-0.00,0.00,1.01
0.133,-0.00,0.00,1.01
0.135,-0.00,0.00,1.01
0.136,-0.00,0.00,1.01
0.138,-0.00,0.00,1.01
0.140,-0.00,0.00,1.01
0.142,-0.01,0.00,1.01
0.144,-0.01,0.00,1.01
0.146,-0.01,0.01,1.01
0.150,-0.01,0.01,1.01
0.151,-0.01,0.01,1.01
0.154,-0.01,0.00,1.01
0.154,-0.01,0.01,1.01
0.156,-0.01,0.01,1.01
0.158,-0.01,0.01,1.01
0.160,-0.01,0.01,1.01
0.162,-0.01,0.01,1.01
0.167,-0.01,0.01,1.01
0.168,-0.01,0.00,1.01
0.168,-0.01,0.00,1.01
0.170,-0.01,0.00,1.01
0.172,-0.01,0.00,1.01
0.174,-0.01,0.00,1.01
0.176,-0.01,0.00,1.00
0.178,-0.01,0.00,1.00
0.180,-0.01,0.00,1.00
0.184,-0.01,0.00,1.00
0.184,-0.01,0.00,1.00
0.187,-0.01,0.01,1.00
0.188,-0.01,0.01,1.00
0.190,-0.01,0.01,1.00
0.192,-0.01,0.01,1.00
0.194,-0.01,0.01,0.99
0.196,-0.01,0.01,0.99
0.200,-0.01,0.01,0.99
0.211,-0.01,0.01,0.99
0.212,-0.01,0.01,0.99
0.212,-0.01,0.01,0.99
0.212,-0.01,0.01,0.99
0.212,-0.01,0.01,0.99
0.213,-0.02,0.01,0.99
0.213,-0.02,0.01,0.99
0.217,-0.02,0.01,0.99
0.218,-0.02,0.01,1.00
0.219,-0.02,0.01,1.00
0.220,-0.02,0.01,1.00
0.224,-0.02,0.01,1.00
0.225,-0.02,0.01,1.00
0.226,-0.02,0.01,1.00
0.228,-0.02,0.01,1.00
0.230,-0.01,0.00,1.00
0.244,-0.01,0.00,1.00
0.244,-0.01,0.00,1.00
0.244,-0.01,0.00,1.00
0.245,-0.01,0.00,1.00
0.245,-0.01,0.00,1.00
0.245,-0.01,0.00,1.00
0.245,-0.01,0.00,1.01
0.246,-0.01,0.00,1.01
0.251,-0.01,0.00,1.01
0.252,-0.01,0.00,1.01
0.252,-0.00,0.00,1.01
0.254,-0.00,0.00,1.01
0.258,-0.00,-0.00,1.02
0.258,-0.00,-0.00,1.02
0.260,-0.00,-0.00,1.02
0.262,-0.00,-0.00,1.02
0.264,0.00,-0.00,1.02
0.267,0.00,-0.00,1.03
0.268,0.00,-0.00,1.03
0.270,0.00,-0.00,1.03
0.272,0.01,-0.00,1.03
0.274,0.01,-0.00,1.03
0.276,0.01,-0.00,1.03
0.278,0.01,-0.00,1.03
0.280,0.01,-0.00,1.03
0.283,0.01,-0.00,1.03
0.286,0.01,-0.00,1.03
0.286,0.01,-0.00,1.03
0.288,0.01,-0.00,1.03
0.290,0.01,-0.00,1.03
0.292,0.01,0.00,1.03
0.295,0.01,0.00,1.03
0.296,0.01,0.00,1.03
0.301,0.01,0.00,1.03
0.301,0.01,0.00,1.03
0.302,0.01,0.01,1.03
0.304,0.01,0.01,1.02
0.306,0.01,0.01,1.02
0.311,0.01,0.01,1.02
0.312,0.00,0.01,1.02
0.312,0.00,0.01,1.02
0.315,0.00,0.02,1.02
0.317,0.00,0.02,1.02
0.330,0.00,0.02,1.02
0.331,0.00,0.02,1.01
0.332,0.00,0.02,1.01
0.332,0.00,0.02,1.01
0.332,-0.00,0.03,1.01
0.333,-0.00,0.03,1.01
0.333,-0.00,0.03,1.01
0.333,-0.00,0.03,1.01
0.343,-0.00,0.03,1.01
0.344,-0.00,0.03,1.01
0.344,-0.00,0.03,1.00
0.344,-0.00,0.03,1.00
0.345,-0.00,0.04,1.00
0.345,-0.00,0.04,1.00
0.346,-0.00,0.04,0.99
0.362,-0.00,0.04,0.99
0.362,-0.00,0.04,0.99
0.363,-0.00,0.04,0.99
0.363,-0.00,0.05,0.98
0.363,-0.00,0.05,0.98
0.364,-0.00,0.05,0.98
0.364,-0.00,0.05,0.98
0.364,-0.00,0.05,0.97
0.365,-0.00,0.05,0.97
0.368,0.00,0.06,0.97
0.370,0.00,0.06,0.97
0.370,0.00,0.06,0.97
0.373,0.00,0.06,0.97
0.374,0.00,0.06,0.97
0.376,0.00,0.07,0.97
0.378,0.01,0.07,0.97
0.380,0.01,0.07,0.97
0.384,0.01,0.07,0.98
0.385,0.01,0.07,0.98
0.386,0.01,0.07,0.98
0.388,0.01,0.07,0.98
0.390,0.02,0.08,0.98
0.392,0.02,0.08,0.99
0.394,0.02,0.08,0.99
0.396,0.02,0.08,0.99
0.398,0.03,0.08,0.99
0.410,0.03,0.09,1.00
0.410,0.03,0.09,1.00
0.410,0.03,0.09,1.00
0.410,0.03,0.09,1.01
0.411,0.03,0.10,1.01
0.411,0.04,0.10,1.01
0.415,0.04,0.10,1.02
0.416,0.04,0.10,1.02
0.417,0.04,0.10,1.02
0.418,0.04,0.11,1.03
0.420,0.04,0.11,1.03
0.422,0.04,0.11,1.03
0.424,0.04,0.11,1.03
0.426,0.05,0.11,1.03
0.428,0.05,0.12,1.04
0.431,0.05,0.12,1.04
0.432,0.05,0.12,1.04
0.438,0.05,0.12,1.04
0.439,0.05,0.12,1.04
0.439,0.05,0.13,1.04
0.441,0.05,0.13,1.04
0.442,0.05,0.13,1.04
0.444,0.05,0.13,1.04
0.446,0.05,0.13,1.04
0.449,0.05,0.13,1.03
0.455,0.05,0.14,1.03
0.456,0.05,0.14,1.03
0.456,0.04,0.14,1.03
0.456,0.04,0.15,1.03
0.458,0.04,0.15,1.03
0.460,0.04,0.15,1.03
0.462,0.04,0.15,1.03
0.464,0.03,0.16,1.03
0.470,0.03,0.16,1.03
0.470,0.03,0.16,1.03
0.471,0.04,0.16,1.03
0.473,0.04,0.16,1.03
0.475,0.04,0.16,1.04
0.476,0.04,0.17,1.04
0.478,0.04,0.17,1.04
0.480,0.04,0.17,1.04
0.487,0.04,0.17,1.04
0.487,0.04,0.17,1.04
0.488,0.04,0.17,1.04
0.488,0.04,0.17,1.05
0.490,0.04,0.17,1.05
0.494,0.04,0.17,1.05
0.496,0.04,0.17,1.05
0.498,0.04,0.17,1.05
0.499,0.05,0.17,1.04
0.501,0.05,0.17,1.04
0.502,0.05,0.17,1.04
0.505,0.05,0.17,1.04
0.506,0.05,0.17,1.04
0.508,0.05,0.18,1.04
0.510,0.06,0.18,1.04
0.512,0.06,0.18,1.04
0.515,0.06,0.18,1.04
0.517,0.06,0.18,1.04
0.518,0.06,0.18,1.04
0.521,0.06,0.18,1.04
0.522,0.06,0.17,1.04
0.524,0.06,0.17,1.04
0.526,0.06,0.17,1.04
0.530,0.06,0.17,1.04
0.530,0.06,0.17,1.05
0.534,0.06,0.17,1.05
0.535,0.06,0.17,1.05
0.536,0.06,0.17,1.05
0.539,0.06,0.17,1.05
0.541,0.06,0.17,1.06
0.542,0.06,0.17,1.06
0.544,0.06,0.17,1.06
0.546,0.06,0.17,1.06
0.548,0.06,0.17,1.06
0.551,0.06,0.18,1.06
0.552,0.06,0.18,1.06
0.554,0.06,0.18,1.06
0.556,0.06,0.18,1.06
0.559,0.06,0.18,1.06
0.560,0.06,0.18,1.06
0.562,0.06,0.18,1.06
0.564,0.06,0.18,1.05
0.567,0.07,0.18,1.05
0.568,0.07,0.18,1.05
0.570,0.07,0.18,1.05
0.572,0.07,0.18,1.04
0.574,0.07,0.18,1.04
0.576,0.08,0.18,1.03
0.578,0.08,0.18,1.03
0.580,0.08,0.18,1.03
0.586,0.08,0.18,1.02
0.586,0.08,0.17,1.02
0.587,0.08,0.17,1.02
0.588,0.09,0.17,1.02
0.590,0.09,0.17,1.02
0.592,0.09,0.17,1.02
0.594,0.09,0.17,1.02
0.596,0.10,0.17,1.02
0.598,0.10,0.17,1.02
0.606,0.10,0.17,1.01
0.606,0.10,0.17,1.01
0.606,0.10,0.16,1.01
0.607,0.10,0.16,1.01
0.609,0.10,0.16,1.01
0.610,0.10,0.16,1.01
0.612,0.10,0.16,1.01
0.614,0.10,0.16,1.01
0.619,0.10,0.16,1.01
0.620,0.09,0.15,1.01
0.620,0.09,0.15,1.01
0.622,0.09,0.15,1.01
0.624,0.09,0.16,1.01
0.626,0.08,0.16,1.01
0.628,0.08,0.15,1.01
0.630,0.08,0.15,1.01
0.632,0.08,0.15,1.01
0.635,0.08,0.15,1.01
0.636,0.08,0.15,1.01
0.640,0.08,0.15,1.01
0.641,0.08,0.15,1.00
0.645,0.08,0.15,1.00
0.645,0.08,0.15,1.00
0.646,0.08,0.15,1.00
0.648,0.07,0.15,1.00
0.657,0.07,0.15,1.00
0.657,0.07,0.15,1.00
0.657,0.06,0.15,1.00
0.658,0.06,0.15,1.00
0.658,0.06,0.15,1.00
0.660,0.05,0.15,1.00
0.662,0.05,0.15,1.00
0.664,0.05,0.15,1.01
0.670,0.05,0.15,1.01
0.670,0.04,0.15,1.01
0.671,0.04,0.15,1.01
0.672,0.04,0.15,1.01
0.674,0.04,0.14,1.01
0.676,0.03,0.14,1.01
0.678,0.03,0.14,1.01
0.680,0.03,0.14,1.01
0.681,0.03,0.14,1.01
0.686,0.03,0.14,1.01
0.686,0.03,0.14,1.00
0.688,0.03,0.14,1.00
0.690,0.03,0.14,1.00
0.692,0.03,0.14,0.99
0.694,0.03,0.14,0.98
0.696,0.03,0.14,0.97
0.698,0.04,0.14,0.97
0.703,0.04,0.14,0.96
0.704,0.04,0.14,0.95
0.705,0.04,0.14,0.94
0.706,0.05,0.14,0.93
0.709,0.05,0.14,0.92
0.710,0.05,0.14,0.91
0.712,0.06,0.14,0.91
0.714,0.06,0.13,0.90
0.716,0.06,0.13,0.90
0.720,0.07,0.13,0.89
0.721,0.07,0.13,0.89
0.722,0.07,0.13,0.89
0.725,0.07,0.13,0.88
0.726,0.07,0.13,0.88
0.728,0.06,0.13,0.88
0.730,0.06,0.13,0.88
0.732,0.06,0.13,0.88
0.736,0.05,0.13,0.88
0.737,0.05,0.13,0.88
0.738,0.05,0.13,0.88
0.740,0.04,0.13,0.88
0.742,0.04,0.13,0.88
0.744,0.03,0.13,0.88
0.746,0.03,0.13,0.88
0.748,0.03,0.13,0.88
0.753,0.02,0.13,0.88
0.753,0.02,0.13,0.89
0.755,0.02,0.13,0.89
0.756,0.02,0.13,0.89
0.758,0.01,0.13,0.89
0.760,0.01,0.13,0.89
0.762,0.01,0.13,0.90
0.764,0.01,0.13,0.90
0.766,0.01,0.12,0.90
0.771,0.01,0.12,0.91
0.771,0.01,0.12,0.91
0.772,0.00,0.11,0.92
0.774,0.00,0.11,0.92
0.778,0.00,0.11,0.93
0.778,0.00,0.10,0.94
0.780,0.00,0.10,0.94
0.782,-0.00,0.10,0.95
0.788,-0.00,0.09,0.95
0.789,-0.00,0.09,0.96
0.789,-0.00,0.09,0.97
