time,x,y,z
0.016,-0.00,0.00,1.01
0.017,-0.00,0.00,1.01
0.017,-0.00,0.00,1.01
0.018,-0.00,0.00,1.01
0.018,-0.00,0.00,1.01
0.018,-0.00,0.00,1.01
0.019,-0.00,0.00,1.01
0.019,-0.00,0.00,1.00
0.019,-0.00,0.00,1.00
0.020,-0.00,0.00,1.00
0.020,-0.00,0.00,1.00
0.024,-0.00,0.00,1.01
0.024,-0.00,0.00,1.01
0.026,-0.00,0.00,1.01
0.043,-0.00,0.00,1.01
0.043,-0.00,0.00,1.01
0.044,-0.00,0.00,1.01
0.044,-0.00,0.00,1.01
0.044,-0.00,0.00,1.01
0.045,-0.00,0.00,1.01
0.045,-0.00,0.00,1.01
0.045,-0.00,0.00,1.01
0.045,-0.00,0.00,1.01
0.046,-0.00,0.00,1.01
0.048,-0.00,0.00,1.01
0.049,-0.00,0.00,1.01
0.051,-0.00,0.00,1.01
0.053,-0.00,0.00,1.01
0.056,-0.00,0.00,1.01
0.057,-0.00,0.00,1.01
0.061,-0.00,0.00,1.00
0.062,-0.00,0.00,1.00
0.065,-0.00,0.00,1.00
0.067,-0.00,0.00,1.01
0.067,-0.00,0.00,1.01
0.070,-0.00,0.00,1.00
0.072,-0.00,0.00,1.01
0.073,-0.00,0.00,1.01
0.075,-0.00,0.00,1.01
0.090,-0.00,0.00,1.01
0.090,-0.01,0.00,1.01
0.091,-0.01,0.00,1.01
0.091,-0.01,0.00,1.01
0.091,-0.00,0.00,1.01
0.091,-0.00,0.00,1.01
0.092,-0.00,0.00,1.01
0.093,-0.00,0.00,1.01
0.094,-0.00,0.00,1.01
0.097,-0.00,0.00,1.01
0.098,-0.00,0.00,1.01
0.099,-0.00,0.00,1.01
0.102,-0.00,0.00,1.00
0.104,-0.00,0.00,1.00
0.105,-0.00,0.00,1.00
0.107,-0.00,0.00,1.00
0.109,-0.00,0.00,1.00
0.113,-0.00,0.00,1.00
0.114,-0.00,0.00,1.00
0.115,-0.00,0.00,1.00
0.117,-0.00,0.00,1.00
0.121,-0.00,0.00,1.00
0.122,-0.00,0.00,1.00
0.123,-0.00,0.00,1.00
0.125,-0.00,0.00,1.00
0.130,-0.00,0.00,1.00
0.131,-0.00,0.00,1.01
0.132,-0.00,0.00,1.00
0.133,-0.00,0.00,1.01
0.137,-0.00,0.00,1.01
0.138,-0.00,0.00,1.01
0.140,-0.00,0.00,1.01
0.142,-0.00,0.00,1.01
0.146,-0.00,0.00,1.01
0.147,-0.00,0.00,1.01
0.147,-0.00,0.00,1.01
0.149,-0.00,0.00,1.01
0.151,-0.00,0.00,1.00
0.153,-0.00,0.00,1.00
0.155,-0.00,0.00,1.00
0.157,-0.00,0.00,1.00
0.159,-0.00,0.00,1.00
0.162,-0.00,0.00,1.00
0.173,-0.00,0.00,1.00
0.173,-0.00,0.00,1.00
0.173,-0.00,0.00,1.00
0.174,-0.00,0.00,1.01
0.174,-0.00,0.00,1.01
0.174,-0.00,0.00,1.01
0.175,-0.00,0.00,1.01
0.181,-0.00,0.00,1.01
0.182,-0.00,0.00,1.01
0.182,-0.00,0.00,1.01
0.183,-0.00,0.00,1.01
0.186,-0.00,0.00,1.01
0.188,-0.00,0.00,1.01
0.189,-0.00,0.00,1.01
0.191,-0.00,0.00,1.01
0.193,-0.00,0.00,1.01
0.196,-0.00,0.00,1.01
0.198,-0.00,0.00,1.01
0.207,-0.00,0.00,1.01
0.208,-0.00,0.00,1.01
0.208,-0.00,0.00,1.01
0.208,-0.00,0.00,1.01
0.208,-0.00,0.00,1.00
0.210,-0.00,0.00,1.00
0.214,-0.00,0.00,1.00
0.214,-0.00,0.00,1.00
0.222,-0.00,-0.00,1.00
0.223,-0.00,-0.00,1.00
0.224,-0.00,-0.00,1.00
0.224,-0.00,-0.00,1.00
0.224,-0.00,-0.00,1.00
0.225,-0.00,-0.00,1.00
0.230,-0.00,-0.00,1.00
0.232,-0.00,-0.00,1.00
0.232,-0.00,-0.00,1.00
0.233,-0.00,-0.01,1.00
0.236,-0.00,-0.01,1.01
0.238,0.00,-0.01,1.01
0.239,0.00,-0.01,1.01
0.241,0.01,-0.01,1.01
0.243,0.02,-0.02,1.01
0.257,0.03,-0.02,1.01
0.258,0.03,-0.02,1.01
0.258,0.03,-0.04,1.01
0.258,0.06,-0.10,1.00
0.258,0.09,-0.17,1.00
0.259,0.10,-0.23,1.00
0.259,0.09,-0.25,1.00
0.259,0.08,-0.25,1.00
0.274,0.07,-0.23,1.01
0.274,0.05,-0.21,1.01
0.275,0.04,-0.19,1.01
0.275,0.04,-0.18,1.01
0.275,0.05,-0.20,1.01
0.275,0.06,-0.24,1.00
0.276,0.06,-0.26,1.00
0.276,0.05,-0.27,1.00
0.292,0.05,-0.28,1.01
0.293,0.05,-0.28,1.01
0.293,0.05,-0.28,1.01
0.294,0.05,-0.28,1.00
0.294,0.06,-0.27,1.00
0.294,0.05,-0.27,1.00
0.296,0.05,-0.26,1.00
0.296,0.04,-0.25,1.00
0.297,0.04,-0.23,1.00
0.297,0.03,-0.21,1.00
0.313,0.02,-0.20,1.00
0.317,0.01,-0.17,1.01
0.317,0.01,-0.16,1.01
0.317,-0.00,-0.14,1.00
0.317,-0.01,-0.14,1.00
0.317,-0.02,-0.13,1.00
0.318,-0.02,-0.13,1.00
0.318,-0.02,-0.12,1.00
0.318,-0.02,-0.12,1.01
0.319,-0.02,-0.11,1.01
0.319,-0.02,-0.11,1.01
0.319,-0.01,-0.11,1.00
0.324,-0.02,-0.12,1.01
0.324,-0.02,-0.12,1.00
0.325,-0.03,-0.13,1.00
0.328,-0.03,-0.13,1.01
0.336,-0.02,-0.14,1.01
0.336,-0.01,-0.15,1.00
0.336,-0.01,-0.16,1.00
0.337,0.00,-0.17,1.01
0.338,0.01,-0.18,1.00
0.339,0.01,-0.19,1.01
0.341,0.02,-0.19,1.01
0.343,0.03,-0.19,1.00
0.346,0.03,-0.20,1.00
0.348,0.04,-0.20,1.00
0.355,0.04,-0.20,1.00
0.356,0.04,-0.20,1.01
0.356,0.05,-0.20,1.00
0.356,0.05,-0.19,1.00
0.357,0.05,-0.18,1.01
0.359,0.06,-0.18,1.00
0.373,0.06,-0.18,1.00
0.374,0.07,-0.18,1.00
0.374,0.07,-0.18,1.00
0.374,0.07,-0.18,1.00
0.375,0.07,-0.18,1.00
0.375,0.08,-0.18,1.01
0.375,0.08,-0.17,1.01
0.375,0.08,-0.17,1.01
0.377,0.08,-0.17,1.00
0.382,0.08,-0.18,1.00
0.383,0.08,-0.18,1.01
0.383,0.08,-0.18,1.01
0.385,0.08,-0.18,1.00
0.388,0.08,-0.18,1.00
0.389,0.08,-0.18,1.01
0.391,0.08,-0.17,1.01
0.393,0.08,-0.16,1.01
0.397,0.07,-0.16,1.01
0.399,0.07,-0.15,1.01
0.410,0.07,-0.15,1.01
0.410,0.06,-0.14,1.01
0.410,0.05,-0.13,1.01
0.411,0.04,-0.13,1.01
0.411,0.04,-0.12,1.00
0.411,0.03,-0.11,1.00
0.411,0.02,-0.10,1.00
0.418,0.01,-0.10,1.00
0.419,0.01,-0.10,1.00
0.419,0.01,-0.11,1.00
0.419,0.01,-0.12,1.00
0.422,0.01,-0.13,1.00
0.423,0.01,-0.14,1.00
0.426,0.02,-0.15,1.00
0.428,0.02,-0.16,1.01
0.432,0.02,-0.17,1.01
0.432,0.03,-0.17,1.00
0.433,0.03,-0.17,1.00
0.435,0.04,-0.18,1.00
0.437,0.04,-0.18,1.00
0.440,0.05,-0.18,1.00
0.441,0.05,-0.18,1.00
0.443,0.05,-0.18,1.00
0.448,0.06,-0.18,1.00
0.449,0.06,-0.18,1.00
0.449,0.06,-0.18,1.00
0.451,0.06,-0.18,1.00
0.453,0.07,-0.18,1.00
0.455,0.07,-0.18,1.01
0.457,0.07,-0.18,1.00
0.459,0.07,-0.18,1.00
0.467,0.07,-0.17,1.00
0.467,0.07,-0.16,1.01
0.468,0.08,-0.15,1.00
0.468,0.08,-0.14,1.00
0.470,0.08,-0.13,1.01
0.471,0.09,-0.12,1.00
0.474,0.09,-0.12,1.01
0.475,0.09,-0.11,1.01
0.477,0.10,-0.10,1.00
0.482,0.10,-0.10,1.00
0.482,0.10,-0.09,1.00
0.483,0.10,-0.08,1.00
0.485,0.10,-0.08,1.00
0.487,0.10,-0.07,1.01
0.490,0.10,-0.06,1.01
0.493,0.10,-0.05,1.01
0.493,0.10,-0.05,1.01
0.499,0.11,-0.04,1.01
0.499,0.10,-0.04,1.00
0.500,0.10,-0.03,1.00
0.501,0.10,-0.02,1.01
0.503,0.10,-0.02,1.01
0.505,0.10,-0.02,1.01
0.507,0.09,-0.01,1.00
0.510,0.09,-0.01,1.01
0.514,0.09,0.00,1.01
0.514,0.09,0.01,1.01
0.516,0.09,0.02,1.01
0.517,0.08,0.03,1.01
0.519,0.08,0.04,1.01
0.522,0.08,0.04,1.01
0.523,0.09,0.05,1.01
0.527,0.08,0.06,1.01
0.528,0.08,0.06,1.01
0.533,0.09,0.06,1.00
0.534,0.09,0.06,1.00
0.534,0.09,0.07,1.01
0.535,0.10,0.07,1.00
0.537,0.10,0.08,1.00
0.540,0.10,0.08,1.01
0.541,0.10,0.09,1.00
0.543,0.10,0.09,1.00
0.548,0.10,0.09,1.01
0.549,0.10,0.09,1.01
0.550,0.10,0.09,1.00
0.551,0.10,0.09,1.01
0.554,0.11,0.08,1.00
0.555,0.11,0.08,1.01
0.560,0.12,0.08,1.01
0.561,0.12,0.08,1.01
0.562,0.12,0.09,1.01
0.567,0.12,0.09,1.01
0.568,0.11,0.10,1.01
0.568,0.11,0.10,1.01
0.569,0.10,0.11,1.01
0.571,0.10,0.11,1.01
0.574,0.10,0.11,1.01
0.575,0.09,0.11,1.01
0.577,0.09,0.12,1.01
0.584,0.09,0.12,1.01
0.585,0.09,0.12,1.01
0.585,0.09,0.13,1.01
0.586,0.09,0.13,1.01
