time,x,y,z
0.012,-0.00,0.00,1.00
0.012,-0.00,0.00,1.00
0.013,-0.00,0.00,1.00
0.013,-0.00,0.00,1.00
0.013,-0.00,0.00,1.00
0.014,-0.00,0.00,1.00
0.014,-0.00,0.00,1.00
0.018,-0.00,0.00,1.00
0.019,-0.00,0.00,1.00
0.022,-0.00,0.00,1.00
0.022,-0.00,0.00,1.00
0.023,-0.00,0.00,1.00
0.034,-0.00,0.00,1.00
0.035,-0.00,0.00,1.01
0.035,-0.00,0.00,1.01
0.035,-0.00,0.00,1.01
0.035,-0.00,0.00,1.01
0.036,-0.00,0.00,1.01
0.036,-0.00,0.00,1.01
0.038,-0.00,0.00,1.01
0.045,-0.00,0.00,1.01
0.048,-0.00,0.00,1.01
0.048,-0.00,0.00,1.00
0.048,-0.00,0.00,1.00
0.049,-0.00,0.00,1.00
0.051,-0.00,0.00,1.00
0.054,-0.00,0.00,1.00
0.054,-0.00,0.00,1.00
0.057,-0.00,0.00,1.00
0.062,-0.00,0.00,1.00
0.064,-0.00,-0.00,1.00
0.064,-0.00,-0.00,1.00
0.064,-0.00,-0.00,1.00
0.069,-0.01,-0.00,1.00
0.069,-0.01,-0.00,1.01
0.070,-0.01,-0.00,1.01
0.072,-0.00,-0.00,1.01
0.086,-0.00,-0.00,1.01
0.086,-0.00,-0.00,1.01
0.087,-0.01,-0.00,1.01
0.087,-0.01,-0.00,1.01
0.087,-0.01,-0.00,1.01
0.087,-0.01,-0.00,1.01
0.088,-0.01,-0.00,1.01
0.088,-0.01,-0.00,1.01
0.091,-0.01,-0.00,1.00
0.104,-0.01,-0.00,1.00
0.105,-0.01,-0.00,1.00
0.105,-0.01,-0.00,1.00
0.105,-0.01,-0.00,1.00
0.106,-0.01,-0.00,1.00
0.106,-0.01,-0.00,1.00
0.106,-0.01,-0.00,1.00
0.106,-0.01,-0.00,1.00
0.110,-0.01,-0.00,1.00
0.111,-0.01,-0.00,1.00
0.112,-0.01,-0.00,1.00
0.115,-0.01,-0.00,1.00
0.117,-0.01,-0.00,1.00
0.119,-0.01,-0.00,1.01
0.120,-0.01,-0.00,1.01
0.122,-0.01,0.00,1.01
0.127,-0.01,0.00,1.01
0.128,-0.01,0.00,1.01
0.129,-0.01,0.00,1.01
0.130,-0.01,0.00,1.01
0.132,-0.01,0.00,1.01
0.135,-0.01,0.00,1.01
0.137,-0.01,0.00,1.01
0.138,-0.01,0.00,1.01
0.140,-0.01,0.00,1.01
0.145,-0.01,0.00,1.01
0.146,-0.01,0.00,1.00
0.146,-0.01,0.00,1.00
0.148,-0.01,0.00,1.00
0.150,-0.01,0.00,1.00
0.152,-0.00,0.00,1.00
0.154,-0.00,0.00,1.00
0.156,-0.00,0.00,1.00
0.172,-0.00,0.00,1.00
0.172,-0.00,0.00,1.00
0.173,-0.00,0.00,1.00
0.173,-0.00,0.00,1.00
0.173,-0.00,0.00,1.00
0.173,-0.00,0.00,1.00
0.173,-0.00,0.00,1.00
0.174,-0.00,0.00,1.00
0.177,-0.00,0.00,1.00
0.177,-0.00,0.00,1.00
0.179,-0.00,0.00,1.00
0.180,-0.00,0.00,1.00
0.182,-0.00,0.00,1.00
0.185,-0.00,0.00,1.00
0.188,-0.00,0.00,1.00
0.189,-0.00,0.00,1.00
0.191,-0.00,0.00,1.00
0.205,-0.00,0.00,1.00
0.205,-0.00,0.00,1.00
0.206,-0.00,0.00,1.00
0.206,-0.00,0.00,1.00
0.220,-0.00,0.00,1.00
0.221,-0.00,0.00,1.00
0.221,-0.00,0.00,1.00
0.221,-0.00,0.00,1.00
0.221,-0.00,0.00,1.00
0.221,-0.00,0.00,1.00
0.222,-0.00,0.00,1.00
0.222,-0.00,0.00,1.00
0.222,-0.00,-0.00,1.00
0.222,-0.00,-0.00,1.00
0.222,-0.00,-0.00,1.00
0.223,-0.00,-0.00,1.00
0.228,-0.00,-0.00,1.00
0.229,-0.00,-0.00,1.01
0.237,-0.00,-0.00,1.01
0.238,-0.00,-0.00,1.01
0.238,-0.00,-0.00,1.01
0.239,-0.00,-0.00,1.01
0.239,-0.00,-0.00,1.00
0.239,-0.00,-0.00,1.00
0.240,-0.01,-0.00,1.01
0.253,-0.01,-0.00,1.01
0.253,-0.01,-0.00,1.01
0.254,-0.01,-0.00,1.00
0.254,-0.01,-0.00,1.00
0.254,-0.01,-0.00,1.00
0.254,-0.01,-0.00,1.00
0.254,-0.01,-0.00,1.00
0.256,-0.01,-0.00,1.01
0.273,-0.01,-0.00,1.00
0.273,-0.01,-0.00,1.00
0.273,-0.01,-0.00,1.00
0.274,-0.01,-0.00,1.00
